Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly
1750,1,-1.013,3.202,NaN,NaN,NaN,NaN,NaN
1750,2,-1.68,3.764,-1.204,NaN,NaN,NaN,NaN
1750,3,-0.199,NaN,-1.222,NaN,NaN,NaN,NaN
1750,4,-0.534,2.1,-1.248,NaN,NaN,NaN,NaN
1750,5,-1.891,1.34,-1.56,NaN,NaN,NaN,NaN
1750,6,-1.328,1.521,-1.55,NaN,NaN,NaN,NaN
1750,7,-0.337,2.329,-1.629,NaN,NaN,NaN,NaN
1750,8,0.111,1.804,-1.781,NaN,NaN,NaN,NaN
1750,9,-1.212,NaN,-1.794,NaN,NaN,NaN,NaN
1750,10,-2.458,1.852,-1.893,NaN,NaN,NaN,NaN
1750,11,-4.758,2.282,-1.839,NaN,NaN,NaN,NaN
1750,12,-3.29,2.75,-1.871,NaN,NaN,NaN,NaN
1751,1,-1.957,3.091,-1.774,NaN,NaN,NaN,NaN
1751,2,-3.5,3.678,-1.813,NaN,NaN,NaN,NaN
1751,3,-0.355,2.445,-1.836,NaN,NaN,NaN,NaN
1751,4,-1.726,2.087,-1.867,NaN,NaN,NaN,NaN
1751,5,-1.24,NaN,-1.743,NaN,NaN,NaN,NaN
1751,6,-1.712,1.359,-1.65,NaN,NaN,NaN,NaN
1751,7,0.819,NaN,-1.785,NaN,NaN,NaN,NaN
1751,8,-0.346,1.591,-1.364,NaN,NaN,NaN,NaN
1751,9,-1.498,1.393,-1.359,NaN,NaN,NaN,NaN
1751,10,-2.825,2.084,-1.373,NaN,NaN,NaN,NaN
1751,11,-3.27,2.157,-1.305,NaN,NaN,NaN,NaN
1751,12,-2.169,3.365,-1.153,NaN,NaN,NaN,NaN
1752,1,-3.587,3.193,-1.157,1.358,NaN,NaN,NaN
1752,2,1.556,4.577,-1.208,1.381,NaN,NaN,NaN
1752,3,-0.292,2.431,NaN,NaN,NaN,NaN,NaN
1752,4,-1.894,1.592,NaN,NaN,NaN,NaN,NaN
1752,5,-0.422,1.465,NaN,NaN,NaN,NaN,NaN
1752,6,0.115,1.426,NaN,NaN,NaN,NaN,NaN
1752,7,0.76,1.319,NaN,NaN,NaN,NaN,NaN
1752,8,-0.958,1.273,NaN,NaN,NaN,NaN,NaN
1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,10,-1.639,1.64,NaN,NaN,NaN,NaN,NaN
1752,11,-0.287,2.171,NaN,NaN,NaN,NaN,NaN
1752,12,-1.301,2.567,NaN,NaN,NaN,NaN,NaN
1753,1,-1.225,3.326,NaN,NaN,NaN,NaN,NaN
1753,2,-1.962,5.321,NaN,NaN,NaN,NaN,NaN
