Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-1.535,-0.739,,,
1750,3,,-0.725,,,
1750,4,0.322,-0.665,,,
1750,5,-1.691,-0.875,,,
1750,6,-0.045,-0.841,,,
1750,7,0.486,-0.891,,,
1750,8,0.566,-1.03,,,
1750,9,,-1.073,,,
1750,10,-0.77,-1.233,,,
1750,11,-3.9,-1.178,,,
1750,12,-2.997,-1.24,,,
1751,1,-2.088,-1.166,,,
1751,2,-3.207,-1.138,,,
1751,3,0.866,-1.124,,,
1751,4,-1.604,-1.18,,,
1751,5,-1.03,-1.156,,,
1751,6,-0.781,-1.136,,,
1751,7,1.371,-1.139,,,
1751,8,0.904,-0.754,,,
1751,9,-0.254,-0.801,,,
1751,10,-1.441,-0.77,,,
1751,11,-3.614,-0.74,,,
1751,12,-2.749,-0.562,,,
1752,1,-2.129,-0.609,,,
1752,2,1.414,-0.792,,,
1752,3,0.305,,,,
1752,4,-1.235,,,,
1752,5,-0.668,,,,
1752,6,1.349,,,,
1752,7,0.816,,,,
1752,8,-1.302,,,,
1752,9,,,,,
1752,10,-0.443,,,,
1752,11,-0.666,,,,
1752,12,-1.663,,,,
1753,1,-1.497,,,,
1753,2,-1.691,,,,
1753,3,0.874,-0.415,,,
1753,4,0.083,-0.407,,,
1753,5,0.172,-0.504,,,
1753,6,0.865,-0.595,,,
1753,7,0.551,-0.569,,,
1753,8,-0.788,-0.687,,,
1753,9,-0.775,-0.971,,,
1753,10,-0.344,-0.835,,,
1753,11,-1.834,-0.788,,,
1753,12,-2.758,-0.781,,,
1754,1,-1.179,-0.806,,,
1754,2,-3.115,-0.765,,,
1754,3,-2.532,-0.782,,,
1754,4,1.718,-0.676,,,
1754,5,0.741,-0.512,,,
1754,6,0.948,-0.324,,,
1754,7,0.248,-0.451,,,
1754,8,-0.301,-0.502,,,
1754,9,-0.974,-0.365,,,
1754,10,0.924,-0.313,,,
1754,11,0.138,-0.346,,,
1754,12,-0.509,-0.268,,,
1755,1,-2.699,-0.252,,,
1755,2,-3.729,-0.348,,,
1755,3,-0.886,-0.38,-0.299,,
1755,4,2.342,-0.376,-0.348,,
1755,5,0.347,-0.559,-0.377,,
1755,6,1.883,-0.599,-0.39,,
1755,7,0.444,-0.374,-0.436,,
1755,8,-1.461,0.062,-0.462,,
1755,9,-1.359,0.153,-0.489,,
1755,10,0.98,-0.042,-0.501,,
1755,11,-2.057,-0.03,-0.533,,
1755,12,-0.998,-0.088,-0.547,,
1756,1,0.004,-0.138,-0.579,,
1756,2,1.503,-0.004,-0.602,,
1756,3,0.205,0.085,-0.625,,
1756,4,0.001,-0.058,-0.666,,
1756,5,0.496,-0.122,-0.647,,
1756,6,1.19,-0.224,-0.613,,
1756,7,-0.159,-0.433,-0.571,,
1756,8,0.143,-0.518,-0.5,,
1756,9,-0.295,-0.583,-0.461,,
1756,10,-0.736,-0.531,-0.504,,
1756,11,-2.819,-0.489,-0.54,,
