Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1791,6,-0.759,,,,
1791,7,-0.447,,,,
1791,8,0.327,,,,
1791,9,-0.26,,,,
1791,10,-0.595,,,,
1791,11,0.416,,,,
1791,12,-0.083,,,,
1792,1,-1.117,,,,
1792,2,0.341,,,,
1792,3,,,,,
1792,4,,,,,
1792,5,,,,,
1792,6,,,,,
1792,7,,,,,
1792,8,,,,,
1792,9,,,,,
1792,10,,,,,
1792,11,,,,,
1792,12,,,,,
1793,1,,,,,
1793,2,,,,,
1793,3,0.129,,,,
1793,4,0.371,,,,
1793,5,-0.094,,,,
1793,6,,,,,
1793,7,,,,,
1793,8,-0.369,,,,
1793,9,,,,,
1793,10,,,,,
1793,11,-0.699,,,,
1793,12,-0.853,,,,
1794,1,0.229,,,,
1794,2,,,,,
1794,3,0.766,,,,
1794,4,1.193,,,,
1794,5,0.704,,,,
1794,6,-1.907,,,,
1794,7,-1.292,,,,
1794,8,-0.417,0.062,,,
1794,9,-0.01,0.06,,,
1794,10,0.272,0.044,,,
1794,11,-0.046,,,,
1794,12,-0.466,,,,
1795,1,0.937,,,,
1795,2,1.016,,,,
1795,3,0.734,,,,
1795,4,1.0,,,,
1795,5,,,,,
1795,6,,,,,
1795,7,,,,,
1795,8,,,,,
1795,9,,,,,
1795,10,,,,,
1795,11,,,,,
1795,12,,,,,
1796,1,,,,,
1796,2,,,,,
1796,3,,,,,
1796,4,,,,,
1796,5,,,,,
1796,6,,,,,
1796,7,,,,,
1796,8,,,,,
1796,9,,,,,
1796,10,,,,,
1796,11,,,,,
1796,12,,,,,
1797,1,,,,,
1797,2,,,,,
1797,3,,,,,
1797,4,,,,,
1797,5,,,,,
1797,6,,,,,
1797,7,,,,,
1797,8,,,,,
1797,9,,,,,
1797,10,,,,,
1797,11,,,,,
1797,12,,,,,
1798,1,,,,,
1798,2,,,,,
1798,3,,,,,
1798,4,,,,,
1798,5,,,,,
1798,6,,,,,
1798,7,,,,,
1798,8,,,,,
1798,9,,,,,
1798,10,,,,,
1798,11,,,,,
1798,12,,,,,
1799,1,-0.339,,,,
1799,2,-0.578,,,,
1799,3,-0.673,,,,
1799,4,0.257,,,,
1799,5,-0.081,,,,
1799,6,-0.303,,,,
1799,7,0.299,,,,
1799,8,-0.422,,,,
1799,9,,,,,
1799,10,,,,,
1799,11,,,,,
1799,12,,,,,
1800,1,-0.169,,,,
1800,2,0.312,,,,
1800,3,-0.387,,,,
1800,4,0.9,,,,
1800,5,-0.455,,,,
1800,6,-0.38,-0.061,,,
1800,7,0.177,-0.028,,,
1800,8,-0.335,-0.058,,,
1800,9,-0.996,0.083,,,
1800,10,0.737,0.016,,,
1800,11,-0.137,0.132,,,
1800,12,-0.001,0.144,,,
1801,1,0.234,0.162,,,
1801,2,-0.047,0.096,,,
1801,3,1.303,,,,
1801,4,0.088,,,,
1801,5,0.94,,,,
1801,6,-0.239,,,,
1801,7,0.393,,,,
1801,8,-1.122,,,,
1801,9,,,,,
1801,10,,,,,
1801,11,,,,,
1801,12,,,,,
1802,1,,,,,
1802,2,,,,,
1802,3,,,,,
1802,4,,,,,
1802,5,,,,,
1802,6,,,,,
1802,7,,,,,
1802,8,,,,,
1802,9,,,,,
1802,10,,,,,
1802,11,-0.086,,,,
1802,12,-0.147,,,,
1803,1,-0.542,,,,
1803,2,-2.483,,,,
1803,3,,,,,
1803,4,,,,,
1803,5,,,,,
1803,6,,,,,
1803,7,,,,,
1803,8,,,,,
1803,9,,,,,
1803,10,,,,,
1803,11,0.042,,,,
1803,12,-0.821,,,,
1804,1,-0.586,,,,
1804,2,-1.926,,,,
1804,3,-0.241,,,,
1804,4,,,,,
1804,5,1.075,,,,
1804,6,1.042,,,,
1804,7,,,,,
1804,8,,,,,
1804,9,,,,,
1804,10,0.063,,,,
1804,11,1.151,,,,
1804,12,,,,,
1805,1,,,,,
1805,2,-0.663,,,,
1805,3,0.362,,,,
1805,4,-0.086,,,,
1805,5,0.01,,,,
1805,6,0.696,,,,
1805,7,0.015,-0.185,,,
1805,8,0.951,-0.201,,,
1805,9,-0.317,-0.239,,,
1805,10,-0.524,-0.254,,,
1805,11,-0.999,-0.254,,,
1805,12,-0.57,-0.359,,,
1806,1,-1.095,-0.354,,,
1806,2,-0.853,-0.395,,,
1806,3,-0.092,-0.404,,,
1806,4,,-0.372,,,
1806,5,0.007,-0.357,,,
1806,6,-0.568,-0.319,,,
1806,7,0.083,-0.385,,,
1806,8,0.451,-0.376,,,
1806,9,-0.416,-0.416,,,
1806,10,-0.149,-0.479,,,
1806,11,-0.809,,,,
1806,12,-0.123,,,,
