Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1876,10,,,,,
1876,11,,,,,
1876,12,,,,,
1877,1,,,,,
1877,2,,,,,
1877,3,,,,,
1877,4,,,,,
1877,5,,,,,
1877,6,,,,,
1877,7,,,,,
1877,8,,,,,
1877,9,,,,,
1877,10,,,,,
1877,11,,,,,
1877,12,,,,,
1878,1,,,,,
1878,2,,,,,
1878,3,,,,,
1878,4,,,,,
1878,5,,,,,
1878,6,,,,,
1878,7,,,,,
1878,8,,,,,
1878,9,,,,,
1878,10,,,,,
1878,11,,,,,
1878,12,,,,,
1879,1,,,,,
1879,2,,,,,
1879,3,,,,,
1879,4,,,,,
1879,5,,,,,
1879,6,,,,,
1879,7,,,,,
1879,8,,,,,
1879,9,,,,,
1879,10,,,,,
1879,11,,,,,
1879,12,,,,,
1880,1,,,,,
1880,2,,,,,
1880,3,,,,,
1880,4,,,,,
1880,5,,,,,
1880,6,,,,,
1880,7,,,,,
1880,8,,,,,
1880,9,,,,,
1880,10,,,,,
1880,11,,,,,
1880,12,,,,,
1881,1,,,,,
1881,2,,,,,
1881,3,,,,,
1881,4,,,,,
1881,5,,,,,
1881,6,,,,,
1881,7,,,,,
1881,8,,,,,
1881,9,,,,,
1881,10,,,,,
1881,11,,,,,
1881,12,,,,,
1882,1,,,,,
1882,2,,,,,
1882,3,,,,,
1882,4,,,,,
1882,5,,,,,
1882,6,,,,,
1882,7,,,,,
1882,8,,,,,
1882,9,,,,,
1882,10,,,,,
1882,11,,,,,
1882,12,,,,,
1883,1,,,,,
1883,2,,,,,
1883,3,,,,,
1883,4,,,,,
1883,5,,,,,
1883,6,,,,,
1883,7,,,,,
1883,8,,,,,
1883,9,,,,,
1883,10,,,,,
1883,11,,,,,
1883,12,,,,,
1884,1,,,,,
1884,2,,,,,
1884,3,,,,,
1884,4,,,,,
1884,5,,,,,
1884,6,,,,,
1884,7,,,,,
1884,8,,,,,
1884,9,,,,,
1884,10,,,,,
1884,11,,,,,
1884,12,,,,,
1885,1,,,,,
1885,2,,,,,
1885,3,,,,,
1885,4,,,,,
1885,5,,,,,
1885,6,,,,,
1885,7,,,,,
1885,8,,,,,
1885,9,,,,,
1885,10,,,,,
1885,11,,,,,
1885,12,,,,,
1886,1,,,,,
1886,2,,,,,
1886,3,,,,,
1886,4,,,,,
1886,5,,,,,
1886,6,,,,,
1886,7,,,,,
1886,8,,,,,
1886,9,,,,,
1886,10,,,,,
1886,11,,,,,
1886,12,,,,,
1887,1,,,,,
1887,2,,,,,
1887,3,,,,,
1887,4,,,,,
1887,5,,,,,
1887,6,,,,,
1887,7,,,,,
1887,8,,,,,
1887,9,,,,,
1887,10,,,,,
1887,11,,,,,
1887,12,,,,,
1888,1,,,,,
1888,2,,,,,
1888,3,,,,,
1888,4,,,,,
1888,5,,,,,
1888,6,,,,,
1888,7,,,,,
1888,8,,,,,
1888,9,,,,,
1888,10,,,,,
1888,11,,,,,
1888,12,,,,,
1889,1,,,,,
1889,2,,,,,
1889,3,,,,,
1889,4,,,,,
1889,5,,,,,
1889,6,,,,,
1889,7,,,,,
1889,8,,,,,
1889,9,,,,,
1889,10,,,,,
1889,11,,,,,
1889,12,,,,,
1890,1,-0.889,,,,
1890,2,-0.819,,,,
1890,3,-0.631,-0.577,,,
1890,4,-1.029,-0.535,,,
1890,5,-0.409,-0.475,,,
1890,6,-0.25,-0.455,,,
1890,7,-0.712,-0.416,,,
1890,8,-0.38,-0.423,,,
1890,9,0.43,-0.404,,,
1890,10,0.032,-0.36,,,
1890,11,-0.388,-0.351,,,
1890,12,-0.409,-0.353,,,
1891,1,-0.428,-0.354,,,
1891,2,-0.901,-0.349,,,
1891,3,-0.4,-0.423,-0.491,,
1891,4,-0.508,-0.433,-0.503,,
1891,5,-0.3,-0.443,-0.51,,
1891,6,-0.272,-0.447,-0.52,,
1891,7,-0.724,-0.49,-0.529,,
1891,8,-0.322,-0.454,-0.553,,
1891,9,-0.458,-0.442,-0.566,,
1891,10,-0.089,-0.431,-0.576,,
1891,11,-0.505,-0.455,-0.583,,
1891,12,-0.453,-0.438,-0.587,,
1892,1,-0.946,-0.42,-0.595,,
1892,2,-0.478,-0.407,-0.585,,
1892,3,-0.247,-0.417,-0.573,,
1892,4,-0.375,-0.479,-0.562,,
1892,5,-0.593,-0.525,-0.554,,
1892,6,-0.073,-0.571,-0.556,-0.467,
