Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-0.628,-0.591,,,
1750,3,,-0.551,,,
1750,4,0.269,-0.499,,,
1750,5,-1.205,-0.649,,,
1750,6,0.117,-0.625,,,
1750,7,0.459,-0.589,,,
1750,8,0.524,-0.753,,,
1750,9,,-0.82,,,
1750,10,-1.073,-0.953,,,
1750,11,-2.737,-0.945,,,
1750,12,-2.386,-0.984,,,
1751,1,-1.642,-0.961,,,
1751,2,-2.591,-0.937,,,
1751,3,0.648,-0.98,,,
1751,4,-1.322,-1.032,,,
1751,5,-1.11,-1.05,,,
1751,6,-0.361,-1.047,,,
1751,7,0.746,-1.044,,,
1751,8,0.807,-0.705,,,
1751,9,-0.741,-0.756,,,
1751,10,-1.697,-0.744,,,
1751,11,-2.947,-0.708,,,
1751,12,-2.352,-0.539,,,
1752,1,-1.607,-0.586,,,
1752,2,1.473,-0.738,,,
1752,3,0.043,,,,
1752,4,-1.176,,,,
1752,5,-0.688,,,,
1752,6,1.676,,,,
1752,7,0.174,,,,
1752,8,-1.013,,,,
1752,9,,,,,
1752,10,-0.855,,,,
1752,11,-0.093,,,,
1752,12,-1.205,,,,
1753,1,-2.881,,,,
1753,2,-1.077,,,,
1753,3,0.834,-0.275,,,
1753,4,-0.283,-0.231,,,
1753,5,0.101,-0.347,,,
1753,6,2.346,-0.292,,,
1753,7,0.903,-0.198,,,
1753,8,-0.831,-0.371,,,
1753,9,-0.257,-0.704,,,
1753,10,-0.328,-0.639,,,
1753,11,-1.482,-0.596,,,
1753,12,-0.553,-0.718,,,
1754,1,-1.743,-0.83,,,
1754,2,-3.159,-0.714,,,
1754,3,-3.162,-0.734,,,
1754,4,0.495,-0.622,,,
1754,5,0.624,-0.392,,,
1754,6,0.875,-0.375,,,
1754,7,-0.433,-0.611,,,
1754,8,0.557,-0.61,,,
1754,9,-0.501,-0.41,,,
1754,10,1.017,-0.163,,,
1754,11,1.278,-0.23,,,
1754,12,-0.343,-0.099,,,
1755,1,-4.578,-0.107,,,
1755,2,-3.153,-0.265,,,
1755,3,-0.755,-0.311,-0.364,,
1755,4,3.449,-0.424,-0.401,,
1755,5,-0.171,-0.604,-0.428,,
1755,6,2.446,-0.644,-0.445,,
1755,7,-0.535,-0.245,-0.461,,
1755,8,-1.336,0.138,-0.463,,
1755,9,-1.047,0.186,-0.479,,
1755,10,-0.344,-0.141,-0.49,,
1755,11,-0.882,-0.08,-0.499,,
1755,12,-0.824,-0.175,-0.527,,
1756,1,0.207,-0.187,-0.581,,
1756,2,1.452,-0.109,-0.592,,
1756,3,-0.185,0.009,-0.621,,
1756,4,-0.478,-0.11,-0.657,,
1756,5,0.563,-0.262,-0.63,,
1756,6,1.313,-0.388,-0.626,,
1756,7,-0.685,-0.706,-0.581,,
1756,8,-0.399,-0.882,-0.511,,
1756,9,0.371,-0.953,-0.465,,
1756,10,-1.773,-0.933,-0.482,,
1756,11,-2.702,-0.89,-0.495,,
1756,12,-2.343,-0.826,-0.508,,
1757,1,-3.608,-0.586,-0.491,,
1757,2,-0.656,-0.428,-0.5,,
1757,3,-1.043,-0.511,-0.48,,
1757,4,-0.23,-0.619,-0.49,,
1757,5,1.08,-0.536,-0.564,,
1757,6,2.076,-0.528,-0.579,,
1757,7,2.191,-0.545,-0.538,,
1757,8,1.503,-0.591,-0.506,,
1757,9,-0.623,-0.516,-0.533,-0.501,
1757,10,-3.069,-0.574,-0.56,-0.516,
1757,11,-1.71,-0.702,-0.565,-0.527,
1757,12,-2.245,-0.819,-0.608,-0.549,
1758,1,-3.807,-1.195,-0.602,-0.555,
1758,2,-1.219,-1.442,-0.592,-0.537,
1758,3,-0.139,-1.56,-0.592,-0.561,
1758,4,-0.927,-1.511,-0.61,-0.56,
1758,5,-0.457,-1.354,-0.607,-0.578,
1758,6,0.671,-1.195,-0.595,-0.601,
1758,7,-2.32,-0.8,-0.644,-0.608,
1758,8,-1.458,-0.611,-0.659,-0.594,
1758,9,-2.038,-0.632,-0.644,-0.604,
1758,10,-2.479,-0.598,-0.651,-0.623,
1758,11,0.166,-0.575,-0.645,-0.624,
1758,12,-0.33,-0.623,-0.655,-0.618,
1759,1,0.935,-0.377,-0.614,-0.601,
1759,2,1.04,-0.254,-0.594,-0.562,
1759,3,-0.385,-0.028,-0.596,-0.554,
1759,4,-0.521,0.213,-0.606,-0.567,
1759,5,-0.185,-0.062,-0.586,-0.564,
1759,6,0.098,-0.139,-0.607,-0.566,
1759,7,0.634,-0.396,-0.536,-0.57,
1759,8,0.015,-0.584,-0.535,-0.589,
1759,9,0.671,-0.752,-0.571,-0.596,
1759,10,0.421,-0.555,-0.537,-0.618,
1759,11,-3.135,-0.58,-0.544,-0.634,
1759,12,-1.257,-0.596,-0.584,-0.625,
1760,1,-2.154,-0.667,-0.599,-0.568,
1760,2,-1.208,-0.727,-0.628,-0.553,
1760,3,-2.399,-0.872,-0.639,-0.543,
1760,4,1.843,-1.024,-0.63,-0.572,
1760,5,-0.488,-0.823,-0.625,-0.574,
1760,6,-0.091,-0.726,-0.653,-0.595,
1760,7,-0.218,-0.772,-0.65,-0.602,
1760,8,-0.711,-0.626,-0.612,-0.595,
1760,9,-1.063,-0.368,-0.642,-0.591,
1760,10,-1.409,-0.596,-0.63,-0.59,
1760,11,-0.719,-0.477,-0.656,-0.589,
1760,12,-0.096,-0.411,-0.675,-0.602,
1761,1,-2.71,-0.243,-0.635,-0.649,
1761,2,0.55,-0.119,-0.597,-0.675,
1761,3,0.689,-0.01,-0.587,-0.678,
1761,4,-0.89,-0.088,-0.59,-0.67,
1761,5,0.94,-0.156,-0.618,-0.675,
1761,6,0.707,-0.449,-0.61,-0.679,
1761,7,1.796,-0.166,-0.621,-0.686,
1761,8,0.775,-0.263,-0.613,-0.675,
1761,9,0.244,-0.585,-0.642,-0.675,
1761,10,-2.348,-0.362,-0.653,-0.661,
1761,11,-1.531,-0.387,-0.632,-0.627,
1761,12,-3.613,-0.474,-0.624,-0.62,
1762,1,0.685,-0.512,-0.649,-0.634,
1762,2,-0.611,-0.597,-0.678,-0.614,
1762,3,-3.172,-0.722,-0.711,-0.6,
1762,4,1.784,-0.742,-0.746,-0.61,
1762,5,0.637,-0.731,-0.704,-0.627,
1762,6,-0.328,-0.757,-0.67,-0.647,
1762,7,1.336,-1.113,-0.597,-0.668,
1762,8,-0.244,-0.974,-0.6,-0.679,
1762,9,-1.263,-0.873,-0.552,-0.677,-0.592
1762,10,-2.585,-1.039,-0.584,-0.652,-0.586
1762,11,-1.399,-1.258,-0.583,-0.627,-0.58
1762,12,-3.93,-1.272,-0.581,-0.63,-0.569
1763,1,-3.578,-1.376,-0.601,-0.626,-0.558
1763,2,1.051,-1.286,-0.598,-0.63,-0.563
1763,3,-1.953,-1.301,-0.59,-0.648,-0.573
1763,4,-0.212,-1.308,-0.57,-0.634,-0.574
1763,5,-1.992,-1.32,-0.57,-0.633,-0.576
1763,6,-0.496,-0.98,-0.609,-0.648,-0.591
1763,7,0.093,-0.655,-0.654,-0.629,-0.6
1763,8,0.834,-0.617,-0.691,-0.617,-0.599
1763,9,-1.44,-0.634,-0.711,-0.611,-0.597
1763,10,-2.669,-0.713,-0.689,-0.593,-0.597
1763,11,-1.546,-0.459,-0.705,-0.592,-0.594
1763,12,0.153,-0.369,-0.704,-0.603,-0.587
1764,1,0.319,-0.448,-0.759,-0.609,-0.583
1764,2,1.501,-0.663,-0.756,-0.625,-0.567
1764,3,-2.158,-0.653,-0.753,-0.634,-0.549
1764,4,-1.15,-0.568,-0.716,-0.628,-0.548
1764,5,1.048,-0.492,-0.668,-0.624,-0.546
1764,6,0.589,-0.439,-0.632,-0.626,-0.547
1764,7,-0.86,-0.279,-0.732,-0.64,-0.546
1764,8,-1.738,-0.519,-0.693,-0.645,-0.541
1764,9,-1.32,-0.302,-0.629,-0.657,-0.544
1764,10,-1.649,-0.208,-0.683,-0.695,-0.556
1764,11,-0.645,-0.335,-0.709,-0.668,-0.568
1764,12,0.79,-0.382,-0.71,-0.676,-0.58
1765,1,2.245,-0.424,-0.737,-0.674,-0.56
1765,2,-1.386,-0.326,-0.73,-0.662,-0.537
1765,3,0.455,-0.265,-0.716,-0.655,-0.531
1765,4,-0.032,-0.146,-0.674,-0.678,-0.546
1765,5,-0.473,-0.151,-0.629,-0.685,-0.549
1765,6,0.025,-0.419,-0.607,-0.693,-0.56
1765,7,-1.365,-1.058,-0.603,-0.715,-0.558
1765,8,-0.56,-1.08,-0.647,-0.715,-0.553
1765,9,-0.588,-1.162,-0.654,-0.705,-0.552
1765,10,-0.214,-1.124,-0.637,-0.701,-0.552
1765,11,-0.708,-1.084,-0.61,-0.691,-0.547
1765,12,-2.433,-1.023,-0.621,-0.694,-0.552
1766,1,-5.422,-1.033,-0.623,-0.665,-0.564
1766,2,-1.646,-0.91,-0.638,-0.682,-0.568
1766,3,-0.532,-0.824,-0.636,-0.701,-0.565
1766,4,0.431,-0.817,-0.596,-0.716,-0.563
1766,5,0.009,-0.647,-0.566,-0.721,-0.574
1766,6,0.75,-0.566,-0.595,-0.739,-0.58
1766,7,-1.488,-0.556,-0.598,-0.752,-0.579
1766,8,0.922,-0.276,-0.638,-0.756,-0.575
1766,9,0.445,-0.174,-0.625,-0.766,-0.587
1766,10,-0.137,-0.332,-0.603,-0.74,-0.582
1766,11,1.334,-0.407,-0.616,-0.743,-0.573
1766,12,-1.461,-0.503,-0.628,-0.71,-0.566
1767,1,-5.301,-0.402,-0.631,-0.719,-0.556
1767,2,1.715,-0.465,-0.611,-0.7,-0.556
1767,3,0.686,-0.54,-0.603,-0.669,-0.546
1767,4,-1.461,-0.533,-0.643,-0.682,-0.549
1767,5,-0.894,-0.536,-0.631,-0.701,-0.561
1767,6,-0.402,-0.629,-0.682,-0.688,-0.575
1767,7,-0.273,-0.468,-0.751,-0.699,-0.591
1767,8,0.171,-0.744,-0.723,-0.69,-0.596
1767,9,-0.463,-0.996,-0.757,-0.683,-0.593
1767,10,-0.048,-0.81,-0.773,-0.656,-0.581
1767,11,1.305,-0.767,-0.787,-0.632,-0.572
1767,12,-2.583,-0.825,-0.805,-0.589,-0.574
1768,1,-3.367,-0.805,-0.829,-0.561,-0.559
1768,2,-1.599,-0.827,-0.831,-0.589,-0.556
1768,3,-2.339,-0.896,-0.819,-0.586,-0.558
1768,4,0.769,-0.915,-0.831,-0.587,-0.549
1768,5,-0.372,-1.005,-0.812,-0.575,-0.547
1768,6,-1.103,-0.921,-0.778,-0.581,-0.553
1768,7,-0.027,-0.627,-0.675,-0.592,-0.539
1768,8,-0.093,-0.569,-0.673,-0.604,-0.531
1768,9,-1.301,-0.493,-0.69,-0.59,-0.529
1768,10,-0.265,-0.539,-0.742,-0.57,-0.525
1768,11,0.219,-0.486,-0.738,-0.564,-0.529
1768,12,-1.58,-0.406,-0.775,-0.555,-0.528
1769,1,0.17,-0.493,-0.746,-0.565,-0.544
1769,2,-0.903,-0.528,-0.755,-0.572,-0.543
1769,3,-1.424,-0.487,-0.778,-0.545,-0.54
1769,4,0.211,-0.805,-0.765,-0.529,-0.531
1769,5,0.269,-0.818,-0.817,-0.527,-0.525
1769,6,-0.145,-0.876,-0.788,-0.527,-0.533
1769,7,-1.072,-1.044,-0.705,-0.522,-0.537
1769,8,-0.516,-0.947,-0.707,-0.494,-0.539
1769,9,-0.807,-0.959,-0.709,-0.492,-0.538
1769,10,-4.086,-1.058,-0.682,-0.494,-0.535
1769,11,0.072,-1.192,-0.693,-0.503,-0.521
1769,12,-2.276,-1.267,-0.666,-0.536,-0.508
1770,1,-1.853,-1.412,-0.661,-0.552,-0.506
1770,2,0.26,-1.426,-0.65,-0.521,-0.508
1770,3,-1.56,-1.349,-0.649,-0.519,-0.491
1770,4,-0.982,-1.084,-0.638,-0.52,-0.497
1770,5,-1.34,-1.057,-0.636,-0.523,-0.489
1770,6,-1.042,-0.9,-0.571,-0.525,-0.486
1770,7,-2.816,-0.681,-0.519,-0.514,-0.483
1770,8,-0.68,-0.827,-0.53,-0.512,-0.48
1770,9,0.118,-0.829,-0.517,-0.513,-0.476
1770,10,-0.906,-0.97,-0.537,-0.514,-0.469
1770,11,0.396,-0.84,-0.54,-0.505,-0.472
1770,12,-0.396,-0.872,-0.541,-0.501,-0.478
1771,1,0.78,-0.62,-0.562,-0.478,-0.47
1771,2,-1.497,-0.532,-0.57,-0.461,-0.47
1771,3,-1.583,-0.619,-0.545,-0.452,-0.471
1771,4,-2.676,-0.488,-0.544,-0.456,-0.461
1771,5,0.227,-0.672,-0.562,-0.474,-0.461
1771,6,-1.428,-0.615,-0.516,-0.481,-0.465
