Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1879,2,-0.808,,,,
1879,3,-0.924,,,,
1879,4,-1.019,,,,
1879,5,-0.42,,,,
1879,6,-0.513,-0.777,,,
1879,7,-1.009,-0.864,,,
1879,8,,-0.965,,,
1879,9,,-1.063,,,
1879,10,,-1.142,,,
1879,11,-0.942,-1.227,,,
1879,12,-1.66,-1.258,,,
1880,1,-1.959,-1.187,,,
1880,2,-2.018,-1.191,,,
1880,3,-2.108,-1.216,,,
1880,4,-1.961,-1.27,,,
1880,5,-1.439,-1.223,,,
1880,6,-0.892,-1.147,,,
1880,7,-0.155,-1.087,,,
1880,8,-0.516,-0.998,-0.623,,
1880,9,-0.825,-0.933,-0.651,,
1880,10,-0.764,-0.868,-0.664,,
1880,11,-0.379,-0.833,-0.663,,
1880,12,-0.752,-0.883,-0.672,,
1881,1,-1.234,-0.983,-0.678,,
1881,2,-0.949,-0.964,-0.688,,
1881,3,-1.333,-0.914,-0.693,,
1881,4,-1.173,-0.908,-0.698,,
1881,5,-1.018,-0.903,-0.711,,
1881,6,-1.5,-0.869,-0.709,,
1881,7,-1.354,-0.742,-0.707,,
1881,8,,-0.62,-0.698,,
1881,9,,-0.55,-0.704,,
1881,10,-0.697,-0.491,-0.697,,
1881,11,-0.318,-0.43,-0.701,-0.427,
1881,12,-0.339,-0.342,-0.7,-0.422,
1882,1,0.289,-0.287,-0.697,-0.428,
1882,2,0.506,-0.305,-0.692,-0.429,
1882,3,-0.49,-0.323,-0.69,-0.438,
1882,4,-0.462,-0.324,-0.697,-0.433,
1882,5,-0.293,-0.312,-0.694,-0.437,
1882,6,-0.438,-0.36,-0.675,-0.448,
1882,7,-0.7,-0.48,-0.658,-0.459,
1882,8,-0.495,-0.56,-0.627,-0.471,
1882,9,-0.442,-0.574,-0.6,-0.475,
1882,10,-0.711,-0.556,-0.574,-0.479,
1882,11,-0.167,-0.537,-0.538,-0.478,
1882,12,-0.92,-0.49,-0.51,-0.481,
1883,1,-1.146,-0.428,-0.492,-0.481,
1883,2,-0.459,-0.423,-0.477,-0.487,
1883,3,-0.653,-0.422,-0.469,-0.497,
1883,4,-0.254,-0.401,-0.466,-0.504,
1883,5,-0.063,-0.436,-0.473,-0.513,
1883,6,0.13,-0.391,-0.474,-0.524,
1883,7,0.041,-0.363,-0.471,-0.534,
1883,8,-0.434,-0.346,-0.459,-0.54,
1883,9,-0.423,-0.397,-0.444,-0.542,
1883,10,-0.466,-0.427,-0.431,-0.543,
1883,11,-0.581,-0.477,-0.403,-0.547,
1883,12,-0.387,-0.528,-0.36,-0.545,
1884,1,-0.805,-0.598,-0.33,-0.543,
1884,2,-0.261,-0.578,-0.322,-0.531,
1884,3,-1.265,-0.574,-0.318,-0.522,
1884,4,-0.611,-0.582,-0.313,-0.512,
1884,5,-0.665,-0.597,-0.313,-0.503,
1884,6,-0.476,-0.606,-0.319,-0.491,-0.427
1884,7,-0.807,-0.618,-0.342,-0.473,-0.426
1884,8,-0.189,-0.61,-0.358,-0.463,-0.426
1884,9,-0.372,-0.546,-0.369,-0.459,-0.429
1884,10,-0.562,-0.53,-0.356,-0.454,-0.429
1884,11,-0.766,-0.413,-0.361,-0.449,-0.428
1884,12,-0.495,-0.309,-0.369,-0.44,-0.429
1885,1,-0.953,-0.163,-0.372,-0.43,-0.428
1885,2,-0.154,-0.114,-0.377,-0.423,-0.427
1885,3,-0.507,-0.112,-0.375,-0.415,-0.424
1885,4,-0.418,-0.113,-0.367,-0.405,-0.423
1885,5,0.744,-0.12,-0.358,-0.401,-0.42
1885,6,0.769,-0.142,-0.362,-0.4,-0.422
1885,7,0.944,-0.152,-0.354,-0.408,-0.424
1885,8,0.401,-0.159,-0.351,-0.409,-0.423
1885,9,-0.351,-0.154,-0.342,-0.404,-0.423
