Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1956,2,0.712,,,,
1956,3,-0.025,0.339,,,
1956,4,-0.01,0.181,,,
1956,5,-0.351,0.171,,,
1956,6,0.335,0.329,,,
1956,7,0.519,0.314,,,
1956,8,-1.911,0.289,,,
1956,9,1.865,0.277,,,
1956,10,-0.364,0.355,,,
1956,11,0.695,0.415,,,
1956,12,1.797,0.415,,,
1957,1,0.383,0.214,,,
1957,2,0.412,0.42,,,
1957,3,-0.167,0.362,0.073,,
1957,4,0.918,0.493,0.062,,
1957,5,0.372,0.498,0.031,,
1957,6,0.332,0.423,0.038,,
1957,7,-1.886,0.399,0.014,,
1957,8,0.557,0.378,0.014,,
1957,9,1.176,0.411,-0.024,,
1957,10,1.204,0.422,-0.046,,
1957,11,0.753,0.43,-0.065,,
1957,12,0.901,0.147,-0.097,,
1958,1,0.095,0.242,-0.146,,
1958,2,0.16,0.02,-0.19,,
1958,3,0.23,-0.277,-0.184,,
1958,4,1.044,-0.408,-0.2,,
1958,5,0.473,-0.453,-0.224,,
1958,6,-3.069,-0.629,-0.235,-0.19,
1958,7,-0.74,-0.698,-0.249,-0.187,
1958,8,-2.112,-0.763,-0.25,-0.175,
1958,9,-2.391,-0.718,-0.249,-0.162,
1958,10,-0.371,-0.715,-0.24,-0.179,
1958,11,0.216,-0.706,-0.205,-0.181,
1958,12,-1.214,-0.48,-0.205,-0.187,
1959,1,-0.728,-0.446,-0.208,-0.183,
1959,2,-0.614,-0.328,-0.172,-0.184,
1959,3,0.769,-0.353,-0.175,-0.185,
1959,4,1.072,-0.35,-0.169,-0.196,
1959,5,0.59,-0.482,-0.18,-0.216,
1959,6,-0.365,-0.353,-0.229,-0.201,
1959,7,-0.332,-0.389,-0.257,-0.191,
1959,8,-0.697,-0.395,-0.266,-0.191,
1959,9,-2.692,-0.684,-0.276,-0.201,
1959,10,-0.33,-0.865,-0.305,-0.213,
1959,11,-1.371,-1.022,-0.342,-0.21,
1959,12,0.34,-1.132,-0.34,-0.209,
1960,1,-1.167,-1.278,-0.34,-0.208,
1960,2,-0.682,-1.197,-0.365,-0.195,
1960,3,-2.694,-0.992,-0.394,-0.195,
1960,4,-1.112,-0.918,-0.425,-0.204,
1960,5,-1.292,-0.855,-0.45,-0.204,
1960,6,-1.679,-0.947,-0.481,-0.219,
1960,7,-2.087,-0.87,-0.484,-0.225,
1960,8,0.277,-0.758,-0.502,-0.24,
