Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1855,6,-1.069,,,,
1855,7,-1.121,,,,
1855,8,-0.564,,,,
1855,9,-0.971,-0.964,,,
1855,10,-1.377,-1.051,,,
1855,11,-1.086,-1.152,,,
1855,12,-2.491,-1.011,,,
1856,1,-0.1,-0.942,,,
1856,2,-1.384,-0.983,,,
1856,3,-1.384,-0.997,,,
1856,4,-0.589,-0.97,,,
1856,5,-1.694,-0.895,,,
1856,6,0.626,-0.736,,,
1856,7,-0.288,-0.77,-0.679,,
1856,8,-1.063,-0.757,-0.68,,
1856,9,-1.141,-0.655,-0.675,,
1856,10,-1.047,-0.748,-0.661,,
1856,11,-0.182,-0.693,-0.651,,
1856,12,-0.587,-0.661,-0.628,,
1857,1,-0.513,-0.613,-0.615,,
1857,2,-1.227,-0.577,-0.617,,
1857,3,-0.153,-0.54,-0.62,,
1857,4,-1.713,-0.569,-0.618,,
1857,5,-1.023,-0.519,-0.623,,
1857,6,1.001,-0.547,-0.625,,
1857,7,0.293,-0.487,-0.624,,
1857,8,-0.633,-0.398,-0.63,,
1857,9,-0.699,-0.433,-0.649,,
1857,10,-1.394,-0.24,-0.664,-0.649,
1857,11,0.415,-0.251,-0.683,-0.647,
1857,12,-0.923,-0.393,-0.676,-0.659,
1858,1,0.209,-0.559,-0.652,-0.66,
1858,2,-0.159,-0.495,-0.633,-0.66,
1858,3,-0.57,-0.432,-0.613,-0.663,
1858,4,0.598,-0.453,-0.598,-0.665,
1858,5,-1.146,-0.626,-0.602,-0.675,
1858,6,-0.712,-0.729,-0.592,-0.683,
1858,7,-1.699,-0.894,-0.617,-0.696,
1858,8,0.134,-0.996,-0.603,-0.706,
1858,9,0.063,-0.988,-0.592,-0.71,
1858,10,-1.648,-1.003,-0.574,-0.711,
1858,11,-1.661,-0.914,-0.577,-0.703,
1858,12,-2.161,-0.797,-0.599,-0.7,
1859,1,-1.767,-0.591,-0.614,-0.702,
1859,2,-1.38,-0.64,-0.578,-0.697,
1859,3,-0.474,-0.713,-0.568,-0.694,
1859,4,0.419,-0.529,-0.585,-0.697,
1859,5,-0.084,-0.462,-0.595,-0.694,
1859,6,0.701,-0.316,-0.589,-0.684,
1859,7,0.771,-0.164,-0.589,-0.689,
1859,8,-0.46,-0.088,-0.588,-0.696,
1859,9,-0.808,-0.204,-0.587,-0.698,
1859,10,0.554,-0.279,-0.549,-0.706,
1859,11,-0.849,-0.406,-0.532,-0.705,
1859,12,-0.42,-0.52,-0.54,-0.709,
1860,1,0.057,-0.556,-0.573,-0.716,
1860,2,-0.464,-0.467,-0.594,-0.716,
1860,3,-1.866,-0.384,-0.609,-0.715,
1860,4,-0.478,-0.469,-0.606,-0.721,-0.628
1860,5,-1.605,-0.51,-0.637,-0.727,-0.625
1860,6,-0.668,-0.633,-0.645,-0.713,-0.625
1860,7,0.338,-0.768,-0.667,-0.702,-0.626
1860,8,0.6,-0.776,-0.681,-0.704,-0.633
1860,9,0.196,-0.68,-0.702,-0.698,-0.632
1860,10,-0.467,-0.598,-0.723,-0.679,-0.629
1860,11,-1.338,-0.624,-0.738,-0.668,-0.627
1860,12,-1.897,-0.625,-0.743,-0.645,-0.624
1861,1,-1.565,-0.751,-0.74,-0.642,-0.626
1861,2,-0.564,-0.709,-0.766,-0.64,-0.626
1861,3,-0.708,-0.772,-0.783,-0.629,-0.624
1861,4,0.504,-0.905,-0.772,-0.627,-0.626
1861,5,-1.919,-0.857,-0.755,-0.615,-0.628
1861,6,-0.678,-0.719,-0.724,-0.628,-0.631
1861,7,-1.178,-0.629,-0.724,-0.622,-0.635
1861,8,1.102,-0.683,-0.713,-0.619,-0.636
1861,9,-0.553,-0.633,-0.713,-0.608,-0.641
1861,10,-2.064,-0.624,-0.732,-0.604,-0.643
1861,11,-0.762,-0.467,-0.738,-0.611,-0.639
1861,12,-0.24,-0.367,-0.74,-0.606,-0.639
1862,1,-0.493,-0.406,-0.763,-0.605,-0.641
1862,2,-1.21,-0.659,-0.775,-0.599,-0.642
1862,3,-0.104,-0.747,-0.775,-0.601,-0.641
1862,4,0.608,-0.673,-0.793,-0.597,-0.642
1862,5,-0.035,-0.732,-0.787,-0.594,-0.648
1862,6,0.53,-0.827,-0.792,-0.606,-0.65
1862,7,-1.646,-0.882,-0.807,-0.619,-0.653
1862,8,-1.939,-0.861,-0.803,-0.623,-0.65
1862,9,-1.611,-1.005,-0.781,-0.621,-0.65
1862,10,-1.167,-1.112,-0.778,-0.611,-0.645
1862,11,-1.471,-1.28,-0.77,-0.609,-0.642
1862,12,-1.382,-1.409,-0.749,-0.601,-0.645
1863,1,-1.152,-1.399,-0.752,-0.606,-0.641
1863,2,-0.966,-1.354,-0.775,-0.611,-0.639
1863,3,-1.83,-1.3,-0.783,-0.613,-0.636
1863,4,-0.67,-1.284,-0.76,-0.622,-0.634
1863,5,-2.054,-1.214,-0.733,-0.613,-0.631
1863,6,-1.023,-1.128,-0.698,-0.602,-0.629
1863,7,-1.519,-1.178,-0.667,-0.596,-0.635
1863,8,-1.409,-1.158,-0.677,-0.595,-0.634
1863,9,-0.962,-1.042,-0.666,-0.601,-0.629
1863,10,-0.972,-1.049,-0.681,-0.585,-0.625
1863,11,-0.635,-0.913,-0.652,-0.578,-0.617
1863,12,-0.34,-0.778,-0.657,-0.568,-0.615
1864,1,-1.753,-0.702,-0.631,-0.552,-0.613
1864,2,-0.733,-0.682,-0.659,-0.549,-0.609
1864,3,-0.433,-0.672,-0.648,-0.553,-0.613
1864,4,-0.757,-0.636,-0.623,-0.557,-0.613
1864,5,-0.42,-0.621,-0.627,-0.556,-0.618
1864,6,0.598,-0.656,-0.624,-0.571,-0.618
1864,7,-0.607,-0.58,-0.621,-0.592,-0.621
1864,8,-1.175,-0.534,-0.61,-0.59,-0.618
1864,9,-0.84,-0.546,-0.615,-0.581,-0.616
1864,10,-0.541,-0.507,-0.645,-0.595,-0.622
1864,11,-0.445,-0.568,-0.655,-0.596,-0.623
1864,12,-0.767,-0.566,-0.671,-0.599,-0.623
1865,1,-0.845,-0.505,-0.665,-0.608,-0.625
1865,2,-0.174,-0.472,-0.652,-0.605,-0.623
1865,3,-0.579,-0.423,-0.633,-0.592,-0.624
1865,4,-0.295,-0.301,-0.617,-0.596,-0.628
1865,5,-1.15,-0.243,-0.58,-0.589,-0.629
1865,6,0.628,-0.162,-0.558,-0.588,-0.635
1865,7,0.123,-0.065,-0.545,-0.594,-0.634
1865,8,-0.78,-0.15,-0.541,-0.613,-0.636
