Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,3,-0.162,,,,
1824,4,0.067,-0.677,,,
1824,5,-0.341,-0.569,,,
1824,6,,-0.386,,,
1824,7,0.369,-0.357,,,
1824,8,-0.713,-0.311,,,
1824,9,-1.004,-0.294,,,
1824,10,-1.251,-0.242,,,
1824,11,-0.493,-0.218,,,
1824,12,0.2,-0.199,,,
1825,1,-0.049,-0.23,,,
1825,2,-0.361,-0.222,,,
1825,3,0.042,-0.245,,,
1825,4,0.69,-0.234,,,
1825,5,-0.058,-0.2,,,
1825,6,0.244,-0.267,,,
1825,7,-0.007,-0.343,-0.457,,
1825,8,-0.619,-0.405,-0.445,,
1825,9,-1.28,-0.458,-0.439,,
1825,10,-1.117,-0.507,-0.422,,
1825,11,-0.083,-0.486,-0.41,,
1825,12,-0.613,-0.552,-0.412,,
1826,1,,-0.545,-0.409,,
1826,2,-1.107,-0.578,-0.399,,
1826,3,-0.594,-0.578,-0.395,,
1826,4,0.1,-0.564,-0.379,,
1826,5,0.199,-0.553,-0.352,,
1826,6,,-0.451,-0.324,,
1826,7,0.071,-0.353,-0.33,,
1826,8,-1.012,-0.21,-0.333,,
1826,9,-1.281,-0.117,-0.341,,
1826,10,-0.949,-0.053,-0.346,,
1826,11,0.051,-0.048,-0.341,,
1826,12,0.614,0.005,-0.352,,
1827,1,0.221,0.02,-0.36,,
1827,2,0.613,0.055,-0.359,,
1827,3,0.524,0.046,-0.366,,
1827,4,0.864,0.035,-0.354,,
1827,5,0.262,0.045,-0.365,,
1827,6,,-0.04,-0.381,,
1827,7,0.248,-0.149,-0.376,,
1827,8,-0.593,-0.286,-0.36,,
1827,9,-1.392,-0.354,-0.381,,
1827,10,-1.08,-0.417,-0.389,,
1827,11,0.175,-0.452,-0.408,,
1827,12,-0.405,-0.44,-0.422,,
1828,1,-1.094,-0.459,-0.413,,
1828,2,-1.031,-0.443,-0.414,,
1828,3,-0.292,-0.481,-0.424,,
1828,4,0.116,-0.455,,,
1828,5,-0.16,-0.484,,,
1828,6,0.23,-0.475,,,
1828,7,0.016,-0.447,,,
1828,8,-0.396,-0.456,,,
1828,9,-1.848,-0.482,,,
1828,10,,-0.514,,,
1828,11,-0.169,-0.5,,,
1828,12,-0.29,-0.573,,,
1829,1,-0.768,-0.583,,,
1829,2,-1.129,-0.605,,,
1829,3,-0.614,-0.571,,,
1829,4,-0.259,-0.552,,,
1829,5,0.002,-0.631,,,
1829,6,,-0.671,,,
1829,7,-0.105,-0.589,,,
1829,8,-0.657,,,,
1829,9,-1.436,,,,
1829,10,,,,,
1829,11,-1.127,,,,
1829,12,-0.759,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,,,,,
1839,5,,,,,
1839,6,,,,,
1839,7,,,,,
1839,8,,,,,
1839,9,,,,,
1839,10,,,,,
1839,11,,,,,
1839,12,,,,,
1840,1,,,,,
1840,2,,,,,
1840,3,,,,,
1840,4,,,,,
1840,5,,,,,
1840,6,,,,,
1840,7,,,,,
1840,8,,,,,
1840,9,,,,,
1840,10,,,,,
1840,11,,,,,
1840,12,,,,,
1841,1,,,,,
1841,2,,,,,
1841,3,,,,,
1841,4,,,,,
1841,5,,,,,
1841,6,,,,,
1841,7,,,,,
1841,8,,,,,
1841,9,,,,,
1841,10,,,,,
1841,11,,,,,
1841,12,,,,,
1842,1,,,,,
1842,2,,,,,
1842,3,,,,,
1842,4,,,,,
1842,5,,,,,
1842,6,,,,,
1842,7,,,,,
1842,8,,,,,
1842,9,,,,,
1842,10,,,,,
1842,11,,,,,
1842,12,,,,,
1843,1,,,,,
1843,2,,,,,
1843,3,,,,,
1843,4,,,,,
1843,5,,,,,
1843,6,,,,,
1843,7,,,,,
1843,8,,,,,
1843,9,,,,,
1843,10,,,,,
1843,11,,,,,
1843,12,,,,,
1844,1,,,,,
1844,2,,,,,
1844,3,,,,,
1844,4,,,,,
1844,5,,,,,
1844,6,,,,,
1844,7,,,,,
1844,8,,,,,
1844,9,,,,,
1844,10,,,,,
1844,11,,,,,
1844,12,,,,,
1845,1,-0.525,,,,
1845,2,-1.856,,,,
1845,3,-0.887,-1.069,,,
1845,4,-0.619,-1.146,,,
1845,5,-1.015,-1.127,,,
1845,6,-0.829,-1.118,,,
1845,7,-0.238,-1.064,,,
1845,8,-0.73,-0.915,,,
1845,9,-1.3,-0.81,,,
1845,10,,-0.846,,,
1845,11,,-0.802,,,
1845,12,,-0.725,,,
1846,1,0.115,-0.676,,,
1846,2,-0.06,-0.629,,,
1846,3,0.364,-0.58,,,
1846,4,-1.048,-0.542,,,
1846,5,-0.489,-0.535,,,
1846,6,0.096,-0.385,-0.874,,
1846,7,0.358,-0.379,-0.865,,
1846,8,-0.168,-0.404,-0.85,,
1846,9,-0.71,-0.545,-0.835,,
1846,10,-1.225,-0.515,-0.831,,
1846,11,-1.436,-0.563,-0.824,,
