Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1876,3,0.103,,,,
1876,4,-0.749,-0.603,,,
1876,5,-0.174,-0.556,,,
1876,6,-0.978,-0.435,,,
1876,7,-0.67,-0.412,,,
1876,8,-0.405,-0.359,,,
1876,9,-0.344,-0.4,,,
1876,10,-0.109,-0.349,,,
1876,11,-0.575,-0.315,,,
1876,12,-0.295,-0.276,,,
1877,1,-0.335,-0.167,,,
1877,2,0.23,-0.045,,,
1877,3,-0.396,-0.026,,,
1877,4,-0.139,0.005,-0.098,,
1877,5,0.231,0.14,-0.092,,
1877,6,-0.502,0.145,-0.083,,
1877,7,0.638,0.27,-0.075,,
1877,8,1.06,0.301,-0.075,,
1877,9,-0.122,0.43,-0.05,,
1877,10,0.262,0.509,-0.049,,
1877,11,1.045,0.54,-0.044,,
1877,12,-0.231,0.519,-0.059,,
1878,1,1.163,0.599,-0.07,,
1878,2,0.604,0.583,-0.045,,
1878,3,1.148,0.707,-0.031,,
1878,4,0.813,0.818,-0.042,,
1878,5,0.605,0.79,-0.012,,
1878,6,-0.751,0.844,0.022,,
1878,7,1.587,0.849,0.036,-0.113,
1878,8,0.872,0.774,0.043,-0.113,
1878,9,1.365,0.607,0.036,-0.116,
1878,10,1.594,0.471,0.057,-0.12,
1878,11,0.714,0.312,0.086,-0.112,
1878,12,0.415,0.323,0.084,-0.103,
1879,1,1.223,0.162,0.086,-0.096,
1879,2,-0.299,0.08,0.101,-0.083,
1879,3,-0.86,-0.101,0.107,-0.069,
1879,4,-0.82,-0.301,0.108,-0.075,
1879,5,-1.301,-0.369,0.119,-0.085,
1879,6,-0.613,-0.385,0.134,-0.081,
1879,7,-0.352,-0.488,0.15,-0.083,
1879,8,-0.105,-0.498,0.144,-0.07,
1879,9,-0.807,-0.4,0.162,-0.062,
1879,10,-0.812,-0.367,0.158,-0.065,
1879,11,-0.095,-0.261,0.158,-0.062,
1879,12,0.218,-0.3,0.137,-0.068,
1880,1,-0.009,-0.347,0.113,-0.069,
1880,2,-0.422,-0.215,0.106,-0.073,
1880,3,0.321,-0.139,0.118,-0.081,
1880,4,-0.425,-0.127,0.115,-0.089,
1880,5,-0.028,-0.064,0.104,-0.08,
1880,6,-1.083,-0.057,0.101,-0.091,
1880,7,-0.921,-0.038,0.083,-0.093,
1880,8,1.48,-0.005,0.057,-0.087,
1880,9,0.112,-0.054,0.025,-0.076,
1880,10,-0.67,0.022,0.002,-0.066,
1880,11,0.663,0.155,-0.009,-0.055,
1880,12,0.297,0.152,0.026,-0.032,
1881,1,0.216,0.185,-0.001,-0.026,-0.152
1881,2,-0.02,0.104,-0.012,-0.023,-0.154
1881,3,-0.274,0.094,-0.049,-0.028,-0.151
1881,4,0.487,0.146,-0.083,-0.027,-0.155
1881,5,1.572,0.1,-0.104,-0.024,-0.155
1881,6,-1.116,0.123,-0.103,-0.022,-0.16
1881,7,-0.529,0.158,-0.118,-0.016,-0.167
1881,8,0.509,0.147,-0.1,-0.014,-0.176
1881,9,-0.006,0.228,-0.084,-0.008,-0.182
1881,10,-0.052,0.156,-0.082,-0.018,-0.183
1881,11,0.11,0.043,-0.078,-0.013,-0.18
1881,12,0.576,-0.01,-0.072,-0.017,-0.181
1882,1,0.635,-0.031,-0.084,-0.013,-0.181
1882,2,-0.144,-0.02,-0.063,-0.026,-0.178
1882,3,0.691,0.03,-0.043,-0.025,-0.174
