Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-0.036,-0.355,,,
1750,3,2.24,-0.317,,,
1750,4,0.428,-0.262,,,
1750,5,-1.147,-0.44,,,
1750,6,0.317,-0.456,,,
1750,7,0.654,-0.495,,,
1750,8,0.565,-0.756,,,
1750,9,-0.247,-0.85,,,
1750,10,-1.02,-1.034,,,
1750,11,-3.59,-0.999,,,
1750,12,-2.299,-1.061,,,
1751,1,-1.802,-1.031,,,
1751,2,-3.172,-0.976,,,
1751,3,1.119,-0.977,,,
1751,4,-1.781,-0.985,,,
1751,5,-0.726,-0.955,,,
1751,6,-0.427,-0.944,,,
1751,7,1.004,-0.869,,,
1751,8,1.234,-0.534,,,
1751,9,-0.268,-0.613,,,
1751,10,-1.11,-0.548,,,
1751,11,-3.232,-0.552,,,
1751,12,-2.165,-0.366,,,
1752,1,-0.902,-0.397,,,
1752,2,0.85,-0.567,,,
1752,3,0.166,,,,
1752,4,-1.003,,,,
1752,5,-0.775,,,,
1752,6,1.814,,,,
1752,7,0.627,,,,
1752,8,-0.806,,,,
1752,9,,,,,
1752,10,-0.28,,,,
1752,11,-0.369,,,,
1752,12,-1.044,,,,
1753,1,-2.073,,,,
1753,2,-1.02,,,,
1753,3,0.996,-0.216,,,
1753,4,0.475,-0.215,,,
1753,5,0.342,-0.335,,,
1753,6,1.149,-0.378,,,
1753,7,0.538,-0.29,,,
1753,8,-0.814,-0.401,,,
1753,9,-0.488,-0.778,,,
1753,10,-0.266,-0.812,,,
1753,11,-1.819,-0.746,,,
1753,12,-1.556,-0.773,,,
1754,1,-1.021,-0.861,,,
1754,2,-2.351,-0.771,,,
1754,3,-3.523,-0.795,,,
1754,4,0.064,-0.699,,,
1754,5,1.135,-0.504,,,
1754,6,0.821,-0.4,,,
1754,7,-0.51,-0.652,,,
1754,8,0.264,-0.828,,,
1754,9,-0.776,-0.616,,,
1754,10,0.884,-0.35,,,
1754,11,0.522,-0.426,,,
1754,12,-0.311,-0.288,,,
1755,1,-4.05,-0.209,,,
1755,2,-4.461,-0.328,,,
1755,3,-0.976,-0.392,-0.242,,
1755,4,3.251,-0.482,-0.303,,
1755,5,0.223,-0.658,-0.314,,
1755,6,2.476,-0.61,-0.325,,
1755,7,0.447,-0.191,-0.357,,
1755,8,-1.17,0.288,-0.379,,
1755,9,-1.535,0.408,-0.402,,
1755,10,-0.204,0.068,-0.419,,
1755,11,-1.593,0.038,-0.418,,
1755,12,0.27,-0.005,-0.422,,
1756,1,0.973,-0.004,-0.462,,
1756,2,1.296,0.126,-0.459,,
1756,3,0.455,0.262,-0.487,,
1756,4,-0.824,0.235,-0.525,,
1756,5,-0.14,0.145,-0.506,,
1756,6,1.962,-0.049,-0.477,,
1756,7,0.462,-0.314,-0.432,,
1756,8,0.392,-0.406,-0.368,,
1756,9,0.09,-0.486,-0.305,,
1756,10,-0.525,-0.324,-0.304,,
1756,11,-2.677,-0.237,-0.334,,
1756,12,-2.054,-0.247,-0.335,,
1757,1,-2.204,-0.026,-0.301,,
1757,2,0.196,0.05,-0.305,,
1757,3,-0.506,-0.07,-0.298,,
1757,4,1.117,-0.355,-0.313,,
1757,5,0.897,-0.217,-0.387,,
1757,6,1.842,-0.189,-0.417,,
1757,7,3.122,-0.337,-0.373,,
1757,8,1.305,-0.55,-0.323,,
1757,9,-1.348,-0.538,-0.335,-0.324,
1757,10,-3.951,-0.675,-0.366,-0.336,
1757,11,-1.018,-0.719,-0.359,-0.342,
1757,12,-1.72,-0.796,-0.385,-0.365,
1758,1,-3.982,-1.209,-0.387,-0.384,
1758,2,-2.356,-1.371,-0.376,-0.364,
1758,3,-0.368,-1.439,-0.359,-0.386,
1758,4,-0.524,-1.324,-0.358,-0.394,
1758,5,0.371,-1.293,-0.339,-0.408,
1758,6,0.924,-1.139,-0.334,-0.422,
1758,7,-1.841,-0.667,-0.375,-0.42,
1758,8,-0.631,-0.347,-0.395,-0.404,
1758,9,-2.17,-0.292,-0.378,-0.411,
1758,10,-2.567,-0.236,-0.364,-0.428,
1758,11,-0.651,-0.326,-0.332,-0.427,
1758,12,0.13,-0.337,-0.342,-0.407,
1759,1,1.677,-0.055,-0.331,-0.387,
1759,2,1.49,-0.002,-0.32,-0.35,
1759,3,0.293,0.148,-0.303,-0.336,
1759,4,0.14,0.362,-0.335,-0.344,
1759,5,-0.702,0.088,-0.309,-0.337,
1759,6,0.788,-0.1,-0.334,-0.345,
1759,7,1.541,-0.357,-0.288,-0.335,
1759,8,0.014,-0.601,-0.306,-0.349,
1759,9,-0.378,-0.766,-0.347,-0.359,
1759,10,0.002,-0.663,-0.328,-0.382,
1759,11,-3.935,-0.552,-0.321,-0.399,
1759,12,-2.13,-0.538,-0.354,-0.395,
1760,1,-1.4,-0.642,-0.391,-0.338,
1760,2,-1.45,-0.683,-0.419,-0.321,
1760,3,-1.68,-0.694,-0.405,-0.303,
1760,4,1.377,-0.708,-0.37,-0.325,
1760,5,0.623,-0.42,-0.37,-0.334,
1760,6,0.957,-0.194,-0.404,-0.354,
1760,7,0.297,-0.2,-0.41,-0.374,
1760,8,-0.482,-0.069,-0.349,-0.367,
1760,9,-0.508,0.194,-0.37,-0.361,
1760,10,-0.167,0.076,-0.37,-0.361,
1760,11,-0.48,0.175,-0.398,-0.354,
1760,12,0.588,0.206,-0.422,-0.372,
1761,1,-1.47,0.279,-0.379,-0.415,
1761,2,0.113,0.406,-0.349,-0.444,
1761,3,1.476,0.541,-0.336,-0.449,
1761,4,-0.034,0.349,-0.331,-0.434,
1761,5,1.814,0.298,-0.348,-0.426,
1761,6,1.328,-0.048,-0.337,-0.437,
1761,7,1.174,0.119,-0.342,-0.451,
1761,8,1.04,0.039,-0.332,-0.456,
1761,9,1.115,-0.331,-0.368,-0.461,
1761,10,-2.472,-0.14,-0.384,-0.466,
1761,11,-1.098,-0.184,-0.341,-0.439,
1761,12,-3.562,-0.306,-0.356,-0.438,
1762,1,0.538,-0.328,-0.369,-0.479,
1762,2,-0.849,-0.444,-0.394,-0.469,
1762,3,-2.965,-0.582,-0.42,-0.467,
1762,4,2.258,-0.529,-0.451,-0.494,
1762,5,1.281,-0.523,-0.411,-0.513,
1762,6,-0.137,-0.542,-0.372,-0.536,
1762,7,0.918,-0.948,-0.303,-0.56,
1762,8,-0.362,-0.766,-0.319,-0.573,
1762,9,-0.536,-0.654,-0.271,-0.568,-0.542
1762,10,-1.83,-0.887,-0.284,-0.539,-0.539
1762,11,-1.026,-1.104,-0.308,-0.518,-0.531
1762,12,-3.793,-1.134,-0.322,-0.532,-0.524
1763,1,-4.336,-1.148,-0.36,-0.541,-0.511
1763,2,1.337,-1.023,-0.358,-0.546,-0.514
1763,3,-1.627,-1.093,-0.364,-0.559,-0.524
1763,4,-0.54,-1.132,-0.364,-0.557,-0.527
