Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1819,2,-0.869,,,,
1819,3,-1.146,,,,
1819,4,,,,,
1819,5,,,,,
1819,6,-1.86,,,,
1819,7,-2.185,,,,
1819,8,-1.91,,,,
1819,9,,,,,
1819,10,,,,,
1819,11,,,,,
1819,12,,,,,
1820,1,,,,,
1820,2,,,,,
1820,3,0.531,,,,
1820,4,,,,,
1820,5,-0.846,,,,
1820,6,,,,,
1820,7,-0.812,,,,
1820,8,,,,,
1820,9,,,,,
1820,10,-3.129,,,,
1820,11,-1.032,,,,
1820,12,,,,,
1821,1,,,,,
1821,2,,,,,
1821,3,,,,,
1821,4,,,,,
1821,5,,,,,
1821,6,,,,,
1821,7,,,,,
1821,8,,,,,
1821,9,,,,,
1821,10,,,,,
1821,11,,,,,
1821,12,,,,,
1822,1,,,,,
1822,2,,,,,
1822,3,,,,,
1822,4,,,,,
1822,5,,,,,
1822,6,,,,,
1822,7,,,,,
1822,8,,,,,
1822,9,,,,,
1822,10,,,,,
1822,11,,,,,
1822,12,,,,,
1823,1,,,,,
1823,2,,,,,
1823,3,,,,,
1823,4,,,,,
1823,5,,,,,
1823,6,,,,,
1823,7,,,,,
1823,8,,,,,
1823,9,,,,,
1823,10,,,,,
1823,11,,,,,
1823,12,,,,,
1824,1,,,,,
1824,2,,,,,
1824,3,,,,,
1824,4,,,,,
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,,,,,
1824,12,,,,,
1825,1,,,,,
1825,2,,,,,
1825,3,,,,,
1825,4,,,,,
1825,5,,,,,
1825,6,,,,,
1825,7,,,,,
1825,8,,,,,
1825,9,,,,,
1825,10,,,,,
1825,11,,,,,
1825,12,,,,,
1826,1,,,,,
1826,2,,,,,
1826,3,,,,,
1826,4,,,,,
1826,5,,,,,
1826,6,,,,,
1826,7,,,,,
1826,8,,,,,
1826,9,,,,,
1826,10,,,,,
1826,11,,,,,
1826,12,,,,,
1827,1,,,,,
1827,2,,,,,
1827,3,,,,,
1827,4,,,,,
1827,5,,,,,
1827,6,,,,,
1827,7,,,,,
1827,8,,,,,
1827,9,,,,,
1827,10,,,,,
1827,11,,,,,
1827,12,,,,,
1828,1,,,,,
1828,2,,,,,
1828,3,,,,,
1828,4,,,,,
1828,5,,,,,
1828,6,,,,,
1828,7,,,,,
1828,8,,,,,
1828,9,,,,,
1828,10,,,,,
1828,11,,,,,
1828,12,,,,,
1829,1,,,,,
1829,2,,,,,
1829,3,,,,,
1829,4,,,,,
1829,5,,,,,
1829,6,,,,,
1829,7,,,,,
1829,8,,,,,
1829,9,,,,,
1829,10,,,,,
1829,11,,,,,
1829,12,,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,-1.459,,,,
1832,2,-2.216,,,,
1832,3,-2.376,,,,
1832,4,-1.885,,,,
1832,5,-0.526,-1.708,,,
1832,6,-0.502,-1.889,,,
1832,7,-1.098,-1.945,,,
1832,8,,-1.775,,,
1832,9,,-1.681,,,
1832,10,-1.605,-1.567,,,
1832,11,-3.791,-1.612,,,
1832,12,-3.563,,,,
1833,1,-2.123,,,,
1833,2,-0.175,,,,
1833,3,-1.254,,,,
1833,4,-0.514,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,-0.504,,,,
1833,12,-0.744,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,-0.161,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,-2.033,,,,
1836,8,-2.431,,,,
1836,9,-1.225,-0.846,,,
1836,10,0.664,-0.79,,,
1836,11,-1.266,-0.741,,,
1836,12,0.55,-0.763,,,
1837,1,0.545,-0.75,,,
1837,2,-2.025,-0.65,,,
1837,3,0.107,-0.532,,,
1837,4,-0.459,-0.835,,,
1837,5,-0.895,-0.903,,,
1837,6,-0.682,-1.154,,,
1837,7,-1.881,-1.679,,,
1837,8,-1.238,-1.521,,,
1837,9,0.192,-1.647,-1.262,,
1837,10,-2.969,-1.763,-1.292,,
1837,11,-2.078,-1.752,-1.297,,
1837,12,-2.462,-1.834,-1.282,,
1838,1,-5.756,-1.811,-1.235,,
1838,2,-0.131,-1.78,-1.2,,
1838,3,-1.399,-1.837,-1.162,,
1838,4,-1.861,-1.715,-1.168,,
1838,5,-0.763,-1.518,-1.136,,
1838,6,-1.666,-1.398,-1.143,,
1838,7,-1.604,-0.835,-1.148,,
1838,8,-0.857,-0.677,-1.169,,
1838,9,-0.497,-0.836,-1.257,-0.989,
1838,10,-1.5,-0.867,-1.267,-0.968,
1838,11,0.286,-0.974,-1.263,-0.974,
1838,12,-1.027,-0.934,-1.249,-0.977,
1839,1,0.994,-0.797,-1.197,-0.955,
1839,2,1.771,-0.626,-1.166,-0.908,
1839,3,-3.307,-0.669,-1.146,-0.911,
1839,4,-2.237,-0.652,-1.14,-0.924,
1839,5,-2.041,-0.78,-1.141,-0.934,
1839,6,-1.188,-1.062,-1.172,-0.943,
1839,7,0.032,-1.248,-1.213,-0.93,
1839,8,1.199,-1.645,-1.17,-0.924,
1839,9,-1.012,-1.583,-1.159,-0.928,
1839,10,-1.298,-1.611,-1.162,-0.929,
1839,11,-1.246,-1.609,-1.169,-0.949,
1839,12,-4.408,-1.564,-1.163,-0.979,
1840,1,-1.247,-1.424,-1.16,-1.002,-0.849
1840,2,-2.984,-1.558,-1.155,-1.019,-0.849
1840,3,-2.564,-1.532,-1.179,-1.014,-0.846
1840,4,-2.575,-1.455,-1.148,-1.01,-0.853
1840,5,-2.012,-1.348,-1.104,-0.996,-0.859
1840,6,-0.649,-1.231,-1.06,-0.986,-0.864
1840,7,1.709,-1.29,-0.954,-0.979,-0.862
1840,8,-0.414,-1.251,-0.899,-0.96,-0.864
1840,9,-0.7,-1.373,-0.869,-0.949,-0.862
1840,10,-0.374,-1.304,-0.852,-0.952,-0.861
1840,11,0.044,-1.241,-0.87,-0.949,-0.861
1840,12,-3.003,-1.153,-0.847,-0.936,-0.874
1841,1,-1.955,-1.204,-0.833,-0.916,-0.88
1841,2,-2.518,-1.217,-0.845,-0.891,-0.88
1841,3,-4.032,-1.159,-0.855,-0.902,-0.883
1841,4,-1.75,-1.042,-0.823,-0.899,-0.88
1841,5,-1.245,-1.155,-0.847,-0.896,-0.867
1841,6,0.408,-1.018,-0.849,-0.903,-0.861
1841,7,1.086,-1.013,-0.848,-0.886,-0.857
1841,8,-0.561,-0.757,-0.834,-0.867,-0.846
1841,9,-0.012,-0.355,-0.769,-0.855,-0.833
1841,10,1.039,-0.266,-0.785,-0.863,-0.825
1841,11,-1.321,-0.27,-0.776,-0.877,-0.817
1841,12,-1.354,-0.33,-0.776,-0.867,-0.814
1842,1,-1.895,-0.563,-0.77,-0.885,-0.812
1842,2,0.552,-0.593,-0.796,-0.85,-0.805
1842,3,0.791,-0.699,-0.79,-0.864,-0.8
1842,4,-0.674,-0.875,-0.788,-0.859,-0.798
1842,5,-1.296,-0.717,-0.807,-0.863,-0.8
1842,6,-0.308,-0.594,-0.812,-0.856,-0.797
1842,7,-1.716,-0.381,-0.84,-0.831,-0.795
1842,8,-0.916,-0.168,-0.819,-0.822,-0.787
