Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1758,5,-2.486,,,,
1758,6,-0.851,-2.643,,,
1758,7,-1.21,-2.147,,,
1758,8,-3.085,-1.877,,,
1758,9,-3.032,-1.801,,,
1758,10,,-1.887,,,
1758,11,-0.421,-1.838,,,
1758,12,-1.749,-1.821,,,
1759,1,1.232,-1.939,,,
1759,2,0.896,-1.737,,,
1759,3,-1.204,-1.542,,,
1759,4,-3.213,-1.066,,,
1759,5,-1.897,-1.252,,,
1759,6,-0.647,-1.462,,,
1759,7,-2.625,-1.861,,,
1759,8,-0.662,-1.987,,,
1759,9,-0.691,-2.192,,,
1759,10,-1.809,-2.078,,,
1759,11,-2.652,,,,
1759,12,-4.267,,,,
1760,1,-3.556,,,,
1760,2,,,,,
1760,3,,,,,
1760,4,,,,,
1760,5,,,,,
1760,6,,,,,
1760,7,,,,,
1760,8,,,,,
1760,9,,,,,
1760,10,,,,,
1760,11,,,,,
1760,12,,,,,
1761,1,,,,,
1761,2,,,,,
1761,3,,,,,
1761,4,,,,,
1761,5,,,,,
1761,6,,,,,
1761,7,,,,,
1761,8,,,,,
1761,9,,,,,
1761,10,,,,,
1761,11,,,,,
1761,12,,,,,
1762,1,,,,,
1762,2,,,,,
1762,3,,,,,
1762,4,,,,,
1762,5,,,,,
1762,6,,,,,
1762,7,,,,,
1762,8,,,,,
1762,9,,,,,
1762,10,,,,,
1762,11,,,,,
1762,12,,,,,
1763,1,,,,,
1763,2,,,,,
1763,3,,,,,
1763,4,,,,,
1763,5,,,,,
1763,6,,,,,
1763,7,,,,,
1763,8,,,,,
1763,9,,,,,
1763,10,,,,,
1763,11,,,,,
1763,12,,,,,
1764,1,,,,,
1764,2,,,,,
1764,3,,,,,
1764,4,,,,,
1764,5,,,,,
1764,6,,,,,
1764,7,,,,,
1764,8,,,,,
1764,9,,,,,
1764,10,,,,,
1764,11,,,,,
1764,12,,,,,
1765,1,,,,,
1765,2,,,,,
1765,3,,,,,
1765,4,,,,,
1765,5,,,,,
1765,6,,,,,
1765,7,,,,,
1765,8,,,,,
1765,9,,,,,
1765,10,,,,,
1765,11,,,,,
1765,12,,,,,
1766,1,,,,,
1766,2,,,,,
1766,3,,,,,
1766,4,,,,,
1766,5,,,,,
1766,6,,,,,
1766,7,,,,,
1766,8,,,,,
1766,9,,,,,
1766,10,,,,,
1766,11,,,,,
1766,12,,,,,
1767,1,,,,,
1767,2,,,,,
1767,3,,,,,
1767,4,,,,,
1767,5,,,,,
1767,6,,,,,
1767,7,,,,,
1767,8,,,,,
1767,9,,,,,
1767,10,,,,,
1767,11,,,,,
1767,12,,,,,
1768,1,-4.128,,,,
1768,2,-2.052,,,,
1768,3,-3.532,-1.585,,,
1768,4,-1.73,-1.695,,,
1768,5,-2.121,-1.952,,,
1768,6,-1.118,-1.831,,,
1768,7,-0.547,-1.476,,,
1768,8,-1.155,-1.365,,,
1768,9,-1.304,-1.139,,,
1768,10,-1.802,-0.986,,,
1768,11,-1.609,-0.711,,,
1768,12,-0.869,-0.483,,,
1769,1,0.124,-0.439,,,
1769,2,-0.716,-0.355,,,
1769,3,-0.818,-0.293,,,
1769,4,0.101,-0.478,,,
1769,5,1.181,-0.636,-0.922,,
1769,6,1.613,-0.907,-0.921,,
1769,7,-0.016,-0.989,-0.899,,
1769,8,-0.151,-0.87,-0.931,,
1769,9,,-1.122,-1.0,,
1769,10,,-1.056,-0.964,,
1769,11,-3.508,-1.251,-0.978,,
1769,12,-4.121,-1.519,-1.022,,
1770,1,-0.85,-1.733,-1.005,,
1770,2,0.708,-1.878,-1.023,,
1770,3,-3.843,-1.935,-1.049,,
1770,4,0.891,-1.693,-1.043,,
1770,5,-1.159,-1.442,-1.043,,
1770,6,-1.606,-1.058,-0.963,,
1770,7,-2.576,-0.759,-0.935,,
1770,8,-1.894,-1.099,-0.939,,
1770,9,-1.232,-0.976,-0.903,,
1770,10,-1.127,-1.224,-0.86,,
1770,11,-0.492,-1.247,-0.805,,
1770,12,0.488,-1.058,-0.795,,
1771,1,2.73,-0.877,-0.781,,
1771,2,-3.363,-0.645,-0.764,,
1771,3,-2.369,-0.584,-0.734,,
1771,4,-2.092,-0.387,-0.709,,
1771,5,-1.428,-0.404,,,
1771,6,0.662,-0.519,,,
1771,7,-0.407,-0.849,,,
1771,8,0.889,-0.705,,,
1771,9,-0.496,-0.772,,,
1771,10,1.235,,,,
1771,11,-0.695,,,,
1771,12,-0.892,,,,
1772,1,,,,,
1772,2,,,,,
1772,3,,,,,
1772,4,,,,,
1772,5,,,,,
1772,6,,,,,
1772,7,,,,,
1772,8,,,,,
1772,9,,,,,
1772,10,,,,,
1772,11,,,,,
1772,12,,,,,
1773,1,-2.485,,,,
1773,2,-2.269,,,,
1773,3,-1.356,,,,
1773,4,0.801,-0.025,,,
1773,5,1.226,-0.368,,,
1773,6,-0.554,-0.412,,,
1773,7,0.278,,,,
1773,8,-0.131,,,,
1773,9,,,,,
1773,10,-0.287,,,,
1773,11,,,,,
1773,12,,,,,
1774,1,,,,,
1774,2,,,,,
1774,3,,,,,
1774,4,,,,,
1774,5,,,,,
1774,6,,,,,
1774,7,,,,,
1774,8,,,,,
1774,9,,,,,
1774,10,,,,,
1774,11,,,,,
1774,12,,,,,
1775,1,1.721,,,,
1775,2,3.142,,,,
1775,3,1.652,,,,
1775,4,-0.856,,,,
1775,5,0.256,0.248,,,
1775,6,-1.535,0.284,,,
1775,7,0.085,,,,
1775,8,0.41,,,,
1775,9,-1.188,,,,
1775,10,0.444,,,,
1775,11,1.435,,,,
1775,12,,,,,
1776,1,,,,,
1776,2,,,,,
1776,3,,,,,
1776,4,,,,,
1776,5,,,,,
1776,6,0.651,,,,
1776,7,-0.439,,,,
1776,8,,,,,
1776,9,-1.412,,,,
1776,10,-1.276,,,,
1776,11,-0.617,,,,
1776,12,1.011,,,,
1777,1,,,,,
1777,2,,,,,
1777,3,,,,,
1777,4,,,,,
1777,5,,,,,
1777,6,-1.46,,,,
1777,7,,,,,
1777,8,-1.231,,,,
1777,9,,,,,
1777,10,,,,,
1777,11,,,,,
1777,12,-0.858,,,,
1778,1,,,,,
1778,2,,,,,
1778,3,,,,,
1778,4,,,,,
1778,5,,,,,
1778,6,,,,,
1778,7,,,,,
1778,8,,,,,
1778,9,,,,,
1778,10,,,,,
1778,11,,,,,
1778,12,,,,,
1779,1,,,,,
1779,2,,,,,
1779,3,,,,,
1779,4,,,,,
1779,5,,,,,
1779,6,,,,,
1779,7,,,,,
1779,8,,,,,
1779,9,,,,,
1779,10,,,,,
1779,11,,,,,
1779,12,,,,,
1780,1,,,,,
1780,2,,,,,
1780,3,,,,,
1780,4,,,,,
1780,5,,,,,
1780,6,,,,,
1780,7,,,,,
1780,8,,,,,
1780,9,,,,,
1780,10,,,,,
1780,11,,,,,
1780,12,,,,,
1781,1,,,,,
1781,2,,,,,
1781,3,,,,,
1781,4,,,,,
1781,5,,,,,
1781,6,,,,,
1781,7,,,,,
1781,8,,,,,
1781,9,,,,,
1781,10,,,,,
1781,11,,,,,
1781,12,,,,,
1782,1,,,,,
1782,2,,,,,
1782,3,,,,,
1782,4,,,,,
1782,5,,,,,
1782,6,,,,,
1782,7,,,,,
1782,8,,,,,
1782,9,,,,,
1782,10,,,,,
1782,11,,,,,
1782,12,,,,,
1783,1,,,,,
1783,2,,,,,
1783,3,,,,,
1783,4,,,,,
1783,5,,,,,
1783,6,,,,,
1783,7,,,,,
1783,8,,,,,
1783,9,,,,,
1783,10,,,,,
1783,11,,,,,
1783,12,,,,,
1784,1,,,,,
1784,2,,,,,
1784,3,,,,,
1784,4,,,,,
1784,5,,,,,
1784,6,,,,,
1784,7,,,,,
1784,8,,,,,
1784,9,,,,,
1784,10,,,,,
1784,11,,,,,
1784,12,,,,,
1785,1,,,,,
1785,2,,,,,
1785,3,,,,,
1785,4,,,,,
1785,5,,,,,
1785,6,,,,,
1785,7,,,,,
1785,8,,,,,
1785,9,,,,,
1785,10,,,,,
1785,11,,,,,
1785,12,,,,,
1786,1,,,,,
1786,2,,,,,
1786,3,,,,,
1786,4,,,,,
1786,5,,,,,
1786,6,,,,,
1786,7,,,,,
1786,8,,,,,
1786,9,,,,,
1786,10,,,,,
1786,11,,,,,
1786,12,,,,,
1787,1,,,,,
1787,2,,,,,
1787,3,,,,,
1787,4,,,,,
1787,5,,,,,
1787,6,,,,,
1787,7,,,,,
1787,8,,,,,
1787,9,,,,,
1787,10,,,,,
1787,11,,,,,
1787,12,,,,,
1788,1,,,,,
1788,2,,,,,
1788,3,,,,,
1788,4,,,,,
1788,5,,,,,
1788,6,,,,,
1788,7,,,,,
1788,8,,,,,
1788,9,,,,,
1788,10,,,,,
1788,11,,,,,
1788,12,,,,,
1789,1,,,,,
1789,2,,,,,
1789,3,,,,,
1789,4,,,,,
1789,5,,,,,
1789,6,,,,,
1789,7,,,,,
1789,8,,,,,
1789,9,,,,,
1789,10,,,,,
1789,11,,,,,
1789,12,,,,,
1790,1,,,,,
1790,2,,,,,
1790,3,,,,,
1790,4,,,,,
1790,5,,,,,
1790,6,,,,,
1790,7,,,,,
1790,8,,,,,
1790,9,,,,,
1790,10,,,,,
1790,11,,,,,
1790,12,,,,,
