Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1876,5,0.908,,,,
1876,6,0.029,-0.078,,,
1876,7,0.297,-0.027,,,
1876,8,-0.126,0.054,,,
1876,9,-0.074,0.114,,,
1876,10,-0.157,0.201,,,
1876,11,-0.624,0.213,,,
1876,12,0.435,0.223,,,
1877,1,-0.252,0.271,,,
1877,2,-0.347,0.325,,,
1877,3,0.806,0.376,,,
1877,4,1.52,,,,
1877,5,1.047,,,,
1877,6,0.152,,,,
1877,7,,,,,
1877,8,,,,,
1877,9,,,,,
1877,10,,,,,
1877,11,-0.083,,0.034,,
1877,12,-1.036,,0.031,,
1878,1,-1.43,0.274,0.027,,
1878,2,-1.318,0.299,0.024,,
1878,3,0.705,0.324,0.031,,
1878,4,0.88,0.218,0.041,,
1878,5,0.591,0.206,0.06,,
1878,6,0.71,0.315,0.063,,
1878,7,1.814,0.543,0.097,,
1878,8,0.818,0.613,0.128,,
1878,9,0.837,0.472,0.133,,
1878,10,0.134,0.44,0.131,,
1878,11,-0.231,0.377,0.124,,
1878,12,0.275,0.358,0.128,,
1879,1,1.303,0.236,0.131,,
1879,2,-0.478,0.149,0.14,-0.106,
1879,3,-0.991,0.032,0.146,-0.086,
1879,4,0.491,0.015,0.154,-0.085,
1879,5,-0.159,-0.012,0.158,-0.109,
1879,6,0.477,0.031,0.144,-0.111,
1879,7,0.349,-0.083,0.14,-0.117,
1879,8,-0.227,-0.242,0.116,-0.116,
1879,9,-0.559,-0.199,0.076,-0.114,
1879,10,-0.066,-0.274,0.045,-0.113,
1879,11,-0.566,-0.286,0.013,-0.126,
1879,12,0.794,-0.325,0.009,-0.129,
1880,1,-0.067,-0.365,-0.021,-0.127,
1880,2,,-0.381,-0.031,-0.135,
1880,3,-0.469,-0.335,-0.045,-0.134,
1880,4,-0.41,-0.337,-0.078,-0.14,
1880,5,-0.305,-0.307,-0.102,-0.133,
1880,6,0.014,-0.379,-0.07,-0.137,
1880,7,-0.137,-0.276,-0.064,-0.135,
1880,8,-0.411,-0.034,-0.06,-0.133,
1880,9,-0.016,0.039,-0.071,-0.134,
1880,10,-0.09,0.101,-0.085,-0.132,
1880,11,-0.207,0.167,-0.094,-0.123,
1880,12,-0.064,0.19,-0.086,-0.119,
1881,1,1.166,0.241,-0.124,-0.123,
1881,2,0.517,0.31,-0.151,-0.128,
