Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1825,3,-0.358,-0.269,,,
1825,4,0.29,-0.258,,,
1825,5,-0.496,-0.241,,,
1825,6,0.245,-0.409,,,
1825,7,0.009,-0.464,,,
1825,8,-0.615,-0.568,,,
1825,9,-0.886,-0.589,,,
1825,10,-1.175,,,,
1825,11,-0.334,,,,
1825,12,-0.968,,,,
1826,1,,,,,
1826,2,,,,,
1826,3,,,,,
1826,4,,,,,
1826,5,,,,,
1826,6,,,,,
1826,7,,,,,
1826,8,,,,,
1826,9,,,,,
1826,10,,,,,
1826,11,,,,,
1826,12,,,,,
1827,1,,,,,
1827,2,,,,,
1827,3,,,,,
1827,4,,,,,
1827,5,,,,,
1827,6,,,,,
1827,7,,,,,
1827,8,,,,,
1827,9,,,,,
1827,10,,,,,
1827,11,,,,,
1827,12,,,,,
1828,1,,,,,
1828,2,,,,,
1828,3,,,,,
1828,4,,,,,
1828,5,,,,,
1828,6,,,,,
1828,7,,,,,
1828,8,,,,,
1828,9,,,,,
1828,10,,,,,
1828,11,,,,,
1828,12,,,,,
1829,1,,,,,
1829,2,,,,,
1829,3,,,,,
1829,4,,,,,
1829,5,,,,,
1829,6,,,,,
1829,7,,,,,
1829,8,,,,,
1829,9,,,,,
1829,10,,,,,
1829,11,,,,,
1829,12,,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,-0.89,,,,
1839,5,-1.376,,,,
1839,6,-1.063,-1.27,,,
1839,7,-0.276,-1.249,,,
1839,8,-0.356,-1.358,,,
1839,9,-1.44,-1.232,,,
1839,10,-1.302,-1.222,,,
1839,11,-2.297,-1.142,,,
1839,12,-2.426,-1.074,,,
1840,1,-0.531,,,,
1840,2,-1.371,,,,
1840,3,-1.457,,,,
1840,4,,,,,
1840,5,,,,,
1840,6,,,,,
1840,7,,,,,
1840,8,,,,,
1840,9,,,,,
1840,10,,,,,
1840,11,-1.733,,,,
1840,12,,,,,
1841,1,-1.986,,,,
1841,2,-0.903,,,,
1841,3,,,,,
1841,4,,,,,
1841,5,,,,,
1841,6,,,,,
1841,7,,,,,
1841,8,,,,,
1841,9,,,,,
1841,10,,,,,
1841,11,,,,,
1841,12,,,,,
1842,1,,,,,
1842,2,,,,,
1842,3,,,,,
1842,4,,,,,
1842,5,,,,,
1842,6,,,,,
1842,7,,,,,
1842,8,,,,,
1842,9,,,,,
1842,10,,,,,
1842,11,,,,,
1842,12,,,,,
1843,1,,,,,
1843,2,,,,,
1843,3,,,,,
1843,4,,,,,
1843,5,,,,,
1843,6,,,,,
1843,7,,,,,
1843,8,,,,,
1843,9,,,,,
1843,10,,,,,
1843,11,,,,,
1843,12,,,,,
1844,1,,,,,
1844,2,,,,,
1844,3,,,,,
1844,4,,,,,
1844,5,,,,,
1844,6,,,,,
1844,7,,,,,
1844,8,,,,,
1844,9,,,,,
1844,10,,,,,
1844,11,,,,,
1844,12,,,,,
1845,1,,,,,
1845,2,,,,,
1845,3,,,,,
1845,4,,,,,
1845,5,,,,,
1845,6,,,,,
1845,7,,,,,
1845,8,,,,,
1845,9,,,,,
1845,10,,,,,
1845,11,,,,,
1845,12,,,,,
1846,1,,,,,
1846,2,,,,,
1846,3,,,,,
1846,4,,,,,
1846,5,,,,,
1846,6,,,,,
1846,7,,,,,
1846,8,,,,,
1846,9,,,,,
1846,10,,,,,
1846,11,,,,,
1846,12,,,,,
1847,1,,,,,
1847,2,,,,,
1847,3,,,,,
1847,4,,,,,
1847,5,,,,,
1847,6,,,,,
1847,7,,,,,
1847,8,,,,,
1847,9,,,,,
1847,10,,,,,
1847,11,,,,,
1847,12,,,,,
1848,1,,,,,
1848,2,,,,,
1848,3,,,,,
1848,4,,,,,
1848,5,,,,,
1848,6,,,,,
1848,7,,,,,
1848,8,,,,,
1848,9,,,,,
1848,10,,,,,
1848,11,,,,,
1848,12,,,,,
1849,1,,,,,
1849,2,,,,,
1849,3,,,,,
1849,4,,,,,
1849,5,,,,,
1849,6,,,,,
1849,7,,,,,
1849,8,,,,,
1849,9,,,,,
1849,10,,,,,
1849,11,,,,,
1849,12,,,,,
1850,1,-1.799,,,,
1850,2,-0.46,,,,
1850,3,-0.598,,,,
1850,4,-1.208,-0.913,,,
1850,5,-1.418,-0.987,,,
1850,6,-0.5,-0.937,,,
1850,7,0.029,-0.826,,,
1850,8,-0.128,-0.86,,,
1850,9,-0.845,-0.915,,,
1850,10,-1.312,-0.916,,,
1850,11,-1.581,-0.846,,,
1850,12,-1.427,-0.827,,,
1851,1,-0.468,-0.829,,,
1851,2,-0.861,-0.847,,,
1851,3,-1.265,-0.833,,,
1851,4,-1.219,-0.767,,,
1851,5,-0.569,-0.755,,,
1851,6,-0.277,-0.703,-0.803,,
1851,7,-0.0,-0.717,-0.806,,
1851,8,-0.335,-0.72,-0.814,,
1851,9,-0.678,-0.744,-0.821,,
1851,10,-0.524,-0.728,-0.812,,
1851,11,-1.436,-0.725,-0.798,,
1851,12,-0.799,-0.739,-0.796,,
1852,1,-0.642,-0.737,-0.789,,
1852,2,-0.898,-0.768,-0.784,,
1852,3,-1.55,-0.773,-0.778,,
1852,4,-1.027,-0.792,-0.775,,
1852,5,-0.533,-0.81,-0.779,,
1852,6,-0.442,-0.786,-0.758,,
1852,7,0.016,-0.83,-0.734,,
1852,8,-0.709,-0.862,-0.736,,
1852,9,-0.727,-0.813,-0.74,,
1852,10,-0.757,-0.781,-0.723,,
1852,11,-1.656,-0.771,-0.707,,
1852,12,-0.513,-0.755,-0.71,,
1853,1,-1.159,-0.752,-0.719,,
1853,2,-1.287,-0.695,-0.724,,
1853,3,-0.958,-0.674,-0.727,,
1853,4,-0.648,-0.693,-0.734,,
1853,5,-0.415,-0.661,-0.729,,
1853,6,-0.254,-0.699,-0.731,,
