Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1816,4,-1.266,,,,
1816,5,-0.384,-1.67,,,
1816,6,-0.782,-1.618,,,
1816,7,-1.96,-1.643,,,
1816,8,-1.256,-1.427,,,
1816,9,-2.394,-1.53,,,
1816,10,-3.03,-1.442,,,
1816,11,-2.367,-1.577,,,
1816,12,-1.753,-1.703,,,
1817,1,-0.726,-1.679,,,
1817,2,-0.85,-1.656,,,
1817,3,-1.588,-1.7,,,
1817,4,-0.214,-1.633,,,
1817,5,-2.002,-1.547,-1.482,,
1817,6,-2.297,-1.545,-1.55,,
1817,7,-1.667,-1.559,-1.598,,
1817,8,-0.989,-1.59,-1.626,,
1817,9,-2.912,-1.542,-1.611,,
1817,10,-2.23,-1.556,-1.594,,
1817,11,-1.331,-1.432,-1.586,,
1817,12,-1.734,-1.316,-1.559,,
1818,1,-0.897,-1.322,-1.565,,
1818,2,-1.223,-1.338,-1.573,,
1818,3,-1.004,-1.343,-1.577,,
1818,4,-0.39,-1.355,-1.571,,
1818,5,-0.507,-1.392,-1.56,,
1818,6,-0.91,-1.378,-1.55,,
1818,7,-1.743,-1.552,-1.545,,
1818,8,-1.174,-1.609,-1.474,-1.168,
1818,9,-2.975,-1.614,-1.471,-1.184,
1818,10,-2.369,-1.763,-1.452,-1.186,
1818,11,-1.781,-1.836,-1.451,-1.203,
1818,12,-1.567,-1.871,-1.441,-1.198,
1819,1,-2.98,-1.834,-1.42,-1.189,
1819,2,-1.908,-1.859,-1.413,-1.181,
1819,3,-1.067,-1.759,-1.409,-1.16,
1819,4,-2.174,-1.713,-1.388,-1.149,
1819,5,-1.39,-1.668,-1.36,-1.132,
1819,6,-1.325,-1.718,-1.338,-1.127,
1819,7,-1.302,-1.803,-1.308,-1.112,
1819,8,-1.469,-1.857,-1.265,-1.107,
1819,9,-1.781,-1.839,-1.204,-1.098,
1819,10,-1.809,-1.695,-1.213,-1.097,
1819,11,-1.239,-1.631,-1.18,-1.106,
1819,12,-2.174,-1.603,-1.151,-1.118,
1820,1,-4.001,-1.574,-1.132,-1.111,
1820,2,-2.549,-1.543,-1.13,-1.107,
1820,3,-0.859,-1.503,-1.108,-1.097,
1820,4,-0.439,-1.512,-1.104,-1.084,
1820,5,-0.624,-1.525,-1.109,-1.077,
1820,6,-0.988,-1.492,-1.106,-1.057,
1820,7,-0.958,-1.17,-1.091,-1.058,
1820,8,-1.098,-0.887,-1.06,-1.061,
1820,9,-1.3,-0.828,-1.047,-1.063,
1820,10,-1.909,-0.802,-1.029,-1.054,
1820,11,-1.407,-0.777,-1.029,-1.04,
1820,12,-1.77,-0.712,-1.022,-1.028,
1821,1,-0.133,-0.689,-1.008,-1.029,
1821,2,0.84,-0.667,-1.013,-1.012,
1821,3,-0.152,-0.739,-1.0,-1.013,
1821,4,-0.12,-0.727,-0.981,-1.004,
1821,5,-0.33,-0.669,-0.98,-0.997,
1821,6,-0.207,-0.555,-0.971,,
1821,7,-0.684,-0.457,-0.92,,
1821,8,-0.837,-0.382,-0.894,,
1821,9,-2.162,-0.194,-0.878,,
1821,10,-1.764,-0.25,-0.845,,
1821,11,-0.711,-0.222,-0.825,,
1821,12,-0.402,-0.252,-0.803,,
1822,1,1.041,-0.238,-0.775,,
1822,2,1.75,-0.244,-0.76,,
1822,3,2.094,-0.196,-0.739,,
1822,4,-0.79,-0.212,-0.737,,
1822,5,0.012,-0.291,-0.73,,
1822,6,-0.566,-0.387,-0.687,,
1822,7,-0.515,-0.472,-0.625,,
1822,8,-0.91,-0.567,-0.588,,
1822,9,-1.596,-0.759,,,
1822,10,-1.949,-0.636,,,
1822,11,-1.663,-0.68,,,
1822,12,-1.551,-0.673,,,
1823,1,0.024,-0.706,,,
1823,2,0.601,-0.751,,,
1823,3,-0.204,-0.803,,,
1823,4,0.686,-0.741,,,
1823,5,-0.52,-0.746,,,
1823,6,-0.484,-0.7,,,
1823,7,-0.907,-0.696,,,
1823,8,-1.449,-0.78,,,
1823,9,-2.221,,,,
1823,10,-1.209,,,,
1823,11,-1.72,,,,
1823,12,,,,,
1824,1,,,,,
1824,2,,,,,
1824,3,,,,,
1824,4,,,,,
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,,,,,
1824,12,,,,,
1825,1,,,,,
1825,2,,,,,
1825,3,,,,,
1825,4,,,,,
1825,5,,,,,
1825,6,,,,,
1825,7,,,,,
1825,8,,,,,
1825,9,,,,,
1825,10,,,,,
1825,11,,,,,
1825,12,,,,,
1826,1,,,,,
1826,2,,,,,
1826,3,,,,,
1826,4,,,,,
1826,5,,,,,
1826,6,,,,,
1826,7,,,,,
1826,8,,,,,
1826,9,,,,,
1826,10,,,,,
1826,11,,,,,
1826,12,,,,,
1827,1,,,,,
1827,2,,,,,
1827,3,,,,,
1827,4,,,,,
1827,5,,,,,
1827,6,,,,,
1827,7,,,,,
1827,8,,,,,
1827,9,,,,,
1827,10,,,,,
1827,11,,,,,
1827,12,,,,,
1828,1,,,,,
1828,2,,,,,
1828,3,,,,,
1828,4,,,,,
1828,5,,,,,
1828,6,,,,,
1828,7,,,,,
1828,8,,,,,
1828,9,,,,,
1828,10,,,,,
1828,11,,,,,
1828,12,,,,,
1829,1,,,,,
1829,2,,,,,
1829,3,,,,,
1829,4,,,,,
1829,5,,,,,
1829,6,,,,,
1829,7,,,,,
1829,8,,,,,
1829,9,,,,,
1829,10,,,,,
1829,11,,,,,
1829,12,,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,-0.668,,,,
1833,2,-0.284,,,,
1833,3,-0.071,-0.941,,,
1833,4,-1.212,-0.926,,,
1833,5,-1.759,-0.797,,,
1833,6,0.33,-0.653,,,
1833,7,-0.342,-0.764,,,
1833,8,-0.739,-0.777,,,
1833,9,-0.839,-0.785,,,
1833,10,-1.072,-0.772,,,
1833,11,-0.233,-0.637,,,
1833,12,-0.941,-0.764,,,
1834,1,-2.001,-0.753,,,
1834,2,-0.442,-0.754,,,
1834,3,-0.173,-0.777,,,
1834,4,-1.054,-0.831,-1.049,,
1834,5,-0.131,-0.871,-1.046,,
1834,6,-1.204,-0.844,-1.031,,
1834,7,-0.21,-0.766,-1.02,,
1834,8,-0.745,-0.771,-1.001,,
1834,9,-1.112,-0.896,-1.014,,
1834,10,-1.722,-0.963,-1.044,,
1834,11,-0.711,-1.142,-1.039,,
1834,12,-0.627,-1.184,-1.053,,
