Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,2,-0.772,,,,
1824,3,-0.473,-0.804,,,
1824,4,0.282,-0.783,,,
1824,5,-0.581,-0.706,,,
1824,6,-0.488,-0.639,,,
1824,7,-0.307,-0.614,,,
1824,8,-1.078,-0.586,,,
1824,9,-1.028,-0.529,,,
1824,10,-1.446,-0.492,,,
1824,11,-0.691,-0.434,,,
1824,12,-0.5,-0.394,,,
1825,1,-0.285,-0.382,,,
1825,2,-0.44,-0.336,,,
1825,3,0.214,-0.348,,,
1825,4,0.73,-0.313,-0.635,,
1825,5,0.109,-0.288,-0.607,,
1825,6,-0.007,-0.264,-0.567,,
1825,7,-0.168,-0.233,-0.576,,
1825,8,-0.517,-0.296,-0.581,,
1825,9,-1.177,-0.428,-0.577,,
1825,10,-1.024,-0.521,-0.564,,
1825,11,-0.393,-0.537,-0.549,,
1825,12,-0.21,-0.571,-0.548,,
1826,1,0.091,-0.59,-0.552,,
1826,2,-1.201,-0.636,-0.541,,
1826,3,-1.371,-0.654,-0.537,,
1826,4,-0.39,-0.658,-0.518,,
1826,5,-0.073,-0.632,-0.493,,
1826,6,-0.424,-0.573,-0.483,,
1826,7,-0.387,-0.584,-0.488,,
1826,8,-1.07,-0.515,-0.493,,
1826,9,-1.395,-0.395,-0.489,,
1826,10,-1.07,-0.322,-0.495,,
1826,11,-0.08,-0.325,-0.485,,
1826,12,0.495,-0.301,-0.488,,
1827,1,-0.038,-0.289,-0.489,,
1827,2,-0.379,-0.294,-0.485,,
1827,3,0.065,-0.284,-0.487,,
1827,4,0.488,-0.301,-0.474,,
1827,5,-0.111,-0.304,-0.473,,
1827,6,,-0.377,-0.474,,
1827,7,-0.249,-0.477,-0.457,,
1827,8,-1.126,-0.557,-0.434,,
1827,9,-1.281,-0.597,-0.454,,
1827,10,-1.272,-0.644,-0.462,,
1827,11,-0.116,-0.638,-0.485,,
1827,12,-0.383,-0.636,-0.498,,
1828,1,-1.231,-0.64,-0.49,,
1828,2,-1.334,-0.582,-0.493,,
1828,3,-0.423,-0.593,-0.5,,
1828,4,-0.069,-0.538,-0.501,,
1828,5,-0.047,-0.534,-0.474,,
1828,6,-0.1,-0.564,-0.454,,
1828,7,-0.295,-0.535,,,
1828,8,-0.432,-0.51,,,
1828,9,-1.413,-0.496,,,
1828,10,,-0.495,,,
1828,11,-0.077,-0.493,,,
1828,12,-0.734,-0.536,,,
1829,1,-0.881,-0.542,,,
1829,2,-1.043,-0.579,,,
1829,3,-0.249,-0.558,,,
1829,4,-0.057,-0.562,,,
1829,5,-0.025,-0.604,,,
1829,6,-0.618,-0.594,,,
1829,7,-0.366,-0.458,,,
1829,8,-0.867,-0.291,,,
1829,9,-1.166,,,,
1829,10,,,,,
1829,11,-0.59,,,,
1829,12,-0.605,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,,,,,
1839,5,,,,,
1839,6,,,,,
1839,7,,,,,
1839,8,,,,,
1839,9,,,,,
1839,10,,,,,
1839,11,,,,,
1839,12,,,,,
1840,1,,,,,
1840,2,,,,,
1840,3,,,,,
1840,4,,,,,
1840,5,,,,,
1840,6,,,,,
1840,7,,,,,
1840,8,,,,,
1840,9,,,,,
1840,10,,,,,
1840,11,,,,,
1840,12,,,,,
1841,1,,,,,
1841,2,,,,,
1841,3,,,,,
1841,4,,,,,
1841,5,,,,,
1841,6,,,,,
1841,7,,,,,
1841,8,,,,,
1841,9,,,,,
1841,10,,,,,
1841,11,,,,,
1841,12,,,,,
1842,1,,,,,
1842,2,,,,,
1842,3,,,,,
1842,4,,,,,
1842,5,,,,,
1842,6,,,,,
1842,7,,,,,
1842,8,,,,,
1842,9,,,,,
1842,10,,,,,
