Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,1.703,0.277,,,
1750,3,2.362,0.231,,,
1750,4,0.753,0.113,,,
1750,5,-1.245,-0.343,,,
1750,6,-0.062,-0.48,,,
1750,7,0.914,-0.714,,,
1750,8,1.044,-1.154,,,
1750,9,-0.576,-1.188,,,
1750,10,-3.135,-1.314,,,
1750,11,-6.004,-1.278,,,
1750,12,-3.57,-1.373,,,
1751,1,-0.752,-1.361,,,
1751,2,-3.575,-1.407,,,
1751,3,1.954,-1.4,,,
1751,4,-0.763,-1.318,,,
1751,5,-0.811,-1.067,,,
1751,6,-1.201,-0.863,,,
1751,7,1.057,-0.93,,,
1751,8,0.493,-0.488,,,
1751,9,-0.498,-0.5,,,
1751,10,-2.144,-0.469,,,
1751,11,-2.991,-0.432,,,
1751,12,-1.121,-0.32,,,
1752,1,-1.563,-0.245,,,
1752,2,1.732,-0.265,,,
1752,3,1.807,,,,
1752,4,-0.388,,,,
1752,5,-0.366,,,,
1752,6,0.147,,,,
1752,7,1.955,,,,
1752,8,0.256,,,,
1752,9,,,,,
1752,10,-0.641,,,,
1752,11,0.355,,,,
1752,12,-0.106,,,,
1753,1,0.021,,,,
1753,2,-0.617,,,,
1753,3,2.309,-0.024,,,
1753,4,0.299,0.046,,,
1753,5,0.027,-0.073,,,
1753,6,-0.702,-0.523,,,
1753,7,-0.302,-0.531,,,
1753,8,-0.742,-0.641,,,
1753,9,-0.189,-0.921,,,
1753,10,0.199,-0.798,,,
1753,11,-1.072,-0.741,,,
1753,12,-5.511,-0.637,,,
1754,1,-0.069,-0.652,,,
1754,2,-1.942,-0.709,,,
1754,3,-1.044,-0.794,,,
1754,4,1.773,-0.808,,,
1754,5,0.713,-0.778,,,
1754,6,0.545,-0.313,,,
1754,7,-0.488,-0.437,,,
1754,8,-1.424,-0.567,,,
1754,9,-1.207,-0.542,,,
1754,10,0.033,-0.629,,,
1754,11,-0.715,-0.62,,,
1754,12,0.068,-0.53,,,
1755,1,-1.56,-0.385,,,
1755,2,-3.496,-0.403,,,
1755,3,-0.745,-0.389,-0.063,,
1755,4,0.732,-0.339,-0.136,,
1755,5,0.815,-0.341,-0.153,,
1755,6,1.625,-0.453,-0.208,,
1755,7,1.256,-0.112,-0.283,,
1755,8,-1.649,0.522,-0.305,,
1755,9,-1.039,0.669,-0.356,,
1755,10,0.635,0.603,-0.382,,
1755,11,-0.732,0.461,-0.401,,
1755,12,-1.28,0.436,-0.397,,
1756,1,2.534,0.383,-0.404,,
1756,2,4.116,0.384,-0.42,,
1756,3,1.019,0.438,-0.456,,
1756,4,-0.068,0.333,-0.517,,
1756,5,-0.885,0.175,-0.519,,
1756,6,1.323,0.04,-0.456,,
1756,7,0.62,-0.321,-0.403,,
1756,8,-1.639,-0.455,-0.327,,
1756,9,-0.385,-0.486,-0.295,,
1756,10,-0.625,-0.331,-0.344,,
1756,11,-2.627,-0.243,-0.396,,
1756,12,-2.906,-0.138,-0.392,,
1757,1,-1.793,0.131,-0.386,,
1757,2,2.508,0.376,-0.349,,
1757,3,0.651,0.452,-0.343,,
1757,4,1.783,0.088,-0.374,,
1757,5,0.168,0.25,-0.42,,
1757,6,2.592,0.211,-0.517,,
1757,7,3.843,-0.012,-0.573,,
1757,8,1.308,-0.387,-0.512,,
1757,9,0.527,-0.499,-0.536,-0.48,
1757,10,-4.994,-0.753,-0.581,-0.507,
1757,11,-0.682,-0.86,-0.603,-0.508,
1757,12,-3.376,-1.117,-0.635,-0.53,
1758,1,-4.471,-1.497,-0.67,-0.553,
1758,2,-1.994,-1.746,-0.659,-0.555,
1758,3,-0.692,-1.986,-0.644,-0.601,
1758,4,-1.267,-1.857,-0.692,-0.615,
1758,5,-1.118,-1.903,-0.698,-0.619,
1758,6,-0.483,-1.765,-0.71,-0.625,
1758,7,-0.719,-1.132,-0.763,-0.606,
1758,8,-1.68,-0.748,-0.834,-0.6,
1758,9,-2.354,-0.617,-0.808,-0.613,
1758,10,-3.453,-0.607,-0.818,-0.642,
1758,11,-1.226,-0.719,-0.785,-0.652,
1758,12,-1.728,-0.612,-0.766,-0.607,
1759,1,3.133,-0.561,-0.738,-0.605,
1759,2,2.612,-0.356,-0.689,-0.556,
1759,3,0.873,-0.23,-0.661,-0.542,
1759,4,-1.147,-0.097,-0.71,-0.563,
1759,5,-2.458,-0.281,-0.687,-0.57,
1759,6,0.802,-0.616,-0.737,-0.592,
1759,7,-0.103,-1.29,-0.649,-0.581,
1759,8,0.77,-1.495,-0.656,-0.578,
1759,9,-0.836,-1.75,-0.685,-0.576,
1759,10,-1.858,-1.817,-0.699,-0.581,
1759,11,-3.44,-1.653,-0.71,-0.589,
1759,12,-5.738,-1.745,-0.743,-0.587,
1760,1,-4.961,-1.804,-0.817,-0.552,
1760,2,0.157,-1.952,-0.856,-0.526,
1760,3,-2.186,-1.893,-0.897,-0.498,
1760,4,-1.951,-1.929,-0.879,-0.496,
1760,5,-0.498,-1.73,-0.862,-0.514,
1760,6,-0.296,-1.418,-0.853,-0.54,
1760,7,-0.812,-1.06,-0.824,-0.556,
1760,8,-1.006,-1.086,-0.805,-0.541,
1760,9,-0.128,-0.689,-0.847,-0.542,
1760,10,-2.295,-0.582,-0.848,-0.554,
1760,11,-1.05,-0.448,-0.838,-0.548,
1760,12,-1.985,-0.218,-0.853,-0.546,
1761,1,-0.67,0.042,-0.808,-0.593,
1761,2,-0.159,0.23,-0.781,-0.628,
1761,3,2.58,0.35,-0.769,-0.623,
1761,4,-0.662,0.247,-0.766,-0.616,
1761,5,1.11,0.229,-0.784,-0.602,
1761,6,2.462,-0.098,-0.758,-0.615,
1761,7,2.302,0.247,-0.806,-0.628,
1761,8,1.259,0.438,-0.785,-0.62,
1761,9,1.312,0.129,-0.79,-0.615,
1761,10,-3.539,0.263,-0.782,-0.619,
1761,11,-1.263,0.13,-0.743,-0.589,
1761,12,-5.906,-0.024,-0.791,-0.581,
1762,1,3.466,-0.263,-0.775,-0.614,
1762,2,2.131,-0.456,-0.806,-0.632,
1762,3,-1.124,-0.726,-0.808,-0.623,
1762,4,0.946,-0.758,-0.787,-0.665,
1762,5,-0.481,-0.627,-0.758,-0.678,
1762,6,0.61,-0.367,-0.657,-0.7,
1762,7,-0.568,-0.886,-0.53,-0.74,
1762,8,-1.06,-1.135,-0.539,-0.743,
1762,9,-1.929,-1.308,-0.46,-0.74,-0.638
1762,10,-3.918,-1.497,-0.411,-0.7,-0.631
1762,11,0.313,-1.499,-0.425,-0.672,-0.62
1762,12,-2.795,-1.668,-0.445,-0.664,-0.611
1763,1,-2.754,-1.456,-0.443,-0.67,-0.618
1763,2,-0.864,-1.371,-0.423,-0.684,-0.617
1763,3,-3.199,-1.348,-0.44,-0.706,-0.627
1763,4,-1.323,-1.295,-0.415,-0.703,-0.621
1763,5,-0.498,-1.512,-0.399,-0.716,-0.609
1763,6,-1.42,-1.292,-0.383,-0.719,-0.607
