Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,1.822,-0.005,,,
1750,3,2.478,0.056,,,
1750,4,0.37,0.025,,,
1750,5,-0.259,-0.133,,,
1750,6,0.07,-0.221,,,
1750,7,1.157,-0.161,,,
1750,8,-0.073,-0.557,,,
1750,9,0.146,-0.683,,,
1750,10,-2.11,-0.797,,,
1750,11,-3.156,-0.859,,,
1750,12,-1.677,-0.88,,,
1751,1,-0.703,-0.964,,,
1751,2,-2.933,-0.948,,,
1751,3,0.976,-1.062,,,
1751,4,-1.0,-1.021,,,
1751,5,-1.001,-0.977,,,
1751,6,-0.182,-0.94,,,
1751,7,0.14,-0.894,,,
1751,8,0.124,-0.63,,,
1751,9,-1.219,-0.7,,,
1751,10,-1.616,-0.678,,,
1751,11,-2.637,-0.671,,,
1751,12,-1.226,-0.532,,,
1752,1,-0.157,-0.527,,,
1752,2,0.237,-0.575,,,
1752,3,0.133,,,,
1752,4,-0.728,,,,
1752,5,-0.925,,,,
1752,6,1.489,,,,
1752,7,0.198,,,,
1752,8,-0.452,,,,
1752,9,,,,,
1752,10,-0.814,,,,
1752,11,0.141,,,,
1752,12,-0.07,,,,
1753,1,-3.045,,,,
1753,2,-0.243,,,,
1753,3,1.23,-0.172,,,
1753,4,0.202,-0.125,,,
1753,5,0.094,-0.279,,,
1753,6,1.493,-0.309,,,
1753,7,0.369,-0.116,,,
1753,8,-1.276,-0.241,,,
1753,9,-0.152,-0.633,,,
1753,10,-0.25,-0.714,,,
1753,11,-1.704,-0.639,,,
1753,12,-0.429,-0.764,,,
1754,1,-0.73,-0.889,,,
1754,2,-1.74,-0.773,,,
1754,3,-3.475,-0.818,,,
1754,4,-0.77,-0.764,,,
1754,5,0.989,-0.592,,,
1754,6,-0.006,-0.605,,,
1754,7,-1.121,-0.906,,,
1754,8,0.116,-1.083,,,
1754,9,-0.702,-0.917,,,
1754,10,0.404,-0.599,,,
1754,11,0.356,-0.742,,,
