Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1849,11,,,,,
1849,12,,,,,
1850,1,,,,,
1850,2,,,,,
1850,3,,,,,
1850,4,,,,,
1850,5,,,,,
1850,6,,,,,
1850,7,0.445,,,,
1850,8,-0.055,,,,
1850,9,-0.423,-0.547,,,
1850,10,-1.222,-0.594,,,
1850,11,-1.518,-0.519,,,
1850,12,-0.916,-0.504,,,
1851,1,0.037,-0.59,,,
1851,2,-0.101,-0.617,,,
1851,3,-1.004,-0.697,,,
1851,4,-0.366,-0.616,,,
1851,5,-0.429,-0.602,,,
1851,6,-0.497,-0.6,,,
1851,7,-0.587,-0.86,,,
1851,8,-0.383,-0.843,,,
1851,9,-1.381,-0.811,,,
1851,10,-0.245,-0.791,-0.551,,
1851,11,-1.351,-0.75,-0.546,,
1851,12,-0.897,-0.738,-0.547,,
1852,1,-3.076,-0.72,-0.564,,
1852,2,0.102,-0.719,-0.582,,
1852,3,-0.622,-0.664,-0.59,,
1852,4,-0.124,-0.716,-0.59,,
1852,5,,-0.647,-0.616,,
1852,6,,-0.517,-0.652,,
1852,7,-0.378,-0.427,-0.684,,
1852,8,-0.37,-0.518,-0.727,,
1852,9,-0.719,-0.556,-0.762,,
1852,10,-0.868,-0.588,-0.777,,
1852,11,-0.527,-0.613,-0.757,,
1852,12,0.665,-0.654,-0.756,,
1853,1,-1.998,-0.619,-0.787,-0.646,
1853,2,-0.99,-0.649,-0.804,-0.658,
1853,3,-1.077,-0.662,-0.817,-0.671,
1853,4,-0.512,-0.633,-0.827,-0.674,
1853,5,-0.232,-0.687,-0.811,-0.663,
1853,6,-0.848,-0.874,-0.803,-0.655,
1853,7,0.048,-0.818,-0.832,-0.667,
1853,8,-0.73,-0.837,-0.85,-0.669,
1853,9,-0.877,-0.74,-0.844,-0.663,
1853,10,-0.516,-0.827,-0.85,-0.658,
1853,11,-1.172,-0.831,-0.852,-0.656,
1853,12,-1.578,-0.818,-0.846,-0.659,
1854,1,-1.331,-0.913,-0.847,-0.672,
1854,2,-1.218,-0.968,-0.845,-0.665,
1854,3,0.082,-0.984,-0.842,-0.671,
1854,4,-1.557,-0.979,-0.859,-0.663,
1854,5,-0.273,-0.998,-0.849,-0.661,
1854,6,-0.692,-1.012,-0.838,-0.662,
1854,7,-1.093,-0.972,-0.806,-0.663,
1854,8,-1.391,-1.02,-0.815,-0.664,
1854,9,-1.07,-1.156,-0.841,-0.665,
1854,10,-0.456,-1.085,-0.86,-0.665,
1854,11,-1.403,-1.073,-0.879,-0.679,
1854,12,-1.742,-1.067,-0.879,-0.695,
1855,1,-0.854,-1.091,-0.881,-0.712,
1855,2,-1.787,-1.069,-0.888,-0.725,
1855,3,-1.553,-1.078,-0.895,-0.75,
1855,4,-0.703,-1.191,-0.884,-0.755,
1855,5,-0.13,-1.121,-0.884,-0.755,
1855,6,-0.622,-1.01,-0.906,-0.747,
1855,7,-1.385,-1.085,-0.853,-0.752,
1855,8,-1.117,-1.031,-0.848,-0.757,
1855,9,-1.179,-0.955,-0.865,-0.757,
1855,10,-1.811,-0.959,-0.871,-0.756,
1855,11,-0.562,-0.993,-0.863,-0.747,
1855,12,-0.419,-0.955,-0.85,-0.747,
1856,1,-1.751,-0.889,-0.867,-0.752,
1856,2,-1.134,-0.823,-0.87,-0.754,
1856,3,-0.649,-0.824,-0.859,-0.755,
1856,4,-0.753,-0.779,-0.85,-0.759,
1856,5,-0.54,-0.793,-0.854,-0.764,
1856,6,-0.16,-0.777,-0.832,-0.762,
1856,7,-0.596,-0.728,-0.826,-0.759,
1856,8,-0.319,-0.669,-0.8,-0.762,
1856,9,-1.2,-0.799,-0.799,-0.757,
1856,10,-1.266,-0.841,-0.775,-0.766,
1856,11,-0.726,-0.886,-0.777,-0.755,
1856,12,-0.229,-0.899,-0.776,-0.75,
1857,1,-1.16,-0.89,-0.763,-0.729,
1857,2,-0.434,-0.933,-0.746,-0.732,
1857,3,-2.202,-0.925,-0.741,-0.732,
1857,4,-1.257,-0.839,-0.741,-0.735,
1857,5,-1.084,-0.821,-0.743,-0.741,
1857,6,-0.314,-0.856,-0.737,-0.742,
1857,7,-0.492,-0.663,-0.739,-0.74,-0.696
1857,8,-0.832,-0.683,-0.723,-0.739,-0.696
1857,9,-1.106,-0.674,-0.737,-0.739,-0.695
1857,10,-0.233,-0.642,-0.733,-0.746,-0.696
1857,11,-0.504,-0.533,-0.754,-0.758,-0.699
1857,12,-0.653,-0.513,-0.737,-0.783,-0.688
1858,1,1.155,-0.549,-0.718,-0.773,-0.682
1858,2,-0.668,-0.56,-0.71,-0.761,-0.692
1858,3,-2.094,-0.483,-0.697,-0.756,-0.692
1858,4,-0.875,-0.463,-0.686,-0.762,-0.695
1858,5,0.227,-0.537,-0.684,-0.767,-0.696
1858,6,-0.08,-0.507,-0.692,-0.763,-0.695
1858,7,-0.93,-0.681,-0.672,-0.768,-0.699
1858,8,-0.955,-0.598,-0.659,-0.77,-0.7
1858,9,-0.184,-0.412,-0.666,-0.772,-0.701
1858,10,-0.0,-0.351,-0.668,-0.778,-0.7
1858,11,-1.386,-0.398,-0.675,-0.777,-0.701
1858,12,-0.294,-0.445,-0.679,-0.778,-0.707
1859,1,-0.927,-0.392,-0.672,-0.774,-0.704
1859,2,0.327,-0.345,-0.678,-0.765,-0.694
1859,3,0.134,-0.393,-0.672,-0.783,-0.696
1859,4,-0.139,-0.433,-0.673,-0.784,-0.688
1859,5,-0.336,-0.442,-0.661,-0.797,-0.685
1859,6,-0.653,-0.537,-0.663,-0.799,-0.682
1859,7,-0.292,-0.541,-0.652,-0.795,-0.68
1859,8,-0.387,-0.634,-0.649,-0.794,-0.68
1859,9,-0.763,-0.846,-0.623,-0.788,-0.677
1859,10,-0.48,-0.872,-0.61,-0.795,-0.679
1859,11,-1.498,-0.959,-0.602,-0.795,-0.683
1859,12,-1.427,-0.874,-0.605,-0.787,-0.692
1860,1,-0.98,-0.869,-0.599,-0.791,-0.699
1860,2,-0.78,-0.889,-0.59,-0.781,-0.708
1860,3,-2.414,-0.861,-0.583,-0.776,-0.715
1860,4,-0.447,-0.916,-0.607,-0.776,-0.72
1860,5,-1.384,-0.827,-0.633,-0.781,-0.718
1860,6,0.361,-0.782,-0.661,-0.778,-0.713
1860,7,-0.228,-0.746,-0.693,-0.766,-0.714
1860,8,-0.622,-0.714,-0.675,-0.757,-0.714
1860,9,-0.436,-0.601,-0.647,-0.753,-0.71
1860,10,-1.133,-0.634,-0.652,-0.746,-0.709
1860,11,-0.432,-0.602,-0.672,-0.747,-0.71
1860,12,-0.889,-0.661,-0.675,-0.746,-0.714
1861,1,-0.544,-0.658,-0.669,-0.731,-0.721
1861,2,-0.393,-0.666,-0.669,-0.734,-0.721
1861,3,-1.065,-0.7,-0.686,-0.738,-0.718
1861,4,-0.838,-0.714,-0.706,-0.742,-0.717
1861,5,-1.0,-0.677,-0.7,-0.743,-0.718
1861,6,-0.35,-0.633,-0.723,-0.747,-0.716
1861,7,-0.195,,-0.722,-0.748,-0.714
1861,8,-0.714,,-0.73,-0.753,-0.712
1861,9,-0.845,,-0.766,-0.748,-0.708
1861,10,,,-0.792,-0.748,-0.711
1861,11,,,-0.817,-0.754,-0.71
1861,12,,,-0.821,-0.753,-0.713
1862,1,,,-0.827,-0.744,-0.706
1862,2,,,-0.841,-0.739,-0.708
1862,3,,,,-0.717,-0.709
1862,4,,,,-0.712,-0.705
1862,5,,,,-0.707,-0.705
1862,6,,,,-0.706,-0.702
1862,7,,,,-0.705,-0.7
1862,8,,,,-0.702,-0.699
1862,9,,,,-0.697,-0.694
1862,10,,,,-0.701,-0.694
1862,11,,,,-0.712,-0.698
1862,12,,,,-0.708,-0.71
1863,1,-0.741,,,-0.718,-0.71
1863,2,0.412,,,-0.726,-0.703
1863,3,-0.456,-1.0,,-0.713,-0.704
1863,4,-1.168,-0.959,,-0.717,-0.707
1863,5,-0.938,-0.874,,-0.729,-0.707
1863,6,-0.268,-0.815,,-0.736,-0.704
1863,7,-0.57,-0.827,,-0.732,-0.705
1863,8,-0.943,-0.875,,-0.73,-0.705
1863,9,-1.231,-1.006,,-0.738,-0.707
1863,10,-1.194,-1.05,,-0.743,-0.711
1863,11,-1.028,-1.125,,-0.747,-0.716
1863,12,-1.659,-1.178,,-0.755,-0.709
1864,1,-0.885,-1.182,,-0.736,-0.706
1864,2,-0.165,-1.209,,-0.723,-0.698
