Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1873,8,0.071,,,,
1873,9,0.077,,,,
1873,10,-0.388,-0.112,,,
1873,11,,-0.14,,,
1873,12,0.027,,,,
1874,1,-0.24,,,,
1874,2,-0.491,,,,
1874,3,-0.916,,,,
1874,4,-0.062,,,,
1874,5,-0.399,-0.301,,,
1874,6,,-0.35,,,
1874,7,-0.198,-0.42,,,
1874,8,-0.45,-0.449,,,
1874,9,-0.005,-0.435,,,
1874,10,-0.304,-0.471,,,
1874,11,-0.699,-0.471,,,
1874,12,-0.555,-0.499,,,
1875,1,-1.079,-0.483,,,
1875,2,-0.842,-0.477,,,
1875,3,-0.749,-0.525,-0.401,,
1875,4,-0.5,-0.577,-0.399,,
1875,5,-0.4,-0.635,-0.384,,
1875,6,-0.201,-0.662,-0.369,,
1875,7,-0.006,-0.662,-0.362,,
1875,8,-0.382,-0.704,-0.355,,
1875,9,-0.58,-0.712,-0.336,,
1875,10,-0.93,-0.665,-0.322,,
1875,11,-1.394,-0.683,-0.324,,
1875,12,-0.875,-0.672,-0.328,,
1876,1,-1.08,-0.686,-0.333,,
1876,2,-1.345,-0.704,-0.338,,
1876,3,-0.852,,-0.343,,
1876,4,,,-0.338,,
1876,5,-0.611,,-0.329,,
1876,6,-0.075,,-0.332,,
1876,7,,,-0.341,,
1876,8,,,-0.339,,
1876,9,,,-0.336,-0.333,
1876,10,-0.267,-0.479,-0.347,-0.334,
1876,11,-0.73,-0.443,-0.352,-0.329,
1876,12,-0.928,-0.422,-0.355,-0.324,
1877,1,-0.625,-0.373,-0.365,-0.315,
1877,2,-0.701,-0.288,-0.378,-0.31,
1877,3,-0.198,-0.229,-0.388,-0.311,
1877,4,-0.263,-0.21,-0.387,-0.314,
1877,5,-0.174,-0.147,-0.383,-0.316,
1877,6,0.177,-0.093,-0.385,-0.318,
1877,7,0.419,-0.084,-0.381,-0.322,
1877,8,0.42,-0.02,-0.388,-0.326,
1877,9,0.12,0.071,-0.391,-0.325,
1877,10,-0.044,0.119,-0.394,-0.325,
1877,11,0.032,0.118,-0.391,-0.324,
1877,12,-0.279,0.15,-0.395,-0.321,
1878,1,-0.519,0.125,-0.392,-0.318,
1878,2,0.069,0.07,-0.382,-0.325,
1878,3,0.892,0.044,-0.378,-0.322,
1878,4,0.317,0.036,-0.364,-0.314,
1878,5,-0.193,0.033,-0.342,-0.315,
1878,6,0.57,0.041,-0.327,-0.316,
1878,7,0.117,0.021,-0.305,-0.319,
1878,8,-0.238,-0.017,-0.286,-0.321,
1878,9,-0.194,-0.154,-0.263,-0.323,
1878,10,-0.138,-0.237,-0.258,-0.319,
1878,11,-0.007,-0.282,-0.242,-0.318,
1878,12,-0.182,-0.331,-0.244,-0.32,
1879,1,-0.765,-0.409,-0.234,-0.323,
1879,2,-0.385,-0.49,-0.234,-0.318,
1879,3,-0.744,-0.528,-0.225,-0.313,
1879,4,-0.682,-0.535,-0.224,-0.315,
1879,5,-0.732,-0.573,-0.221,-0.317,
1879,6,-0.018,-0.616,-0.207,-0.323,
1879,7,-0.825,-0.622,-0.197,-0.325,
1879,8,-1.205,-0.695,-0.192,-0.32,
1879,9,-0.656,-0.709,-0.196,-0.325,
1879,10,-0.212,-0.71,-0.205,-0.328,
1879,11,-0.463,-0.666,-0.208,-0.329,
1879,12,-0.704,-0.7,-0.218,-0.327,
1880,1,-0.832,-0.617,-0.23,-0.328,
1880,2,-1.267,-0.498,-0.244,-0.328,
1880,3,-0.908,-0.475,-0.249,-0.325,
1880,4,-0.698,-0.462,-0.251,-0.326,
1880,5,-0.209,-0.43,-0.263,-0.327,
1880,6,-0.425,-0.369,-0.272,-0.329,
1880,7,0.18,-0.28,-0.275,-0.329,
1880,8,0.217,-0.191,-0.295,-0.33,
1880,9,-0.376,-0.073,-0.308,,
1880,10,-0.063,0.014,-0.307,,
1880,11,-0.075,0.061,-0.306,,
1880,12,0.031,0.08,-0.305,,
1881,1,0.236,0.101,-0.305,,
1881,2,-0.206,0.037,-0.304,,
1881,3,0.515,0.065,-0.304,,
1881,4,0.348,0.049,-0.3,,
1881,5,0.352,0.011,-0.306,,
1881,6,,-0.001,-0.308,,-0.407
1881,7,0.43,-0.021,-0.304,,-0.412
1881,8,,-0.039,-0.297,,-0.417
1881,9,-0.039,-0.117,-0.289,-0.282,-0.418
1881,10,-0.252,-0.212,-0.284,-0.284,-0.421
1881,11,-0.542,-0.268,-0.282,-0.281,-0.417
1881,12,-0.107,-0.288,-0.291,-0.285,-0.413
1882,1,-0.009,-0.35,-0.286,-0.292,-0.407
1882,2,-0.417,-0.341,-0.262,-0.296,-0.405
1882,3,-0.417,-0.351,-0.261,-0.3,-0.403
1882,4,-0.792,-0.342,,-0.304,-0.404
1882,5,-0.33,-0.358,,-0.306,-0.408
1882,6,,-0.417,,-0.322,-0.41
1882,7,-0.305,-0.474,,-0.336,-0.416
1882,8,-0.452,,,-0.352,-0.419
1882,9,-0.152,,,-0.359,-0.421
1882,10,-0.142,,,-0.365,-0.424
1882,11,-0.742,,,-0.37,-0.422
1882,12,,-0.287,,-0.369,-0.415
1883,1,,,,-0.372,-0.412
1883,2,,,,-0.376,-0.413
1883,3,0.142,,,-0.382,-0.415
1883,4,0.348,,,-0.38,-0.417
1883,5,-0.096,,,-0.382,-0.417
1883,6,0.594,,,-0.396,-0.422
1883,7,,,,-0.406,-0.425
1883,8,,,,-0.413,-0.425
1883,9,,,,-0.415,-0.426
1883,10,0.104,,,-0.42,-0.426
1883,11,-0.398,,,-0.418,-0.423
1883,12,,,,-0.421,-0.423
1884,1,,,,-0.42,-0.423
1884,2,0.07,,,-0.417,-0.424
1884,3,-0.3,,,-0.408,-0.423
1884,4,-0.339,,,-0.403,-0.424
1884,5,-0.623,,,-0.399,-0.422
1884,6,,,,-0.402,-0.425
1884,7,,,,-0.402,-0.425
1884,8,,,,-0.396,-0.426
1884,9,,,,-0.397,-0.427
1884,10,,,,-0.404,-0.429
1884,11,,,,-0.403,-0.427
1884,12,,,,-0.394,-0.426
1885,1,,,,-0.392,-0.422
1885,2,,,,-0.389,-0.419
1885,3,,,,-0.394,-0.417
1885,4,,,,-0.398,-0.414
1885,5,,,,-0.402,-0.411
1885,6,,,,-0.411,-0.413
1885,7,,,,-0.42,-0.413
1885,8,,,,-0.434,-0.412
1885,9,,,,-0.441,-0.41
1885,10,,,,-0.443,-0.407
1885,11,,,,-0.447,-0.399
1885,12,,,,-0.447,-0.392
1886,1,-0.495,,,-0.452,-0.388
1886,2,-0.541,,,-0.456,-0.383
1886,3,0.026,-0.21,,-0.467,-0.383
1886,4,0.007,-0.212,,-0.471,-0.385
1886,5,-0.145,-0.19,,-0.476,-0.386
1886,6,-0.24,-0.327,,-0.48,-0.391
1886,7,0.039,-0.408,,-0.492,-0.394
1886,8,0.027,-0.461,,-0.498,-0.397
1886,9,-0.294,-0.521,,-0.502,-0.399
1886,10,-0.515,-0.579,,-0.508,-0.402
1886,11,-0.341,-0.607,,-0.505,-0.402
1886,12,-1.453,-0.728,,-0.502,-0.401
1887,1,-1.469,-0.837,,-0.499,-0.403
1887,2,-1.182,-0.967,,-0.5,-0.405
1887,3,-0.692,-0.997,-0.534,-0.495,-0.404
1887,4,-0.69,-1.022,-0.538,-0.494,-0.404
1887,5,-0.476,-1.043,-0.532,-0.5,-0.403
1887,6,-1.697,-0.937,-0.52,-0.502,-0.405
1887,7,-1.262,-0.881,-0.51,-0.509,-0.409
1887,8,-1.535,-0.824,-0.511,-0.512,-0.41
1887,9,-0.653,-0.743,-0.528,-0.517,-0.412
1887,10,-0.813,-0.648,-0.538,-0.524,-0.414
1887,11,-0.595,-0.64,-0.541,-0.52,-0.416
1887,12,-0.186,-0.595,-0.56,-0.51,-0.417
1888,1,-0.786,-0.577,-0.573,-0.505,-0.42
1888,2,-0.506,-0.543,-0.59,-0.502,-0.427
1888,3,0.286,-0.517,-0.597,-0.508,-0.434
1888,4,0.451,-0.51,-0.594,-0.52,-0.44
1888,5,-0.38,-0.443,-0.594,-0.519,-0.441
1888,6,-1.155,-0.473,-0.597,-0.528,-0.443
1888,7,-1.054,-0.462,-0.595,-0.53,-0.446
1888,8,-1.121,-0.423,-0.597,-0.528,-0.447
1888,9,-0.344,-0.416,-0.61,-0.528,-0.448
1888,10,-0.731,-0.461,-0.613,-0.533,-0.449
1888,11,0.208,-0.454,-0.615,-0.528,-0.445
1888,12,-0.542,-0.39,-0.622,-0.525,-0.446
