Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1816,4,-1.217,,,,
1816,5,-0.268,-1.663,,,
1816,6,-1.192,-1.607,,,
1816,7,-1.897,-1.647,,,
1816,8,-1.126,-1.391,,,
1816,9,-2.42,-1.448,,,
1816,10,-3.149,-1.354,,,
1816,11,-2.256,-1.485,,,
1816,12,-1.762,-1.599,,,
1817,1,-0.407,-1.583,,,
1817,2,-0.419,-1.556,,,
1817,3,-1.263,-1.63,,,
1817,4,-0.09,-1.554,,,
1817,5,-1.843,-1.464,-1.381,,
1817,6,-2.552,-1.492,-1.453,,
1817,7,-1.705,-1.504,-1.5,,
1817,8,-0.811,-1.586,-1.522,,
1817,9,-3.3,-1.527,-1.507,,
1817,10,-2.239,-1.505,-1.482,,
1817,11,-1.175,-1.368,-1.467,,
1817,12,-2.094,-1.218,-1.437,,
1818,1,-0.553,-1.188,-1.445,,
1818,2,-1.407,-1.19,-1.456,,
1818,3,-0.558,-1.16,-1.458,,
1818,4,0.171,-1.164,-1.454,,
1818,5,-0.193,-1.177,-1.445,,
1818,6,-0.747,-1.124,-1.436,,
1818,7,-1.352,-1.272,-1.433,,
1818,8,-0.831,-1.298,-1.36,-1.092,
1818,9,-2.945,-1.371,-1.352,-1.108,
1818,10,-2.28,-1.56,-1.335,-1.112,
1818,11,-1.334,-1.642,-1.333,-1.13,
1818,12,-1.46,-1.701,-1.323,-1.127,
1819,1,-2.322,-1.688,-1.302,-1.118,
1819,2,-1.725,-1.735,-1.296,-1.111,
1819,3,-1.428,-1.633,-1.295,-1.089,
1819,4,-2.103,-1.561,-1.268,-1.078,
1819,5,-1.173,-1.544,-1.241,-1.061,
1819,6,-1.454,-1.607,-1.222,-1.056,
1819,7,-1.199,-1.712,-1.197,-1.04,
1819,8,-1.398,-1.755,-1.163,-1.036,
1819,9,-1.715,-1.702,-1.106,-1.027,
1819,10,-1.419,-1.539,-1.116,-1.025,
1819,11,-1.127,-1.456,-1.084,-1.036,
1819,12,-2.227,-1.414,-1.053,-1.049,
1820,1,-3.573,-1.374,-1.03,-1.042,
1820,2,-2.247,-1.353,-1.029,-1.038,
1820,3,-0.793,-1.319,-1.003,-1.028,
1820,4,-0.143,-1.352,-0.994,-1.012,
1820,5,-0.177,-1.376,-1.001,-1.005,
1820,6,-0.954,-1.352,-0.998,-0.984,
1820,7,-0.719,-1.03,-0.986,-0.988,
1820,8,-1.136,-0.769,-0.958,-0.99,
1820,9,-1.318,-0.713,-0.954,-0.992,
1820,10,-1.804,-0.719,-0.951,-0.984,
1820,11,-1.414,-0.712,-0.954,-0.97,
1820,12,-1.942,-0.681,-0.951,-0.958,
1821,1,0.286,-0.677,-0.938,-0.961,
1821,2,0.892,-0.648,-0.945,-0.944,
1821,3,-0.124,-0.733,-0.934,-0.944,
1821,4,-0.213,-0.709,-0.916,-0.936,
1821,5,-0.098,-0.647,-0.921,-0.929,
1821,6,-0.584,-0.536,-0.916,,
1821,7,-0.667,-0.467,-0.871,,
1821,8,-0.788,-0.406,-0.85,,
1821,9,-2.337,-0.215,-0.828,,
1821,10,-1.52,-0.256,-0.796,,
1821,11,-0.674,-0.245,-0.776,,
1821,12,-0.603,-0.252,-0.755,,
1822,1,1.114,-0.224,-0.728,,
1822,2,1.624,-0.218,-0.713,,
1822,3,2.168,-0.168,-0.697,,
1822,4,-0.713,-0.185,-0.698,,
1822,5,0.044,-0.262,-0.691,,
1822,6,-0.667,-0.371,-0.646,,
1822,7,-0.339,-0.452,-0.584,,
1822,8,-0.712,-0.565,-0.553,,
1822,9,-1.741,-0.769,,,
1822,10,-1.718,-0.679,,,
1822,11,-1.595,-0.718,,,
1822,12,-1.916,-0.709,,,
1823,1,0.148,-0.729,,,
1823,2,0.266,-0.774,,,
1823,3,-0.283,-0.815,,,
1823,4,0.372,-0.775,,,
1823,5,-0.425,-0.778,,,
1823,6,-0.559,-0.716,,,
1823,7,-0.585,-0.696,,,
1823,8,-1.248,-0.757,,,
1823,9,-2.242,,,,
1823,10,-1.238,,,,
1823,11,-1.622,,,,
1823,12,,,,,
1824,1,,,,,
1824,2,,,,,
1824,3,,,,,
1824,4,,,,,
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,,,,,
1824,12,,,,,
1825,1,,,,,
1825,2,,,,,
1825,3,,,,,
1825,4,,,,,
1825,5,,,,,
1825,6,,,,,
1825,7,,,,,
1825,8,,,,,
1825,9,,,,,
1825,10,,,,,
1825,11,,,,,
1825,12,,,,,
1826,1,,,,,
1826,2,,,,,
1826,3,,,,,
1826,4,,,,,
1826,5,,,,,
1826,6,,,,,
1826,7,,,,,
1826,8,,,,,
1826,9,,,,,
1826,10,,,,,
1826,11,,,,,
1826,12,,,,,
1827,1,,,,,
1827,2,,,,,
1827,3,,,,,
1827,4,,,,,
1827,5,,,,,
1827,6,,,,,
1827,7,,,,,
1827,8,,,,,
1827,9,,,,,
1827,10,,,,,
1827,11,,,,,
1827,12,,,,,
1828,1,,,,,
1828,2,,,,,
1828,3,,,,,
1828,4,,,,,
1828,5,,,,,
1828,6,,,,,
1828,7,,,,,
1828,8,,,,,
1828,9,,,,,
1828,10,,,,,
1828,11,,,,,
1828,12,,,,,
1829,1,,,,,
1829,2,,,,,
1829,3,,,,,
1829,4,,,,,
1829,5,,,,,
1829,6,,,,,
1829,7,,,,,
1829,8,,,,,
1829,9,,,,,
1829,10,,,,,
1829,11,,,,,
1829,12,,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,-0.325,,,,
1833,2,-0.365,,,,
1833,3,-0.31,,,,
1833,4,-1.164,-0.892,,,
1833,5,-1.406,-0.742,,,
1833,6,0.002,-0.597,,,
1833,7,-0.284,-0.722,,,
1833,8,-0.56,-0.732,,,
1833,9,-0.927,-0.708,,,
1833,10,-0.973,-0.683,,,
1833,11,0.086,-0.562,,,
1833,12,-0.939,-0.666,,,
1834,1,-1.829,-0.645,,,
1834,2,-0.482,-0.65,,,
1834,3,-0.023,-0.669,,,
1834,4,-0.858,-0.708,-0.971,,
1834,5,0.04,-0.744,-0.971,,
1834,6,-1.238,-0.722,-0.955,,
1834,7,-0.039,-0.605,-0.945,,
1834,8,-0.615,-0.596,-0.927,,
1834,9,-1.163,-0.726,-0.941,,
1834,10,-1.43,-0.785,-0.97,,
1834,11,-0.349,-0.948,-0.966,,
1834,12,-0.677,-0.997,-0.978,,
1835,1,-0.429,-1.122,-0.985,,
1835,2,-0.37,-1.206,-0.979,,
1835,3,-1.583,-1.308,-0.963,,
1835,4,-1.562,-1.322,-0.962,,
1835,5,-1.916,-1.484,-0.952,,
1835,6,-1.83,-1.637,-0.915,,
1835,7,-1.544,-1.69,-0.931,,
1835,8,-1.621,-1.736,-0.947,,
