Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1855,6,-1.005,,,,
1855,7,-0.688,,,,
1855,8,-0.433,,,,
1855,9,-1.141,,,,
1855,10,-1.454,,,,
1855,11,-1.082,,,,
1855,12,-2.455,,,,
1856,1,,,,,
1856,2,,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,,,,,
1857,5,,,,,
1857,6,,,,,
1857,7,,,,,
1857,8,,,,,
1857,9,,,,,
1857,10,,,,,
1857,11,,,,,
1857,12,,,,,
1858,1,,,,,
1858,2,,,,,
1858,3,,,,,
1858,4,,,,,
1858,5,,,,,
1858,6,,,,,
1858,7,,,,,
1858,8,,,,,
1858,9,,,,,
1858,10,,,,,
1858,11,,,,,
1858,12,,,,,
1859,1,,,,,
1859,2,,,,,
1859,3,,,,,
1859,4,,,,,
1859,5,,,,,
1859,6,,,,,
1859,7,,,,,
1859,8,,,,,
1859,9,,,,,
1859,10,,,,,
1859,11,,,,,
1859,12,,,,,
1860,1,,,,,
1860,2,,,,,
1860,3,,,,,
1860,4,,,,,
1860,5,,,,,
1860,6,,,,,
1860,7,,,,,
1860,8,,,,,
1860,9,,,,,
1860,10,,,,,
1860,11,,,,,
1860,12,,,,,
1861,1,,,,,
1861,2,,,,,
1861,3,,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,,,,,
1862,2,,,,,
1862,3,,,,,
1862,4,,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,,,,,
1863,2,,,,,
1863,3,,,,,
1863,4,,,,,
1863,5,,,,,
1863,6,,,,,
1863,7,,,,,
1863,8,,,,,
1863,9,,,,,
1863,10,,,,,
1863,11,,,,,
1863,12,,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
1864,12,,,,,
1865,1,,,,,
1865,2,,,,,
1865,3,,,,,
1865,4,,,,,
1865,5,,,,,
1865,6,,,,,
1865,7,,,,,
1865,8,,,,,
1865,9,,,,,
1865,10,,,,,
1865,11,,,,,
1865,12,,,,,
1866,1,,,,,
1866,2,,,,,
1866,3,,,,,
1866,4,,,,,
1866,5,,,,,
1866,6,,,,,
1866,7,,,,,
1866,8,,,,,
1866,9,,,,,
1866,10,,,,,
1866,11,,,,,
1866,12,,,,,
1867,1,,,,,
1867,2,,,,,
1867,3,,,,,
1867,4,,,,,
1867,5,,,,,
1867,6,,,,,
1867,7,,,,,
1867,8,,,,,
1867,9,,,,,
1867,10,,,,,
1867,11,,,,,
1867,12,,,,,
1868,1,,,,,
1868,2,,,,,
1868,3,,,,,
1868,4,,,,,
1868,5,,,,,
1868,6,,,,,
1868,7,,,,,
1868,8,,,,,
1868,9,,,,,
1868,10,,,,,
1868,11,,,,,
1868,12,,,,,
1869,1,,,,,
1869,2,,,,,
1869,3,,,,,
1869,4,,,,,
1869,5,,,,,
1869,6,,,,,
1869,7,,,,,
1869,8,,,,,
1869,9,,,,,
1869,10,,,,,
1869,11,,,,,
1869,12,,,,,
1870,1,,,,,
1870,2,,,,,
1870,3,,,,,
1870,4,,,,,
1870,5,,,,,
1870,6,,,,,
1870,7,,,,,
1870,8,,,,,
1870,9,,,,,
1870,10,,,,,
1870,11,,,,,
1870,12,,,,,
1871,1,,,,,
1871,2,,,,,
1871,3,,,,,
1871,4,,,,,
1871,5,,,,,
1871,6,,,,,
1871,7,,,,,
1871,8,,,,,
1871,9,,,,,
1871,10,,,,,
1871,11,,,,,
1871,12,,,,,
1872,1,,,,,
1872,2,,,,,
1872,3,,,,,
1872,4,,,,,
1872,5,,,,,
1872,6,,,,,
1872,7,,,,,
1872,8,,,,,
1872,9,,,,,
1872,10,,,,,
1872,11,,,,,
1872,12,,,,,
1873,1,0.332,,,,
1873,2,0.172,,,,
1873,3,-0.559,,,,
1873,4,-0.009,,,,
1873,5,0.871,,,,
1873,6,1.212,,,,
1873,7,0.068,,,,
1873,8,0.555,,,,
1873,9,0.404,,,,
1873,10,,,,,
1873,11,,,,,
1873,12,,,,,
1874,1,-1.147,,,,
1874,2,-0.66,,,,
1874,3,-1.577,,,,
1874,4,-0.385,,,,
1874,5,-0.597,,,,
1874,6,,-0.622,,,
1874,7,0.458,-0.577,,,
1874,8,-0.101,-0.558,,,
1874,9,-0.126,-0.53,,,
1874,10,-0.73,-0.56,,,
1874,11,-1.156,-0.571,,,
1874,12,-1.139,-0.695,,,
1875,1,-0.618,-0.781,,,
1875,2,-0.425,-0.893,,,
1875,3,-1.239,-1.003,,,
1875,4,-0.745,-1.031,,,
1875,5,-0.735,-1.021,,,
1875,6,-1.784,-0.984,,,
1875,7,-0.579,-0.974,,,
1875,8,-1.433,-0.957,,,
1875,9,-1.458,-0.903,,,
1875,10,-1.066,,,,
1875,11,-1.031,,,,
1875,12,-0.7,,,,
1876,1,,,,,
1876,2,,,,,
1876,3,,,,,
1876,4,,,,,
1876,5,,,,,
1876,6,,,,,
1876,7,,,,,
1876,8,,,,,
1876,9,,,,,
1876,10,,,,,
1876,11,,,,,
1876,12,,,,,
1877,1,,,,,
1877,2,,,,,
1877,3,,,,,
1877,4,,,,,
1877,5,,,,,
1877,6,,,,,
1877,7,,,,,
1877,8,,,,,
1877,9,,,,,
1877,10,,,,,
1877,11,,,,,
1877,12,,,,,
1878,1,,,,,
1878,2,,,,,
1878,3,,,,,
1878,4,,,,,
1878,5,,,,,
1878,6,,,,,
1878,7,,,,,
1878,8,,,,,
1878,9,,,,,
1878,10,,,,,
1878,11,,,,,
1878,12,,,,,
1879,1,,,,,
1879,2,,,,,
1879,3,,,,,
1879,4,,,,,
1879,5,,,,,
1879,6,,,,,
1879,7,,,,,
1879,8,,,,,
1879,9,,,,,
1879,10,,,,,
1879,11,,,,,
1879,12,,,,,
1880,1,-0.513,,,,
1880,2,-0.622,,,,
1880,3,-0.952,,,,
1880,4,-0.793,-0.543,,,
1880,5,-0.104,-0.587,,,
1880,6,0.632,-0.576,,,
1880,7,0.542,-0.587,,,
1880,8,0.454,-0.61,,,
1880,9,-2.236,-0.579,,,
1880,10,-1.426,-0.523,,,
1880,11,-1.015,-0.512,,,
1880,12,-0.88,-0.606,,,
1881,1,,-0.697,,,
1881,2,,-0.786,,,
1881,3,-0.587,-0.539,,,
1881,4,-0.117,-0.455,,,
1881,5,0.032,-0.467,,,
1881,6,-0.505,-0.344,,,
1881,7,-0.553,,,,
1881,8,-0.608,,,,
1881,9,0.724,-0.218,,,
1881,10,-0.409,-0.305,,,
1881,11,-1.164,-0.327,,,
1881,12,0.593,-0.358,,,
1882,1,,-0.401,,,
1882,2,-0.247,-0.335,-0.56,,
1882,3,-0.455,-0.435,-0.55,,
1882,4,-1.163,-0.449,-0.569,,
1882,5,-0.237,-0.467,-0.573,,
1882,6,-0.881,-0.674,-0.573,,
1882,7,-1.068,-0.729,-0.582,,
1882,8,0.193,-0.783,-0.586,,
1882,9,-0.485,-0.747,-0.588,,
1882,10,-0.571,-0.746,-0.591,,
1882,11,,-0.722,-0.605,,
1882,12,,,-0.636,,
1883,1,-0.565,,-0.654,,
1883,2,-0.891,,-0.671,,
1883,3,-0.026,,-0.633,,
1883,4,-1.144,,-0.617,,
1883,5,0.052,,-0.604,,
1883,6,,,-0.588,,
1883,7,-0.57,,-0.59,,
1883,8,-1.234,,-0.602,,
1883,9,-0.948,,-0.608,,
1883,10,,,-0.62,,
1883,11,-1.127,,-0.639,,
1883,12,-0.603,-0.818,-0.655,,
1884,1,-0.56,-0.807,-0.656,,
1884,2,-0.384,-0.57,-0.661,,
1884,3,-0.19,-0.565,-0.681,,
1884,4,-0.905,-0.689,-0.689,,
1884,5,-1.625,-0.659,-0.684,,
1884,6,-1.659,-0.692,-0.699,,
1884,7,-0.435,-0.734,-0.727,,
1884,8,1.612,-0.773,-0.742,,
1884,9,-0.895,-0.844,-0.749,,
1884,10,-1.499,-0.851,-0.743,,
1884,11,-0.766,-0.796,-0.755,,
