Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-1.189,-0.609,,,
1750,3,1.712,-0.585,,,
1750,4,0.449,-0.515,,,
1750,5,-1.547,-0.707,,,
1750,6,0.142,-0.686,,,
1750,7,0.598,-0.732,,,
1750,8,0.63,-0.907,,,
1750,9,-0.299,-0.969,,,
1750,10,-0.731,-1.145,,,
1750,11,-3.771,-1.093,,,
1750,12,-2.751,-1.161,,,
1751,1,-2.022,-1.097,,,
1751,2,-3.294,-1.054,,,
1751,3,0.966,-1.039,,,
1751,4,-1.66,-1.079,,,
1751,5,-0.918,-1.063,,,
1751,6,-0.678,-1.05,,,
1751,7,1.359,-1.013,,,
1751,8,1.15,-0.643,,,
1751,9,-0.119,-0.705,,,
1751,10,-1.215,-0.658,,,
1751,11,-3.571,-0.64,,,
1751,12,-2.596,-0.449,,,
1752,1,-1.581,-0.492,,,
1752,2,1.142,-0.681,,,
1752,3,0.229,,,,
1752,4,-1.093,,,,
1752,5,-0.708,,,,
1752,6,1.619,,,,
1752,7,0.843,,,,
1752,8,-1.123,,,,
1752,9,,,,,
1752,10,-0.325,,,,
1752,11,-0.65,,,,
1752,12,-1.483,,,,
1753,1,-1.663,,,,
1753,2,-1.542,,,,
1753,3,0.864,-0.315,,,
1753,4,0.362,-0.317,,,
1753,5,0.284,-0.42,,,
1753,6,1.017,-0.482,,,
1753,7,0.695,-0.436,,,
1753,8,-0.723,-0.551,,,
1753,9,-0.617,-0.875,,,
1753,10,-0.35,-0.813,,,
1753,11,-1.89,-0.76,,,
1753,12,-2.22,-0.761,,,
1754,1,-1.117,-0.81,,,
1754,2,-2.915,-0.747,,,
1754,3,-3.027,-0.763,,,
1754,4,1.102,-0.655,,,
1754,5,0.926,-0.474,,,
1754,6,1.001,-0.323,,,
1754,7,0.115,-0.495,,,
1754,8,0.033,-0.597,,,
1754,9,-0.812,-0.418,,,
1754,10,0.939,-0.27,,,
1754,11,0.287,-0.317,,,
1754,12,-0.414,-0.219,,,
1755,1,-3.177,-0.184,,,
1755,2,-4.138,-0.295,,,
1755,3,-0.879,-0.344,-0.251,,
1755,4,2.878,-0.378,-0.305,,
1755,5,0.366,-0.574,-0.328,,
1755,6,2.171,-0.572,-0.337,,
1755,7,0.542,-0.289,-0.378,,
1755,8,-1.304,0.162,-0.404,,
1755,9,-1.398,0.264,-0.429,,
1755,10,0.534,-0.001,-0.442,,
1755,11,-2.066,-0.008,-0.463,,
1755,12,-0.398,-0.065,-0.473,,
1756,1,0.222,-0.099,-0.51,,
1756,2,1.28,0.047,-0.523,,
1756,3,0.346,0.151,-0.548,,
1756,4,-0.312,0.054,-0.587,,
1756,5,0.284,-0.012,-0.566,,
1756,6,1.485,-0.143,-0.534,,
1756,7,0.139,-0.356,-0.49,,
1756,8,0.454,-0.436,-0.421,,
1756,9,-0.159,-0.516,-0.371,,
1756,10,-0.631,-0.411,-0.394,,
1756,11,-2.853,-0.345,-0.428,,
1756,12,-1.966,-0.297,-0.433,,
1757,1,-2.335,-0.064,-0.424,,
1757,2,0.322,0.044,-0.427,,
1757,3,-0.614,0.015,-0.416,,
1757,4,0.939,-0.23,-0.439,,
1757,5,1.074,-0.161,-0.508,,
1757,6,2.061,-0.167,-0.534,,
1757,7,2.946,-0.313,-0.511,,
1757,8,1.75,-0.601,-0.469,,
1757,9,-0.519,-0.602,-0.487,-0.468,
1757,10,-3.562,-0.716,-0.517,-0.477,
1757,11,-2.026,-0.887,-0.523,-0.478,
1757,12,-2.04,-1.024,-0.553,-0.495,
1758,1,-4.084,-1.392,-0.564,-0.512,
1758,2,-3.14,-1.665,-0.554,-0.5,
1758,3,-0.619,-1.798,-0.55,-0.525,
1758,4,-0.429,-1.726,-0.567,-0.532,
1758,5,-0.977,-1.612,-0.548,-0.547,
1758,6,0.411,-1.465,-0.558,-0.563,
1758,7,-1.467,-0.998,-0.592,-0.558,
1758,8,-1.526,-0.632,-0.631,-0.546,
1758,9,-2.112,-0.582,-0.621,-0.55,
1758,10,-2.703,-0.573,-0.619,-0.566,
1758,11,-0.655,-0.582,-0.598,-0.568,
1758,12,-0.276,-0.56,-0.598,-0.549,
1759,1,1.519,-0.383,-0.558,-0.54,
1759,2,1.243,-0.265,-0.555,-0.502,
1759,3,-0.014,-0.105,-0.538,-0.491,
1759,4,-0.325,0.086,-0.567,-0.507,
1759,5,-1.079,-0.184,-0.544,-0.505,
1759,6,0.673,-0.325,-0.578,-0.516,
1759,7,0.659,-0.598,-0.53,-0.516,
1759,8,-0.116,-0.836,-0.548,-0.529,
1759,9,-0.192,-1.002,-0.581,-0.534,
1759,10,-0.404,-0.885,-0.57,-0.551,
1759,11,-3.899,-0.792,-0.577,-0.566,
1759,12,-1.964,-0.818,-0.621,-0.556,
1760,1,-1.759,-0.881,-0.657,-0.504,
1760,2,-1.609,-0.931,-0.685,-0.483,
1760,3,-2.014,-1.011,-0.686,-0.467,
1760,4,1.079,-1.019,-0.649,-0.485,
1760,5,0.048,-0.77,-0.628,-0.495,
1760,6,0.352,-0.692,-0.652,-0.518,
1760,7,-0.089,-0.694,-0.646,-0.536,
1760,8,-0.723,-0.652,-0.596,-0.531,
1760,9,-1.153,-0.402,-0.62,-0.524,
1760,10,-0.502,-0.509,-0.621,-0.53,
1760,11,-0.911,-0.382,-0.631,-0.518,
1760,12,-1.027,-0.288,-0.653,-0.529,
1761,1,-1.774,-0.073,-0.607,-0.567,
1761,2,-1.108,0.043,-0.57,-0.592,
1761,3,0.983,0.212,-0.553,-0.594,
1761,4,-0.205,0.054,-0.545,-0.588,
1761,5,1.573,0.006,-0.569,-0.585,
1761,6,1.481,-0.239,-0.564,-0.592,
1761,7,2.486,-0.049,-0.59,-0.606,
1761,8,0.678,-0.018,-0.582,-0.611,
1761,9,0.868,-0.319,-0.611,-0.612,
1761,10,-2.394,-0.165,-0.62,-0.614,
1761,11,-1.491,-0.244,-0.583,-0.581,
1761,12,-3.963,-0.413,-0.599,-0.578,
1762,1,0.505,-0.558,-0.608,-0.613,
1762,2,-0.74,-0.608,-0.632,-0.613,
1762,3,-2.62,-0.726,-0.653,-0.604,
1762,4,1.633,-0.642,-0.664,-0.63,
1762,5,0.627,-0.579,-0.624,-0.65,
1762,6,-0.546,-0.541,-0.577,-0.671,
1762,7,0.751,-0.893,-0.497,-0.692,
1762,8,0.079,-0.84,-0.497,-0.709,
1762,9,-0.549,-0.796,-0.446,-0.71,-0.622
1762,10,-1.389,-0.972,-0.452,-0.681,-0.619
1762,11,-0.736,-1.154,-0.468,-0.655,-0.609
1762,12,-3.507,-1.184,-0.484,-0.664,-0.599
1763,1,-3.722,-1.141,-0.509,-0.671,-0.593
1763,2,-0.097,-1.087,-0.507,-0.678,-0.594
1763,3,-2.097,-1.132,-0.498,-0.691,-0.605
1763,4,-0.475,-1.202,-0.492,-0.688,-0.607
1763,5,-1.559,-1.318,-0.487,-0.688,-0.602
1763,6,-0.911,-1.021,-0.499,-0.703,-0.612
1763,7,1.276,-0.718,-0.542,-0.686,-0.619
1763,8,0.724,-0.566,-0.553,-0.675,-0.622
1763,9,-1.098,-0.535,-0.567,-0.67,-0.616
1763,10,-2.219,-0.566,-0.557,-0.657,-0.611
1763,11,-2.135,-0.342,-0.572,-0.661,-0.609
1763,12,0.055,-0.291,-0.587,-0.676,-0.59
1764,1,-0.082,-0.386,-0.653,-0.679,-0.59
1764,2,1.732,-0.579,-0.668,-0.702,-0.578
1764,3,-1.727,-0.605,-0.686,-0.711,-0.562
1764,4,-0.85,-0.509,-0.661,-0.705,-0.559
1764,5,1.132,-0.458,-0.618,-0.697,-0.555
1764,6,-0.298,-0.39,-0.579,-0.699,-0.554
1764,7,0.134,-0.129,-0.695,-0.708,-0.55
1764,8,-1.589,-0.411,-0.677,-0.714,-0.546
1764,9,-1.414,-0.178,-0.627,-0.715,-0.546
1764,10,-1.068,-0.046,-0.69,-0.749,-0.555
1764,11,-1.527,-0.216,-0.722,-0.726,-0.573
1764,12,0.88,-0.242,-0.721,-0.728,-0.588
1765,1,3.042,-0.389,-0.727,-0.725,-0.577
1765,2,-1.647,-0.307,-0.733,-0.715,-0.553
1765,3,1.067,-0.237,-0.735,-0.718,-0.544
1765,4,0.74,-0.163,-0.713,-0.73,-0.562
1765,5,-0.916,-0.087,-0.682,-0.739,-0.57
1765,6,-0.606,-0.306,-0.675,-0.752,-0.578
1765,7,-1.627,-0.921,-0.697,-0.765,-0.578
1765,8,-0.61,-0.932,-0.759,-0.771,-0.569
1765,9,-0.574,-1.007,-0.761,-0.76,-0.562
1765,10,-0.181,-1.035,-0.754,-0.756,-0.56
1765,11,-0.608,-0.903,-0.746,-0.749,-0.549
1765,12,-1.748,-0.807,-0.754,-0.736,-0.557
1766,1,-4.341,-0.79,-0.766,-0.71,-0.571
1766,2,-1.782,-0.76,-0.781,-0.732,-0.575
1766,3,0.165,-0.73,-0.788,-0.763,-0.574
1766,4,0.414,-0.789,-0.769,-0.786,-0.575
1766,5,0.667,-0.65,-0.752,-0.792,-0.583
1766,6,0.545,-0.636,-0.788,-0.814,-0.592
1766,7,-1.425,-0.816,-0.768,-0.836,-0.594
1766,8,-0.249,-0.638,-0.822,-0.844,-0.594
1766,9,-0.222,-0.621,-0.81,-0.853,-0.601
1766,10,-0.885,-0.83,-0.791,-0.831,-0.605
1766,11,1.065,-0.997,-0.812,-0.847,-0.601
1766,12,-1.582,-1.08,-0.8,-0.817,-0.602
1767,1,-6.497,-0.928,-0.808,-0.811,-0.599
1767,2,0.347,-0.934,-0.797,-0.792,-0.603
1767,3,0.376,-0.97,-0.777,-0.763,-0.596
1767,4,-2.097,-0.899,-0.833,-0.773,-0.608
1767,5,-1.336,-0.896,-0.828,-0.791,-0.615
1767,6,-0.451,-1.023,-0.879,-0.781,-0.627
1767,7,0.396,-0.899,-0.953,-0.78,-0.645
1767,8,-0.319,-1.25,-0.932,-0.779,-0.653
1767,9,-0.66,-1.465,-0.99,-0.775,-0.655
1767,10,-0.035,-1.295,-1.008,-0.76,-0.645
1767,11,1.1,-1.271,-1.011,-0.741,-0.639
1767,12,-3.104,-1.352,-1.02,-0.702,-0.638
1768,1,-5.003,-1.336,-1.022,-0.673,-0.614
1768,2,-3.869,-1.327,-1.035,-0.689,-0.605
1768,3,-2.198,-1.397,-1.022,-0.685,-0.602
1768,4,-0.061,-1.486,-1.02,-0.681,-0.591
1768,5,-1.044,-1.671,-1.011,-0.657,-0.584
