Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1859,12,-0.19,,,,
1860,1,-1.069,-0.453,,,
1860,2,-0.145,-0.384,,,
1860,3,-1.123,-0.419,,,
1860,4,-0.714,-0.434,,,
1860,5,-0.099,-0.52,,,
1860,6,0.13,-0.635,,,
1860,7,-0.527,-0.687,,,
1860,8,0.44,-0.806,,,
1860,9,-0.944,-0.81,,,
1860,10,-0.689,-0.825,,,
1860,11,-1.312,-0.863,,,
1860,12,-1.563,-0.871,,,
1861,1,-1.693,-0.855,-0.594,,
1861,2,-1.582,-0.892,-0.599,,
1861,3,-1.169,-0.806,-0.609,,
1861,4,-0.895,-0.82,-0.617,,
1861,5,-0.556,-0.75,-0.635,,
1861,6,0.034,-0.674,-0.628,,
1861,7,-0.335,-0.693,-0.626,,
1861,8,-0.001,-0.652,-0.622,,
1861,9,0.092,-0.652,-0.635,,
1861,10,-0.855,-0.668,-0.66,,
1861,11,-0.471,-0.641,-0.666,,
1861,12,-0.66,-0.667,-0.671,,
1862,1,-1.92,-0.656,-0.669,,
1862,2,-1.087,-0.731,-0.666,,
1862,3,-1.174,-0.819,-0.66,,
1862,4,-1.087,-0.85,-0.659,,
1862,5,-0.227,-0.887,-0.665,,
1862,6,-0.281,-0.906,-0.669,,
1862,7,-0.195,-0.756,-0.654,,
1862,8,-0.906,-0.683,-0.662,,
1862,9,-0.968,-0.661,-0.648,,
1862,10,-1.222,-0.607,-0.647,,
1862,11,-0.92,-0.634,-0.648,,
1862,12,-0.891,-0.614,-0.651,,
1863,1,-0.109,-0.615,-0.633,,
1863,2,-0.214,-0.591,-0.633,,
1863,3,-0.912,-0.614,-0.62,,
1863,4,-0.443,-0.597,-0.606,,
1863,5,-0.549,-0.593,-0.588,,
1863,6,-0.045,-0.569,-0.571,,
1863,7,-0.206,-0.63,-0.538,,
1863,8,-0.61,-0.659,-0.518,,
1863,9,-1.247,-0.685,-0.509,,
1863,10,-1.021,-0.788,-0.504,,
1863,11,-0.867,-0.739,-0.494,,
1863,12,-0.606,-0.748,-0.499,,
1864,1,-0.837,-0.766,-0.49,,
1864,2,-0.564,-0.731,-0.491,,
1864,3,-1.222,-0.641,-0.496,,
1864,4,-1.678,-0.595,-0.493,,
1864,5,0.034,-0.574,-0.482,,
1864,6,-0.152,-0.561,-0.47,,
1864,7,-0.421,-0.506,-0.441,,
1864,8,-0.189,-0.51,-0.432,,
1864,9,-0.168,-0.431,-0.427,,
1864,10,-0.468,-0.348,-0.417,,
1864,11,-0.618,-0.363,-0.422,,
1864,12,-0.455,-0.353,,,
1865,1,-0.169,-0.275,,,
1865,2,-0.61,-0.219,,,
1865,3,-0.277,-0.22,,,
1865,4,-0.689,-0.166,,,
1865,5,-0.137,-0.137,,,
1865,6,-0.038,-0.143,,,
1865,7,0.524,-0.103,,,
1865,8,0.478,-0.085,,,
1865,9,-0.18,-0.115,,,
1865,10,0.183,-0.107,,,
1865,11,-0.278,-0.092,,,
1865,12,-0.52,,,,
1866,1,0.305,,,,
1866,2,-0.392,,,,
1866,3,,,,,
1866,4,,,,,
1866,5,,,,,
1866,6,,,,,
1866,7,,,,,
1866,8,,,,,
1866,9,,,,,
1866,10,,,,,
1866,11,,,,,
1866,12,,,,,
1867,1,,,,,
1867,2,,,,,
1867,3,,,,,
1867,4,,,,,
1867,5,,,,,
1867,6,,,,,
1867,7,,,,,
1867,8,,,,,
1867,9,,,,,
1867,10,,,,,
1867,11,,,,,
1867,12,,,,,
1868,1,,,,,
1868,2,,,,,
1868,3,,,,,
1868,4,,,,,
1868,5,,,,,
1868,6,,,,,
1868,7,,,,,
1868,8,,,,,
1868,9,,,,,
1868,10,,,,,
1868,11,,,,,
1868,12,,,,,
1869,1,,,,,
1869,2,,,,,
1869,3,,,,,
1869,4,,,,,
1869,5,,,,,
1869,6,,,,,
1869,7,,,,,
1869,8,,,,,
1869,9,,,,,
1869,10,,,,,
1869,11,,,,,
1869,12,,,,,
1870,1,,,,,
1870,2,,,,,
1870,3,,,,,
1870,4,,,,,
1870,5,,,,,
1870,6,,,,,
1870,7,,,,,
1870,8,,,,,
1870,9,,,,,
1870,10,,,,,
1870,11,,,,,
1870,12,,,,,
1871,1,,,,,
1871,2,,,,,
1871,3,,,,,
1871,4,,,,,
1871,5,,,,,
1871,6,,,,,
1871,7,,,,,
1871,8,,,,,
1871,9,,,,,
1871,10,,,,,
1871,11,,,,,
1871,12,,,,,
1872,1,,,,,
1872,2,,,,,
1872,3,,,,,
1872,4,,,,,
1872,5,,,,,
1872,6,,,,,
1872,7,,,,,
1872,8,,,,,
1872,9,,,,,
1872,10,,,,,
1872,11,,,,,
1872,12,,,,,
1873,1,,,,,
1873,2,,,,,
1873,3,,,,,
1873,4,,,,,
1873,5,,,,,
1873,6,,,,,
1873,7,,,,,
1873,8,,,,,
1873,9,,,,,
1873,10,,,,,
1873,11,,,,,
1873,12,,,,,
1874,1,,,,,
1874,2,,,,,
1874,3,,,,,
1874,4,,,,,
1874,5,,,,,
1874,6,,,,,
1874,7,,,,,
1874,8,,,,,
1874,9,,,,,
1874,10,,,,,
1874,11,,,,,
1874,12,,,,,
1875,1,,,,,
1875,2,,,,,
1875,3,,,,,
1875,4,,,,,
1875,5,,,,,
1875,6,,,,,
1875,7,,,,,
1875,8,,,,,
1875,9,,,,,
1875,10,,,,,
1875,11,,,,,
1875,12,,,,,
1876,1,,,,,
1876,2,,,,,
1876,3,,,,,
1876,4,,,,,
1876,5,,,,,
1876,6,,,,,
1876,7,,,,,
1876,8,,,,,
1876,9,,,,,
1876,10,,,,,
1876,11,,,,,
1876,12,,,,,
1877,1,,,,,
1877,2,,,,,
1877,3,,,,,
1877,4,,,,,
1877,5,,,,,
