Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,3,-0.087,,,,
1824,4,0.085,-0.619,,,
1824,5,-0.297,-0.505,,,
1824,6,,-0.353,,,
1824,7,0.306,-0.336,,,
1824,8,-0.8,-0.286,,,
1824,9,-0.865,-0.255,,,
1824,10,-1.184,-0.227,,,
1824,11,-0.296,-0.204,,,
1824,12,0.122,-0.188,,,
1825,1,-0.04,-0.205,,,
1825,2,-0.307,-0.179,,,
1825,3,0.288,-0.193,,,
1825,4,0.425,-0.169,,,
1825,5,-0.03,-0.142,,,
1825,6,0.119,-0.178,,,
1825,7,0.105,-0.247,-0.444,,
1825,8,-0.488,-0.302,-0.42,,
1825,9,-1.024,-0.397,-0.413,,
1825,10,-0.905,-0.443,-0.399,,
1825,11,0.028,-0.431,-0.385,,
1825,12,-0.305,-0.492,-0.38,,
1826,1,,-0.507,-0.374,,
1826,2,-0.966,-0.545,-0.36,,
1826,3,-0.846,-0.555,-0.35,,
1826,4,-0.125,-0.571,-0.333,,
1826,5,0.105,-0.576,-0.301,,
1826,6,,-0.495,-0.272,,
1826,7,-0.079,-0.439,-0.281,,
1826,8,-0.936,-0.328,-0.284,,
1826,9,-1.146,-0.221,-0.293,,
1826,10,-1.098,-0.15,-0.299,,
1826,11,-0.035,-0.145,-0.297,,
1826,12,0.664,-0.102,-0.309,,
1827,1,-0.202,-0.078,-0.315,,
1827,2,0.374,-0.06,-0.311,,
1827,3,0.433,-0.066,-0.313,,
1827,4,0.726,-0.059,-0.304,,
1827,5,0.17,-0.042,-0.311,,
1827,6,,-0.115,-0.321,,
1827,7,0.211,-0.141,-0.314,,
1827,8,-0.723,-0.204,-0.301,,
1827,9,-1.214,-0.262,-0.324,,
1827,10,-1.018,-0.337,-0.331,,
1827,11,0.167,-0.35,-0.347,,
1827,12,-0.211,-0.311,-0.358,,
1828,1,-0.511,-0.322,-0.35,,
1828,2,-0.385,-0.273,-0.35,,
1828,3,-0.257,-0.275,-0.355,,
1828,4,-0.172,-0.248,,,
1828,5,0.009,-0.239,,,
1828,6,0.367,-0.217,,,
1828,7,0.084,-0.242,,,
1828,8,-0.133,-0.302,,,
1828,9,-1.24,-0.33,,,
1828,10,,-0.34,,,
1828,11,0.271,-0.356,,,
1828,12,0.054,-0.449,,,
1829,1,-0.802,-0.464,,,
1829,2,-1.107,-0.497,,,
1829,3,-0.592,-0.479,,,
1829,4,-0.292,-0.474,,,
1829,5,-0.187,-0.555,,,
1829,6,,-0.599,,,
1829,7,-0.103,-0.503,,,
1829,8,-0.528,,,,
1829,9,-1.025,,,,
1829,10,,,,,
1829,11,-0.701,,,,
1829,12,-0.466,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,,,,,
1839,5,,,,,
1839,6,,,,,
1839,7,,,,,
1839,8,,,,,
1839,9,,,,,
1839,10,,,,,
1839,11,,,,,
1839,12,,,,,
1840,1,,,,,
1840,2,,,,,
1840,3,,,,,
1840,4,,,,,
1840,5,,,,,
1840,6,,,,,
1840,7,,,,,
1840,8,,,,,
1840,9,,,,,
1840,10,,,,,
1840,11,,,,,
1840,12,,,,,
1841,1,,,,,
1841,2,,,,,
1841,3,,,,,
1841,4,,,,,
1841,5,,,,,
1841,6,,,,,
1841,7,,,,,
1841,8,,,,,
1841,9,,,,,
1841,10,,,,,
1841,11,,,,,
1841,12,,,,,
1842,1,,,,,
1842,2,,,,,
1842,3,,,,,
1842,4,,,,,
1842,5,,,,,
1842,6,,,,,
1842,7,,,,,
1842,8,,,,,
1842,9,,,,,
1842,10,,,,,
1842,11,,,,,
1842,12,,,,,
1843,1,,,,,
1843,2,,,,,
1843,3,,,,,
1843,4,,,,,
1843,5,,,,,
1843,6,,,,,
1843,7,,,,,
1843,8,,,,,
1843,9,,,,,
1843,10,,,,,
1843,11,,,,,
1843,12,,,,,
1844,1,,,,,
1844,2,,,,,
1844,3,,,,,
1844,4,,,,,
1844,5,,,,,
1844,6,,,,,
1844,7,,,,,
1844,8,,,,,
1844,9,,,,,
1844,10,,,,,
1844,11,,,,,
1844,12,,,,,
1845,1,-0.346,,,,
1845,2,-1.857,,,,
1845,3,-0.949,-0.938,,,
1845,4,-0.64,-1.042,,,
1845,5,-0.949,-1.026,,,
1845,6,-0.764,-1.024,,,
1845,7,-0.088,-0.976,,,
1845,8,-0.661,-0.831,,,
1845,9,-0.986,-0.715,,,
1845,10,,-0.772,,,
1845,11,,-0.743,,,
1845,12,,-0.698,,,
1846,1,0.225,-0.686,,,
1846,2,-0.113,-0.648,,,
1846,3,0.445,-0.607,,,
1846,4,-1.321,-0.554,,,
1846,5,-0.61,-0.539,,,
1846,6,-0.221,-0.389,-0.832,,
1846,7,0.062,-0.375,-0.819,,
1846,8,-0.214,-0.382,-0.804,,
1846,9,-0.488,-0.528,-0.792,,
1846,10,-1.094,-0.472,-0.787,,
1846,11,-1.093,-0.541,-0.787,,
1846,12,-0.244,-0.564,-0.783,,
1847,1,0.387,-0.61,-0.778,,
1847,2,-0.192,-0.635,-0.769,,
1847,3,-1.303,-0.642,-0.759,,
