Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-1.252,,,,
1750,3,,,,,
1750,4,0.236,,,,
1750,5,-1.654,,,,
1750,6,-0.009,,,,
1750,7,0.604,,,,
1750,8,0.64,,,,
1750,9,,,,,
1750,10,-1.214,,,,
1750,11,-4.552,,,,
1750,12,-3.227,,,,
1751,1,-1.85,,,,
1751,2,-3.326,,,,
1751,3,1.137,-1.2,,,
1751,4,-1.575,-1.244,,,
1751,5,-0.981,-1.177,,,
1751,6,-0.726,-1.125,,,
1751,7,1.441,-1.154,,,
1751,8,0.792,-0.756,,,
1751,9,-0.327,-0.792,,,
1751,10,-1.738,-0.765,,,
1751,11,-3.75,-0.732,,,
1751,12,-2.604,-0.576,,,
1752,1,-2.197,-0.607,,,
1752,2,1.45,-0.764,,,
1752,3,0.706,,,,
1752,4,-1.242,,,,
1752,5,-0.592,,,,
1752,6,1.146,,,,
1752,7,1.074,,,,
1752,8,-1.096,,,,
1752,9,,,,,
1752,10,-0.562,,,,
1752,11,-0.724,,,,
1752,12,-1.546,,,,
1753,1,-1.045,,,,
1753,2,-1.66,,,,
1753,3,1.288,-0.412,,,
1753,4,-0.063,-0.39,,,
1753,5,0.143,-0.487,,,
1753,6,0.513,-0.656,,,
1753,7,0.335,-0.637,,,
1753,8,-0.808,-0.748,,,
1753,9,-0.811,-1.013,,,
1753,10,-0.306,-0.841,,,
1753,11,-1.885,-0.793,,,
1753,12,-3.573,-0.757,,,
1754,1,-0.814,-0.764,,,
1754,2,-2.994,-0.752,,,
1754,3,-1.892,-0.779,,,
1754,4,1.996,-0.694,,,
1754,5,0.726,-0.566,,,
1754,6,0.938,-0.312,,,
1754,7,0.254,-0.416,,,
1754,8,-0.663,-0.472,,,
1754,9,-1.133,-0.379,,,
1754,10,0.717,-0.408,,,
1754,11,-0.354,-0.433,,,
1754,12,-0.527,-0.362,,,
1755,1,-2.055,-0.323,,,
1755,2,-3.665,-0.391,,,
1755,3,-0.782,-0.407,-0.263,,
1755,4,,-0.369,-0.317,,
1755,5,0.422,-0.51,-0.344,,
1755,6,1.791,-0.578,-0.365,,
1755,7,0.716,-0.361,-0.422,,
1755,8,-1.477,0.106,-0.449,,
1755,9,-1.326,0.206,-0.483,,
1755,10,1.179,0.08,-0.497,,
1755,11,-2.047,0.072,-0.532,,
1755,12,-1.351,0.03,-0.542,,
1756,1,0.552,-0.026,-0.567,,
1756,2,1.941,0.08,-0.591,,
1756,3,0.416,0.159,-0.615,,
1756,4,0.14,0.008,-0.66,,
1756,5,0.329,-0.059,-0.649,,
1756,6,1.291,-0.166,-0.608,,
1756,7,0.044,-0.394,-0.567,,
1756,8,-0.206,-0.481,-0.498,,
1756,9,-0.379,-0.528,-0.466,,
1756,10,-0.628,-0.479,-0.519,,
1756,11,-2.851,-0.44,-0.561,,
1756,12,-2.644,-0.341,-0.567,,
1757,1,-2.184,-0.096,-0.579,,
1757,2,0.898,0.074,-0.57,,
1757,3,-0.148,0.122,-0.559,,
1757,4,0.732,-0.139,-0.589,,
1757,5,0.792,-0.098,-0.649,,
1757,6,2.485,-0.113,-0.701,,
1757,7,2.978,-0.302,-0.715,,
1757,8,1.837,-0.652,-0.675,,
1757,9,0.195,-0.701,-0.699,-0.652,
