Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1873,8,-0.16,,,,
1873,9,0.26,,,,
1873,10,-0.562,-0.227,,,
1873,11,,-0.249,,,
1873,12,0.161,-0.285,,,
1874,1,-0.819,-0.328,,,
1874,2,-0.602,-0.366,,,
1874,3,-1.187,-0.367,,,
1874,4,0.046,-0.354,,,
1874,5,-0.39,-0.343,,,
1874,6,,-0.414,,,
1874,7,-0.344,-0.452,,,
1874,8,-0.624,-0.482,,,
1874,9,0.248,-0.441,,,
1874,10,-0.404,-0.487,,,
1874,11,-0.61,-0.502,,,
1874,12,-0.694,-0.564,,,
1875,1,-1.273,-0.549,,,
1875,2,-0.961,-0.556,,,
1875,3,-0.692,-0.603,-0.43,,
1875,4,-0.504,-0.653,-0.427,,
1875,5,-0.575,-0.715,-0.411,,
1875,6,-0.337,-0.713,-0.398,,
1875,7,-0.167,-0.709,-0.391,,
1875,8,-0.703,-0.729,-0.383,,
1875,9,-0.315,-0.696,-0.363,,
1875,10,-1.004,-0.634,-0.348,,
1875,11,-1.349,-0.622,-0.343,,
1875,12,-0.676,-0.572,-0.336,,
1876,1,-1.219,-0.588,-0.335,,
1876,2,-1.211,-0.585,-0.334,,
1876,3,-0.288,,-0.337,,
1876,4,,,-0.333,,
1876,5,-0.433,,-0.316,,
1876,6,0.26,,-0.318,,
1876,7,,,-0.32,-0.305,
1876,8,,,-0.314,-0.309,
1876,9,,,-0.304,-0.304,
1876,10,-0.591,-0.483,-0.313,-0.307,
1876,11,-0.62,-0.439,-0.314,-0.303,
1876,12,-0.975,-0.443,-0.311,-0.302,
1877,1,-0.865,-0.377,-0.318,-0.295,
1877,2,-0.809,-0.292,-0.332,-0.29,
1877,3,-0.148,-0.226,-0.343,-0.293,
1877,4,-0.219,-0.195,-0.339,-0.295,
1877,5,0.094,-0.144,-0.333,-0.296,
1877,6,0.21,-0.115,-0.33,-0.297,
1877,7,0.447,-0.124,-0.325,-0.299,
1877,8,0.345,-0.055,-0.332,-0.302,
1877,9,0.414,0.031,-0.336,-0.302,
1877,10,-0.209,0.088,-0.34,-0.3,
1877,11,-0.019,0.098,-0.331,-0.298,
1877,12,-0.618,0.183,-0.326,-0.292,
1878,1,-0.971,0.165,-0.32,-0.287,
1878,2,0.012,0.131,-0.306,-0.293,
1878,3,0.889,0.104,-0.304,-0.292,
1878,4,0.465,0.092,-0.288,-0.286,
1878,5,0.213,0.118,-0.267,-0.286,
1878,6,1.232,0.174,-0.256,-0.284,
1878,7,0.226,0.177,-0.229,-0.285,
1878,8,-0.066,0.156,-0.214,-0.288,
1878,9,0.092,0.029,-0.198,-0.291,
1878,10,-0.344,-0.049,-0.195,-0.287,
1878,11,0.291,-0.104,-0.178,-0.283,
1878,12,0.046,-0.158,-0.175,-0.287,
1879,1,-0.936,-0.243,-0.161,-0.288,
1879,2,-0.24,-0.358,-0.157,-0.284,
1879,3,-0.63,-0.398,-0.143,-0.277,
1879,4,-0.475,-0.386,-0.142,-0.279,
1879,5,-0.447,-0.427,-0.142,-0.281,
1879,6,0.583,-0.477,-0.133,-0.289,
1879,7,-0.79,-0.479,-0.127,-0.291,
1879,8,-1.451,-0.575,-0.123,-0.28,
1879,9,-0.378,-0.601,-0.13,-0.286,
1879,10,-0.211,-0.621,-0.138,-0.29,
1879,11,-0.194,-0.586,-0.141,-0.291,
1879,12,-0.555,-0.64,-0.146,-0.288,
1880,1,-0.965,-0.558,-0.155,-0.288,
1880,2,-1.394,-0.424,-0.168,-0.288,
1880,3,-0.938,-0.411,-0.175,-0.287,
1880,4,-0.709,-0.397,-0.173,-0.29,
1880,5,-0.029,-0.384,-0.184,-0.29,
1880,6,-0.072,-0.342,-0.185,-0.29,
1880,7,0.195,-0.227,-0.182,-0.292,
1880,8,0.163,-0.139,-0.203,-0.291,
1880,9,-0.218,-0.005,-0.22,,
1880,10,-0.042,0.09,-0.223,,
1880,11,-0.05,0.141,-0.229,,
1880,12,-0.049,0.183,-0.232,,
1881,1,0.422,0.211,-0.234,,
1881,2,-0.337,0.159,-0.241,,
1881,3,0.663,0.216,-0.245,,
1881,4,0.431,0.175,-0.24,,
1881,5,0.589,0.126,-0.25,,
1881,6,,0.094,-0.256,,-0.396
1881,7,0.527,0.02,-0.256,,-0.399
1881,8,,0.001,-0.254,,-0.404
1881,9,0.46,-0.104,-0.249,-0.262,-0.404
1881,10,-0.531,-0.198,-0.244,-0.264,-0.407
1881,11,-0.644,-0.252,-0.248,-0.263,-0.402
1881,12,-0.427,-0.299,-0.267,-0.264,-0.399
1882,1,-0.472,-0.348,-0.263,-0.268,-0.392
1882,2,-0.565,-0.347,-0.228,-0.271,-0.39
1882,3,-0.6,-0.387,-0.229,-0.276,-0.388
1882,4,-0.693,-0.349,,-0.279,-0.39
1882,5,-0.054,-0.353,,-0.282,-0.394
1882,6,,-0.374,,-0.295,-0.396
1882,7,-0.067,-0.401,,-0.307,-0.4
1882,8,-0.434,,,-0.322,-0.403
1882,9,-0.026,,,-0.327,-0.405
