Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1816,5,-0.62,-1.694,,,
1816,6,-0.973,-1.7,,,
1816,7,-2.046,-1.773,,,
1816,8,-1.227,-1.617,,,
1816,9,-2.042,-1.674,,,
1816,10,-3.206,-1.615,,,
1816,11,-2.525,-1.737,,,
1816,12,-2.614,-1.829,,,
1817,1,-1.268,-1.829,,,
1817,2,-0.72,-1.79,,,
1817,3,-1.549,-1.865,,,
1817,4,-0.586,-1.812,,,
1817,5,-2.083,-1.742,-1.538,,
1817,6,-2.081,-1.756,-1.603,,
1817,7,-2.047,-1.786,-1.612,,
1817,8,-0.754,-1.906,-1.633,,
1817,9,-2.947,-1.842,-1.617,,
1817,10,-2.566,-1.785,-1.596,,
1817,11,-1.686,-1.652,-1.578,,
1817,12,-2.787,-1.507,-1.547,,
1818,1,-1.622,-1.461,-1.562,,
1818,2,-2.167,-1.478,-1.578,,
1818,3,-0.783,-1.421,-1.582,,
1818,4,0.105,-1.416,-1.571,,
1818,5,-0.489,-1.438,-1.563,,
1818,6,-0.337,-1.348,-1.559,,
1818,7,-1.502,-1.45,-1.556,,
1818,8,-0.953,-1.419,-1.507,,
1818,9,-2.27,-1.494,-1.495,-1.234,
1818,10,-2.5,-1.669,-1.483,-1.239,
1818,11,-1.954,-1.764,-1.477,-1.256,
1818,12,-1.702,-1.826,-1.464,-1.254,
1819,1,-2.852,-1.819,-1.447,-1.246,
1819,2,-1.792,-1.875,-1.441,-1.238,
1819,3,-1.68,-1.823,-1.441,-1.216,
1819,4,-2.002,-1.689,-1.408,-1.205,
1819,5,-1.628,-1.638,-1.379,-1.192,
1819,6,-1.077,-1.679,-1.348,-1.187,
1819,7,-1.423,-1.564,-1.319,-1.169,
1819,8,-1.618,-1.607,-1.285,-1.163,
1819,9,-1.651,-1.545,-1.223,-1.157,
1819,10,-0.894,-1.418,-1.225,-1.152,
1819,11,-1.337,-1.307,-1.198,-1.157,
1819,12,-2.188,-1.257,-1.17,-1.163,
1820,1,,-1.239,-1.142,-1.155,
1820,2,-2.306,-1.236,-1.143,-1.149,
1820,3,-0.942,-1.196,-1.119,-1.135,
1820,4,-0.473,-1.27,-1.105,-1.118,
1820,5,-0.295,-1.304,-1.108,-1.111,
1820,6,-0.473,-1.312,-1.098,-1.089,
1820,7,-1.21,-1.208,-1.082,-1.089,
1820,8,-1.579,-0.983,-1.053,-1.09,
1820,9,-1.179,-0.919,-1.046,-1.09,
1820,10,-1.779,-0.928,-1.049,-1.081,
1820,11,-1.745,-0.926,-1.053,-1.064,
1820,12,-2.284,-0.902,-1.045,-1.049,
1821,1,-0.237,-0.889,-1.032,-1.051,
1821,2,0.397,-0.825,-1.037,-1.042,
1821,3,-0.169,-0.9,-1.036,-1.039,
1821,4,-0.587,-0.855,-1.017,-1.028,
