Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1892,2,-0.649,,,,
1892,3,-0.439,-0.349,,,
1892,4,-0.22,-0.324,,,
1892,5,-0.125,-0.296,,,
1892,6,0.467,-0.331,,,
1892,7,0.021,-0.334,,,
1892,8,-0.3,-0.373,,,
1892,9,-0.115,-0.38,,,
1892,10,-0.178,-0.366,,,
1892,11,-0.431,-0.486,,,
1892,12,-0.478,-0.615,,,
1893,1,-1.559,-0.667,,,
1893,2,-1.126,-0.708,,,
1893,3,-0.518,-0.736,-0.42,,
1893,4,-0.05,-0.728,-0.413,,
1893,5,-1.565,-0.724,-0.395,,
1893,6,-1.089,-0.662,-0.384,,
1893,7,-0.596,-0.579,-0.368,,
1893,8,-0.793,-0.461,-0.356,,
1893,9,-0.455,-0.474,-0.356,,
1893,10,-0.074,-0.531,-0.349,,
1893,11,-0.385,-0.41,-0.342,,
1893,12,0.263,-0.375,-0.334,,
1894,1,-0.561,-0.349,-0.327,,
1894,2,0.297,-0.27,-0.323,,
1894,3,-0.675,-0.218,-0.324,,
1894,4,-0.733,-0.193,-0.319,,
1894,5,-0.124,-0.14,-0.319,,
1894,6,-0.667,-0.154,-0.326,-0.349,
1894,7,-0.28,-0.114,-0.305,-0.348,
1894,8,0.155,-0.212,-0.301,-0.346,
1894,9,0.166,-0.176,-0.302,-0.343,
1894,10,0.231,-0.147,-0.306,-0.338,
1894,11,0.253,-0.141,-0.312,-0.328,
1894,12,0.092,-0.123,-0.327,-0.326,
1895,1,-0.079,-0.077,-0.331,-0.32,
1895,2,-0.883,-0.075,-0.33,-0.31,
1895,3,-0.239,-0.126,-0.328,-0.298,
1895,4,-0.384,-0.154,-0.326,-0.291,
1895,5,-0.061,-0.176,-0.308,-0.283,
1895,6,-0.446,-0.21,-0.307,-0.28,
1895,7,0.267,-0.206,-0.277,-0.277,
1895,8,0.182,-0.162,-0.267,-0.268,
1895,9,-0.45,-0.199,-0.268,-0.263,
1895,10,-0.102,-0.183,-0.266,-0.252,
1895,11,-0.01,-0.194,-0.233,-0.241,
1895,12,-0.312,-0.161,-0.21,-0.232,
1896,1,-0.036,-0.177,-0.206,-0.218,
1896,2,-0.352,-0.204,-0.21,-0.209,
1896,3,-0.684,-0.192,-0.211,-0.202,
1896,4,-0.192,-0.198,-0.212,-0.197,
1896,5,-0.19,-0.259,-0.211,-0.193,
1896,6,-0.049,-0.271,-0.208,-0.19,
1896,7,0.074,-0.293,-0.201,-0.185,
1896,8,-0.144,-0.299,-0.217,-0.18,
1896,9,-0.309,-0.282,-0.211,-0.171,
1896,10,-0.17,-0.306,-0.194,-0.161,
1896,11,-0.741,-0.327,-0.198,-0.147,
1896,12,-0.459,-0.358,-0.189,-0.141,-0.208
1897,1,-0.299,-0.386,-0.176,-0.125,-0.202
1897,2,-0.419,-0.393,-0.18,-0.119,-0.201
1897,3,-0.483,-0.369,-0.177,-0.114,-0.197
1897,4,-0.48,-0.358,-0.176,-0.108,-0.197
1897,5,-0.441,-0.244,-0.171,-0.102,-0.196
1897,6,-0.428,-0.237,-0.177,-0.1,-0.196
1897,7,-0.256,-0.193,-0.172,-0.093,-0.199
1897,8,-0.228,-0.204,-0.148,-0.084,-0.199
1897,9,-0.018,-0.21,-0.138,-0.083,-0.201
1897,10,-0.043,-0.162,-0.126,-0.085,-0.198
1897,11,0.632,-0.094,-0.122,-0.083,-0.196
1897,12,-0.386,-0.033,-0.118,-0.088,-0.192
1898,1,0.233,-0.04,-0.122,-0.075,-0.189
1898,2,-0.552,-0.106,-0.117,-0.063,-0.188
1898,3,-0.549,-0.151,-0.107,-0.058,-0.186
1898,4,0.094,-0.158,-0.091,-0.054,-0.185
1898,5,0.376,-0.235,-0.088,-0.039,-0.187
1898,6,0.305,-0.167,-0.08,-0.027,-0.186
1898,7,-0.342,-0.197,-0.068,-0.019,-0.191
1898,8,-1.022,-0.207,-0.062,-0.005,-0.192
1898,9,-0.552,-0.187,-0.048,-0.002,-0.193
1898,10,-0.132,-0.173,-0.046,0.005,-0.194
1898,11,-0.293,-0.233,-0.044,0.013,-0.195
1898,12,0.433,-0.271,-0.047,0.005,-0.198
1899,1,-0.135,-0.202,-0.043,0.005,-0.199
1899,2,-0.663,-0.12,-0.036,-0.004,-0.204
1899,3,-0.313,-0.046,-0.017,-0.009,-0.206
1899,4,0.257,-0.009,-0.003,-0.008,-0.211
1899,5,-0.34,0.058,0.025,-0.012,-0.213
1899,6,-0.153,0.0,0.044,-0.007,-0.217
1899,7,0.484,0.029,0.056,-0.003,-0.22
1899,8,-0.03,0.134,0.064,-0.004,-0.222
1899,9,0.328,0.19,0.074,-0.009,-0.223
1899,10,0.312,0.194,0.091,-0.015,-0.223
1899,11,0.511,0.236,0.107,-0.022,-0.222
