Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1840,2,-0.665,,,,
1840,3,-0.975,-0.788,,,
1840,4,-1.163,-0.819,,,
1840,5,-0.347,-0.73,,,
1840,6,-0.516,-0.705,,,
1840,7,-0.04,-0.743,,,
1840,8,-0.583,-0.723,,,
1840,9,-0.554,-0.712,,,
1840,10,-1.278,-0.669,,,
1840,11,-0.785,-0.675,,,
1840,12,-1.42,-0.638,,,
1841,1,-0.589,-0.601,,,
1841,2,-0.428,-0.513,,,
1841,3,-0.846,-0.509,-0.572,,
1841,4,-0.647,-0.391,-0.576,,
1841,5,-0.41,-0.365,-0.577,,
1841,6,-0.073,-0.247,-0.575,,
1841,7,0.4,-0.19,-0.591,,
1841,8,0.471,-0.121,-0.614,,
1841,9,-0.501,-0.062,-0.572,,
1841,10,0.131,-0.065,-0.576,,
1841,11,-0.469,-0.101,-0.574,,
1841,12,-0.008,-0.145,-0.576,,
1842,1,0.096,-0.246,-0.588,,
1842,2,0.408,-0.33,-0.607,,
1842,3,-0.148,-0.356,-0.613,,
1842,4,-0.681,-0.467,-0.619,,
1842,5,-0.835,-0.538,-0.623,,
1842,6,-0.604,-0.559,-0.616,,
1842,7,-0.812,-0.546,-0.631,,
1842,8,-0.539,-0.581,-0.631,-0.79,
1842,9,-0.816,-0.62,-0.635,-0.79,
1842,10,-1.194,-0.621,-0.65,-0.791,
1842,11,-1.328,-0.61,-0.666,-0.785,
1842,12,-0.252,-0.584,-0.674,-0.789,
1843,1,0.244,-0.555,-0.678,-0.783,
1843,2,-0.001,-0.544,-0.686,-0.768,
1843,3,-0.616,-0.54,-0.691,-0.76,
1843,4,-0.703,-0.508,-0.705,-0.76,
1843,5,-0.694,-0.465,-0.724,-0.755,
1843,6,-0.293,-0.503,-0.726,-0.754,
1843,7,-0.47,-0.616,-0.712,-0.754,
1843,8,-0.411,-0.704,-0.716,-0.758,
1843,9,-0.758,-0.656,-0.702,-0.76,
1843,10,-0.813,-0.68,-0.705,-0.762,
1843,11,-0.807,-0.684,-0.707,-0.765,
1843,12,-0.718,-0.718,-0.712,-0.771,
1844,1,-1.108,-0.748,-0.723,-0.777,
1844,2,-1.055,-0.821,-0.737,-0.788,
1844,3,-0.046,-0.874,-0.744,-0.768,
1844,4,-0.982,-0.91,-0.767,-0.773,
1844,5,-0.75,-1.017,-0.789,-0.776,
1844,6,-0.702,-1.065,-0.803,-0.776,
1844,7,-0.827,-1.06,-0.817,-0.776,
1844,8,-1.281,-1.029,-0.834,-0.779,
1844,9,-1.397,-1.124,-0.855,-0.778,
1844,10,-1.243,-1.214,-0.866,-0.775,
1844,11,-2.093,-1.26,-0.874,-0.763,
1844,12,-1.291,-1.287,-0.878,-0.765,
1845,1,-1.052,-1.239,-0.871,-0.776,
1845,2,-0.68,-1.223,-0.878,-0.775,
1845,3,-1.196,-1.177,-0.882,-0.773,
1845,4,-2.059,-1.249,-0.888,-0.772,
1845,5,-1.294,-1.235,-0.882,,
1845,6,-1.031,-1.255,-0.901,,
1845,7,,-1.147,-0.938,,
1845,8,-1.091,-1.148,-0.935,,
1845,9,,-1.046,-0.937,,
1845,10,-2.108,-0.943,-0.94,,
1845,11,-1.923,-0.879,-0.941,,
1845,12,-1.528,-0.825,-0.943,,
1846,1,0.237,-0.825,-0.937,,
1846,2,-0.684,-0.769,-0.943,,
1846,3,0.018,-0.774,-0.948,,
1846,4,-0.812,-0.702,-0.948,,
1846,5,-0.532,-0.689,-0.953,,
1846,6,-0.386,-0.632,-0.967,,
1846,7,-0.25,-0.715,-0.963,,
1846,8,-0.415,-0.708,,,
1846,9,-0.907,-0.829,,,
1846,10,-1.244,-0.874,,,
1846,11,-1.766,-0.939,,,
1846,12,-0.84,-0.974,,,
1847,1,-0.766,-0.985,,,
1847,2,-0.598,-1.031,,,
1847,3,-1.437,-1.043,,,
1847,4,-1.348,-1.07,,,
1847,5,-1.313,-1.007,,,
1847,6,-0.803,-1.048,,,
1847,7,-0.388,-1.153,,,
1847,8,-0.965,-1.086,,,
1847,9,-1.052,-1.03,,,
1847,10,-1.569,,,,
1847,11,-1.005,,,,
1847,12,-1.338,,,,
1848,1,,,,,
1848,2,,,,,
1848,3,,,,,
1848,4,,,,,
1848,5,,,,,
1848,6,,,,,
1848,7,,,,,
1848,8,,,,,
1848,9,,,,,
1848,10,,,,,
1848,11,,,,,
1848,12,,,,,
1849,1,,,,,
1849,2,,,,,
1849,3,,,,,
1849,4,,,,,
1849,5,,,,,
1849,6,,,,,
1849,7,,,,,
1849,8,,,,,
1849,9,,,,,
1849,10,,,,,
1849,11,,,,,
1849,12,,,,,
1850,1,,,,,
1850,2,,,,,
1850,3,,,,,
1850,4,,,,,
1850,5,,,,,
1850,6,,,,,
1850,7,,,,,
1850,8,,,,,
1850,9,,,,,
1850,10,,,,,
1850,11,,,,,
1850,12,,,,,
1851,1,,,,,
1851,2,,,,,
1851,3,,,,,
1851,4,,,,,
1851,5,,,,,
1851,6,,,,,
1851,7,,,,,
1851,8,,,,,
1851,9,,,,,
1851,10,,,,,
1851,11,,,,,
1851,12,,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,-1.308,,,,
1853,2,-1.284,,,,
1853,3,-0.217,,,,
1853,4,-0.078,,,,
1853,5,0.174,,,,
1853,6,-0.002,-0.38,,,
1853,7,0.097,-0.294,,,
1853,8,0.164,-0.274,,,
1853,9,,,,,
1853,10,,,,,
1853,11,,,,,
1853,12,-0.654,,,,
1854,1,-0.272,,,,
1854,2,-1.046,,,,
1854,3,,-0.381,,,
1854,4,-1.024,-0.382,,,
1854,5,-0.109,-0.388,,,
1854,6,-0.038,-0.355,,,
1854,7,0.691,-0.341,,,
1854,8,-0.052,-0.286,,,
1854,9,-0.71,-0.325,,,
1854,10,-0.6,-0.251,,,
1854,11,-0.7,-0.242,,,
1854,12,-0.259,-0.291,,,
1855,1,-0.103,-0.392,,,
1855,2,-0.392,-0.409,,,
1855,3,-0.605,-0.417,,,
1855,4,-0.134,-0.518,,,
1855,5,-0.004,-0.546,,,
1855,6,-0.623,-0.627,,,
1855,7,-0.522,-0.655,,,
