Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1873,4,,,,,
1873,5,-0.141,,,,
1873,6,0.626,,,,
1873,7,0.566,,,,
1873,8,0.186,,,,
1873,9,-0.078,,,,
1873,10,-0.418,,,,
1873,11,,,,,
1873,12,-0.155,,,,
1874,1,0.226,,,,
1874,2,-0.34,,,,
1874,3,-0.776,,,,
1874,4,-0.255,,,,
1874,5,-0.375,,,,
1874,6,,,,,
1874,7,-0.033,,,,
1874,8,-0.301,,,,
1874,9,-0.09,,,,
1874,10,-0.24,,,,
1874,11,-0.755,,,,
1874,12,-0.484,-0.44,,,
1875,1,-0.951,-0.413,,,
1875,2,-0.766,-0.395,,,
1875,3,-0.887,-0.439,,,
1875,4,-0.593,-0.493,,,
1875,5,-0.299,-0.554,,,
1875,6,0.113,-0.604,,,
1875,7,0.296,-0.616,,,
1875,8,-0.082,-0.655,,,
1875,9,-0.619,-0.684,,,
1875,10,-0.885,,,,
1875,11,-1.496,,,,
1875,12,-1.081,,,,
1876,1,-1.096,,,,
1876,2,-1.23,,,,
1876,3,-1.235,,,,
1876,4,,,,,
1876,5,-0.75,,,,
1876,6,-0.273,,,,
1876,7,,,,,
1876,8,,,,,
1876,9,,,,,
1876,10,0.036,,,,
1876,11,-0.546,,,,
1876,12,-0.79,,,,
1877,1,-0.295,,,,
1877,2,-0.513,,,,
1877,3,-0.19,-0.176,,,
1877,4,,-0.173,,,
1877,5,,-0.123,,,
1877,6,,-0.081,,,
1877,7,0.328,-0.089,,,
1877,8,0.456,-0.026,,,
1877,9,-0.027,0.07,,,
1877,10,0.07,0.137,,,
1877,11,0.059,0.133,,,
1877,12,-0.289,0.136,,,
1878,1,-0.385,0.107,,,
1878,2,0.243,0.033,,,
1878,3,0.961,0.006,,,
1878,4,0.432,-0.021,,,
1878,5,-0.415,-0.048,,,
1878,6,0.2,-0.069,,,
1878,7,-0.022,-0.104,,,
1878,8,-0.429,-0.186,,,
1878,9,-0.357,-0.346,,,
1878,10,-0.247,-0.457,,,
1878,11,-0.272,-0.499,-0.405,,
1878,12,-0.532,-0.58,-0.417,,
1879,1,-0.806,-0.645,-0.423,,
1879,2,-0.745,-0.682,-0.425,,
1879,3,-0.956,-0.724,-0.425,,
1879,4,-0.902,-0.741,-0.431,-0.444,
1879,5,-0.921,-0.783,-0.431,-0.448,
1879,6,-0.771,-0.831,-0.418,-0.452,
1879,7,-0.799,-0.851,-0.408,-0.456,
1879,8,,-0.902,-0.4,-0.457,
1879,9,,-0.934,-0.403,,
1879,10,,-0.944,-0.408,,
1879,11,-0.783,-0.943,-0.412,,
1879,12,-1.102,-0.951,-0.426,,
1880,1,-1.046,-0.891,-0.442,,
1880,2,-1.36,-0.839,-0.46,,
1880,3,-1.338,-0.823,-0.465,,
1880,4,-1.02,-0.836,-0.476,,
1880,5,-0.908,-0.805,-0.49,,
1880,6,-0.874,-0.74,-0.504,,
1880,7,-0.074,-0.679,-0.512,,
1880,8,-0.245,-0.596,-0.534,,
1880,9,-0.682,-0.499,-0.549,,
1880,10,-0.598,-0.422,-0.556,,
1880,11,-0.409,-0.372,-0.552,,
1880,12,-0.324,-0.382,-0.556,,
1881,1,-0.32,-0.4,-0.553,,
1881,2,-0.361,-0.427,-0.547,,-0.479
1881,3,-0.178,-0.409,-0.547,,-0.48
1881,4,-0.091,-0.383,-0.546,,-0.482
1881,5,-0.314,-0.394,-0.555,,-0.482
1881,6,-0.989,-0.369,-0.551,,-0.485
1881,7,-0.289,-0.316,-0.546,-0.44,-0.488
1881,8,-0.567,-0.291,-0.536,-0.44,-0.492
1881,9,,-0.306,-0.534,-0.438,-0.492
1881,10,-0.284,-0.355,-0.531,-0.442,-0.495
1881,11,-0.547,-0.379,-0.529,-0.442,-0.492
1881,12,-0.02,-0.35,-0.524,-0.444,-0.489
1882,1,0.32,-0.38,-0.521,-0.454,-0.487
1882,2,-0.07,-0.387,-0.513,-0.458,-0.486
1882,3,-0.359,-0.374,-0.509,-0.463,-0.486
1882,4,-0.68,-0.401,-0.514,-0.466,-0.485
1882,5,-0.599,-0.42,-0.516,-0.47,-0.487
1882,6,,-0.511,-0.506,-0.484,-0.488
1882,7,-0.646,,-0.508,-0.495,-0.491
1882,8,-0.649,,-0.497,-0.511,-0.493
1882,9,-0.317,,,-0.518,-0.494
1882,10,-0.604,,,-0.526,-0.497
1882,11,-0.773,,,-0.531,-0.496
1882,12,,,,-0.536,-0.492
1883,1,,,,-0.538,-0.493
1883,2,,,,-0.545,-0.497
1883,3,0.054,,,-0.552,-0.499
1883,4,0.016,,,-0.56,-0.5
1883,5,-0.218,,,-0.562,-0.501
1883,6,-0.008,-0.307,,-0.569,-0.507
1883,7,0.125,-0.275,,-0.576,-0.51
1883,8,-0.068,-0.197,,-0.579,-0.511
1883,9,-0.339,-0.274,,-0.58,-0.513
1883,10,-0.181,-0.332,,-0.582,-0.515
1883,11,-0.812,-0.381,,-0.58,-0.514
1883,12,-0.326,-0.424,,-0.575,-0.515
1884,1,-0.495,-0.482,,-0.572,-0.518
1884,2,-0.109,-0.509,,-0.564,-0.518
1884,3,-0.866,,,-0.553,-0.516
1884,4,-0.685,,,-0.547,-0.517
