Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1811,9,-0.526,,,,
1811,10,-3.185,,,,
1811,11,-2.882,,,,
1811,12,0.621,,,,
1812,1,-2.053,-1.874,,,
1812,2,-4.637,-1.749,,,
1812,3,-3.224,-1.73,,,
1812,4,-2.629,-1.648,,,
1812,5,-1.583,-1.582,,,
1812,6,-1.746,,,,
1812,7,-0.398,,,,
1812,8,,,,,
1812,9,,,,,
1812,10,-2.197,,,,
1812,11,-2.096,,,,
1812,12,-0.359,,,,
1813,1,-2.369,,,,
1813,2,-1.129,-1.0,,,
1813,3,,-0.843,,,
1813,4,0.122,,,,
1813,5,0.927,,,,
1813,6,-0.194,,,,
1813,7,0.112,,,,
1813,8,-0.989,,,,
1813,9,1.586,,,,
1813,10,,,,,
1813,11,,,,,
1813,12,,,,,
1814,1,,,,,
1814,2,,,,,
1814,3,,,,,
1814,4,,,,,
1814,5,,,,,
1814,6,,,,,
1814,7,,,,,
1814,8,,,,,
1814,9,,,,,
1814,10,,,,,
1814,11,,,,,
1814,12,,,,,
1815,1,,,,,
1815,2,,,,,
1815,3,,,,,
1815,4,,,,,
1815,5,,,,,
1815,6,,,,,
1815,7,,,,,
1815,8,,,,,
1815,9,,,,,
1815,10,,,,,
1815,11,,,,,
1815,12,,,,,
1816,1,,,,,
1816,2,,,,,
1816,3,,,,,
1816,4,,,,,
1816,5,,,,,
1816,6,,,,,
1816,7,,,,,
1816,8,,,,,
1816,9,,,,,
1816,10,,,,,
1816,11,,,,,
1816,12,,,,,
1817,1,,,,,
1817,2,,,,,
1817,3,,,,,
1817,4,,,,,
1817,5,,,,,
1817,6,,,,,
1817,7,,,,,
1817,8,,,,,
1817,9,,,,,
1817,10,,,,,
1817,11,,,,,
1817,12,,,,,
1818,1,,,,,
1818,2,,,,,
1818,3,,,,,
1818,4,,,,,
1818,5,,,,,
1818,6,,,,,
1818,7,,,,,
1818,8,,,,,
1818,9,,,,,
1818,10,,,,,
1818,11,,,,,
1818,12,,,,,
1819,1,,,,,
1819,2,,,,,
1819,3,,,,,
1819,4,,,,,
1819,5,,,,,
1819,6,,,,,
1819,7,,,,,
1819,8,,,,,
1819,9,,,,,
1819,10,,,,,
1819,11,,,,,
1819,12,,,,,
1820,1,,,,,
