Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1849,3,-0.182,-0.739,,,
1849,4,-1.285,-0.727,,,
1849,5,-1.105,-0.692,,,
1849,6,-0.601,-0.664,,,
1849,7,-0.174,-0.732,,,
1849,8,-0.506,-0.7,,,
1849,9,-0.979,-0.715,,,
1849,10,-0.397,-0.685,,,
1849,11,-0.416,-0.69,,,
1849,12,-1.16,-0.674,,,
1850,1,-1.403,-0.674,,,
1850,2,-0.196,-0.647,,,
1850,3,-0.36,-0.615,,,
1850,4,-0.928,-0.671,,,
1850,5,-1.155,-0.73,,,
1850,6,-0.409,-0.702,,,
1850,7,-0.183,-0.608,,,
1850,8,-0.175,-0.65,,,
1850,9,-0.602,-0.701,,,
1850,10,-1.07,-0.696,,,
1850,11,-1.125,-0.627,,,
1850,12,-0.824,-0.622,,,
1851,1,-0.27,-0.605,,,
1851,2,-0.695,-0.61,,,
1851,3,-0.98,-0.6,,,
1851,4,-0.861,-0.537,,,
1851,5,-0.332,-0.527,,,
1851,6,-0.352,-0.484,,,
1851,7,0.031,-0.485,,,
1851,8,-0.236,-0.489,,,
1851,9,-0.49,-0.533,,,
1851,10,-0.314,,,,
1851,11,-1.001,,,,
1851,12,-0.314,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,,,,,
1853,4,,,,,
1853,5,,,,,
1853,6,,,,,
1853,7,,,,,
1853,8,,,,,
1853,9,,,,,
1853,10,,,,,
1853,11,,,,,
1853,12,,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,,,,,
1855,1,,,,,
1855,2,,,,,
1855,3,,,,,
1855,4,,,,,
1855,5,,,,,
1855,6,,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
1855,10,,,,,
1855,11,,,,,
1855,12,,,,,
1856,1,-0.108,,,,
1856,2,-1.496,,,,
1856,3,-1.281,-0.668,,,
1856,4,-0.402,-0.646,,,
1856,5,0.054,-0.585,,,
1856,6,0.27,-0.586,,,
1856,7,-0.299,-0.622,,,
1856,8,-0.764,-0.568,,,
1856,9,-0.939,-0.571,,,
1856,10,-0.531,-0.668,,,
1856,11,-0.207,-0.805,,,
1856,12,-1.329,-0.963,,,
1857,1,-0.538,-0.96,,,
1857,2,,-0.956,,,
1857,3,-1.323,-0.936,,,
1857,4,-1.559,-0.963,-0.625,,
1857,5,-1.597,-0.992,-0.617,,
1857,6,-1.62,-0.972,-0.605,,
1857,7,-0.267,-0.989,-0.614,,
1857,8,-0.716,-1.059,-0.627,,
1857,9,-0.694,-1.046,-0.64,,
1857,10,-0.853,-0.961,-0.665,,
1857,11,-0.559,-0.895,-0.668,,
1857,12,-1.094,-0.763,-0.654,,
1858,1,-0.737,-0.775,-0.65,,
1858,2,-1.695,-0.768,-0.654,,
1858,3,-1.157,-0.762,-0.645,,
1858,4,-0.549,-0.699,-0.642,,
1858,5,-0.801,-0.651,-0.647,,
1858,6,-0.039,-0.705,-0.638,,
1858,7,-0.407,-0.77,-0.651,-0.665,
1858,8,-0.636,-0.746,-0.659,-0.672,
1858,9,-0.615,-0.652,-0.646,-0.674,
1858,10,-0.099,-0.541,-0.644,-0.68,
1858,11,0.019,-0.469,-0.652,-0.675,
1858,12,-1.743,-0.427,-0.655,-0.673,
1859,1,-1.518,-0.422,-0.657,-0.668,
1859,2,-1.412,-0.428,-0.657,-0.67,
1859,3,-0.019,-0.426,-0.652,-0.673,
1859,4,0.775,-0.405,-0.651,-0.674,
1859,5,0.065,-0.4,-0.67,-0.679,
1859,6,0.459,-0.223,-0.653,-0.673,
1859,7,-0.336,-0.153,-0.662,-0.675,
1859,8,-0.709,-0.125,-0.663,-0.679,
1859,9,-0.598,-0.253,-0.652,-0.675,
1859,10,0.162,-0.43,-0.637,-0.68,
1859,11,0.076,-0.472,-0.628,-0.676,
1859,12,0.382,-0.483,-0.604,-0.674,
1860,1,-0.682,-0.467,-0.601,-0.667,
1860,2,-1.077,-0.449,-0.596,-0.66,
1860,3,-1.55,-0.431,-0.594,-0.652,
1860,4,-1.346,-0.497,-0.587,-0.658,
1860,5,-0.448,-0.608,-0.633,-0.656,
1860,6,0.331,-0.704,-0.647,-0.655,
1860,7,-0.144,-0.723,-0.621,-0.655,
1860,8,-0.498,-0.796,-0.611,-0.659,
1860,9,-0.381,-0.709,-0.611,-0.655,
1860,10,-0.628,-0.621,-0.619,-0.65,
1860,11,-1.254,-0.617,-0.634,-0.643,
1860,12,-0.766,-0.64,-0.661,-0.646,
1861,1,-0.918,-0.659,-0.675,-0.654,
1861,2,-1.95,-0.682,-0.678,-0.649,
1861,3,-0.504,-0.703,-0.677,-0.649,
1861,4,-0.289,-0.693,-0.699,-0.65,
1861,5,-0.399,-0.699,-0.712,-0.661,
1861,6,0.044,-0.663,-0.69,-0.671,
1861,7,-0.369,-0.677,-0.677,-0.666,
1861,8,-0.773,-0.586,-0.682,-0.662,
1861,9,-0.634,-0.602,-0.699,-0.657,
1861,10,-0.508,-0.632,-0.725,-0.657,
1861,11,-1.324,-0.689,-0.743,-0.659,
1861,12,-0.33,-0.704,-0.75,-0.645,
1862,1,-1.085,-0.681,-0.742,-0.642,
1862,2,-0.864,-0.653,-0.739,-0.639,
1862,3,-0.688,-0.645,-0.731,-0.632,
1862,4,-0.652,-0.643,-0.735,-0.62,
1862,5,-1.09,-0.81,-0.735,-0.612,
1862,6,-0.127,-0.941,-0.743,-0.601,
1862,7,-0.102,-0.782,-0.721,-0.598,
