Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1823,3,-0.5,,,,
1823,4,-0.947,-1.146,,,
1823,5,-0.365,-1.146,,,
1823,6,-0.179,-1.078,,,
1823,7,-0.365,-0.993,,,
1823,8,-1.082,-0.907,,,
1823,9,-1.552,-0.819,,,
1823,10,-1.738,-0.753,,,
1823,11,-1.612,-0.703,,,
1823,12,-1.725,-0.657,,,
1824,1,0.11,-0.566,,,
1824,2,-0.933,-0.524,,,
1824,3,0.556,-0.456,-0.454,,
1824,4,-0.15,-0.39,-0.455,,
1824,5,0.232,-0.293,-0.446,,
1824,6,0.375,-0.109,-0.425,,
1824,7,0.726,-0.142,-0.435,,
1824,8,-0.579,-0.063,-0.421,,
1824,9,-0.732,-0.118,-0.442,,
1824,10,-0.946,-0.074,-0.414,,
1824,11,-0.446,-0.09,-0.389,,
1824,12,0.479,-0.105,-0.377,,
1825,1,-0.281,-0.207,-0.365,,
1825,2,0.013,-0.243,-0.353,,
1825,3,-0.107,-0.284,-0.346,,
1825,4,0.371,-0.273,-0.337,,
1825,5,0.044,-0.218,-0.302,,
1825,6,0.202,-0.364,-0.251,-0.399,
1825,7,-0.504,-0.469,-0.222,-0.386,
1825,8,-1.015,-0.439,-0.17,-0.373,
1825,9,-1.223,-0.357,-0.168,-0.375,
1825,10,-0.807,-0.298,-0.152,-0.369,
1825,11,0.205,-0.262,-0.148,-0.344,
1825,12,-1.264,-0.32,-0.138,-0.315,
1826,1,-1.539,-0.264,-0.131,-0.326,
1826,2,0.366,-0.263,-0.118,-0.34,
1826,3,0.874,-0.214,-0.119,-0.343,
1826,4,1.081,-0.225,-0.105,-0.338,
1826,5,0.479,-0.269,-0.082,-0.344,
1826,6,-0.492,-0.142,-0.034,-0.342,
1826,7,0.167,-0.051,-0.051,-0.335,
1826,8,-0.998,0.099,-0.047,-0.338,
1826,9,-0.646,0.12,-0.087,-0.333,
1826,10,-0.928,0.154,-0.091,-0.335,
1826,11,-0.326,0.171,-0.099,-0.337,
1826,12,0.258,0.239,-0.113,-0.34,
1827,1,-0.442,0.277,-0.128,-0.349,
1827,2,2.163,0.361,-0.125,-0.353,
1827,3,1.12,0.344,-0.129,-0.381,
1827,4,1.491,0.348,-0.124,-0.385,
1827,5,0.692,0.416,-0.15,-0.38,
1827,6,0.32,0.439,-0.161,-0.378,
1827,7,0.623,0.542,-0.155,-0.384,
1827,8,0.012,0.462,-0.141,-0.394,
1827,9,-0.854,0.337,-0.15,-0.396,
1827,10,-0.886,0.211,-0.159,-0.394,
1827,11,0.492,0.144,-0.17,-0.396,
1827,12,0.535,0.154,-0.173,-0.397,-0.603
1828,1,0.8,0.106,-0.157,-0.396,-0.603
1828,2,1.194,0.077,-0.147,-0.378,-0.598
1828,3,-0.381,0.016,-0.148,-0.381,-0.606
1828,4,-0.018,0.013,-0.156,-0.381,-0.616
1828,5,-0.107,-0.044,-0.139,-0.385,-0.623
1828,6,0.433,0.005,-0.095,-0.383,-0.629
1828,7,0.053,-0.137,-0.091,-0.383,-0.63
1828,8,-0.34,-0.296,-0.113,-0.379,-0.631
1828,9,-1.579,-0.416,-0.138,-0.37,-0.63
1828,10,-0.931,-0.447,-0.163,-0.368,-0.622
1828,11,-0.194,-0.46,-0.187,-0.356,-0.62
1828,12,1.13,-0.532,-0.188,-0.354,-0.617
1829,1,-0.901,-0.554,-0.2,-0.373,-0.613
1829,2,-0.716,-0.557,-0.202,-0.365,-0.611
1829,3,-1.825,-0.506,-0.212,-0.37,-0.61
1829,4,-0.393,-0.483,-0.215,-0.374,-0.607
1829,5,-0.258,-0.636,-0.227,-0.376,-0.603
1829,6,-0.425,-0.745,-0.255,-0.375,-0.599
1829,7,-0.212,-0.659,-0.262,-0.38,-0.593
1829,8,-0.381,-0.532,-0.284,-0.379,-0.585
1829,9,-0.967,-0.435,-0.32,-0.376,-0.583
1829,10,-0.654,-0.414,-0.356,-0.37,-0.585
1829,11,-2.036,-0.443,-0.37,-0.367,-0.586
1829,12,-0.174,-0.409,-0.38,-0.375,-0.594
1830,1,0.127,-0.349,-0.402,-0.379,-0.588
1830,2,0.817,-0.352,-0.436,-0.39,-0.588
1830,3,-0.662,-0.378,-0.447,-0.399,-0.589
1830,4,-0.138,-0.433,-0.45,-0.404,-0.589
1830,5,-0.612,-0.162,-0.491,-0.404,-0.591
1830,6,-0.014,-0.032,-0.543,-0.41,-0.592
1830,7,0.509,-0.151,-0.57,-0.412,-0.589
1830,8,-0.417,-0.297,-0.586,-0.409,-0.587
1830,9,-1.287,-0.294,-0.595,-0.414,-0.587
1830,10,-1.314,-0.317,-0.61,-0.421,-0.584
1830,11,1.227,-0.348,-0.622,-0.426,-0.588
1830,12,1.385,-0.394,-0.629,-0.43,-0.588
1831,1,-1.31,-0.483,-0.636,-0.424,-0.59
1831,2,-0.931,-0.539,-0.639,-0.431,-0.596
1831,3,-0.622,-0.535,-0.621,-0.441,-0.601
1831,4,-0.412,-0.519,-0.631,-0.454,-0.601
1831,5,-0.991,-0.71,-0.63,-0.464,-0.606
1831,6,-0.561,-0.941,-0.673,-0.463,-0.607
1831,7,-0.556,-0.906,-0.694,-0.467,-0.602
1831,8,-1.098,-0.759,-0.683,-0.464,-0.602
1831,9,-1.232,-0.792,-0.652,-0.461,-0.599
1831,10,-1.12,-0.814,-0.656,-0.463,-0.603
1831,11,-1.074,-0.745,-0.653,-0.488,-0.608
1831,12,-1.39,-0.719,-0.638,-0.502,-0.609
1832,1,-0.887,-0.733,-0.632,-0.511,-0.611
1832,2,0.839,-0.807,-0.633,-0.535,-0.617
1832,3,-1.019,-0.83,-0.623,-0.555,-0.623
