Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1885,12,0.027,,,,
1886,1,,,,,
1886,2,,,,,
1886,3,,,,,
1886,4,,,,,
1886,5,,,,,
1886,6,,,,,
1886,7,,,,,
1886,8,,,,,
1886,9,,,,,
1886,10,,,,,
1886,11,,,,,
1886,12,,,,,
1887,1,,,,,
1887,2,,,,,
1887,3,,,,,
1887,4,,,,,
1887,5,,,,,
1887,6,,,,,
1887,7,,,,,
1887,8,,,,,
1887,9,,,,,
1887,10,,,,,
1887,11,,,,,
1887,12,,,,,
1888,1,,,,,
1888,2,,,,,
1888,3,,,,,
1888,4,,,,,
1888,5,,,,,
1888,6,,,,,
1888,7,,,,,
1888,8,,,,,
1888,9,,,,,
1888,10,,,,,
1888,11,,,,,
1888,12,,,,,
1889,1,,,,,
1889,2,,,,,
1889,3,,,,,
1889,4,-0.124,,,,
1889,5,-0.304,,,,
1889,6,,,,,
1889,7,,,,,
1889,8,,,,,
1889,9,,,,,
1889,10,,,,,
1889,11,,,,,
1889,12,-0.451,,,,
1890,1,-0.73,,,,
1890,2,-0.743,-0.683,,,
1890,3,-1.281,-0.708,,,
1890,4,-0.871,-0.724,,,
1890,5,-0.956,-0.762,,,
1890,6,-0.663,-0.767,,,
1890,7,-0.345,-0.784,,,
1890,8,-0.684,-0.81,,,
1890,9,-0.642,,,,
1890,10,-0.618,,,,
1890,11,-1.161,,,,
1890,12,,,,,
1891,1,,,,,
1891,2,,,,,
1891,3,,,,,
1891,4,,,,,
1891,5,,,,,
1891,6,,,,,
1891,7,,,,,
1891,8,,,,,
1891,9,,,,,
1891,10,,,,,
1891,11,,,,,
1891,12,,,,,
1892,1,-0.669,,,,
1892,2,-0.527,,,,
1892,3,-0.655,-0.423,-0.581,,
1892,4,-0.278,-0.418,-0.578,,
1892,5,-0.599,-0.423,-0.57,,
1892,6,-0.153,-0.471,-0.561,,
1892,7,-0.399,-0.527,-0.559,,
1892,8,-0.21,-0.599,-0.561,,
1892,9,-0.44,-0.602,-0.551,,
1892,10,-0.389,-0.634,-0.542,,
1892,11,-0.824,-0.677,-0.53,,
1892,12,-0.514,-0.736,-0.525,,
1893,1,-1.337,-0.726,-0.524,,
1893,2,-1.396,-0.735,-0.519,,
1893,3,-0.688,-0.745,-0.517,,
1893,4,-0.657,-0.753,-0.511,-0.488,
1893,5,-1.116,-0.716,-0.493,-0.483,
1893,6,-0.858,-0.702,-0.485,-0.472,
1893,7,-0.289,-0.644,-0.472,-0.471,
1893,8,-0.311,-0.548,-0.464,-0.473,
1893,9,-0.567,-0.515,-0.477,-0.477,
1893,10,-0.478,-0.502,-0.481,-0.473,
1893,11,-0.383,-0.446,-0.478,-0.473,
1893,12,-0.348,-0.417,-0.48,-0.475,
1894,1,-0.635,-0.413,-0.483,-0.464,
1894,2,-0.252,-0.389,-0.486,-0.468,
1894,3,-0.285,-0.367,-0.497,-0.466,
1894,4,-0.499,-0.347,-0.496,-0.46,
1894,5,-0.45,-0.335,-0.488,-0.459,
1894,6,-0.505,-0.298,-0.5,-0.463,
1894,7,-0.246,-0.297,-0.489,-0.46,
1894,8,-0.023,-0.345,-0.492,-0.451,
1894,9,-0.299,-0.381,-0.497,-0.445,
1894,10,-0.241,-0.365,-0.496,-0.44,
1894,11,-0.235,-0.345,-0.489,-0.429,
1894,12,0.091,-0.333,-0.492,-0.428,
1895,1,-0.615,-0.337,-0.499,-0.429,
1895,2,-0.832,-0.369,-0.504,-0.415,
1895,3,-0.719,-0.389,-0.507,-0.398,
1895,4,-0.308,-0.386,-0.513,-0.392,
1895,5,-0.209,-0.376,-0.491,-0.379,
1895,6,-0.363,-0.385,-0.49,-0.381,
1895,7,-0.293,-0.346,-0.475,-0.382,
1895,8,-0.405,-0.326,-0.467,-0.376,
1895,9,-0.542,-0.382,-0.472,-0.374,
1895,10,-0.207,-0.427,-0.471,-0.367,-0.395
1895,11,-0.116,-0.441,-0.452,-0.359,-0.392
1895,12,-0.017,-0.477,-0.423,-0.355,-0.394
1896,1,-0.137,-0.5,-0.423,-0.345,-0.39
