Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1888,10,,,,,
1888,11,,,,,
1888,12,,,,,
1889,1,,,,,
1889,2,,,,,
1889,3,,,,,
1889,4,-0.321,,,,
1889,5,-0.01,,,,
1889,6,,,,,
1889,7,,,,,
1889,8,,,,,
1889,9,,,,,
1889,10,,,,,
1889,11,,,,,
1889,12,-0.346,,,,
1890,1,-1.171,,,,
1890,2,-0.334,,,,
1890,3,-1.315,-0.649,,,
1890,4,-0.705,-0.671,,,
1890,5,-0.536,-0.706,,,
1890,6,-0.939,-0.721,,,
1890,7,-0.149,-0.716,,,
1890,8,-0.367,-0.807,,,
1890,9,,-0.741,,,
1890,10,-0.686,-0.696,,,
1890,11,-1.119,-0.675,,,
1890,12,,-0.653,,,
1891,1,-1.111,-0.653,-0.472,,
1891,2,-1.426,-0.63,-0.469,,
1891,3,-0.528,-0.568,-0.463,,
1891,4,-0.16,-0.562,-0.466,,
1891,5,-0.289,-0.515,-0.46,,
1891,6,-0.675,-0.464,-0.471,,
1891,7,-0.146,-0.402,-0.477,,
1891,8,-0.098,-0.301,-0.497,,
1891,9,-0.063,-0.268,-0.497,,
1891,10,-0.615,-0.272,-0.502,,
1891,11,-0.548,-0.339,-0.504,,
1891,12,0.089,-0.338,-0.516,,
1892,1,-0.366,-0.369,-0.527,,
1892,2,-0.211,-0.374,-0.531,,
1892,3,-0.132,-0.436,-0.526,,
1892,4,-0.213,-0.383,-0.515,-0.458,
1892,5,-1.085,-0.38,-0.506,-0.45,
1892,6,-0.666,-0.402,-0.504,-0.442,
1892,7,-0.515,-0.462,-0.514,-0.442,
1892,8,-0.156,-0.577,-0.508,-0.436,
1892,9,-0.812,-0.676,-0.495,-0.439,
1892,10,0.022,-0.756,-0.476,-0.447,
1892,11,-0.519,-0.712,-0.465,-0.44,
1892,12,-0.175,-0.727,-0.459,-0.445,
1893,1,-1.084,-0.69,-0.464,-0.449,
1893,2,-1.592,-0.685,-0.459,-0.456,
1893,3,-1.312,-0.623,-0.459,-0.464,
1893,4,-1.174,-0.664,-0.45,-0.472,
1893,5,-0.557,-0.591,-0.428,-0.464,
1893,6,-0.851,-0.628,-0.423,-0.448,
1893,7,-0.071,-0.605,-0.408,-0.447,
1893,8,-0.09,-0.516,-0.391,-0.448,
1893,9,-0.068,-0.414,-0.413,-0.449,
1893,10,-0.476,-0.371,-0.433,-0.445,
1893,11,0.361,-0.334,-0.432,-0.441,
1893,12,-0.624,-0.323,-0.431,-0.444,
1894,1,-0.807,-0.36,-0.438,-0.434,
1894,2,-0.527,-0.367,-0.437,-0.441,
1894,3,-0.08,-0.354,-0.451,-0.438,
1894,4,-0.657,-0.296,-0.446,-0.432,
1894,5,-0.118,-0.336,-0.436,-0.431,
1894,6,-0.714,-0.306,-0.455,-0.432,
1894,7,-0.521,-0.383,-0.457,-0.43,
1894,8,-0.168,-0.337,-0.471,-0.421,
1894,9,0.08,-0.375,-0.49,-0.414,
1894,10,0.227,-0.286,-0.493,-0.411,
1894,11,-0.125,-0.266,-0.463,-0.4,-0.419
1894,12,-0.265,-0.254,-0.458,-0.402,-0.42
1895,1,-1.727,-0.246,-0.462,-0.405,-0.418
1895,2,0.029,-0.239,-0.463,-0.392,-0.424
1895,3,-0.537,-0.312,-0.46,-0.372,-0.427
1895,4,0.405,-0.343,-0.475,-0.372,-0.425
1895,5,0.127,-0.316,-0.461,-0.358,-0.423
1895,6,-0.569,-0.314,-0.476,-0.359,-0.422
1895,7,-0.428,-0.188,-0.475,-0.362,-0.424
1895,8,-0.088,-0.226,-0.474,-0.355,-0.424
1895,9,-0.786,-0.336,-0.472,-0.355,-0.421
1895,10,-0.156,-0.482,-0.473,-0.351,-0.42
1895,11,0.203,-0.512,-0.462,-0.344,-0.415
1895,12,-0.24,-0.513,-0.426,-0.342,-0.416
1896,1,-0.211,-0.526,-0.423,-0.335,-0.409
1896,2,-0.436,-0.522,-0.427,-0.321,-0.407
1896,3,-1.848,-0.531,-0.435,-0.313,-0.407
1896,4,-1.349,-0.544,-0.424,-0.313,-0.409
1896,5,-0.235,-0.556,-0.422,-0.311,-0.408
1896,6,-0.588,-0.625,-0.417,-0.308,-0.412
1896,7,-0.581,-0.648,-0.392,-0.302,-0.415
1896,8,-0.039,-0.701,-0.386,-0.296,-0.416
1896,9,-0.889,-0.649,-0.379,-0.291,-0.417
1896,10,-0.311,-0.569,-0.361,-0.284,-0.417
1896,11,0.049,-0.493,-0.359,-0.281,-0.414
1896,12,-1.063,-0.472,-0.348,-0.286,-0.413
1897,1,-0.485,-0.487,-0.333,-0.286,-0.407
1897,2,-1.067,-0.504,-0.312,-0.284,-0.41
1897,3,-1.234,-0.481,-0.303,-0.288,-0.415
1897,4,-0.382,-0.53,-0.306,-0.285,-0.416
1897,5,0.676,-0.504,-0.295,-0.276,-0.418
1897,6,-0.341,-0.506,-0.299,-0.269,-0.419
1897,7,-0.757,-0.553,-0.296,-0.264,-0.414
1897,8,-0.244,-0.589,-0.277,-0.257,-0.413
1897,9,-0.61,-0.588,-0.25,-0.246,-0.415
1897,10,-0.907,-0.656,-0.268,-0.25,-0.416
1897,11,0.371,-0.705,-0.252,-0.247,-0.414
1897,12,-1.092,-0.568,-0.259,-0.254,-0.415
1898,1,-1.044,-0.496,-0.261,-0.251,-0.414
1898,2,-1.506,-0.503,-0.251,-0.249,-0.415
1898,3,-1.217,-0.498,-0.251,-0.256,-0.414
1898,4,-1.196,-0.405,-0.252,-0.254,-0.413
1898,5,0.087,-0.398,-0.26,-0.251,-0.41
1898,6,1.296,-0.331,-0.262,-0.25,-0.408
1898,7,0.116,-0.187,-0.262,-0.258,-0.409
1898,8,-0.337,-0.076,-0.25,-0.264,-0.41
1898,9,-0.551,0.051,-0.213,-0.275,-0.41
1898,10,0.217,0.186,-0.193,-0.275,-0.412
1898,11,0.45,0.182,-0.189,-0.284,-0.414
1898,12,-0.289,0.07,-0.185,-0.281,-0.417
1899,1,0.684,0.091,-0.166,-0.283,-0.418
1899,2,-0.168,0.211,-0.156,-0.295,-0.419
1899,3,0.301,0.307,-0.131,-0.306,-0.415
1899,4,0.427,0.292,-0.123,-0.315,-0.419
1899,5,,0.298,-0.126,-0.321,-0.422
1899,6,-0.041,0.28,-0.117,-0.321,-0.426
1899,7,0.371,0.097,-0.116,-0.322,-0.431
1899,8,1.101,0.205,-0.096,-0.321,-0.432
1899,9,0.597,0.273,-0.085,-0.32,-0.434
1899,10,0.041,0.179,-0.077,-0.326,-0.435
1899,11,0.52,0.269,-0.089,-0.328,-0.427
1899,12,-0.512,0.191,-0.08,-0.333,-0.428
1900,1,-1.503,0.115,-0.067,-0.326,-0.428
1900,2,1.128,0.065,-0.051,-0.345,-0.432
1900,3,1.108,-0.052,-0.032,-0.354,-0.435
1900,4,-0.694,-0.074,-0.024,-0.36,-0.435
1900,5,1.119,-0.139,-0.032,-0.363,-0.434
1900,6,-0.982,-0.126,-0.033,-0.362,-0.432
1900,7,-0.545,-0.02,-0.027,-0.361,-0.434
1900,8,0.501,-0.087,-0.023,-0.359,-0.434
1900,9,-0.809,-0.149,-0.04,-0.353,-0.432
1900,10,-0.223,-0.104,-0.035,-0.355,-0.432
1900,11,-0.256,-0.198,-0.04,-0.354,-0.431
1900,12,-0.361,-0.145,-0.074,-0.354,-0.431
1901,1,-0.231,-0.052,-0.093,-0.353,-0.425
1901,2,0.326,-0.047,-0.1,-0.357,-0.424
1901,3,0.37,0.072,-0.115,-0.353,-0.426
1901,4,-0.154,0.104,-0.126,-0.347,-0.426
1901,5,-0.016,0.112,-0.146,-0.348,-0.429
1901,6,-0.336,0.1,-0.146,-0.355,-0.431
1901,7,0.57,0.085,-0.174,-0.356,-0.431
1901,8,0.555,0.069,-0.205,-0.362,-0.432
1901,9,0.617,-0.014,-0.233,-0.36,-0.434
1901,10,0.163,0.009,-0.268,-0.363,-0.433
1901,11,-0.157,0.009,-0.284,-0.364,-0.434
1901,12,-0.507,0.053,-0.295,-0.36,-0.438
1902,1,-0.415,0.007,-0.311,-0.361,-0.44
1902,2,0.139,0.021,-0.33,-0.366,-0.442
1902,3,-0.623,0.012,-0.338,-0.371,-0.447
1902,4,0.118,-0.037,-0.345,-0.373,-0.445
1902,5,-0.012,-0.035,-0.361,-0.386,-0.442
1902,6,0.187,-0.085,-0.366,-0.395,-0.438
1902,7,0.022,-0.107,-0.356,-0.387,-0.435
1902,8,0.724,-0.228,-0.413,-0.389,-0.434
1902,9,0.501,-0.36,-0.458,-0.39,-0.432
1902,10,-0.419,-0.445,-0.453,-0.386,-0.436
1902,11,-0.138,-0.462,-0.474,-0.389,-0.435
1902,12,-1.109,-0.539,-0.465,-0.385,-0.439
1903,1,-0.677,-0.628,-0.461,-0.378,-0.436
1903,2,-1.308,-0.75,-0.467,-0.373,-0.431
1903,3,-2.206,-0.914,-0.454,-0.365,-0.438
1903,4,-0.899,-0.914,-0.459,-0.355,-0.432
1903,5,-0.219,-0.967,-0.448,-0.356,-0.431
1903,6,-0.733,-0.9,-0.445,-0.368,-0.427
1903,7,-1.05,-0.922,-0.443,-0.371,-0.42
1903,8,-0.746,-0.985,-0.465,-0.372,-0.415
1903,9,-1.459,-0.914,-0.494,-0.371,-0.411
1903,10,-0.425,-0.98,-0.501,-0.379,-0.408
1903,11,-0.769,-1.038,-0.507,-0.387,-0.413
1903,12,-0.305,-1.038,-0.524,-0.39,-0.415
1904,1,-0.942,-0.998,-0.546,-0.402,-0.404
1904,2,-2.066,-0.941,-0.568,-0.397,-0.404
1904,3,-1.351,-0.807,-0.59,-0.392,-0.404
1904,4,-1.691,-0.804,-0.604,-0.406,-0.403
1904,5,-0.914,-0.776,-0.601,-0.412,-0.396
1904,6,-0.735,-0.818,-0.603,-0.42,-0.386
1904,7,-0.579,-0.816,-0.606,-0.431,-0.38
1904,8,-0.054,-0.836,-0.637,-0.444,-0.376
1904,9,0.145,-0.853,-0.657,-0.453,-0.377
1904,10,-0.386,-0.745,-0.67,-0.459,-0.375
1904,11,-0.438,-0.683,-0.683,-0.454,-0.367
1904,12,-0.805,-0.655,-0.71,-0.454,-0.365
1905,1,-0.925,-0.633,-0.707,-0.451,-0.356
1905,2,-2.302,-0.62,-0.728,-0.472,-0.356
1905,3,-1.558,-0.634,-0.749,-0.499,-0.352
1905,4,-0.387,-0.643,-0.747,-0.498,-0.35
1905,5,-0.175,-0.572,-0.746,-0.51,-0.35
1905,6,-0.398,-0.523,-0.737,-0.504,-0.347
1905,7,-0.316,-0.454,-0.73,-0.506,-0.346
1905,8,0.1,-0.345,-0.723,-0.514,-0.343
1905,9,-0.015,-0.328,-0.69,-0.508,-0.34
1905,10,-0.497,-0.346,-0.674,-0.513,-0.338
1905,11,0.416,-0.363,-0.673,-0.518,-0.333
1905,12,-0.216,-0.444,-0.662,-0.52,-0.332
1906,1,-0.095,-0.479,-0.648,-0.514,-0.336
1906,2,-1.004,-0.551,-0.643,-0.528,-0.334
1906,3,-1.347,-0.606,-0.627,-0.539,-0.321
1906,4,-0.608,-0.623,-0.631,-0.539,-0.314
1906,5,-0.38,-0.656,-0.628,-0.548,-0.314
1906,6,-1.365,-0.69,-0.634,-0.555,-0.313
1906,7,-0.733,-0.73,-0.63,-0.56,-0.312
1906,8,-0.77,-0.789,-0.588,-0.568,-0.314
1906,9,-0.678,-0.833,-0.552,-0.578,-0.315
1906,10,-0.692,-0.833,-0.545,-0.582,-0.32
1906,11,0.017,-0.868,-0.541,-0.588,-0.319
1906,12,-0.63,-0.877,-0.546,-0.59,-0.32
1907,1,-0.575,-0.799,-0.551,-0.593,-0.313
1907,2,-1.703,-0.778,-0.557,-0.601,-0.305
1907,3,-1.874,-0.784,-0.567,-0.606,-0.3
1907,4,-0.613,-0.754,-0.572,-0.606,-0.303
1907,5,-0.797,-0.758,-0.547,-0.608,-0.313
1907,6,-1.478,-0.755,-0.543,-0.608,-0.314
1907,7,0.204,-0.728,-0.546,-0.605,-0.313
1907,8,-0.515,-0.661,-0.53,-0.61,-0.312
1907,9,-0.748,-0.52,-0.539,-0.619,-0.316
1907,10,-0.333,-0.468,-0.542,-0.623,-0.318
1907,11,-0.029,-0.411,-0.545,-0.624,-0.318
1907,12,-0.596,-0.297,-0.544,-0.623,-0.312
1908,1,-0.252,-0.332,-0.551,-0.621,-0.316
1908,2,-0.905,-0.326,-0.56,-0.614,-0.314
1908,3,-0.182,-0.302,-0.563,-0.619,-0.307
1908,4,0.018,-0.333,-0.567,-0.611,-0.303
1908,5,-0.115,-0.379,-0.588,-0.611,-0.305
1908,6,-0.107,-0.384,-0.596,-0.605,-0.312
1908,7,-0.216,-0.421,-0.586,-0.582,-0.311
1908,8,-0.451,-0.309,-0.591,-0.566,-0.312
