Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1860,2,-0.521,,,,
1860,3,-1.767,,,,
1860,4,-0.221,,,,
1860,5,-0.762,,,,
1860,6,-0.293,-0.578,,,
1860,7,0.432,-0.73,,,
1860,8,0.477,-0.764,,,
1860,9,0.137,-0.704,,,
1860,10,-0.633,-0.694,,,
1860,11,-1.461,-0.742,,,
1860,12,-2.153,-0.772,,,
1861,1,-1.992,-0.879,,,
1861,2,-0.933,-0.878,,,
1861,3,-1.044,-0.943,-0.774,,
1861,4,-0.107,-1.047,-0.764,,
1861,5,-1.329,-0.975,-0.76,,
1861,6,-0.654,-0.835,-0.74,,
1861,7,-0.858,-0.749,-0.747,,
1861,8,0.487,-0.784,-0.749,,
1861,9,-0.633,-0.758,-0.759,,
1861,10,-1.884,-0.779,-0.779,,
1861,11,-0.595,-0.694,-0.791,,
1861,12,-0.475,-0.645,-0.792,,
1862,1,-0.961,-0.657,-0.805,,
1862,2,-1.358,-0.836,-0.813,,
1862,3,-0.726,-0.896,-0.811,,
1862,4,-0.358,-0.838,-0.83,,
1862,5,-0.31,-0.93,-0.833,,
1862,6,-0.068,-1.03,-0.845,-0.669,
1862,7,-1.008,-1.005,-0.85,-0.675,
1862,8,-1.655,-0.963,-0.85,-0.678,
1862,9,-1.354,-1.016,-0.834,-0.674,
1862,10,-1.19,-1.046,-0.843,-0.662,
1862,11,-1.693,-1.146,-0.848,-0.654,
1862,12,-1.685,-1.242,-0.845,-0.646,
1863,1,-0.661,-1.255,-0.85,-0.652,
1863,2,-0.851,-1.239,-0.872,-0.656,
1863,3,-1.366,-1.21,-0.88,-0.658,
1863,4,-0.713,-1.182,-0.862,-0.667,
1863,5,-1.51,-1.103,-0.838,-0.661,
1863,6,-1.224,-1.016,-0.807,-0.655,
1863,7,-1.158,-1.101,-0.767,-0.649,
1863,8,-1.467,-1.117,-0.773,-0.648,
1863,9,-0.998,-1.079,-0.77,-0.651,
1863,10,-0.856,-1.088,-0.774,-0.64,
1863,11,-0.752,-1.01,-0.758,-0.64,
1863,12,-0.632,-0.863,-0.762,-0.631,
1864,1,-1.683,-0.779,-0.738,-0.62,
1864,2,-1.048,-0.745,-0.755,-0.618,
1864,3,-0.91,-0.723,-0.745,-0.625,
1864,4,-0.82,-0.706,-0.725,-0.633,
1864,5,-0.568,-0.714,-0.731,-0.638,
1864,6,0.54,-0.768,-0.725,-0.652,
1864,7,-0.151,-0.665,-0.717,-0.665,
1864,8,-1.059,-0.619,-0.705,-0.663,
1864,9,-0.741,-0.613,-0.701,-0.655,
1864,10,-0.652,-0.608,-0.709,-0.665,
1864,11,-0.843,-0.647,-0.716,-0.665,
1864,12,-1.281,-0.704,-0.719,-0.667,-0.671
1865,1,-0.448,-0.68,-0.718,-0.675,-0.671
1865,2,-0.494,-0.66,-0.712,-0.678,-0.669
1865,3,-0.84,-0.628,-0.7,-0.668,-0.669
1865,4,-0.761,-0.535,-0.684,-0.674,-0.674
1865,5,-1.036,-0.468,-0.645,-0.675,-0.676
1865,6,-0.143,-0.388,-0.617,-0.677,-0.68
1865,7,0.143,-0.314,-0.619,-0.681,-0.679
1865,8,-0.82,-0.383,-0.625,-0.696,-0.683
1865,9,-0.365,-0.381,-0.616,-0.699,-0.682
1865,10,0.469,-0.351,-0.617,-0.701,-0.679
1865,11,-0.039,-0.293,-0.596,-0.697,-0.677
1865,12,-0.321,-0.358,-0.57,-0.687,-0.672
1866,1,0.433,-0.317,-0.562,-0.677,-0.676
1866,2,-1.316,-0.297,-0.534,-0.678,-0.672
1866,3,-0.822,-0.268,-0.528,-0.674,-0.669
1866,4,-0.399,-0.366,-0.515,-0.68,-0.666
1866,5,-0.331,-0.44,-0.519,-0.679,-0.658
1866,6,-0.925,-0.423,-0.523,-0.68,-0.662
1866,7,0.627,-0.502,-0.493,-0.681,-0.659
1866,8,-0.577,-0.444,-0.487,-0.693,-0.657
1866,9,-0.01,-0.414,-0.492,-0.7,-0.65
1866,10,-0.715,-0.454,-0.487,-0.689,-0.647
1866,11,-0.926,-0.483,-0.485,-0.685,-0.649
1866,12,-0.109,-0.427,-0.512,-0.687,-0.648
1867,1,-0.514,-0.56,-0.526,-0.686,-0.643
1867,2,-0.627,-0.622,-0.512,-0.682,-0.638
1867,3,-0.459,-0.672,-0.498,-0.686,-0.631
1867,4,-0.875,-0.629,-0.5,-0.693,-0.624
1867,5,-0.68,-0.499,-0.498,-0.702,-0.621
1867,6,-0.259,-0.489,-0.489,-0.708,-0.621
1867,7,-0.968,-0.515,-0.5,-0.709,-0.617
1867,8,-1.319,-0.561,-0.506,-0.7,-0.61
1867,9,-0.618,-0.591,-0.502,-0.695,-0.605
1867,10,-0.191,-0.585,-0.505,-0.686,-0.596
1867,11,0.629,-0.548,-0.503,-0.68,-0.596
1867,12,0.007,-0.501,-0.509,-0.672,-0.597
1868,1,-0.822,-0.473,-0.512,-0.668,-0.599
1868,2,-1.179,-0.344,-0.52,-0.666,-0.596
1868,3,-0.819,-0.346,-0.517,-0.659,-0.593
1868,4,-0.798,-0.34,-0.541,-0.652,-0.594
1868,5,-0.233,-0.473,-0.557,-0.639,-0.594
1868,6,0.299,-0.545,-0.567,-0.629,-0.592
1868,7,-0.631,-0.468,-0.587,-0.625,-0.584
1868,8,0.224,-0.429,-0.583,-0.614,-0.585
1868,9,-0.644,-0.459,-0.578,-0.606,-0.586
1868,10,-0.113,-0.436,-0.585,-0.601,-0.58
1868,11,-0.971,-0.457,-0.6,-0.594,-0.576
1868,12,-0.859,-0.57,-0.598,-0.593,-0.572
1869,1,0.106,-0.599,-0.625,-0.58,-0.571
1869,2,-0.71,-0.636,-0.63,-0.572,-0.567
1869,3,-1.183,-0.577,-0.655,-0.579,-0.566
1869,4,-0.521,-0.63,-0.653,-0.578,-0.569
1869,5,-0.481,-0.607,-0.638,-0.584,-0.573
1869,6,-1.053,-0.598,-0.648,-0.595,-0.576
1869,7,-0.988,-0.7,-0.655,-0.597,-0.577
1869,8,-0.213,-0.711,-0.659,-0.591,-0.577
1869,9,0.059,-0.665,-0.671,-0.59,-0.573
1869,10,-0.745,-0.7,-0.677,-0.59,-0.576
1869,11,-0.696,-0.734,-0.689,-0.588,-0.574
1869,12,-0.755,-0.691,-0.696,-0.579,-0.574
1870,1,-1.111,-0.609,-0.699,-0.575,-0.577
1870,2,-0.85,-0.7,-0.687,-0.569,-0.578
1870,3,-0.622,-0.723,-0.689,-0.569,-0.574
1870,4,-0.939,-0.739,-0.688,-0.569,-0.576
1870,5,-0.889,-0.765,-0.715,-0.567,-0.573
1870,6,-0.544,-0.777,-0.728,-0.582,-0.568
1870,7,0.002,-0.75,-0.717,-0.588,-0.568
1870,8,-1.311,-0.768,-0.707,-0.593,-0.57
1870,9,-0.213,-0.761,-0.703,-0.596,-0.575
1870,10,-0.938,-0.753,-0.686,-0.605,-0.575
1870,11,-1.007,-0.78,-0.681,-0.611,-0.571
1870,12,-0.9,-0.8,-0.687,-0.619,-0.564
1871,1,-0.787,-0.882,-0.689,-0.63,-0.559
1871,2,-1.072,-0.85,-0.695,-0.623,-0.557
1871,3,-0.534,-0.954,-0.684,-0.622,-0.554
1871,4,-0.84,-0.927,-0.686,-0.619,-0.555
1871,5,-1.216,-0.848,-0.669,-0.613,-0.55
1871,6,-0.784,-0.832,-0.663,-0.609,-0.551
1871,7,-0.978,-0.84,-0.668,-0.609,-0.55
1871,8,-0.931,-0.827,-0.657,-0.611,-0.555
1871,9,-1.46,-0.879,-0.667,-0.609,-0.554
1871,10,-0.62,-0.912,-0.669,-0.607,-0.55
1871,11,-0.057,-0.925,-0.682,-0.607,-0.552
1871,12,-0.71,-0.92,-0.679,-0.611,-0.55
1872,1,-0.883,-0.934,-0.668,-0.6,-0.546
1872,2,-0.909,-0.905,-0.67,-0.594,-0.541
1872,3,-1.166,-0.846,-0.681,-0.584,-0.541
1872,4,-1.228,-0.804,-0.68,-0.577,-0.545
1872,5,-1.37,-0.881,-0.679,-0.577,-0.545
1872,6,-0.728,-0.888,-0.67,-0.574,-0.548
1872,7,-1.146,-0.828,-0.651,-0.559,-0.546
1872,8,-0.588,-0.801,-0.633,-0.542,-0.54
1872,9,-0.748,-0.751,-0.636,-0.535,-0.533
1872,10,-0.11,-0.629,-0.633,-0.53,-0.527
1872,11,-0.984,-0.511,-0.632,-0.539,-0.524
1872,12,-0.792,-0.454,-0.655,-0.548,-0.522
1873,1,-0.162,-0.421,-0.664,-0.545,-0.521
1873,2,-0.595,-0.386,-0.667,-0.537,-0.521
1873,3,-0.562,-0.322,-0.675,-0.527,-0.519
1873,4,0.234,-0.332,-0.669,-0.521,-0.519
1873,5,0.045,-0.244,-0.666,-0.526,-0.516
1873,6,-0.042,-0.219,-0.671,-0.53,-0.512
1873,7,-0.749,-0.222,-0.674,-0.519,-0.512
1873,8,-0.164,-0.175,-0.663,-0.523,-0.507
1873,9,0.012,-0.277,-0.667,-0.521,-0.505
1873,10,-0.225,-0.349,-0.653,-0.52,-0.502
1873,11,0.071,-0.46,-0.625,-0.512,-0.503
1873,12,-0.49,-0.528,-0.62,-0.513,-0.502
1874,1,-0.201,-0.493,-0.593,-0.522,-0.493
1874,2,-0.024,-0.508,-0.592,-0.516,-0.492
1874,3,-1.789,-0.558,-0.563,-0.508,-0.494
1874,4,-0.636,-0.6,-0.561,-0.505,-0.494
1874,5,-1.286,-0.656,-0.575,-0.507,-0.5
1874,6,-0.851,-0.633,-0.573,-0.501,-0.51
1874,7,-0.334,-0.613,-0.546,-0.488,-0.513
1874,8,-0.343,-0.594,-0.529,-0.492,-0.506
1874,9,-0.589,-0.509,-0.496,-0.492,-0.506
1874,10,-0.728,-0.524,-0.477,-0.486,-0.506
1874,11,-0.603,-0.484,-0.466,-0.482,-0.506
1874,12,-0.209,-0.574,-0.452,-0.482,-0.504
1875,1,0.038,-0.59,-0.418,-0.479,-0.508
1875,2,0.199,-0.684,-0.397,-0.478,-0.514
1875,3,-0.77,-0.696,-0.381,-0.48,-0.514
1875,4,-0.811,-0.682,-0.372,-0.477,-0.519
1875,5,-0.81,-0.7,-0.363,-0.471,-0.521
