Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1841,2,,,,,
1841,3,-2.69,,,,
1841,4,-1.693,-1.228,,,
1841,5,-0.648,-1.227,,,
1841,6,-0.946,-1.274,,,
1841,7,-0.133,-1.139,,,
1841,8,-0.668,-1.083,,,
1841,9,-1.134,-0.803,,,
1841,10,-0.892,-0.625,,,
1841,11,-1.896,-0.627,,,
1841,12,-2.086,-0.613,,,
1842,1,-0.471,-0.707,,,
1842,2,0.258,-0.743,,,
1842,3,0.669,-0.714,,,
1842,4,0.448,-0.734,-0.768,,
1842,5,-0.673,-0.695,-0.736,,
1842,6,-0.783,-0.48,-0.715,,
1842,7,-1.259,-0.415,-0.709,,
1842,8,-1.098,-0.319,-0.717,,
1842,9,-0.789,-0.394,-0.698,,
1842,10,-1.126,-0.422,-0.705,,
1842,11,-1.425,-0.463,-0.709,,
1842,12,0.482,-0.489,-0.703,,
1843,1,0.316,-0.428,-0.712,,
1843,2,1.407,-0.373,-0.718,,
1843,3,-0.231,-0.355,-0.718,,
1843,4,0.11,-0.335,-0.709,,
1843,5,-1.16,-0.341,-0.699,,
1843,6,-1.093,-0.359,-0.724,,
1843,7,-0.523,-0.38,-0.695,-0.675,
1843,8,-0.439,-0.553,-0.67,-0.68,
1843,9,-0.582,-0.504,-0.616,-0.679,
1843,10,-0.884,-0.608,-0.609,-0.684,
1843,11,-1.497,-0.635,-0.612,-0.687,
1843,12,0.267,-0.612,-0.594,-0.687,
1844,1,0.064,-0.64,-0.585,-0.681,
1844,2,-0.664,-0.663,-0.571,-0.683,
1844,3,0.349,-0.703,-0.553,-0.657,
1844,4,-1.138,-0.662,-0.559,-0.658,
1844,5,-1.485,-0.587,-0.552,-0.658,
1844,6,-0.81,-0.743,-0.51,-0.657,
1844,7,-0.858,-0.711,-0.487,-0.662,
1844,8,-0.72,-0.754,-0.488,-0.663,
1844,9,-1.057,-0.813,-0.514,-0.662,
1844,10,-0.396,-0.758,-0.518,-0.656,
1844,11,-0.594,-0.645,-0.517,-0.647,
1844,12,-1.601,-0.564,-0.514,-0.639,
1845,1,0.439,-0.512,-0.494,-0.652,
1845,2,-1.172,-0.523,-0.489,-0.653,
1845,3,-0.368,-0.503,-0.488,-0.641,
1845,4,-0.473,-0.587,-0.484,-0.655,
1845,5,-0.135,-0.644,-0.457,-0.662,
1845,6,0.167,-0.764,-0.494,-0.663,
1845,7,-0.237,-0.827,-0.541,-0.666,
1845,8,-0.846,-0.642,-0.562,-0.663,
1845,9,-0.818,-0.563,-0.568,-0.66,
1845,10,-1.405,-0.629,-0.586,-0.652,
1845,11,-1.28,-0.691,-0.576,-0.654,
1845,12,-3.044,-0.694,-0.562,-0.642,
1846,1,-0.313,-0.641,-0.552,-0.628,-0.709
1846,2,1.054,-0.554,-0.558,-0.631,-0.715
1846,3,0.58,-0.49,-0.563,-0.625,-0.717
1846,4,-1.272,-0.479,-0.566,-0.631,-0.714
1846,5,-0.881,-0.491,-0.562,-0.634,-0.713
1846,6,0.135,-0.206,-0.575,-0.625,-0.71
1846,7,0.404,-0.101,-0.576,-0.622,-0.706
1846,8,0.189,-0.174,-0.566,-0.62,-0.705
1846,9,-0.043,-0.294,-0.567,-0.619,-0.704
1846,10,-1.281,-0.174,-0.566,-0.621,-0.707
1846,11,-1.421,-0.148,-0.561,-0.624,-0.699
1846,12,0.38,-0.21,-0.556,-0.615,-0.698
1847,1,0.938,-0.25,-0.55,-0.617,-0.7
1847,2,0.189,-0.331,-0.541,-0.633,-0.7
1847,3,-0.871,-0.389,-0.534,-0.66,-0.696
1847,4,0.173,-0.356,-0.544,-0.674,-0.691
1847,5,-0.567,-0.221,-0.558,-0.673,-0.693
1847,6,-0.613,-0.397,-0.562,-0.666,-0.691
1847,7,-0.077,-0.685,-0.596,-0.653,-0.69
1847,8,-0.785,-0.69,-0.589,-0.651,-0.691
1847,9,-0.74,-0.664,-0.584,-0.651,-0.69
1847,10,-0.885,-0.761,-0.605,-0.643,-0.688
1847,11,0.209,-0.762,-0.615,-0.65,-0.684
1847,12,-1.734,-0.731,-0.623,-0.655,-0.681
1848,1,-2.516,-0.717,-0.619,-0.676,-0.666
1848,2,0.13,-0.717,-0.608,-0.702,-0.661
1848,3,-0.568,-0.73,-0.602,-0.706,-0.655
1848,4,-0.982,-0.744,-0.594,-0.719,-0.651
1848,5,-0.581,-0.867,-0.609,-0.713,-0.649
1848,6,-0.237,-0.766,-0.56,-0.701,-0.647
1848,7,0.085,-0.553,-0.561,-0.69,-0.65
1848,8,-0.782,-0.573,-0.592,-0.686,-0.651
1848,9,-0.896,-0.5,-0.635,-0.68,-0.649
1848,10,-1.059,-0.506,-0.654,-0.684,-0.648
1848,11,-1.261,-0.561,-0.655,-0.682,-0.643
1848,12,-0.524,-0.581,-0.655,-0.692,-0.645
1849,1,0.036,-0.631,-0.659,-0.693,-0.642
1849,2,-0.107,-0.581,-0.67,-0.704,-0.645
1849,3,0.307,-0.558,-0.686,-0.707,-0.634
1849,4,-1.051,-0.553,-0.682,-0.702,-0.627
1849,5,-1.243,-0.568,-0.697,-0.687,-0.62
1849,6,-0.483,-0.677,-0.72,-0.683,-0.617
1849,7,-0.512,-0.812,-0.746,-0.67,-0.618
1849,8,-0.184,-0.87,-0.779,-0.663,-0.619
1849,9,-0.621,-0.898,-0.805,-0.657,-0.619
1849,10,-0.994,-0.957,-0.83,-0.653,-0.613
1849,11,-1.446,-0.914,-0.829,-0.652,-0.604
1849,12,-1.83,-0.899,-0.819,-0.641,-0.593
1850,1,-1.583,-0.856,-0.811,-0.648,-0.599
1850,2,-0.796,-0.858,-0.813,-0.632,-0.599
1850,3,-0.037,-0.842,-0.813,-0.631,-0.605
1850,4,-1.758,-0.839,-0.802,-0.619,-0.608
1850,5,-0.729,-0.898,-0.843,-0.618,-0.612
1850,6,-0.303,-0.756,-0.817,-0.62,-0.613
1850,7,0.015,-0.654,-0.811,-0.62,-0.616
1850,8,-0.214,-0.656,-0.842,-0.615,-0.614
1850,9,-0.424,-0.82,-0.844,-0.614,-0.61
1850,10,-0.958,-0.874,-0.851,-0.61,-0.607
1850,11,-2.16,-0.889,-0.849,-0.61,-0.607
1850,12,-0.129,-0.855,-0.84,-0.588,-0.609
1851,1,-0.35,-0.842,-0.827,-0.588,-0.612
1851,2,-0.826,-0.861,-0.814,-0.612,-0.618
1851,3,-1.998,-0.911,-0.797,-0.62,-0.611
1851,4,-2.406,-0.918,-0.802,-0.613,-0.605
1851,5,-0.917,-0.929,-0.802,-0.612,-0.607
1851,6,0.105,-1.002,-0.809,-0.612,-0.603
1851,7,0.174,-1.028,-0.811,-0.615,-0.603
1851,8,-0.44,-1.105,-0.842,-0.622,-0.6
1851,9,-1.022,-1.144,-0.847,-0.631,-0.599
1851,10,-1.042,-1.055,-0.838,-0.629,-0.598
1851,11,-2.295,-1.02,-0.812,-0.623,-0.59
1851,12,-1.005,-1.029,-0.81,-0.625,-0.586
1852,1,-0.66,-1.01,-0.789,-0.64,-0.597
1852,2,-1.751,-1.046,-0.784,-0.644,-0.603
1852,3,-2.472,-1.027,-0.78,-0.641,-0.613
1852,4,-1.335,-0.956,-0.762,-0.652,-0.621
1852,5,-0.503,-0.951,-0.746,-0.66,-0.619
1852,6,-0.002,-0.884,-0.72,-0.661,-0.617
1852,7,0.412,-1.009,-0.7,-0.662,-0.613
1852,8,-0.878,-1.006,-0.675,-0.663,-0.61
1852,9,-0.792,-0.859,-0.678,-0.662,-0.611
1852,10,-0.194,-0.865,-0.633,-0.662,-0.61
1852,11,-2.228,-0.86,-0.621,-0.673,-0.613
1852,12,-0.201,-0.837,-0.617,-0.656,-0.626
1853,1,-2.166,-0.798,-0.621,-0.631,-0.623
1853,2,-1.717,-0.725,-0.622,-0.632,-0.622
1853,3,-0.708,-0.648,-0.625,-0.632,-0.623
1853,4,-1.403,-0.745,-0.626,-0.622,-0.625
1853,5,-0.444,-0.666,-0.61,-0.622,-0.621
1853,6,0.275,-0.725,-0.616,-0.622,-0.617
1853,7,0.879,-0.554,-0.614,-0.624,-0.614
1853,8,0.003,-0.573,-0.632,-0.622,-0.615
1853,9,0.134,-0.512,-0.605,-0.618,-0.617
1853,10,-1.364,-0.439,-0.572,-0.612,-0.619
1853,11,-1.282,-0.377,-0.569,-0.599,-0.617
1853,12,-0.906,-0.428,-0.569,-0.604,-0.622
1854,1,-0.115,-0.44,-0.571,-0.604,-0.624
1854,2,-1.949,-0.43,-0.575,-0.607,-0.625
1854,3,0.031,-0.471,-0.575,-0.612,-0.632
1854,4,-0.532,-0.351,-0.576,-0.596,-0.632
1854,5,0.299,-0.288,-0.55,-0.581,-0.629
1854,6,-0.334,-0.232,-0.53,-0.577,-0.628
1854,7,0.734,-0.253,-0.533,-0.574,-0.625
1854,8,0.127,-0.034,-0.509,-0.575,-0.626
1854,9,-0.362,-0.053,-0.478,-0.576,-0.626
1854,10,0.072,0.07,-0.473,-0.571,-0.625
1854,11,-0.527,0.042,-0.49,-0.56,-0.625
1854,12,-0.235,0.064,-0.502,-0.547,-0.628
1855,1,-0.362,-0.013,-0.513,-0.546,-0.627
1855,2,0.685,-0.05,-0.512,-0.544,-0.626
1855,3,-0.2,-0.07,-0.511,-0.569,-0.63
1855,4,0.941,-0.161,-0.522,-0.561,-0.629
1855,5,-0.041,-0.217,-0.504,-0.563,-0.628
1855,6,-0.066,-0.237,-0.496,-0.562,-0.628
1855,7,-0.189,-0.227,-0.451,-0.566,-0.627
1855,8,-0.312,-0.444,-0.421,-0.565,-0.623
1855,9,-0.608,-0.456,-0.419,-0.56,-0.619
1855,10,-1.016,-0.569,-0.393,-0.562,-0.614
1855,11,-1.204,-0.629,-0.396,-0.56,-0.613
1855,12,-0.471,-0.617,-0.403,-0.576,-0.605
1856,1,-0.243,-0.592,-0.421,-0.596,-0.601
1856,2,-1.913,-0.625,-0.43,-0.605,-0.607
1856,3,-0.345,-0.661,-0.439,-0.597,-0.616
1856,4,-0.422,-0.667,-0.422,-0.579,-0.613
1856,5,-0.755,-0.627,-0.396,-0.58,-0.611
1856,6,0.076,-0.57,-0.399,-0.581,-0.614
1856,7,0.109,-0.62,-0.396,-0.583,-0.612
1856,8,-0.704,-0.487,-0.372,-0.58,-0.612
1856,9,-1.045,-0.509,-0.377,-0.579,-0.615
1856,10,-1.086,-0.561,-0.354,-0.576,-0.611
1856,11,-0.73,-0.625,-0.35,-0.556,-0.606
1856,12,0.217,-0.693,-0.343,-0.558,-0.603
1857,1,-0.847,-0.723,-0.358,-0.577,-0.607
1857,2,-0.314,-0.733,-0.365,-0.573,-0.61
1857,3,-0.607,-0.706,-0.373,-0.566,-0.606
1857,4,-1.042,-0.685,-0.38,-0.568,-0.605
1857,5,-1.532,-0.722,-0.374,-0.565,-0.604
1857,6,-0.732,-0.715,-0.375,-0.567,-0.601
1857,7,-0.256,-0.599,-0.392,-0.573,-0.599
1857,8,-0.828,-0.569,-0.413,-0.57,-0.597
1857,9,-0.714,-0.565,-0.461,-0.571,-0.594
1857,10,-0.833,-0.465,-0.49,-0.576,-0.59
1857,11,,-0.389,-0.504,-0.576,-0.586
1857,12,,-0.342,-0.507,-0.597,-0.574
1858,1,0.548,-0.338,-0.512,-0.571,-0.562
1858,2,0.04,-0.31,-0.508,-0.542,-0.564
1858,3,-0.556,-0.288,-0.495,-0.539,-0.566
1858,4,0.155,-0.245,-0.497,-0.531,-0.561
1858,5,-0.615,-0.127,-0.51,-0.53,-0.559
1858,6,-0.164,-0.241,-0.536,-0.532,-0.559
1858,7,-0.212,-0.28,-0.577,-0.538,-0.557
1858,8,-0.498,-0.327,-0.578,-0.543,-0.554
1858,9,-0.449,-0.303,-0.59,-0.554,-0.551
1858,10,-0.312,-0.247,-0.587,-0.554,-0.546
1858,11,0.237,-0.149,-0.591,-0.552,-0.545
1858,12,-1.068,-0.129,-0.593,-0.551,-0.544
1859,1,0.076,-0.126,-0.596,-0.554,-0.544
1859,2,-0.518,-0.108,-0.585,-0.546,-0.538
1859,3,-0.27,-0.141,-0.583,-0.557,-0.543
1859,4,0.832,-0.143,-0.576,-0.562,-0.541
1859,5,0.552,-0.178,-0.563,-0.571,-0.535
1859,6,0.075,-0.111,-0.586,-0.573,-0.533
1859,7,-0.167,-0.234,-0.621,-0.579,-0.529
1859,8,-0.286,-0.238,-0.636,-0.589,-0.528
1859,9,-0.84,-0.473,-0.653,-0.595,-0.524
1859,10,-0.341,-0.61,-0.664,-0.598,-0.519
1859,11,-0.179,-0.727,-0.641,-0.598,-0.517
1859,12,-0.273,-0.756,-0.632,-0.615,-0.516
1860,1,-1.394,-0.779,-0.634,-0.607,-0.514
1860,2,-0.57,-0.765,-0.627,-0.62,-0.516
1860,3,-3.082,-0.678,-0.631,-0.629,-0.518
1860,4,-0.82,-0.746,-0.631,-0.64,-0.51
