Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1825,3,-0.225,-0.199,,,
1825,4,0.333,-0.19,,,
1825,5,-0.433,-0.172,,,
1825,6,0.338,-0.34,,,
1825,7,-0.021,-0.398,,,
1825,8,-0.619,-0.504,,,
1825,9,-0.906,-0.526,,,
1825,10,-1.068,,,,
1825,11,-0.213,,,,
1825,12,-0.862,,,,
1826,1,,,,,
1826,2,,,,,
1826,3,,,,,
1826,4,,,,,
1826,5,,,,,
1826,6,,,,,
1826,7,,,,,
1826,8,,,,,
1826,9,,,,,
1826,10,,,,,
1826,11,,,,,
1826,12,,,,,
1827,1,,,,,
1827,2,,,,,
1827,3,,,,,
1827,4,,,,,
1827,5,,,,,
1827,6,,,,,
1827,7,,,,,
1827,8,,,,,
1827,9,,,,,
1827,10,,,,,
1827,11,,,,,
1827,12,,,,,
1828,1,,,,,
1828,2,,,,,
1828,3,,,,,
1828,4,,,,,
1828,5,,,,,
1828,6,,,,,
1828,7,,,,,
1828,8,,,,,
1828,9,,,,,
1828,10,,,,,
1828,11,,,,,
1828,12,,,,,
1829,1,,,,,
1829,2,,,,,
1829,3,,,,,
1829,4,,,,,
1829,5,,,,,
1829,6,,,,,
1829,7,,,,,
1829,8,,,,,
1829,9,,,,,
1829,10,,,,,
1829,11,,,,,
1829,12,,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
