Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1881,4,-0.666,,,,
1881,5,0.133,-0.434,,,
1881,6,-0.397,-0.422,,,
1881,7,0.011,-0.453,,,
1881,8,-0.015,-0.45,,,
1881,9,-0.477,-0.514,,,
1881,10,-0.258,-0.58,,,
1881,11,-0.962,-0.674,,,
1881,12,-0.461,-0.694,,,
1882,1,-0.624,-0.751,,,
1882,2,-0.947,-0.788,,,
1882,3,-1.502,-0.786,,,
1882,4,-1.46,-0.838,,,
1882,5,-0.992,-0.824,,,
1882,6,-0.646,-0.845,-0.792,,
1882,7,-0.665,-0.866,-0.797,,
1882,8,-0.461,-0.895,-0.785,,
1882,9,-0.458,-0.847,-0.775,,
1882,10,-0.882,-0.81,-0.773,,
1882,11,-0.788,-0.79,-0.775,,
1882,12,-0.712,-0.796,-0.778,,
1883,1,-0.883,-0.803,-0.773,,
1883,2,-1.294,-0.835,-0.773,,
1883,3,-0.92,-0.867,-0.77,,
1883,4,-1.015,-0.874,-0.766,,
1883,5,-0.758,-0.919,-0.759,,
1883,6,-0.711,-0.934,-0.75,,
1883,7,-0.756,-0.925,-0.76,,
1883,8,-0.838,-0.918,-0.761,,
1883,9,-0.851,-1.011,-0.769,,
1883,10,-0.965,-1.071,-0.766,,
1883,11,-1.329,-1.122,-0.782,,
1883,12,-0.887,-1.09,-0.785,,
1884,1,-0.775,-1.086,-0.79,,
1884,2,-1.21,-1.116,-0.799,,
1884,3,-2.033,-1.099,-0.8,,
1884,4,-1.739,-1.091,-0.8,,
1884,5,-1.373,-0.975,-0.794,,
1884,6,-0.323,-0.925,-0.797,,
1884,7,-0.714,-0.973,-0.805,,
1884,8,-1.191,-0.946,-0.82,,
1884,9,,,-0.819,,
1884,10,-0.86,,-0.816,,
1884,11,0.054,,-0.815,,
1884,12,-0.278,,-0.816,,
1885,1,,,-0.812,,
1885,2,,,-0.817,,
1885,3,,,-0.817,,
1885,4,,,-0.809,,
1885,5,,,-0.802,,
1885,6,,,-0.805,,
1885,7,,,-0.81,,
1885,8,,,-0.813,,
1885,9,,,-0.819,,
1885,10,,,-0.821,,
1885,11,,,-0.819,,
1885,12,,,-0.816,,
1886,1,-0.867,,-0.799,,
1886,2,-1.022,,-0.794,,
1886,3,-1.224,-0.549,,,
1886,4,-0.5,-0.569,,,
1886,5,-0.801,-0.606,,,
1886,6,-0.601,-0.66,,,
1886,7,-0.263,-0.676,,,
1886,8,-0.576,-0.747,,,
1886,9,-0.516,-0.763,,,
1886,10,-0.259,-0.831,,,
1886,11,-0.599,-0.841,,,
1886,12,-0.686,-0.851,,,
1887,1,-1.07,-0.861,,,
1887,2,-1.875,-0.88,,,
1887,3,-1.413,-0.873,,,
1887,4,-1.308,-0.884,,,
1887,5,-0.923,-0.868,,,
1887,6,,-0.881,,,
1887,7,,-0.894,,,
1887,8,-0.804,-0.858,,,
1887,9,-0.434,-0.849,,,
1887,10,-0.395,-0.834,,,
1887,11,-0.406,-0.812,,,
1887,12,-0.846,-0.794,,,
1888,1,-1.215,-0.742,,,
1888,2,-1.454,-0.72,,,
1888,3,-1.295,-0.69,,,
1888,4,-1.136,-0.655,,,
1888,5,-0.655,-0.647,,,
1888,6,-0.514,,,,
1888,7,0.244,,,,
1888,8,-0.537,,,,
1888,9,,,,,
1888,10,,,,,
1888,11,,,,,
1888,12,,,,,
1889,1,,,,,
1889,2,,,,,
1889,3,,,,,
1889,4,,,,,
1889,5,,,,,
1889,6,,,,,
1889,7,,,,,
1889,8,,,,,
1889,9,,,,,-0.659
1889,10,,,,,-0.659
1889,11,,,,,-0.655
1889,12,,,,,-0.654
1890,1,,,,,-0.65
1890,2,,,,,-0.641
1890,3,,,,,-0.633
1890,4,,,,,-0.625
1890,5,,,,,-0.618
1890,6,,,,,-0.614
1890,7,,,,,-0.611
1890,8,,,,,-0.609
1890,9,,,,,-0.607
1890,10,,,,,-0.607
1890,11,,,,,-0.607
1890,12,,,,-0.712,-0.604
1891,1,-1.277,,,-0.712,-0.604
1891,2,-0.965,,,-0.706,-0.6
1891,3,-1.068,-0.591,,-0.701,-0.597
1891,4,-0.555,-0.574,,-0.705,-0.594
1891,5,-0.037,-0.493,,-0.703,-0.596
1891,6,-0.152,-0.507,,-0.701,-0.595
1891,7,-0.095,-0.412,,-0.696,-0.597
1891,8,-0.262,-0.421,,-0.692,-0.597
1891,9,-0.039,-0.388,,-0.688,-0.596
1891,10,-0.283,-0.449,,-0.681,-0.596
1891,11,-0.237,-0.549,,-0.68,-0.595
1891,12,-1.112,-0.623,,-0.675,-0.595
1892,1,-0.143,-0.676,,-0.667,-0.595
1892,2,-1.07,-0.778,,-0.653,-0.593
1892,3,-0.67,-0.813,-0.902,-0.645,-0.59
1892,4,-1.286,-0.862,-0.912,-0.63,-0.584
1892,5,-1.234,-0.901,-0.903,-0.624,-0.581
1892,6,-1.052,-0.886,-0.897,-0.618,-0.579
1892,7,-0.722,-0.98,-0.888,-0.62,-0.575
1892,8,-1.488,-1.0,-0.871,-0.614,-0.572
1892,9,-0.459,-1.055,-0.86,-0.612,-0.57
1892,10,-0.873,-1.021,-0.845,-0.609,-0.567
1892,11,-0.701,-1.022,-0.834,-0.614,-0.565
1892,12,-0.931,-1.035,-0.822,-0.611,-0.564
1893,1,-1.28,-1.073,-0.816,-0.606,-0.56
1893,2,-1.306,-1.016,-0.807,-0.603,-0.553
1893,3,-1.328,-1.047,-0.788,-0.604,-0.55
1893,4,-0.876,-1.047,-0.783,-0.6,-0.547
1893,5,-1.25,-1.084,-0.776,-0.596,-0.545
1893,6,-1.206,-1.115,-0.772,-0.595,-0.542
1893,7,-1.172,-1.133,-0.766,-0.599,-0.539
1893,8,-0.813,-1.13,-0.755,-0.598,-0.538
1893,9,-0.826,-1.149,-0.748,-0.602,-0.537
1893,10,-0.874,-1.168,-0.754,-0.606,-0.534
1893,11,-1.143,-1.137,-0.762,-0.609,-0.531
1893,12,-1.306,-1.089,-0.767,-0.616,-0.53
1894,1,-1.499,-1.059,-0.758,-0.615,-0.53
1894,2,-1.267,-1.066,-0.756,-0.626,-0.529
1894,3,-1.559,-1.045,-0.756,-0.637,-0.527
1894,4,-1.104,-1.031,-0.743,-0.643,-0.524
1894,5,-0.872,-0.977,-0.746,-0.648,-0.522
1894,6,-0.637,-0.936,-0.73,-0.648,-0.522
1894,7,-0.805,-0.898,-0.728,-0.648,-0.522
1894,8,-0.905,-0.857,-0.714,-0.647,-0.519
1894,9,-0.572,-0.802,-0.709,-0.643,-0.519
1894,10,-0.697,-0.731,-0.68,-0.645,-0.517
1894,11,-0.498,-0.685,-0.663,-0.634,-0.518
1894,12,-0.818,-0.635,-0.646,-0.628,-0.518
1895,1,-1.044,-0.575,-0.644,-0.617,-0.513
1895,2,-0.77,-0.517,-0.621,-0.597,-0.51
1895,3,-0.904,-0.444,-0.617,-0.577,-0.51
1895,4,-0.25,-0.403,-0.603,-0.564,-0.505
1895,5,-0.324,-0.426,-0.607,-0.549,-0.503
1895,6,-0.029,-0.418,-0.6,-0.54,-0.5
1895,7,-0.09,-0.407,-0.589,-0.533,-0.498
1895,8,-0.209,-0.369,-0.585,-0.528,-0.497
1895,9,0.302,-0.344,-0.588,-0.524,-0.497
1895,10,-0.207,-0.399,-0.583,-0.522,-0.498
1895,11,-0.768,-0.42,-0.566,-0.516,-0.499
1895,12,-0.718,-0.452,-0.552,-0.508,-0.5
1896,1,-0.919,-0.41,-0.537,-0.499,-0.498
1896,2,-0.314,-0.402,-0.53,-0.491,-0.495
1896,3,-0.597,-0.43,-0.525,-0.482,-0.491
1896,4,-0.911,-0.371,-0.519,-0.477,-0.489
1896,5,-0.575,-0.341,-0.511,-0.48,-0.487
1896,6,-0.421,-0.294,-0.5,-0.48,-0.487
1896,7,0.422,-0.222,-0.481,-0.482,-0.486
1896,8,-0.115,-0.214,-0.468,-0.48,-0.485
1896,9,-0.034,-0.197,-0.457,-0.482,-0.484
1896,10,0.502,-0.083,-0.439,-0.483,-0.484
1896,11,-0.418,-0.051,-0.428,-0.487,-0.483
1896,12,-0.145,-0.02,-0.42,-0.482,-0.484
1897,1,-0.055,-0.102,-0.408,-0.485,-0.485
1897,2,-0.218,-0.105,-0.394,-0.48,-0.482
1897,3,-0.396,-0.117,-0.383,-0.48,-0.48
1897,4,0.457,-0.163,-0.378,-0.471,-0.477
1897,5,-0.19,-0.208,-0.364,-0.461,-0.477
1897,6,-0.051,-0.239,-0.359,-0.454,-0.476
1897,7,-0.559,-0.284,-0.345,-0.446,-0.478
1897,8,-0.148,-0.356,-0.322,-0.431,-0.475
1897,9,-0.188,-0.447,-0.294,-0.428,-0.475
1897,10,-0.041,-0.533,-0.283,-0.423,-0.475
1897,11,-0.958,-0.537,-0.265,-0.419,-0.475
1897,12,-0.517,-0.562,-0.258,-0.415,-0.473
1898,1,-0.605,-0.539,-0.251,-0.404,-0.469
1898,2,-1.076,-0.559,-0.25,-0.39,-0.464
1898,3,-1.491,-0.591,-0.261,-0.38,-0.462
1898,4,-0.569,-0.628,-0.261,-0.374,-0.46
1898,5,-0.239,-0.604,-0.255,-0.366,-0.461
1898,6,-0.356,-0.616,-0.243,-0.356,-0.46
1898,7,-0.281,-0.592,-0.231,-0.347,-0.464
1898,8,-0.39,-0.545,-0.226,-0.347,-0.463
1898,9,-0.564,-0.497,-0.217,-0.344,-0.465
1898,10,-0.49,-0.449,-0.201,-0.339,-0.469
1898,11,-0.67,-0.449,-0.197,-0.333,-0.472
1898,12,-0.66,-0.429,-0.194,-0.329,-0.476
1899,1,-0.319,-0.413,-0.206,-0.323,-0.479
1899,2,-0.51,-0.387,-0.204,-0.32,-0.486
1899,3,-0.917,-0.335,-0.207,-0.32,-0.49
1899,4,0.012,-0.327,-0.224,-0.32,-0.496
1899,5,-0.249,-0.242,-0.227,-0.32,-0.502
1899,6,-0.114,-0.227,-0.234,-0.317,-0.505
1899,7,-0.09,-0.221,-0.243,-0.317,-0.507
1899,8,-0.068,-0.125,-0.245,-0.312,-0.509
1899,9,0.05,0.013,-0.251,-0.313,-0.508
1899,10,-0.385,0.05,-0.262,-0.311,-0.509
1899,11,0.351,0.133,-0.26,-0.307,-0.509
1899,12,-0.486,0.172,-0.262,-0.304,-0.507
1900,1,-0.243,0.21,-0.248,-0.297,-0.504
1900,2,0.632,0.203,-0.242,-0.291,-0.501
1900,3,0.75,0.169,-0.238,-0.29,-0.501
1900,4,0.457,0.182,-0.243,-0.288,-0.501
1900,5,0.745,0.119,-0.231,-0.29,-0.499
1900,6,0.351,0.16,-0.229,-0.29,-0.497
1900,7,0.372,0.164,-0.22,-0.287,-0.498
1900,8,-0.161,0.11,-0.194,-0.286,-0.497
1900,9,-0.349,0.043,-0.171,-0.294,-0.497
1900,10,-0.233,0.008,-0.166,-0.295,-0.499
1900,11,-0.4,-0.083,-0.167,-0.291,-0.498
1900,12,-0.004,-0.129,-0.161,-0.289,-0.498
1901,1,-0.194,-0.185,-0.157,-0.283,-0.498
1901,2,-0.016,-0.174,-0.163,-0.283,-0.499
1901,3,-0.05,-0.162,-0.162,-0.28,-0.499
1901,4,0.042,-0.183,-0.158,-0.274,-0.5
1901,5,-0.353,-0.203,-0.156,-0.271,-0.504
1901,6,-0.198,-0.248,-0.157,-0.272,-0.505
1901,7,-0.299,-0.28,-0.165,-0.277,-0.505
1901,8,-0.036,-0.31,-0.173,-0.279,-0.505
1901,9,-0.209,-0.365,-0.183,-0.281,-0.506
1901,10,-0.482,-0.388,-0.2,-0.287,-0.507
1901,11,-0.642,-0.362,-0.211,-0.285,-0.51
1901,12,-0.539,-0.361,-0.215,-0.292,-0.507
1902,1,-0.577,-0.312,-0.225,-0.302,-0.505
1902,2,-0.382,-0.291,-0.231,-0.31,-0.5
1902,3,-0.703,-0.273,-0.242,-0.315,-0.497
1902,4,-0.237,-0.258,-0.245,-0.323,-0.493
1902,5,-0.043,-0.226,-0.25,-0.329,-0.487
1902,6,-0.178,-0.214,-0.25,-0.334,-0.484
1902,7,0.287,-0.169,-0.248,-0.336,-0.483
1902,8,0.209,-0.099,-0.259,-0.336,-0.478
1902,9,0.01,-0.052,-0.285,-0.337,-0.479
1902,10,-0.3,-0.051,-0.294,-0.341,-0.477
1902,11,-0.262,-0.071,-0.316,-0.337,-0.478
1902,12,-0.396,-0.057,-0.322,-0.335,-0.478
1903,1,-0.032,-0.085,-0.323,-0.332,-0.476
1903,2,0.462,-0.167,-0.323,-0.326,-0.476
1903,3,-0.142,-0.209,-0.326,-0.32,-0.475
1903,4,-0.229,-0.204,-0.328,-0.32,-0.474
1903,5,-0.286,-0.227,-0.327,-0.326,-0.472
1903,6,-0.005,-0.255,-0.334,-0.325,-0.469
1903,7,-0.047,-0.32,-0.336,-0.328,-0.465
1903,8,-0.773,-0.439,-0.34,-0.329,-0.462
1903,9,-0.503,-0.556,-0.343,-0.329,-0.46
1903,10,-0.238,-0.621,-0.347,-0.331,-0.46
1903,11,-0.531,-0.672,-0.344,-0.335,-0.458
1903,12,-0.737,-0.701,-0.35,-0.337,-0.457
1904,1,-0.817,-0.755,-0.349,-0.342,-0.451
1904,2,-0.963,-0.723,-0.354,-0.346,-0.446
1904,3,-1.543,-0.735,-0.355,-0.343,-0.44
1904,4,-1.01,-0.759,-0.351,-0.35,-0.438
1904,5,-0.894,-0.714,-0.343,-0.356,-0.436
1904,6,-0.357,-0.691,-0.35,-0.361,-0.435
1904,7,-0.696,-0.633,-0.362,-0.366,-0.431
1904,8,-0.39,-0.559,-0.375,-0.37,-0.427
1904,9,-0.64,-0.496,-0.38,-0.373,-0.425
1904,10,-0.535,-0.42,-0.385,-0.373,-0.424
1904,11,0.008,-0.391,-0.399,-0.383,-0.425
1904,12,-0.462,-0.361,-0.406,-0.387,-0.421
1905,1,-0.117,-0.278,-0.424,-0.392,-0.417
1905,2,-0.069,-0.26,-0.431,-0.406,-0.416
1905,3,-0.793,-0.253,-0.436,-0.425,-0.412
1905,4,-0.095,-0.234,-0.438,-0.437,-0.411
1905,5,-0.544,-0.264,-0.442,-0.448,-0.409
1905,6,0.002,-0.261,-0.441,-0.454,-0.408
1905,7,0.299,-0.276,-0.445,-0.463,-0.406
1905,8,-0.172,-0.295,-0.457,-0.466,-0.403
1905,9,-0.553,-0.246,-0.468,-0.469,-0.404
1905,10,-0.316,-0.255,-0.475,-0.476,-0.403
1905,11,-0.344,-0.225,-0.485,-0.481,-0.402
1905,12,-0.435,-0.27,-0.49,-0.489,-0.401
1906,1,-0.293,-0.314,-0.499,-0.497,-0.401
1906,2,-0.301,-0.329,-0.494,-0.506,-0.404
1906,3,-0.2,-0.305,-0.495,-0.516,-0.405
1906,4,-0.205,-0.299,-0.504,-0.523,-0.402
1906,5,-0.184,-0.286,-0.514,-0.527,-0.4
1906,6,-0.54,-0.33,-0.516,-0.53,-0.398
1906,7,-0.231,-0.411,-0.519,-0.528,-0.399
1906,8,-0.351,-0.484,-0.519,-0.529,-0.4
1906,9,-0.26,-0.55,-0.503,-0.53,-0.4
1906,10,-0.239,-0.576,-0.499,-0.531,-0.405
1906,11,-0.197,-0.636,-0.5,-0.532,-0.408
1906,12,-0.954,-0.641,-0.508,-0.532,-0.413
1907,1,-1.276,-0.688,-0.506,-0.524,-0.419
1907,2,-1.176,-0.675,-0.51,-0.519,-0.426
1907,3,-0.99,-0.678,-0.505,-0.515,-0.43
1907,4,-0.508,-0.695,-0.502,-0.514,-0.436
1907,5,-0.908,-0.721,-0.517,-0.513,-0.439
1907,6,-0.604,-0.667,-0.524,-0.514,-0.442
1907,7,-0.796,-0.584,-0.537,-0.52,-0.44
1907,8,-0.186,-0.509,-0.553,-0.525,-0.442
1907,9,-0.297,-0.493,-0.565,-0.53,-0.445
1907,10,-0.447,-0.504,-0.58,-0.532,-0.448
1907,11,-0.511,-0.502,-0.58,-0.537,-0.449
1907,12,-0.306,-0.475,-0.586,-0.541,-0.453
1908,1,-0.276,-0.457,-0.603,-0.548,-0.457
1908,2,-0.276,-0.482,-0.61,-0.562,-0.458
1908,3,-0.805,-0.506,-0.612,-0.569,-0.459
1908,4,-0.64,-0.534,-0.625,-0.573,-0.462
1908,5,-0.875,-0.584,-0.635,-0.578,-0.465
1908,6,-0.288,-0.632,-0.644,-0.582,-0.465
