Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1889,2,0.838,,,,
1889,3,-0.103,,,,
1889,4,0.406,-0.065,,,
1889,5,0.493,-0.121,,,
1889,6,-0.057,-0.127,,,
1889,7,0.086,-0.127,,,
1889,8,-0.665,-0.226,,,
1889,9,-0.305,-0.299,,,
1889,10,-0.945,-0.388,,,
1889,11,-0.595,-0.503,,,
1889,12,-0.407,-0.554,,,
1890,1,-0.267,-0.628,,,
1890,2,-0.355,-0.64,,,
1890,3,-0.981,-0.683,,,
1890,4,-0.654,-0.686,,,
1890,5,,-0.756,-0.452,,
1890,6,,-0.852,-0.452,,
1890,7,-0.799,-0.933,-0.459,,
1890,8,-0.807,-0.979,-0.455,,
1890,9,-0.821,-0.997,-0.453,,
1890,10,-0.986,-0.99,-0.454,,
1890,11,-1.426,-0.965,-0.459,,
1890,12,-1.571,-0.921,-0.468,,
1891,1,-1.234,-0.901,-0.479,,
1891,2,-0.906,-0.889,-0.483,,
1891,3,-1.193,-0.846,-0.482,,
1891,4,-0.57,-0.813,-0.486,,
1891,5,-0.597,-0.772,-0.5,,
1891,6,-0.143,-0.652,-0.505,,
1891,7,-0.556,-0.666,-0.515,,
1891,8,-0.665,-0.676,-0.539,-0.465,
1891,9,-0.31,-0.6,-0.544,-0.462,
1891,10,-0.587,-0.535,-0.565,-0.459,
1891,11,-0.927,-0.49,-0.585,-0.458,
1891,12,-0.134,-0.446,-0.602,-0.46,
1892,1,-1.403,-0.379,-0.607,-0.452,
1892,2,-1.021,-0.301,-0.596,-0.447,
1892,3,-0.282,-0.291,-0.593,-0.44,
1892,4,0.204,-0.247,-0.57,-0.438,
1892,5,-0.056,-0.187,-0.561,-0.436,
1892,6,0.385,-0.243,-0.57,-0.432,
1892,7,0.252,-0.218,-0.579,-0.425,
1892,8,0.266,-0.199,-0.584,-0.413,
1892,9,-0.194,-0.237,-0.574,-0.406,
1892,10,-0.057,-0.301,-0.56,-0.403,
1892,11,-0.204,-0.355,-0.552,-0.395,
1892,12,-0.813,-0.457,-0.55,-0.395,
1893,1,-1.096,-0.537,-0.535,-0.393,
1893,2,-0.799,-0.588,-0.522,-0.389,
1893,3,-0.729,-0.595,-0.513,-0.386,
1893,4,-0.562,-0.617,-0.5,-0.385,
1893,5,-0.706,-0.662,-0.481,-0.378,
1893,6,-0.844,-0.649,-0.464,-0.377,
1893,7,-0.709,-0.633,-0.448,-0.38,
1893,8,-0.338,-0.615,-0.442,-0.384,
1893,9,-0.287,-0.588,-0.422,-0.381,
1893,10,-0.321,-0.611,-0.411,-0.377,
1893,11,-0.743,-0.611,-0.401,-0.37,
1893,12,-0.656,-0.631,-0.392,-0.365,
1894,1,-0.901,-0.592,-0.384,-0.361,
1894,2,-0.585,-0.565,-0.374,-0.374,-0.375
1894,3,-0.398,-0.548,-0.37,-0.378,-0.373
1894,4,-0.838,-0.484,-0.363,-0.38,-0.372
1894,5,-0.713,-0.429,-0.361,-0.396,-0.37
1894,6,-1.082,-0.452,-0.367,-0.406,-0.37
1894,7,-0.237,-0.444,-0.35,-0.412,-0.371
1894,8,-0.018,-0.449,-0.341,-0.413,-0.371
1894,9,-0.079,-0.447,-0.335,-0.411,-0.374
1894,10,0.438,-0.362,-0.345,-0.402,-0.372
1894,11,-0.074,-0.338,-0.352,-0.395,-0.371
1894,12,-0.933,-0.296,-0.36,-0.394,-0.37
1895,1,-0.806,-0.267,-0.357,-0.388,-0.365
1895,2,-0.655,-0.269,-0.353,-0.383,-0.364
1895,3,-0.37,-0.286,-0.345,-0.373,-0.365
1895,4,0.186,-0.337,-0.348,-0.366,-0.365
1895,5,-0.422,-0.355,-0.339,-0.358,-0.363
1895,6,-0.583,-0.324,-0.339,-0.353,-0.358
1895,7,0.115,-0.281,-0.326,-0.349,-0.359
1895,8,-0.049,-0.273,-0.322,-0.339,-0.358
1895,9,-0.282,-0.24,-0.32,-0.331,-0.354
1895,10,-0.166,-0.247,-0.317,-0.318,-0.351
1895,11,-0.298,-0.211,-0.297,-0.306,-0.349
1895,12,-0.553,-0.128,-0.287,-0.292,-0.35
1896,1,-0.297,-0.147,-0.282,-0.282,-0.345
1896,2,-0.555,-0.149,-0.285,-0.281,-0.34
1896,3,0.019,-0.128,-0.279,-0.272,-0.336
1896,4,0.113,-0.127,-0.268,-0.27,-0.336
1896,5,0.0,-0.174,-0.24,-0.268,-0.334
1896,6,0.421,-0.167,-0.224,-0.276,-0.333
1896,7,-0.12,-0.172,-0.207,-0.275,-0.335
1896,8,-0.068,-0.17,-0.208,-0.274,-0.335
1896,9,-0.032,-0.163,-0.211,-0.275,-0.338
1896,10,-0.158,-0.206,-0.196,-0.272,-0.338
1896,11,-0.86,-0.244,-0.207,-0.263,-0.337
1896,12,-0.473,-0.289,-0.21,-0.265,-0.34
1897,1,-0.352,-0.242,-0.217,-0.255,-0.34
1897,2,-0.53,-0.194,-0.229,-0.252,-0.338
1897,3,0.098,-0.167,-0.229,-0.253,-0.338
1897,4,-0.395,-0.172,-0.234,-0.251,-0.338
1897,5,-0.46,-0.072,-0.23,-0.252,-0.339
1897,6,-0.122,-0.102,-0.219,-0.254,-0.339
1897,7,0.453,-0.102,-0.198,-0.254,-0.341
1897,8,0.507,-0.105,-0.183,-0.25,-0.34
1897,9,0.283,-0.163,-0.173,-0.24,-0.339
1897,10,-0.214,-0.158,-0.172,-0.239,-0.335
1897,11,0.337,-0.08,-0.163,-0.236,-0.335
1897,12,-0.828,-0.093,-0.156,-0.228,-0.334
1898,1,-0.355,-0.163,-0.162,-0.22,-0.334
1898,2,-0.559,-0.249,-0.156,-0.215,-0.336
1898,3,-0.603,-0.267,-0.148,-0.208,-0.332
1898,4,-0.338,-0.219,-0.137,-0.201,-0.33
1898,5,0.482,-0.171,-0.132,-0.193,-0.328
1898,6,-0.275,-0.076,-0.121,-0.18,-0.324
1898,7,-0.396,-0.034,-0.116,-0.176,-0.325
1898,8,-0.515,-0.046,-0.12,-0.173,-0.325
1898,9,0.067,-0.043,-0.121,-0.179,-0.323
1898,10,0.357,-0.007,-0.13,-0.179,-0.321
1898,11,0.915,-0.163,-0.136,-0.174,-0.32
1898,12,0.305,-0.244,-0.161,-0.173,-0.321
1899,1,0.155,-0.269,-0.165,-0.172,-0.322
1899,2,-0.7,-0.284,-0.173,-0.174,-0.328
1899,3,-0.575,-0.299,-0.179,-0.177,-0.329
1899,4,0.099,-0.315,-0.182,-0.176,-0.333
1899,5,-1.392,-0.376,-0.165,-0.174,-0.337
1899,6,-1.245,-0.424,-0.164,-0.171,-0.341
1899,7,-0.694,-0.399,-0.16,-0.178,-0.342
1899,8,-0.706,-0.321,-0.162,-0.183,-0.341
1899,9,-0.11,-0.255,-0.17,-0.194,-0.34
1899,10,0.164,-0.243,-0.158,-0.2,-0.339
1899,11,0.193,-0.119,-0.152,-0.202,-0.338
1899,12,-0.273,-0.025,-0.148,-0.199,-0.334
1900,1,0.456,0.01,-0.151,-0.194,-0.334
1900,2,0.235,0.096,-0.147,-0.193,-0.334
1900,3,0.208,0.122,-0.135,-0.197,-0.332
1900,4,0.252,0.148,-0.13,-0.206,-0.333
1900,5,0.094,0.133,-0.133,-0.205,-0.333
1900,6,-0.12,0.167,-0.118,-0.195,-0.335
1900,7,-0.269,0.129,-0.113,-0.2,-0.336
1900,8,0.316,0.04,-0.109,-0.201,-0.335
1900,9,0.211,0.018,-0.095,-0.195,-0.334
1900,10,0.473,-0.035,-0.086,-0.192,-0.331
1900,11,0.007,-0.073,-0.089,-0.193,-0.33
1900,12,0.137,-0.155,-0.073,-0.191,-0.328
1901,1,-0.001,-0.161,-0.069,-0.189,-0.325
1901,2,-0.834,-0.233,-0.06,-0.185,-0.325
1901,3,-0.047,-0.286,-0.079,-0.186,-0.324
1901,4,-0.383,-0.35,-0.09,-0.188,-0.326
1901,5,-0.366,-0.341,-0.107,-0.19,-0.326
1901,6,-1.109,-0.383,-0.122,-0.196,-0.33
1901,7,-0.333,-0.394,-0.137,-0.2,-0.333
1901,8,-0.552,-0.379,-0.139,-0.205,-0.334
1901,9,-0.426,-0.409,-0.142,-0.213,-0.336
1901,10,-0.294,-0.347,-0.157,-0.217,-0.335
1901,11,0.115,-0.325,-0.142,-0.216,-0.333
1901,12,-0.371,-0.222,-0.133,-0.22,-0.332
1902,1,-0.123,-0.173,-0.139,-0.227,-0.326
1902,2,-0.657,-0.065,-0.138,-0.23,-0.324
1902,3,-0.411,0.055,-0.159,-0.237,-0.323
1902,4,0.363,0.084,-0.166,-0.238,-0.324
1902,5,-0.108,0.092,-0.175,-0.241,-0.322
1902,6,0.134,0.126,-0.18,-0.246,-0.324
