Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1856,3,-0.64,,,,
1856,4,-0.802,,,,
1856,5,-1.243,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,-1.446,,,,
1857,5,-1.496,,,,
1857,6,,,,,
1857,7,,,,,
1857,8,-1.314,-1.059,,,
1857,9,-1.305,-1.048,,,
1857,10,-1.52,-0.935,,,
1857,11,-1.093,-0.888,,,
1857,12,-0.956,-0.859,,,
1858,1,-0.441,-0.947,,,
1858,2,-0.864,-0.898,,,
1858,3,-0.963,-0.876,,,
1858,4,-0.087,-0.834,,,
1858,5,-0.938,,,,
1858,6,,,,,
1858,7,-1.368,,,,
1858,8,,,,,
1858,9,,,,,
1858,10,-1.012,,,,
1858,11,,,,,
1858,12,,,,,
1859,1,-0.15,,,,
1859,2,,,,,
1859,3,,,,,
1859,4,0.257,,,,
1859,5,-0.332,-0.57,,,
1859,6,-0.488,-0.482,-0.741,,
1859,7,-0.481,-0.418,-0.752,,
1859,8,-0.517,-0.319,-0.759,,
1859,9,-1.016,-0.302,-0.746,,
1859,10,-0.866,-0.375,-0.728,,
1859,11,-0.864,-0.391,-0.715,,
1859,12,-0.233,-0.371,-0.71,,
1860,1,0.621,-0.355,-0.709,,
1860,2,0.455,-0.342,-0.699,,
1860,3,-0.161,-0.282,-0.695,,
1860,4,,-0.279,,,
1860,5,-0.518,-0.315,,,
1860,6,-0.245,-0.441,,,
1860,7,-0.295,-0.622,,,
1860,8,-0.356,-0.744,,,
1860,9,-0.301,-0.817,,,
1860,10,-0.825,-0.857,,,
1860,11,-1.296,-0.885,,,
1860,12,-1.743,-0.918,,,
1861,1,-1.557,-0.946,,,
1861,2,-1.005,-0.979,,,
1861,3,-1.044,-1.017,,,
1861,4,-1.1,-1.023,,,
1861,5,-0.849,-1.003,,,
1861,6,-0.65,-0.924,,,
1861,7,-0.628,-0.908,,,
1861,8,-0.752,-0.927,,,
1861,9,,-0.867,,,
1861,10,,-0.803,,,
1861,11,-1.059,-0.796,,,
1861,12,-0.795,,,,
1862,1,-1.363,,,,
1862,2,-1.239,,,,
1862,3,-0.32,,,,
1862,4,-0.329,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,,,,,
1863,2,,,,,
1863,3,,,,,
1863,4,,,,,
1863,5,,,,,
1863,6,,,,,
1863,7,,,,,
1863,8,,,,,
1863,9,,,,,
1863,10,,,,,
