Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1857,3,-1.404,,,,
1857,4,-0.257,-0.678,,,
1857,5,-0.871,-0.708,,,
1857,6,-0.158,-0.797,,,
1857,7,0.048,-0.709,,,
1857,8,-0.746,-0.581,,,
1857,9,-0.893,-0.611,,,
1857,10,-0.05,-0.675,,,
1857,11,-0.948,-0.617,,,
1857,12,-1.321,-0.571,,,
1858,1,0.479,-0.636,,,
1858,2,-0.851,-0.653,,,
1858,3,-1.762,-0.553,,,
1858,4,-1.025,-0.61,-0.673,,
1858,5,-0.182,-0.547,-0.662,,
1858,6,0.401,-0.564,-0.664,,
1858,7,-0.729,-0.695,-0.696,,
1858,8,-0.951,-0.726,-0.702,,
1858,9,0.308,-0.656,-0.722,,
1858,10,-0.738,-0.605,-0.716,,
1858,11,-0.193,-0.607,-0.723,,
1858,12,-1.523,-0.692,-0.733,,
1859,1,-1.09,-0.655,-0.729,,
1859,2,-1.234,-0.612,-0.724,,
1859,3,-0.919,-0.714,-0.721,,
1859,4,-0.409,-0.656,-0.717,,
1859,5,-0.205,-0.761,-0.718,,
1859,6,-0.624,-0.699,-0.73,,
1859,7,-0.287,-0.705,-0.756,,
1859,8,-0.434,-0.717,-0.731,,
1859,9,-0.911,-0.814,-0.725,,
1859,10,-0.047,-0.851,,,
1859,11,-1.455,-0.942,,,
1859,12,-0.776,-0.907,,,
1860,1,-1.159,-0.941,,,
1860,2,-1.375,-0.934,,,
1860,3,-2.084,-0.889,,,
1860,4,-0.859,-0.946,,,
1860,5,-1.299,-0.862,,,
1860,6,-0.194,-0.884,,,
1860,7,-0.698,-0.93,,,
1860,8,-0.349,-0.896,,,
1860,9,-0.373,-0.808,,,
1860,10,-0.727,,,,
1860,11,-0.456,,,,
1860,12,-1.04,,,,
1861,1,,,,,
1861,2,,,,,
1861,3,,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,,,,,
1862,2,,,,,
1862,3,,,,,
1862,4,,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,-0.989,,,,
1863,2,-0.122,,,,
1863,3,-0.43,,,,
1863,4,-0.898,,,,
1863,5,-0.409,-0.763,,,
1863,6,0.02,-0.688,,,
1863,7,-0.456,-0.642,,,
1863,8,-0.664,-0.648,,,
1863,9,-0.974,-0.764,,,
1863,10,-0.574,,,,
1863,11,-1.072,,,,
1863,12,-1.686,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
1864,12,,,,,
1865,1,,,,,
1865,2,,,,,
1865,3,,,,,
1865,4,,,,,
1865,5,,,,,
1865,6,,,,,
1865,7,,,,,
1865,8,,,,,
1865,9,,,,,
1865,10,,,,,
1865,11,,,,,
1865,12,,,,,
1866,1,,,,,
1866,2,,,,,
1866,3,-1.867,,,,
1866,4,-1.603,,,,
1866,5,-0.632,,,,
1866,6,,-0.938,,,
1866,7,-0.495,-0.876,,,
1866,8,-0.678,-0.846,,,
1866,9,-0.666,-0.675,,,
1866,10,-0.944,-0.578,,,
1866,11,-1.265,-0.546,,,
1866,12,-0.042,-0.486,,,
1867,1,-0.125,-0.44,,,
1867,2,-1.124,-0.415,,,
1867,3,0.177,-0.417,,,
1867,4,-0.436,-0.385,,,
1867,5,-0.252,-0.384,,,
1867,6,0.015,-0.445,,,
1867,7,0.057,-0.442,,,
1867,8,-0.378,-0.468,,,
1867,9,-0.688,-0.588,,,
1867,10,-0.56,-0.613,,,
1867,11,-1.254,-0.647,,,
1867,12,-0.769,-0.708,,,
1868,1,-0.09,-0.723,,,
1868,2,-1.433,-0.72,,,
1868,3,-1.272,-0.714,,,
1868,4,-0.733,-0.687,,,
1868,5,-0.66,-0.68,,,
1868,6,-0.715,-0.662,,,
1868,7,-0.122,-0.627,,,
1868,8,-0.342,-0.413,,,
