Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-0.977,-0.561,,,
1750,3,1.911,-0.53,,,
1750,4,0.414,-0.457,,,
1750,5,-1.481,-0.64,,,
1750,6,0.195,-0.624,,,
1750,7,0.563,-0.666,,,
1750,8,0.643,-0.858,,,
1750,9,-0.288,-0.93,,,
1750,10,-0.74,-1.111,,,
1750,11,-3.656,-1.062,,,
1750,12,-2.605,-1.132,,,
1751,1,-1.967,-1.075,,,
1751,2,-3.285,-1.025,,,
1751,3,1.047,-1.013,,,
1751,4,-1.761,-1.045,,,
1751,5,-0.889,-1.033,,,
1751,6,-0.646,-1.024,,,
1751,7,1.246,-0.97,,,
1751,8,1.239,-0.609,,,
1751,9,-0.134,-0.677,,,
1751,10,-1.135,-0.624,,,
1751,11,-3.501,-0.612,,,
1751,12,-2.502,-0.415,,,
1752,1,-1.323,-0.457,,,
1752,2,1.047,-0.647,,,
1752,3,0.23,,,,
1752,4,-1.12,,,,
1752,5,-0.746,,,,
1752,6,1.715,,,,
1752,7,0.746,,,,
1752,8,-1.046,,,,
1752,9,,,,,
1752,10,-0.299,,,,
1752,11,-0.599,,,,
1752,12,-1.378,,,,
1753,1,-1.751,,,,
1753,2,-1.416,,,,
1753,3,0.913,-0.284,,,
1753,4,0.384,-0.289,,,
1753,5,0.31,-0.396,,,
1753,6,1.07,-0.442,,,
1753,7,0.664,-0.385,,,
1753,8,-0.706,-0.498,,,
1753,9,-0.6,-0.84,,,
1753,10,-0.363,-0.811,,,
1753,11,-1.877,-0.754,,,
1753,12,-1.928,-0.762,,,
1754,1,-1.068,-0.821,,,
1754,2,-2.77,-0.747,,,
1754,3,-3.198,-0.763,,,
1754,4,0.73,-0.655,,,
1754,5,0.994,-0.466,,,
1754,6,0.979,-0.335,,,
1754,7,-0.05,-0.529,,,
1754,8,0.185,-0.653,,,
1754,9,-0.79,-0.457,,,
1754,10,0.93,-0.265,,,
1754,11,0.397,-0.32,,,
1754,12,-0.36,-0.213,,,
1755,1,-3.394,-0.168,,,
1755,2,-4.26,-0.287,,,
1755,3,-0.846,-0.343,-0.247,,
1755,4,3.034,-0.395,-0.302,,
1755,5,0.331,-0.595,-0.322,,
1755,6,2.265,-0.575,-0.33,,
1755,7,0.49,-0.263,-0.367,,
1755,8,-1.236,0.193,-0.394,,
1755,9,-1.468,0.299,-0.417,,
1755,10,0.31,0.001,-0.431,,
1755,11,-2.005,-0.015,-0.446,,
1755,12,-0.121,-0.071,-0.455,,
1756,1,0.355,-0.096,-0.493,,
1756,2,1.205,0.053,-0.502,,
1756,3,0.433,0.164,-0.527,,
1756,4,-0.546,0.087,-0.565,,
1756,5,0.145,0.019,-0.544,,
1756,6,1.588,-0.127,-0.514,,
1756,7,0.184,-0.345,-0.47,,
1756,8,0.561,-0.425,-0.401,,
1756,9,-0.142,-0.51,-0.346,,
1756,10,-0.607,-0.383,-0.361,,
1756,11,-2.826,-0.306,-0.393,,
1756,12,-1.871,-0.276,-0.397,,
1757,1,-2.264,-0.045,-0.381,,
1757,2,0.251,0.047,-0.385,,
1757,3,-0.594,-0.006,-0.376,,
1757,4,0.982,-0.26,-0.396,,
1757,5,1.071,-0.173,-0.468,,
1757,6,1.949,-0.17,-0.492,,
1757,7,2.947,-0.312,-0.46,,
