Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,4,0.568,,,,
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,-0.032,,,,
1824,12,0.186,,,,
1825,1,-0.399,-0.366,,,
1825,2,-0.05,-0.388,,,
1825,3,-0.195,-0.417,,,
1825,4,-0.091,-0.411,,,
1825,5,0.009,-0.446,,,
1825,6,-0.032,-0.585,,,
1825,7,-0.889,-0.678,,,
1825,8,-1.258,-0.57,,,
1825,9,-1.296,-0.477,,,
1825,10,-0.889,-0.381,,,
1825,11,-0.443,-0.352,-0.205,,
1825,12,-1.489,-0.383,-0.189,,
1826,1,-1.511,-0.319,-0.183,,
1826,2,1.244,-0.302,-0.171,,
1826,3,0.921,-0.218,-0.172,,
1826,4,1.053,-0.203,-0.156,,
1826,5,0.369,-0.232,-0.129,,
1826,6,-0.413,-0.119,-0.091,,
1826,7,-0.116,-0.073,-0.12,,
1826,8,-1.056,-0.009,-0.117,,
1826,9,-0.286,-0.028,-0.168,,
1826,10,-0.714,0.009,-0.191,,
1826,11,-0.791,0.026,-0.209,,
1826,12,-0.133,0.075,-0.223,,
1827,1,-0.949,0.127,-0.236,,
1827,2,2.01,0.212,-0.231,,
1827,3,0.69,0.174,-0.229,-0.398,
1827,4,1.495,0.143,-0.228,-0.404,
1827,5,0.575,0.174,-0.26,-0.402,
1827,6,0.174,0.266,-0.267,-0.407,
1827,7,0.511,0.462,-0.251,-0.402,
1827,8,-0.04,0.434,-0.229,-0.407,
1827,9,-0.738,0.353,-0.229,-0.404,
1827,10,-1.093,0.201,-0.235,-0.408,
1827,11,-0.412,0.148,-0.242,-0.423,
1827,12,0.968,0.151,-0.244,-0.418,
1828,1,1.405,0.09,-0.231,-0.412,
1828,2,1.678,0.044,-0.218,-0.393,
1828,3,-0.292,-0.012,-0.217,-0.397,
1828,4,-0.322,-0.004,-0.219,-0.394,
1828,5,-0.06,-0.004,-0.199,-0.394,
1828,6,0.207,0.006,-0.155,-0.384,
1828,7,-0.221,-0.205,-0.146,-0.382,
1828,8,-0.588,-0.393,-0.178,-0.377,
1828,9,-1.419,-0.547,-0.195,-0.37,
1828,10,,-0.591,-0.221,-0.364,
1828,11,-0.415,-0.639,-0.244,-0.356,
1828,12,1.083,-0.695,-0.25,-0.357,
1829,1,-1.118,-0.715,-0.262,-0.363,
1829,2,-0.588,-0.72,-0.264,-0.355,
1829,3,-2.136,-0.672,-0.276,-0.362,
1829,4,-0.849,-0.664,-0.282,-0.377,
1829,5,-0.632,-0.791,-0.278,-0.385,
1829,6,-0.467,-0.903,-0.291,-0.386,
1829,7,-0.459,-0.763,-0.291,-0.394,
1829,8,-0.649,-0.61,-0.308,-0.393,
1829,9,-0.842,-0.448,-0.334,-0.391,
1829,10,-0.901,-0.411,-0.373,-0.393,
1829,11,-1.934,-0.395,-0.383,-0.404,
1829,12,-0.261,-0.369,-0.398,-0.408,
1830,1,0.564,-0.339,-0.413,-0.412,
1830,2,1.249,-0.325,-0.44,-0.43,
1830,3,-0.191,-0.358,-0.453,-0.44,
1830,4,-0.411,-0.366,-0.462,-0.447,
1830,5,-0.433,-0.142,-0.485,-0.453,
1830,6,-0.163,-0.025,-0.518,-0.462,
1830,7,-0.088,-0.154,-0.544,-0.464,
1830,8,-0.486,-0.311,-0.562,-0.466,
1830,9,-1.242,-0.303,-0.574,-0.473,
1830,10,-0.994,-0.313,-0.58,-0.489,
1830,11,0.749,-0.361,-0.584,-0.487,
1830,12,1.151,-0.409,-0.578,-0.488,
1831,1,-0.991,-0.476,-0.582,-0.478,
1831,2,-0.635,-0.532,-0.582,-0.491,-0.638
1831,3,-0.088,-0.512,-0.569,-0.505,-0.639
1831,4,-0.535,-0.521,-0.573,-0.516,-0.641
1831,5,-1.004,-0.624,-0.584,-0.527,-0.646
1831,6,-0.749,-0.801,-0.624,-0.536,-0.646
1831,7,-0.882,-0.797,-0.607,-0.548,-0.64
1831,8,-1.164,-0.66,-0.592,-0.547,-0.638
1831,9,-1.003,-0.726,-0.557,-0.553,-0.635
1831,10,-1.097,-0.749,-0.562,-0.554,-0.638
1831,11,-0.495,-0.669,-0.561,-0.572,-0.641
1831,12,-0.97,-0.668,-0.55,-0.581,-0.639
1832,1,-0.938,-0.625,-0.552,-0.585,-0.64
1832,2,1.007,-0.669,-0.554,-0.609,-0.641
1832,3,-0.877,-0.711,-0.553,-0.628,-0.643
1832,4,-0.82,-0.753,-0.558,-0.656,-0.644
1832,5,-0.041,-0.864,-0.549,-0.669,-0.646
1832,6,-0.739,-0.865,-0.549,-0.676,-0.649
1832,7,-0.358,-0.802,-0.573,-0.684,-0.65
1832,8,-1.7,-0.834,-0.63,-0.69,-0.65
1832,9,-1.498,-0.848,-0.651,-0.693,-0.645
1832,10,-1.61,,-0.659,-0.694,-0.649
1832,11,-1.826,,-0.664,-0.697,-0.654
1832,12,-0.977,,-0.679,-0.71,-0.648
1833,1,,,-0.698,-0.729,-0.643
1833,2,,,-0.715,-0.751,-0.636
1833,3,,,-0.729,-0.765,-0.64
1833,4,,,-0.759,-0.776,-0.637
1833,5,,,-0.774,-0.788,-0.639
1833,6,,,-0.821,-0.799,-0.638
1833,7,,,-0.809,-0.803,-0.637
1833,8,,,-0.805,-0.806,-0.635
1833,9,,,-0.815,-0.802,-0.635
1833,10,,,-0.811,-0.798,-0.632
1833,11,,,-0.81,-0.8,-0.627
1833,12,-1.287,,-0.822,-0.812,-0.625
1834,1,-0.134,,-0.834,-0.807,-0.63
1834,2,0.308,-0.579,-0.829,-0.802,-0.635
1834,3,-0.036,-0.591,-0.829,-0.801,-0.646
1834,4,-1.131,-0.592,-0.825,-0.802,-0.656
1834,5,-0.592,-0.615,,-0.802,-0.661
1834,6,0.188,-0.529,,-0.795,-0.667
1834,7,-0.576,-0.593,,-0.792,-0.672
1834,8,-0.765,-0.8,,-0.783,-0.671
1834,9,-0.753,-0.919,,-0.78,-0.672
1834,10,-1.232,-0.898,,-0.778,-0.674
1834,11,-1.372,-0.908,,-0.775,-0.678
1834,12,-0.252,-1.015,,-0.802,-0.691
