Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1819,2,-0.423,,,,
1819,3,-0.305,,,,
1819,4,,,,,
1819,5,-1.057,,,,
1819,6,-1.943,,,,
1819,7,-1.909,,,,
1819,8,-1.511,,,,
1819,9,,,,,
1819,10,,,,,
1819,11,,,,,
1819,12,,,,,
1820,1,,,,,
1820,2,,,,,
1820,3,-0.087,,,,
1820,4,,,,,
1820,5,-0.026,,,,
1820,6,,,,,
1820,7,-0.726,,,,
1820,8,-0.922,,,,
1820,9,,,,,
1820,10,-3.235,,,,
1820,11,-0.727,,,,
1820,12,,,,,
1821,1,,,,,
1821,2,0.191,,,,
1821,3,0.941,,,,
1821,4,,,,,
1821,5,,,,,
1821,6,-2.254,-0.821,,,
1821,7,-2.045,-0.859,,,
1821,8,-1.864,,,,
1821,9,-1.897,,,,
1821,10,-1.566,,,,
1821,11,-1.772,,,,
1821,12,-0.622,,,,
1822,1,,,,,
1822,2,,,,,
1822,3,,,,,
1822,4,,,,,
1822,5,,,,,
1822,6,,,,,
1822,7,,,,,
1822,8,,,,,
1822,9,,,,,
1822,10,,,,,
1822,11,,,,,
1822,12,,,,,
1823,1,,,,,
1823,2,,,,,
1823,3,,,,,
1823,4,,,,,
1823,5,,,,,
1823,6,,,,,
1823,7,,,,,
1823,8,,,,,
1823,9,,,,,
1823,10,,,,,
1823,11,,,,,
1823,12,,,,,
1824,1,,,,,
1824,2,,,,,
1824,3,,,,,
1824,4,,,,,
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,,,,,
1824,12,,,,,
1825,1,,,,,
1825,2,,,,,
1825,3,,,,,
1825,4,,,,,
1825,5,,,,,
1825,6,,,,,
1825,7,,,,,
1825,8,,,,,
1825,9,,,,,
1825,10,,,,,
1825,11,,,,,
1825,12,,,,,
1826,1,,,,,
1826,2,,,,,
1826,3,,,,,
1826,4,,,,,
1826,5,,,,,
1826,6,,,,,
1826,7,,,,,
1826,8,,,,,
1826,9,,,,,
1826,10,,,,,
1826,11,,,,,
1826,12,,,,,
1827,1,,,,,
1827,2,,,,,
1827,3,,,,,
1827,4,,,,,
1827,5,,,,,
1827,6,,,,,
1827,7,,,,,
1827,8,,,,,
1827,9,,,,,
1827,10,,,,,
1827,11,,,,,
1827,12,,,,,
1828,1,,,,,
1828,2,,,,,
1828,3,,,,,
1828,4,,,,,
1828,5,,,,,
1828,6,,,,,
1828,7,,,,,
1828,8,,,,,
1828,9,,,,,
1828,10,,,,,
1828,11,,,,,
