Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1744,1,,,,,
1744,2,,,,,
1744,3,,,,,
1744,4,1.319,,,,
1744,5,-0.915,,,,
1744,6,-1.882,,,,
1744,7,-1.065,,,,
1744,8,,,,,
1744,9,-0.654,,,,
1744,10,-0.506,,,,
1744,11,-0.053,,,,
1744,12,-0.743,,,,
1745,1,-1.887,,,,
1745,2,-1.905,,,,
1745,3,-1.687,,,,
1745,4,-0.892,,,,
1745,5,,,,,
1745,6,,,,,
1745,7,,,,,
1745,8,,,,,
1745,9,,,,,
1745,10,,,,,
1745,11,,,,,
1745,12,,,,,
1746,1,,,,,
1746,2,,,,,
1746,3,,,,,
1746,4,,,,,
1746,5,,,,,
1746,6,,,,,
1746,7,,,,,
1746,8,,,,,
1746,9,,,,,
1746,10,,,,,
1746,11,,,,,
1746,12,,,,,
1747,1,,,,,
1747,2,,,,,
1747,3,,,,,
1747,4,,,,,
1747,5,,,,,
1747,6,,,,,
1747,7,,,,,
1747,8,,,,,
1747,9,,,,,
1747,10,,,,,
1747,11,,,,,
1747,12,,,,,
1748,1,,,,,
1748,2,,,,,
1748,3,,,,,
1748,4,,,,,
1748,5,,,,,
1748,6,,,,,
1748,7,,,,,
1748,8,,,,,
1748,9,,,,,
1748,10,,,,,
1748,11,,,,,
1748,12,,,,,
1749,1,,,,,
1749,2,,,,,
1749,3,,,,,
1749,4,,,,,
1749,5,,,,,
1749,6,,,,,
1749,7,,,,,
1749,8,,,,,
1749,9,,,,,
1749,10,,,,,
1749,11,,,,,
1749,12,,,,,
1750,1,0.649,,,,
1750,2,2.391,,,,
1750,3,2.34,,,,
1750,4,0.193,,,,
1750,5,-0.258,,,,
1750,6,-0.472,,,,
1750,7,1.144,,,,
1750,8,-0.062,,,,
1750,9,-0.853,,,,
1750,10,-3.073,,,,
1750,11,,,,,
1750,12,-1.237,,,,
1751,1,-0.627,,,,
1751,2,-3.112,,,,
1751,3,1.408,,,,
1751,4,-1.436,,,,
1751,5,,,,,
1751,6,0.443,,,,
1751,7,,,,,
1751,8,0.701,,,,
1751,9,-1.308,,,,
1751,10,,,,,
1751,11,,,,,
1751,12,,,,,
1752,1,-1.413,,,,
1752,2,,,,,
1752,3,0.734,,,,
1752,4,-0.648,,,,
1752,5,,,,,
1752,6,,,,,
1752,7,,,,,
1752,8,,,,,
1752,9,,,,,
1752,10,-0.544,,,,
1752,11,0.624,,,,
1752,12,0.6,,,,
1753,1,-2.394,,,,
1753,2,-1.883,,,,
1753,3,0.708,-0.141,,,
1753,4,0.142,-0.099,,,
1753,5,-0.054,-0.334,,,
1753,6,0.934,-0.646,,,
1753,7,0.601,-0.6,,,
1753,8,-0.619,-0.731,,,
1753,9,0.195,-1.094,,,
1753,10,-0.039,-1.146,,,
1753,11,-2.198,-1.077,,,
1753,12,-3.147,-1.135,,,
1754,1,-1.833,-1.265,,,
1754,2,-3.458,-1.228,,,
1754,3,-3.656,-1.319,,,
1754,4,-0.484,-1.274,,,
1754,5,0.778,-1.1,,,
1754,6,0.244,-0.878,,,
1754,7,-0.966,-1.176,,,
1754,8,-0.169,-1.365,,,
1754,9,-0.897,-1.176,,,
1754,10,0.495,-0.917,,,
1754,11,-0.106,-0.966,,,
1754,12,-0.482,-0.798,,,
1755,1,-5.409,-0.704,,,
1755,2,-5.724,-0.78,,,
1755,3,-1.389,-0.812,-0.422,,
1755,4,2.623,-0.951,-0.482,,
1755,5,0.188,-1.049,-0.509,,
1755,6,2.261,-1.001,-0.568,,
1755,7,0.157,-0.393,-0.601,,
1755,8,-1.079,0.235,-0.593,,
1755,9,-1.284,0.373,-0.615,,
1755,10,-1.171,0.085,-0.642,,
1755,11,-1.278,0.096,-0.627,,
1755,12,0.089,0.091,-0.629,,
1756,1,1.891,0.151,-0.662,,
1756,2,1.811,0.185,-0.655,,
1756,3,0.272,0.368,-0.695,,
1756,4,-0.843,0.381,-0.746,,
1756,5,0.332,0.234,-0.718,,
1756,6,2.191,0.012,-0.671,,
1756,7,0.877,-0.358,-0.604,,
1756,8,-0.669,-0.485,-0.525,,
1756,9,0.911,-0.512,-0.46,,
1756,10,-1.014,-0.396,-0.466,,
1756,11,-3.035,-0.41,-0.497,,
1756,12,-2.578,-0.417,-0.488,,
1757,1,-2.552,-0.182,-0.444,,
1757,2,0.287,-0.02,-0.431,,
1757,3,-0.045,-0.206,-0.417,,
1757,4,0.549,-0.468,-0.424,,
1757,5,0.162,-0.298,-0.488,,
1757,6,2.105,-0.328,-0.546,,
1757,7,3.701,-0.48,-0.493,,
1757,8,1.266,-0.617,-0.424,,
1757,9,-1.318,-0.665,-0.435,-0.433,
1757,10,-4.157,-0.837,-0.474,-0.455,
1757,11,-0.992,-0.777,-0.471,-0.471,
1757,12,-2.945,-0.884,-0.497,-0.507,
1758,1,-4.367,-1.308,-0.493,-0.523,
1758,2,-1.367,-1.432,-0.474,-0.49,
1758,3,-0.619,-1.505,-0.444,-0.511,
1758,4,-1.511,-1.417,-0.435,-0.521,
1758,5,0.882,-1.376,-0.427,-0.527,
1758,6,0.815,-1.16,-0.404,-0.539,
1758,7,-1.38,-0.612,-0.454,-0.536,
1758,8,-0.222,-0.394,-0.463,-0.521,
1758,9,-2.194,-0.322,-0.435,-0.536,
1758,10,-3.102,-0.266,-0.434,-0.56,
1758,11,-0.506,-0.429,-0.406,-0.556,
1758,12,-0.346,-0.431,-0.409,-0.518,
1759,1,2.206,-0.175,-0.41,-0.486,
1759,2,1.246,-0.105,-0.371,-0.431,
1759,3,0.243,0.07,-0.36,-0.412,
1759,4,-0.84,0.334,-0.388,-0.416,
1759,5,-1.074,0.046,-0.36,-0.406,
1759,6,0.799,-0.251,-0.389,-0.416,
1759,7,1.694,-0.621,-0.319,-0.398,
1759,8,0.61,-0.857,-0.326,-0.407,
1759,9,-0.089,-1.047,-0.378,-0.415,
1759,10,0.059,-0.957,-0.352,-0.434,
1759,11,-3.955,-0.834,-0.34,-0.446,
1759,12,-3.913,-0.842,-0.364,-0.446,
1760,1,-2.227,-0.954,-0.409,-0.383,
1760,2,-1.587,-0.997,-0.452,-0.359,
1760,3,-2.045,-0.945,-0.445,-0.334,
1760,4,0.244,-1.002,-0.427,-0.352,
1760,5,0.397,-0.739,-0.433,-0.366,
1760,6,0.702,-0.292,-0.445,-0.386,
1760,7,0.358,-0.199,-0.445,-0.402,
1760,8,0.097,0.04,-0.387,-0.389,
1760,9,0.526,0.37,-0.407,-0.388,
1760,10,-0.624,0.287,-0.399,-0.38,
1760,11,-0.799,0.418,-0.428,-0.376,
1760,12,1.448,0.531,-0.45,-0.391,
1761,1,-1.107,0.568,-0.41,-0.435,
1761,2,1.277,0.697,-0.387,-0.464,
1761,3,1.919,0.788,-0.378,-0.464,
1761,4,-0.751,0.611,-0.374,-0.445,
1761,5,1.968,0.568,-0.394,-0.438,
1761,6,2.054,0.087,-0.365,-0.452,
1761,7,0.811,0.317,-0.368,-0.464,
1761,8,1.644,0.197,-0.338,-0.46,
1761,9,1.616,-0.224,-0.365,-0.466,
1761,10,-2.747,0.011,-0.366,-0.469,
1761,11,-1.322,-0.075,-0.316,-0.443,
1761,12,-4.319,-0.192,-0.345,-0.439,
1762,1,1.659,-0.178,-0.352,-0.481,
1762,2,-0.167,-0.423,-0.383,-0.469,
1762,3,-3.135,-0.632,-0.413,-0.469,
1762,4,2.073,-0.662,-0.443,-0.492,
1762,5,0.934,-0.665,-0.404,-0.501,
1762,6,0.651,-0.61,-0.346,-0.525,
1762,7,0.98,-1.111,-0.274,-0.553,
1762,8,-1.296,-0.92,-0.294,-0.556,
1762,9,-0.898,-0.809,-0.234,-0.542,-0.57
1762,10,-3.103,-1.07,-0.229,-0.51,-0.566
1762,11,-1.356,-1.219,-0.26,-0.488,-0.561
1762,12,-3.659,-1.314,-0.275,-0.494,-0.563
1763,1,-4.351,-1.312,-0.311,-0.503,-0.547
1763,2,2.124,-1.11,-0.304,-0.513,-0.545
1763,3,-1.804,-1.17,-0.332,-0.528,-0.554
1763,4,-1.058,-1.15,-0.326,-0.518,-0.555
1763,5,-0.856,-1.182,-0.325,-0.527,-0.546
1763,6,-0.491,-0.758,-0.379,-0.536,-0.553
1763,7,1.007,-0.228,-0.416,-0.516,-0.559
1763,8,1.127,-0.149,-0.464,-0.511,-0.558
1763,9,-1.617,-0.112,-0.492,-0.502,-0.556
1763,10,-2.865,-0.099,-0.457,-0.491,-0.553
1763,11,-1.745,0.132,-0.47,-0.493,-0.546
1763,12,1.429,0.093,-0.496,-0.498,-0.524
1764,1,2.016,0.113,-0.518,-0.506,-0.519
1764,2,3.071,-0.082,-0.548,-0.522,-0.502
1764,3,-1.367,-0.106,-0.572,-0.528,-0.482
1764,4,-0.9,-0.013,-0.55,-0.518,-0.47
1764,5,1.917,-0.001,-0.527,-0.512,-0.47
1764,6,-0.952,-0.158,-0.49,-0.52,-0.467
1764,7,1.241,-0.148,-0.642,-0.535,-0.462
1764,8,-1.211,-0.637,-0.611,-0.545,-0.459
1764,9,-1.906,-0.397,-0.561,-0.542,-0.46
1764,10,-1.742,-0.276,-0.631,-0.583,-0.466
1764,11,-1.605,-0.558,-0.663,-0.56,-0.488
1764,12,-0.451,-0.492,-0.687,-0.537,-0.497
1765,1,2.124,-0.745,-0.697,-0.53,-0.475
1765,2,-2.794,-0.605,-0.661,-0.521,-0.438
1765,3,1.52,-0.538,-0.639,-0.534,-0.426
1765,4,0.546,-0.416,-0.593,-0.547,-0.444
1765,5,-1.467,-0.345,-0.543,-0.549,-0.45
1765,6,-0.154,-0.457,-0.543,-0.565,-0.45
1765,7,-1.798,-0.909,-0.562,-0.574,-0.447
1765,8,0.471,-0.813,-0.639,-0.574,-0.433
1765,9,-1.111,-0.917,-0.649,-0.571,-0.422
1765,10,-0.275,-0.851,-0.638,-0.569,-0.414
1765,11,-0.752,-0.63,-0.627,-0.568,-0.412
1765,12,-1.789,-0.574,-0.622,-0.572,-0.416
1766,1,-3.306,-0.468,-0.623,-0.568,-0.45
1766,2,-1.644,-0.52,-0.634,-0.611,-0.449
1766,3,0.272,-0.414,-0.627,-0.662,-0.446
1766,4,1.339,-0.509,-0.608,-0.688,-0.446
1766,5,1.187,-0.442,-0.592,-0.687,-0.455
1766,6,0.519,-0.467,-0.631,-0.705,-0.465
1766,7,-0.533,-0.816,-0.644,-0.716,-0.467
1766,8,-0.149,-0.536,-0.706,-0.736,-0.463
1766,9,0.163,-0.568,-0.691,-0.75,-0.471
1766,10,-1.416,-0.861,-0.67,-0.731,-0.475
1766,11,0.054,-1.042,-0.709,-0.754,-0.469
1766,12,-2.092,-1.148,-0.694,-0.72,-0.467
1767,1,-7.496,-1.07,-0.717,-0.727,-0.463
1767,2,1.717,-0.987,-0.706,-0.714,-0.468
1767,3,-0.114,-0.969,-0.671,-0.684,-0.466
1767,4,-2.17,-0.879,-0.723,-0.707,-0.478
1767,5,-0.985,-0.745,-0.715,-0.733,-0.477
1767,6,-0.762,-0.873,-0.727,-0.73,-0.488
1767,7,0.404,-0.708,-0.786,-0.733,-0.509
1767,8,0.855,-1.058,-0.748,-0.72,-0.511
1767,9,0.38,-1.251,-0.833,-0.707,-0.512
1767,10,-0.334,-1.102,-0.866,-0.677,-0.498
1767,11,1.656,-1.036,-0.838,-0.652,-0.492
1767,12,-3.631,-0.988,-0.854,-0.619,-0.486
1768,1,-5.514,-0.944,-0.837,-0.572,-0.464
1768,2,-2.482,-0.978,-0.843,-0.601,-0.463
1768,3,-2.429,-1.107,-0.811,-0.597,-0.459
1768,4,-0.379,-1.221,-0.812,-0.59,-0.442
1768,5,-0.2,-1.428,-0.812,-0.565,-0.44
1768,6,-0.182,-1.201,-0.764,-0.567,-0.445
1768,7,0.931,-0.64,-0.721,-0.583,-0.429
1768,8,0.446,-0.485,-0.757,-0.595,-0.423
1768,9,-1.163,-0.321,-0.832,-0.576,-0.423
1768,10,-1.707,-0.259,-0.92,-0.546,-0.418
1768,11,-0.825,-0.278,-0.903,-0.537,-0.414
1768,12,-0.909,-0.269,-0.914,-0.53,-0.399
1769,1,1.221,-0.356,-0.913,-0.552,-0.421
1769,2,-0.625,-0.442,-0.925,-0.573,-0.414
