Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1807,9,0.359,,,,
1807,10,-0.061,-0.843,,,
1807,11,0.384,-0.821,,,
1807,12,1.241,-0.875,,,
1808,1,-5.9,-0.888,,,
1808,2,-1.666,-0.813,,,
1808,3,0.101,-0.849,,,
1808,4,-0.253,-0.905,,,
1808,5,-2.374,-1.091,,,
1808,6,-0.558,-1.166,,,
1808,7,-0.048,-0.684,,,
1808,8,,-0.821,,,
1808,9,,-0.752,,,
1808,10,,-0.633,,,
1808,11,-1.847,,,,
1808,12,0.349,,,,
1809,1,-0.121,,,,
1809,2,-3.303,,,,
1809,3,0.922,,,,
1809,4,1.178,,,,
1809,5,,,,,
1809,6,,,,,
1809,7,,,,,
1809,8,,,,,
1809,9,,,,,
1809,10,,,,,
1809,11,,,,,
1809,12,,,,,
1810,1,,,,,
1810,2,,,,,
1810,3,,,,,
1810,4,,,,,
1810,5,,,,,
1810,6,,,,,
1810,7,,,,,
1810,8,,,,,
1810,9,,,,,
1810,10,-1.182,,,,
1810,11,-0.163,,,,
1810,12,-0.513,,,,
1811,1,-3.81,,,,
1811,2,-6.241,,,,
1811,3,,,,,
1811,4,,,,,
1811,5,,,,,
1811,6,,,,,
1811,7,,,,,
1811,8,-1.324,,,,
1811,9,-2.252,,,,
1811,10,-0.726,,,,
1811,11,-3.69,,,,
1811,12,-1.484,-1.8,,,
1812,1,-1.04,-1.639,,,
1812,2,,-1.449,,,
1812,3,,,,,
1812,4,0.386,,,,
1812,5,-1.638,,,,
1812,6,-1.676,,,,
1812,7,0.437,,,,
1812,8,,-0.854,,,
1812,9,,-0.863,,,
1812,10,-0.618,-1.076,,,
1812,11,-0.141,-1.179,,,
1812,12,1.416,-0.953,,,
1813,1,-4.579,-0.909,,,
1813,2,-0.885,-1.06,,,
1813,3,,-0.917,,,
1813,4,-2.167,-0.818,,,
1813,5,-2.867,-0.828,,,
1813,6,1.036,-0.96,,,
1813,7,0.966,-0.526,,,
1813,8,-0.867,-0.756,,,
1813,9,0.321,-0.967,,,
1813,10,0.566,-0.803,,,
1813,11,-0.259,-0.593,,,
1813,12,-0.17,-0.761,,,
1814,1,0.633,-0.839,,,
1814,2,-3.656,-0.881,,,
1814,3,-5.136,-0.997,,,
1814,4,-0.206,-1.151,,,
1814,5,-0.347,-1.117,,,
1814,6,-0.977,-0.873,,,
1814,7,0.03,-0.954,,,
1814,8,,-0.974,,,
1814,9,,,,,
1814,10,,,,,
1814,11,0.154,,,,
1814,12,2.753,,,,
1815,1,-0.344,,,,
1815,2,-3.886,,,,
1815,3,,,,,
1815,4,-3.086,,,,
1815,5,-1.421,,,,
1815,6,-1.497,,,,
1815,7,,,,,
1815,8,,,,,
1815,9,,,,,
1815,10,,,,,
1815,11,,,,,
1815,12,,,,,
1816,1,,,,,
1816,2,,,,,
1816,3,,,,,
1816,4,,,,,
1816,5,,,,,
1816,6,,,,,
1816,7,,,,,
1816,8,,,,,
1816,9,,,,,
1816,10,,,,,
1816,11,,,,,
1816,12,,,,,
1817,1,,,,,
1817,2,,,,,
1817,3,,,,,
1817,4,,,,,
1817,5,,,,,
1817,6,,,,,
1817,7,,,,,
1817,8,,,,,
1817,9,,,,,
1817,10,,,,,
1817,11,,,,,
1817,12,,,,,
1818,1,,,,,
1818,2,,,,,
1818,3,,,,,
1818,4,,,,,
1818,5,,,,,
1818,6,,,,,
1818,7,,,,,
1818,8,,,,,
1818,9,,,,,
1818,10,,,,,
1818,11,,,,,
1818,12,,,,,
1819,1,,,,,
1819,2,,,,,
1819,3,,,,,
1819,4,,,,,
1819,5,,,,,
1819,6,,,,,
1819,7,,,,,
1819,8,,,,,
1819,9,,,,,
1819,10,,,,,
1819,11,,,,,
1819,12,,,,,
1820,1,,,,,
1820,2,,,,,
1820,3,,,,,
1820,4,,,,,
1820,5,,,,,
1820,6,,,,,
1820,7,,,,,
1820,8,,,,,
1820,9,,,,,
1820,10,,,,,
1820,11,,,,,
1820,12,,,,,
1821,1,,,,,
1821,2,,,,,
1821,3,,,,,
1821,4,,,,,
1821,5,,,,,
1821,6,,,,,
1821,7,,,,,
1821,8,,,,,
1821,9,,,,,
1821,10,,,,,
1821,11,,,,,
1821,12,,,,,
1822,1,,,,,
1822,2,,,,,
1822,3,,,,,
1822,4,,,,,
1822,5,,,,,
1822,6,,,,,
1822,7,,,,,
1822,8,,,,,
1822,9,,,,,
1822,10,,,,,
1822,11,,,,,
1822,12,,,,,
1823,1,,,,,
1823,2,,,,,
1823,3,,,,,
1823,4,,,,,
1823,5,,,,,
1823,6,,,,,
1823,7,,,,,
1823,8,,,,,
1823,9,,,,,
1823,10,0.225,,,,
1823,11,0.299,,,,
1823,12,-4.003,0.144,,,
1824,1,-0.337,0.225,,,
1824,2,-1.544,0.231,,,
1824,3,0.446,0.222,,,
1824,4,2.983,0.036,,,
1824,5,1.936,,,,
1824,6,2.367,,,,
1824,7,1.846,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,,,,,
1824,12,,,,,
1825,1,,,,,
1825,2,,,,,
1825,3,,,,,
1825,4,,,,,
1825,5,,,,,
1825,6,,,,,
1825,7,-0.08,,,,
1825,8,,,,,
1825,9,,,,,
1825,10,-0.366,,,,
1825,11,-1.841,,,,
1825,12,-2.302,,,,
1826,1,-1.359,,,,
1826,2,,,,,
1826,3,-1.174,,,,
1826,4,,,,,
1826,5,-0.174,,,,
1826,6,-1.436,,,,
1826,7,,,,,
1826,8,,,,,
1826,9,0.019,,,,
1826,10,0.205,-0.189,,,
1826,11,2.211,-0.153,,,
1826,12,1.589,,,,
1827,1,-1.606,,,,
1827,2,,,,,
1827,3,-1.564,,,,
1827,4,0.351,,,,
1827,5,0.263,,,,
1827,6,,,,,
1827,7,,,,,
1827,8,,,,,
1827,9,,,,,
1827,10,,,,,
1827,11,,,,,
1827,12,,,,,
1828,1,,,,,
1828,2,,,,,
1828,3,,,,,
1828,4,,,,,
1828,5,,,,,
1828,6,,,,,
1828,7,,,,,
1828,8,,,,,
1828,9,,,,,
1828,10,0.47,,,,
1828,11,-0.11,,,,
1828,12,-0.452,,,,
1829,1,-0.278,,,,
1829,2,-0.747,,,,
1829,3,2.302,,,,
1829,4,1.249,,,,
1829,5,,,,,
1829,6,,,,,
1829,7,,,,,
