Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1880,9,0.507,,,,
1880,10,-0.088,0.152,,,
1880,11,-0.342,0.17,,,
1880,12,0.146,0.155,,,
1881,1,-0.326,0.186,,,
1881,2,0.303,0.239,,,
1881,3,0.801,0.231,,,
1881,4,0.926,0.289,,,
1881,5,0.398,0.32,,,
1881,6,-0.414,0.307,,,
1881,7,0.432,0.36,,,
1881,8,,0.355,,,
1881,9,0.411,0.278,,,
1881,10,0.618,0.205,,,
1881,11,0.019,0.19,-0.181,,
1881,12,-0.007,0.168,-0.195,,
1882,1,0.313,0.05,-0.199,,
1882,2,0.246,-0.003,-0.193,,
1882,3,-0.12,-0.012,-0.174,,
1882,4,0.042,-0.083,-0.19,,
1882,5,0.216,-0.157,-0.198,,
1882,6,-0.668,-0.203,-0.184,,
1882,7,-0.993,-0.229,-0.171,,
1882,8,-0.108,-0.272,-0.152,,
1882,9,0.293,-0.24,-0.15,,
1882,10,-0.224,-0.248,-0.136,,
1882,11,-0.871,-0.302,-0.147,,
1882,12,-0.557,-0.278,-0.156,,
1883,1,-0.001,-0.352,-0.158,,
1883,2,-0.272,-0.356,-0.159,,
1883,3,0.26,-0.382,-0.18,,
1883,4,-0.056,-0.352,-0.187,,
1883,5,-0.43,-0.338,-0.188,,
1883,6,-0.374,-0.33,-0.187,,
1883,7,-1.885,-0.387,-0.185,-0.197,
1883,8,-0.158,-0.422,-0.197,-0.199,
1883,9,-0.011,-0.463,-0.206,-0.198,
1883,10,0.128,-0.493,-0.213,-0.2,
1883,11,-0.701,-0.535,-0.229,-0.207,
1883,12,-0.466,-0.58,-0.227,-0.206,
1884,1,-0.684,-0.432,-0.22,-0.203,
1884,2,-0.688,-0.409,-0.225,-0.197,
1884,3,-0.235,-0.377,-0.234,-0.193,
1884,4,-0.411,-0.466,-0.244,-0.192,
1884,5,-0.937,-0.502,-0.252,-0.19,
1884,6,-0.907,-0.466,-0.258,-0.192,
1884,7,-0.118,-0.415,-0.271,-0.194,
1884,8,0.123,-0.345,-0.278,-0.197,
1884,9,0.372,-0.373,-0.281,-0.188,
1884,10,-0.943,-0.294,-0.283,-0.192,
1884,11,-1.134,-0.255,-0.293,-0.194,
1884,12,-0.037,-0.244,-0.293,-0.193,
1885,1,-0.064,-0.241,-0.287,-0.189,
1885,2,0.153,-0.265,-0.305,-0.182,
1885,3,-0.573,,-0.313,-0.178,
1885,4,0.532,,-0.325,-0.174,
1885,5,-0.47,,-0.322,-0.183,
1885,6,,,-0.321,-0.19,
1885,7,,,-0.331,-0.201,
1885,8,,,-0.331,-0.211,
1885,9,,,-0.341,-0.216,
1885,10,,,-0.331,-0.214,
1885,11,-0.414,,-0.326,-0.214,
1885,12,0.233,,-0.324,-0.213,
1886,1,-0.249,-0.125,-0.285,-0.214,-0.168
1886,2,-0.37,-0.093,-0.27,-0.217,-0.165
1886,3,0.214,-0.039,-0.264,-0.227,-0.162
1886,4,0.515,0.005,-0.275,-0.237,-0.162
1886,5,-0.579,-0.002,-0.267,-0.244,-0.161
1886,6,-0.25,-0.053,-0.259,-0.245,-0.159
1886,7,0.834,-0.068,-0.246,-0.251,-0.156
1886,8,0.216,-0.051,-0.227,-0.254,-0.158
1886,9,-0.132,-0.095,-0.222,-0.252,-0.155
1886,10,0.046,-0.143,-0.217,-0.257,-0.155
1886,11,-0.504,-0.126,-0.199,-0.258,-0.153
1886,12,-0.372,-0.162,-0.188,-0.256,-0.149
1887,1,-0.437,-0.284,-0.189,-0.267,-0.15
1887,2,-0.168,-0.401,-0.2,-0.269,-0.15
1887,3,-0.306,-0.405,-0.203,-0.27,-0.152
1887,4,-0.058,-0.491,-0.194,-0.266,-0.153
1887,5,-0.386,-0.505,-0.191,-0.264,-0.155
1887,6,-0.672,-0.516,-0.201,-0.259,-0.16
1887,7,-0.632,-0.528,-0.207,-0.254,-0.166
1887,8,-1.194,-0.535,-0.212,-0.261,-0.17
1887,9,-0.183,-0.539,-0.205,-0.271,-0.167
1887,10,-0.976,-0.49,-0.212,-0.272,-0.168
1887,11,-0.677,-0.467,-0.219,-0.268,-0.169
1887,12,-0.503,-0.434,-0.224,-0.268,-0.166
1888,1,-0.577,-0.343,-0.244,-0.27,-0.161
1888,2,-0.26,-0.182,-0.264,-0.267,-0.163
1888,3,-0.348,-0.14,-0.252,-0.269,-0.169
1888,4,0.529,-0.1,-0.242,-0.272,-0.175
1888,5,-0.112,-0.062,-0.239,-0.272,-0.174
1888,6,-0.278,-0.021,-0.24,-0.274,-0.177
1888,7,0.458,0.034,-0.242,-0.255,-0.18
1888,8,0.737,0.094,-0.238,-0.253,-0.184
1888,9,0.33,0.13,-0.247,-0.254,-0.186
1888,10,-0.5,0.076,-0.261,-0.259,-0.186
1888,11,-0.22,0.1,-0.258,-0.261,-0.191
1888,12,-0.017,0.099,-0.263,-0.26,-0.193
1889,1,0.088,0.047,-0.282,-0.259,-0.195
1889,2,0.462,-0.056,-0.282,-0.253,-0.197
1889,3,0.086,-0.069,-0.271,-0.253,-0.196
1889,4,-0.117,-0.062,-0.271,-0.252,-0.196
1889,5,0.173,-0.125,-0.263,-0.242,-0.197
1889,6,-0.297,-0.174,-0.254,-0.235,-0.196
1889,7,-0.155,-0.217,-0.263,-0.236,-0.197
1889,8,-0.508,-0.269,-0.259,-0.239,-0.194
1889,9,0.179,-0.289,-0.26,-0.236,-0.191
1889,10,-0.419,-0.268,-0.25,-0.227,-0.193
1889,11,-0.973,-0.359,-0.234,-0.223,-0.193
