Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,2,-0.755,,,,
1824,3,-0.376,-0.768,,,
1824,4,0.279,-0.744,,,
1824,5,-0.488,-0.663,,,
1824,6,-0.466,-0.589,,,
1824,7,-0.274,-0.565,,,
1824,8,-1.052,-0.533,,,
1824,9,-1.023,-0.49,,,
1824,10,-1.405,-0.459,,,
1824,11,-0.613,-0.409,,,
1824,12,-0.394,-0.374,,,
1825,1,-0.215,-0.369,,,
1825,2,-0.376,-0.331,,,
1825,3,0.151,-0.343,,,
1825,4,0.649,-0.313,-0.61,,
1825,5,0.114,-0.289,-0.583,,
1825,6,-0.055,-0.278,-0.543,,
1825,7,-0.209,-0.263,-0.551,,
1825,8,-0.6,-0.326,-0.556,,
1825,9,-1.169,-0.441,-0.553,,
1825,10,-1.037,-0.519,-0.54,,
1825,11,-0.326,-0.538,-0.525,,
1825,12,-0.261,-0.573,-0.525,,
1826,1,-0.032,-0.582,-0.529,,
1826,2,-1.135,-0.619,-0.517,,
1826,3,-1.23,-0.629,-0.513,,
1826,4,-0.292,-0.628,-0.495,,
1826,5,-0.113,-0.613,-0.471,,
1826,6,-0.474,-0.547,-0.462,,
1826,7,-0.318,-0.546,-0.469,,
1826,8,-1.04,-0.477,-0.472,,
1826,9,-1.286,-0.364,-0.47,,
1826,10,-1.028,-0.299,-0.476,,
1826,11,-0.147,-0.292,-0.469,,
1826,12,0.537,-0.265,-0.472,,
1827,1,-0.024,-0.25,-0.472,,
1827,2,-0.306,-0.251,-0.468,,
1827,3,0.129,-0.248,-0.469,,
1827,4,0.486,-0.262,-0.456,,
1827,5,-0.029,-0.26,-0.456,,
1827,6,,-0.335,-0.462,,
1827,7,-0.136,-0.432,-0.445,,
1827,8,-1.048,-0.517,-0.422,,
1827,9,-1.253,-0.565,-0.44,,
1827,10,-1.194,-0.608,-0.447,,
1827,11,-0.128,-0.609,-0.469,,
1827,12,-0.366,-0.61,-0.48,,
1828,1,-1.181,-0.623,-0.472,,
1828,2,-1.33,-0.569,-0.473,,
1828,3,-0.445,-0.577,-0.481,,
1828,4,-0.034,-0.53,-0.482,,
1828,5,-0.042,-0.529,-0.456,,
