Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,2,-0.825,,,,
1824,3,0.275,,,,
1824,4,0.415,-0.484,,,
1824,5,0.112,-0.367,,,
1824,6,0.091,-0.257,,,
1824,7,0.185,-0.273,,,
1824,8,-1.032,-0.207,,,
1824,9,-1.031,-0.239,,,
1824,10,-1.2,-0.262,,,
1824,11,-0.236,-0.275,,,
1824,12,-0.019,-0.285,,,
1825,1,-0.011,-0.338,,,
1825,2,-0.034,-0.339,,,
1825,3,-0.109,-0.352,,,
1825,4,0.143,-0.353,-0.455,,
1825,5,-0.053,-0.378,-0.445,,
1825,6,-0.022,-0.453,-0.412,,
1825,7,-0.452,-0.521,-0.403,,
1825,8,-1.048,-0.525,-0.379,,
1825,9,-1.181,-0.524,-0.374,,
1825,10,-1.217,-0.502,-0.362,,
1825,11,-0.535,-0.489,-0.352,,
1825,12,-0.911,-0.524,-0.344,,
1826,1,-0.832,-0.491,-0.34,,
1826,2,-0.077,-0.483,-0.325,,
1826,3,-0.105,-0.436,-0.32,,
1826,4,0.408,-0.411,-0.302,,
1826,5,0.104,-0.418,-0.28,,
1826,6,-0.446,-0.31,-0.257,,
1826,7,-0.055,-0.267,-0.279,,
1826,8,-0.943,-0.202,-0.276,,
1826,9,-0.623,-0.16,-0.297,,
1826,10,-0.911,-0.118,-0.309,,
1826,11,-0.63,-0.074,-0.317,,
1826,12,0.392,-0.032,-0.327,,
1827,1,-0.316,0.005,-0.331,,
1827,2,0.695,0.049,-0.321,,
1827,3,0.401,0.008,-0.319,,
1827,4,0.918,0.002,-0.313,,
1827,5,0.633,0.021,-0.328,,
1827,6,,-0.017,-0.341,,
1827,7,0.394,0.005,-0.325,,
1827,8,-0.41,-0.049,-0.306,,
1827,9,-1.125,-0.105,-0.316,,
1827,10,-0.978,-0.193,-0.321,,
1827,11,-0.399,-0.25,-0.331,,
1827,12,-0.062,-0.242,-0.334,,
1828,1,-0.052,-0.277,-0.321,,
1828,2,0.042,-0.27,-0.311,,
1828,3,-0.27,-0.278,-0.316,,
1828,4,-0.141,-0.264,-0.316,,
1828,5,-0.047,-0.258,-0.289,,
1828,6,0.147,-0.248,-0.256,,
1828,7,-0.033,-0.338,,,
1828,8,-0.319,-0.396,,,
1828,9,-1.228,-0.457,,,
1828,10,,-0.471,,,
1828,11,-0.32,-0.496,,,
1828,12,0.059,-0.549,,,
1829,1,-1.133,-0.553,,,
