Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1891,2,-0.685,,,,
1891,3,-1.278,-0.667,,,
1891,4,-0.84,-0.692,,,
1891,5,-0.119,-0.608,,,
1891,6,-0.171,-0.594,,,
1891,7,-0.324,-0.525,,,
1891,8,-0.399,-0.55,,,
1891,9,-0.043,-0.525,,,
1891,10,-0.655,-0.558,,,
1891,11,-0.28,-0.63,,,
1891,12,-0.794,-0.655,,,
1892,1,-0.709,-0.686,,,
1892,2,-0.991,-0.765,,,
1892,3,-0.977,-0.794,-0.852,,
1892,4,-1.235,-0.817,-0.855,,
1892,5,-0.98,-0.856,-0.841,,
1892,6,-0.469,-0.839,-0.838,,
1892,7,-0.697,-0.931,-0.834,,
1892,8,-1.348,-0.987,-0.831,,
1892,9,-0.396,-1.018,-0.821,,
1892,10,-0.925,-0.956,-0.814,,
1892,11,-0.745,-0.962,-0.805,,
1892,12,-0.59,-1.011,-0.785,,
1893,1,-1.815,-1.058,-0.781,,
1893,2,-1.667,-1.031,-0.772,,
1893,3,-1.35,-1.038,-0.752,,
1893,4,-0.496,-1.034,-0.746,,
1893,5,-1.044,-1.056,-0.733,,
1893,6,-1.066,-1.09,-0.723,,
1893,7,-1.256,-1.065,-0.713,,
1893,8,-1.022,-1.02,-0.707,,
1893,9,-0.486,-0.991,-0.696,,
1893,10,-0.869,-1.034,-0.695,,
1893,11,-1.015,-1.001,-0.699,,
1893,12,-0.998,-0.945,-0.705,,
1894,1,-1.511,-0.892,-0.69,,
1894,2,-1.125,-0.869,-0.685,,
1894,3,-1.006,-0.832,-0.687,,
1894,4,-1.01,-0.812,-0.67,,
1894,5,-0.651,-0.745,-0.672,,
1894,6,-0.391,-0.719,-0.662,,
1894,7,-0.623,-0.679,-0.651,,
1894,8,-0.742,-0.68,-0.64,,
1894,9,-0.045,-0.68,-0.628,,
1894,10,-0.627,-0.637,-0.604,,
1894,11,-0.215,-0.623,-0.593,,
1894,12,-0.676,-0.555,-0.582,,
1895,1,-1.04,-0.516,-0.582,,
1895,2,-1.137,-0.473,-0.566,,
1895,3,-0.997,-0.426,-0.561,,
1895,4,-0.5,-0.375,-0.55,,
1895,5,-0.486,-0.397,-0.553,,
1895,6,0.424,-0.371,-0.555,,
1895,7,-0.148,-0.366,-0.533,,
1895,8,-0.225,-0.298,-0.524,,
1895,9,0.517,-0.265,-0.529,,
1895,10,-0.011,-0.29,-0.528,,
1895,11,-0.488,-0.278,-0.515,,
1895,12,-0.362,-0.357,-0.503,,
1896,1,-0.975,-0.299,-0.485,,
1896,2,-0.323,-0.287,-0.472,,
1896,3,-0.605,-0.344,-0.472,,
1896,4,-0.801,-0.315,-0.467,,
1896,5,-0.337,-0.304,-0.463,,
1896,6,-0.531,-0.294,-0.459,,
1896,7,0.556,-0.214,-0.437,,
1896,8,-0.087,-0.217,-0.431,,
1896,9,-0.164,-0.188,-0.43,,
1896,10,0.337,-0.104,-0.412,,
1896,11,-0.358,-0.1,,,
1896,12,-0.238,-0.039,,,
1897,1,-0.016,-0.147,,,
1897,2,-0.356,-0.17,,,
1897,3,-0.256,-0.164,,,
1897,4,0.207,-0.216,,,
1897,5,-0.289,-0.263,,,
1897,6,0.193,-0.3,,,
1897,7,-0.732,-0.342,,,
1897,8,-0.362,-0.405,,,
1897,9,-0.091,-0.521,,,
1897,10,-0.295,-0.575,,,
1897,11,-0.915,,,,
1897,12,-0.682,,,,
1898,1,-0.529,,,,
1898,2,,,,,
1898,3,,,,,
1898,4,,,,,
1898,5,,,,,
1898,6,,,,,
1898,7,,,,,-0.468
1898,8,,,,,-0.466
1898,9,,,,,-0.469
1898,10,,,,,-0.472
1898,11,,,,,-0.476
1898,12,,,,,-0.48
1899,1,,,,,-0.482
1899,2,,,,,-0.489
1899,3,,,,,-0.493
1899,4,,,,,-0.497
1899,5,,,,,-0.503
1899,6,,,,,-0.505
1899,7,,,,,-0.507
1899,8,,,,,-0.509
1899,9,,,,,-0.508
1899,10,,,,,-0.508
1899,11,,,,,-0.506
1899,12,,,,,-0.506
1900,1,,,,,-0.505
1900,2,,,,,-0.504
1900,3,,,,,-0.503
1900,4,,,,,-0.503
1900,5,,,,,-0.503
1900,6,,,,,-0.504
1900,7,,,,,-0.508
1900,8,,,,,-0.51
1900,9,-0.407,,,,-0.51
1900,10,0.05,,,,-0.514
1900,11,-0.119,-0.092,,,-0.513
1900,12,0.221,-0.142,,,-0.514
1901,1,-0.121,-0.206,,,-0.513
1901,2,-0.139,-0.192,,,-0.515
1901,3,-0.151,-0.194,,,-0.515
1901,4,-0.055,-0.249,,,-0.516
1901,5,-0.412,-0.301,,,-0.519
1901,6,-0.431,-0.36,,,-0.52
1901,7,-0.718,-0.411,,,-0.518
1901,8,-0.022,-0.458,,,-0.517
1901,9,-0.436,-0.527,,,-0.518
1901,10,-0.61,-0.564,,,-0.518
1901,11,-0.735,-0.559,-0.296,,-0.519
1901,12,-0.494,-0.541,-0.295,,-0.518
1902,1,-0.732,-0.452,-0.305,,-0.513
1902,2,-0.699,-0.425,-0.307,,-0.509
1902,3,-0.982,-0.392,-0.317,,-0.506
1902,4,-0.502,-0.365,-0.319,,-0.502
1902,5,-0.351,-0.316,-0.32,,-0.498
1902,6,-0.218,-0.31,-0.313,,-0.497
1902,7,0.355,-0.264,-0.308,,-0.495
1902,8,0.3,-0.157,-0.317,,-0.49
1902,9,-0.039,-0.065,-0.338,,-0.489
1902,10,-0.288,-0.047,-0.348,,-0.488
1902,11,-0.137,-0.066,-0.359,,-0.49
1902,12,-0.425,-0.078,-0.358,,-0.492
1903,1,-0.185,-0.12,-0.351,,-0.487
1903,2,0.59,-0.22,-0.351,-0.346,-0.487
1903,3,0.122,-0.259,-0.355,-0.339,-0.486
1903,4,-0.29,-0.264,-0.362,-0.34,-0.489
1903,5,-0.574,-0.307,-0.361,-0.344,-0.488
1903,6,-0.367,-0.359,-0.371,-0.343,-0.486
1903,7,-0.141,-0.428,-0.369,-0.347,-0.481
1903,8,-0.903,-0.569,-0.375,-0.349,-0.477
1903,9,-0.504,-0.691,-0.377,-0.351,-0.476
1903,10,-0.355,-0.767,-0.375,-0.353,-0.474
1903,11,-0.649,-0.805,-0.371,-0.358,-0.472
1903,12,-1.048,-0.772,-0.372,-0.359,-0.471
