Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1873,4,,,,,
1873,5,-0.022,,,,
1873,6,0.858,,,,
1873,7,0.784,-0.025,,,
1873,8,0.411,-0.042,,,
1873,9,0.101,-0.068,,,
1873,10,-0.555,-0.027,,,
1873,11,,-0.073,,,
1873,12,-0.322,-0.147,,,
1874,1,0.296,-0.212,,,
1874,2,-0.35,-0.273,,,
1874,3,-0.627,-0.295,,,
1874,4,-0.351,-0.275,,,
1874,5,-0.577,-0.302,,,
1874,6,,-0.327,,,
1874,7,0.005,-0.432,,,
1874,8,-0.32,-0.462,,,
1874,9,-0.166,-0.482,,,
1874,10,-0.313,-0.5,,,
1874,11,-0.873,-0.467,,,
1874,12,-0.618,-0.444,-0.397,,
1875,1,-0.963,-0.409,-0.395,,
1875,2,-0.711,-0.37,-0.385,,
1875,3,-0.87,-0.405,-0.381,,
1875,4,-0.569,-0.461,-0.376,,
1875,5,-0.171,-0.515,-0.359,,
1875,6,0.24,-0.574,-0.341,,
1875,7,0.426,-0.604,-0.334,,
1875,8,0.154,-0.663,-0.329,,
1875,9,-0.593,-0.718,-0.31,,
1875,10,-0.978,-0.677,-0.291,,
1875,11,-1.527,-0.729,-0.299,,
1875,12,-1.32,-0.772,-0.313,,
1876,1,-1.326,-0.8,-0.332,,
1876,2,-1.422,-0.845,-0.35,,
1876,3,-1.524,,-0.36,-0.464,
1876,4,,,-0.357,-0.467,
1876,5,-0.797,,-0.357,-0.466,
1876,6,-0.27,,-0.365,-0.475,
1876,7,,,-0.388,-0.479,
1876,8,,,-0.395,-0.485,
1876,9,,,-0.405,-0.485,
1876,10,0.139,-0.376,-0.417,-0.485,
1876,11,-0.498,-0.347,-0.424,-0.478,
1876,12,-0.678,-0.302,-0.441,-0.472,
1877,1,-0.303,-0.282,-0.46,-0.462,
1877,2,-0.522,-0.199,-0.469,-0.455,
1877,3,-0.274,-0.16,-0.483,-0.453,
1877,4,-0.455,-0.167,-0.488,-0.455,
1877,5,-0.445,-0.126,-0.489,-0.458,
1877,6,0.269,-0.087,-0.501,-0.461,
1877,7,0.313,-0.086,-0.504,-0.468,
1877,8,0.629,-0.026,-0.514,-0.475,
1877,9,-0.099,0.063,-0.525,-0.475,
1877,10,0.058,0.125,-0.536,-0.478,
1877,11,-0.01,0.122,-0.553,-0.475,
1877,12,-0.205,0.097,-0.576,-0.474,
1878,1,-0.287,0.046,-0.583,-0.475,
1878,2,0.188,-0.063,-0.589,-0.481,
1878,3,0.803,-0.099,-0.591,-0.478,
1878,4,0.29,-0.132,-0.585,-0.469,
1878,5,-0.49,-0.178,-0.568,-0.47,
1878,6,-0.023,-0.229,-0.553,-0.477,
1878,7,-0.308,-0.294,-0.54,-0.482,
1878,8,-0.675,-0.372,-0.52,-0.483,
1878,9,-0.536,-0.542,-0.498,-0.486,
