Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1880,9,0.407,,,,
1880,10,-0.079,0.106,,,
1880,11,-0.289,0.109,,,
1880,12,-0.138,0.108,,,
1881,1,-0.014,0.127,,,
1881,2,0.081,0.167,,,
1881,3,0.154,0.144,,,
1881,4,0.949,0.182,,,
1881,5,0.223,0.21,,,
1881,6,-0.16,0.217,,,
1881,7,0.408,0.239,,,
1881,8,,0.218,,,
1881,9,0.135,0.162,,,
1881,10,0.378,0.072,,,
1881,11,0.045,0.025,-0.285,,
1881,12,-0.051,-0.033,-0.291,,
1882,1,0.246,-0.136,-0.3,,
1882,2,-0.167,-0.172,-0.296,,
1882,3,-0.519,-0.162,-0.285,,
1882,4,-0.132,-0.244,-0.301,,
1882,5,-0.344,-0.339,-0.309,,
1882,6,-0.853,-0.392,-0.303,,
1882,7,-0.827,-0.423,-0.288,,
1882,8,0.029,-0.48,-0.275,,
1882,9,0.248,-0.424,-0.274,,
1882,10,-0.6,-0.444,-0.272,,
1882,11,-1.091,-0.478,-0.287,,
1882,12,-0.689,-0.435,-0.3,,
1883,1,-0.127,-0.493,-0.303,,
1883,2,-0.86,-0.51,-0.309,,
1883,3,0.152,-0.541,-0.333,,
1883,4,-0.366,-0.486,-0.344,,
1883,5,-0.751,-0.469,-0.348,,
1883,6,-0.335,-0.439,-0.338,,
1883,7,-1.529,-0.497,-0.351,-0.323,
1883,8,-0.171,-0.511,-0.366,-0.33,
1883,9,-0.131,-0.608,-0.375,-0.33,
1883,10,0.06,-0.622,-0.388,-0.327,
1883,11,-0.878,-0.67,-0.409,-0.338,
1883,12,-0.332,-0.678,-0.41,-0.34,
1884,1,-0.826,-0.572,-0.406,-0.335,
1884,2,-1.03,-0.562,-0.414,-0.328,
1884,3,-1.008,-0.574,-0.422,-0.321,
1884,4,-0.532,-0.671,-0.435,-0.322,
1884,5,-1.329,-0.698,-0.452,-0.32,
1884,6,-0.426,-0.671,-0.463,-0.321,
1884,7,-0.257,-0.605,-0.482,-0.324,
1884,8,-0.059,-0.539,-0.486,-0.325,
1884,9,-0.269,-0.511,-0.491,-0.318,
1884,10,-1.106,-0.473,-0.485,-0.321,
1884,11,-1.205,-0.421,-0.495,-0.326,
1884,12,-0.004,-0.464,-0.494,-0.325,
1885,1,-0.041,-0.442,-0.489,-0.323,
1885,2,-0.229,-0.47,-0.51,-0.315,
1885,3,-0.68,,-0.522,-0.312,
1885,4,-0.069,,-0.518,-0.311,
1885,5,-0.709,,-0.509,-0.322,
