Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,3.236,0.823,,,
1750,3,2.266,0.747,,,
1750,4,1.458,0.522,,,
1750,5,-0.946,-0.099,,,
1750,6,-0.083,-0.339,,,
1750,7,1.169,-0.671,,,
1750,8,1.52,-1.292,,,
1750,9,-0.717,-1.317,,,
1750,10,-4.272,-1.407,,,
1750,11,-7.095,-1.395,,,
1750,12,-4.101,-1.535,,,
1751,1,-0.489,-1.566,,,
1751,2,-4.209,-1.673,,,
1751,3,1.964,-1.68,,,
1751,4,0.369,-1.475,,,
1751,5,-0.794,-1.07,,,
1751,6,-1.761,-0.741,,,
1751,7,0.786,-0.869,,,
1751,8,0.243,-0.389,,,
1751,9,-0.802,-0.379,,,
1751,10,-1.809,-0.361,,,
1751,11,-2.242,-0.3,,,
1751,12,-0.152,-0.197,,,
1752,1,-2.026,-0.028,,,
1752,2,1.553,0.076,,,
1752,3,2.092,,,,
1752,4,0.579,,,,
1752,5,-0.058,,,,
1752,6,-0.523,,,,
1752,7,2.811,,,,
1752,8,1.493,,,,
1752,9,,,,,
1752,10,-0.453,,,,
1752,11,1.241,,,,
1752,12,0.777,,,,
1753,1,0.322,,,,
1753,2,0.091,,,,
1753,3,2.34,0.255,,,
1753,4,0.856,0.361,,,
1753,5,-0.103,0.222,,,
1753,6,-1.353,-0.424,,,
1753,7,-0.441,-0.469,,,
1753,8,-0.423,-0.598,,,
1753,9,0.202,-0.875,,,
1753,10,0.822,-0.8,,,
1753,11,-0.43,-0.747,,,
1753,12,-6.97,-0.601,,,
1754,1,-0.215,-0.622,,,
1754,2,-1.459,-0.722,,,
1754,3,-0.99,-0.83,,,
1754,4,1.759,-0.93,,,
1754,5,0.529,-0.967,,,
1754,6,0.41,-0.358,,,
1754,7,-0.696,-0.502,,,
1754,8,-1.627,-0.654,,,
1754,9,-1.097,-0.686,,,
1754,10,-0.378,-0.796,,,
1754,11,-0.877,-0.737,,,
1754,12,0.341,-0.66,,,
1755,1,-1.944,-0.457,,,
1755,2,-3.282,-0.477,,,
1755,3,-1.377,-0.459,-0.037,,
1755,4,0.45,-0.389,-0.114,,
1755,5,1.228,-0.308,-0.132,,
1755,6,1.341,-0.447,-0.207,,
1755,7,1.741,-0.052,-0.286,,
1755,8,-1.867,0.66,-0.313,,
1755,9,-0.885,0.854,-0.374,,
1755,10,0.468,0.801,-0.405,,
1755,11,0.085,0.555,-0.412,,
1755,12,-1.324,0.516,-0.406,,
1756,1,2.795,0.435,-0.407,,
1756,2,5.262,0.387,-0.421,,
1756,3,0.957,0.395,-0.468,,
1756,4,-0.19,0.29,-0.539,,
1756,5,-1.726,0.048,-0.548,,
1756,6,0.871,-0.067,-0.468,,
1756,7,0.779,-0.521,-0.408,,
