Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1880,9,0.162,,,,
1880,10,-0.144,,,,
1880,11,-0.268,,,,
1880,12,0.089,,,,
1881,1,-0.245,0.049,,,
1881,2,0.115,,,,
1881,3,0.43,,,,
1881,4,0.803,,,,
1881,5,0.223,,,,
1881,6,-0.495,,,,
1881,7,0.213,,,,
1881,8,,,,,
1881,9,0.143,,,,
1881,10,0.388,,,,
1881,11,-0.13,,,,
1881,12,-0.059,,,,
1882,1,0.468,,,,
1882,2,0.273,-0.082,,,
1882,3,-0.298,-0.084,,,
1882,4,-0.073,-0.145,,,
1882,5,0.041,-0.205,,,
1882,6,-0.662,-0.263,,,
1882,7,-0.839,-0.326,,,
1882,8,-0.24,-0.395,,,
1882,9,0.122,-0.369,,,
1882,10,-0.344,-0.373,-0.243,,
1882,11,-0.845,-0.415,-0.253,,
1882,12,-0.759,-0.382,-0.262,,
1883,1,-0.285,-0.429,-0.264,,
1883,2,-0.559,-0.442,-0.267,,
1883,3,0.009,-0.468,,,
1883,4,-0.12,-0.433,,,
1883,5,-0.463,-0.423,,,
1883,6,-0.259,-0.387,,,
1883,7,-1.4,-0.403,,,
1883,8,-0.406,-0.404,,,
1883,9,-0.188,-0.457,,,
1883,10,0.081,-0.488,,,
1883,11,-0.729,-0.539,,,
1883,12,-0.323,-0.591,,,
1884,1,-0.483,-0.5,,,
1884,2,-0.57,-0.487,,,
1884,3,-0.622,-0.471,,,
1884,4,-0.487,-0.546,,,
1884,5,-1.079,-0.568,,,
1884,6,-0.886,-0.551,,,
1884,7,-0.301,-0.544,,,
1884,8,-0.251,-0.506,,,
1884,9,0.001,-0.512,,,
1884,10,-0.815,-0.449,,,
1884,11,-0.999,-0.413,,,
1884,12,-0.121,,,,
1885,1,-0.393,,,,
1885,2,-0.125,,,,
1885,3,-0.69,,,,
1885,4,0.265,,,-0.268,
1885,5,-0.642,,,-0.276,
1885,6,,,,-0.281,
1885,7,,,,-0.289,
1885,8,,,,-0.297,
1885,9,,,,-0.3,
1885,10,,,,-0.297,
1885,11,-0.424,,,-0.298,
1885,12,0.243,,,-0.3,
1886,1,-0.496,,,-0.303,
1886,2,-0.702,,,-0.308,
1886,3,-0.188,,,-0.316,
1886,4,0.396,-0.182,,-0.325,
1886,5,-0.619,-0.188,,-0.331,
1886,6,-0.386,-0.221,,-0.331,
1886,7,0.546,-0.24,,-0.335,
1886,8,-0.149,-0.216,,-0.337,
1886,9,-0.249,-0.243,,-0.336,
1886,10,-0.161,-0.285,,-0.34,
1886,11,-0.49,-0.27,,-0.341,-0.231
1886,12,-0.151,-0.296,,-0.339,-0.228
1887,1,-0.727,-0.391,,-0.352,-0.229
1887,2,-0.409,-0.485,,-0.355,-0.229
1887,3,-0.514,-0.478,,-0.356,-0.231
1887,4,-0.114,-0.527,,-0.353,-0.231
1887,5,-0.435,-0.538,,-0.351,-0.232
1887,6,-0.7,-0.564,,-0.346,-0.235
1887,7,-0.596,-0.543,,-0.342,-0.24
1887,8,-1.269,-0.547,,-0.347,-0.243
1887,9,-0.172,-0.552,,-0.355,-0.242
1887,10,-0.753,-0.509,,-0.355,-0.244
1887,11,-0.614,-0.497,,-0.352,-0.244
1887,12,-0.463,-0.47,-0.3,-0.349,-0.24
1888,1,-0.481,-0.397,-0.314,-0.353,-0.236
1888,2,-0.449,-0.266,-0.328,-0.352,-0.239
1888,3,-0.572,-0.248,-0.317,-0.353,-0.245
1888,4,0.395,-0.213,-0.308,-0.355,-0.25
1888,5,-0.291,-0.174,-0.307,-0.357,-0.247
1888,6,-0.37,-0.137,-0.313,-0.359,-0.249
1888,7,0.281,-0.104,-0.314,-0.348,-0.253
1888,8,0.299,-0.019,-0.312,-0.347,-0.257
1888,9,0.042,0.025,-0.316,-0.347,-0.26
1888,10,-0.333,0.002,-0.328,-0.35,-0.26
1888,11,-0.148,0.03,-0.327,-0.349,-0.265
1888,12,-0.013,0.04,-0.329,-0.348,-0.265
1889,1,-0.09,0.012,-0.343,-0.35,-0.265
1889,2,0.573,-0.066,-0.342,-0.345,-0.266
1889,3,-0.041,-0.069,-0.333,-0.342,-0.265
1889,4,0.111,-0.077,-0.332,-0.341,-0.264
1889,5,0.049,-0.14,-0.328,-0.331,-0.265
1889,6,-0.253,-0.19,-0.322,-0.327,-0.264
1889,7,-0.051,-0.219,-0.329,-0.327,-0.264
1889,8,-0.641,-0.288,-0.323,-0.328,-0.261
1889,9,0.008,-0.32,-0.322,-0.323,-0.257
1889,10,-0.433,-0.316,-0.314,-0.315,-0.258
1889,11,-0.904,-0.395,-0.302,-0.31,-0.257
1889,12,-0.612,-0.447,-0.291,-0.31,-0.254
1890,1,-0.442,-0.525,-0.288,-0.31,-0.253
1890,2,-0.244,-0.577,-0.282,-0.313,-0.248
1890,3,-0.429,-0.586,-0.293,-0.306,-0.243
1890,4,0.154,-0.538,-0.286,-0.31,-0.241
1890,5,-0.891,-0.496,-0.283,-0.304,-0.24
1890,6,-0.878,-0.451,-0.282,-0.3,-0.238
1890,7,-0.992,-0.465,-0.287,-0.297,-0.238
1890,8,-1.263,-0.493,-0.286,-0.293,-0.238
