Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1744,1,,,,,
1744,2,,,,,
1744,3,,,,,
1744,4,0.385,,,,
1744,5,-0.858,,,,
1744,6,-0.377,,,,
1744,7,-0.463,,,,
1744,8,,,,,
1744,9,-1.068,,,,
1744,10,-1.984,,,,
1744,11,-0.192,,,,
1744,12,-0.992,,,,
1745,1,-0.664,,,,
1745,2,-1.74,,,,
1745,3,-2.177,,,,
1745,4,-1.404,,,,
1745,5,,,,,
1745,6,,,,,
1745,7,,,,,
1745,8,,,,,
1745,9,,,,,
1745,10,,,,,
1745,11,,,,,
1745,12,,,,,
1746,1,,,,,
1746,2,,,,,
1746,3,,,,,
1746,4,,,,,
1746,5,,,,,
1746,6,,,,,
1746,7,,,,,
1746,8,,,,,
1746,9,,,,,
1746,10,,,,,
1746,11,,,,,
1746,12,,,,,
1747,1,,,,,
1747,2,,,,,
1747,3,,,,,
1747,4,,,,,
1747,5,,,,,
1747,6,,,,,
1747,7,,,,,
1747,8,,,,,
1747,9,,,,,
1747,10,,,,,
1747,11,,,,,
1747,12,,,,,
1748,1,,,,,
1748,2,,,,,
1748,3,,,,,
1748,4,,,,,
1748,5,,,,,
1748,6,,,,,
1748,7,,,,,
1748,8,,,,,
1748,9,,,,,
1748,10,,,,,
1748,11,,,,,
1748,12,,,,,
1749,1,,,,,
1749,2,,,,,
1749,3,,,,,
1749,4,,,,,
1749,5,,,,,
1749,6,,,,,
1749,7,,,,,
1749,8,,,,,
1749,9,,,,,
1749,10,,,,,
1749,11,,,,,
1749,12,,,,,
1750,1,0.69,,,,
1750,2,1.724,,,,
1750,3,1.041,,,,
1750,4,0.158,,,,
1750,5,-0.367,,,,
1750,6,-0.351,,,,
1750,7,1.571,,,,
1750,8,0.665,,,,
1750,9,-0.508,,,,
1750,10,-3.913,,,,
1750,11,,,,,
1750,12,-2.189,,,,
1751,1,-0.396,,,,
1751,2,-3.357,,,,
1751,3,0.478,,,,
1751,4,-0.751,,,,
1751,5,,,,,
1751,6,-0.363,,,,
1751,7,,,,,
1751,8,0.043,,,,
1751,9,-1.647,,,,
1751,10,,,,,
1751,11,,,,,
1751,12,,,,,
1752,1,-2.008,,,,
1752,2,,,,,
1752,3,0.307,,,,
1752,4,-1.191,,,,
1752,5,,,,,
1752,6,,,,,
1752,7,,,,,
1752,8,,,,,
1752,9,,,,,
1752,10,-1.388,,,,
1752,11,0.646,,,,
1752,12,0.372,,,,
1753,1,-1.092,,,,
1753,2,-1.215,,,,
1753,3,0.849,-0.159,,,
1753,4,-0.503,-0.084,,,
1753,5,-0.297,-0.273,,,
1753,6,0.254,-0.694,,,
1753,7,0.3,-0.67,,,
1753,8,-0.214,-0.778,,,
1753,9,0.381,-1.048,,,
1753,10,-0.493,-0.912,,,
1753,11,-1.62,-0.844,,,
1753,12,-4.679,-0.842,,,
1754,1,-0.803,-0.895,,,
1754,2,-2.518,-0.933,,,
1754,3,-2.385,-1.085,,,
1754,4,1.131,-1.092,,,
1754,5,0.512,-1.025,,,
1754,6,0.283,-0.661,,,
1754,7,-0.332,-0.776,,,
1754,8,-0.67,-0.841,,,
1754,9,-1.45,-0.851,,,
1754,10,-0.577,-0.921,,,
1754,11,-0.815,-0.963,,,
1754,12,-0.307,-0.861,,,
1755,1,-2.188,-0.783,,,
1755,2,-3.293,-0.827,,,
1755,3,-2.503,-0.82,-0.487,,
1755,4,0.289,-0.809,-0.531,,
1755,5,0.01,-0.84,-0.561,,
1755,6,1.507,-0.93,-0.61,,
1755,7,0.599,-0.647,-0.653,,
1755,8,-1.202,-0.162,-0.664,,
1755,9,-1.357,-0.034,-0.709,,
1755,10,-0.444,-0.121,-0.735,,
1755,11,-1.19,-0.11,-0.739,,
1755,12,-1.395,-0.154,-0.749,,
1756,1,1.219,-0.165,-0.766,,
1756,2,2.518,-0.16,-0.784,,
1756,3,-0.967,-0.065,-0.831,,
1756,4,-0.745,-0.2,-0.917,,
1756,5,0.132,-0.358,-0.895,,
1756,6,0.982,-0.474,-0.848,,
1756,7,0.464,-0.847,-0.798,,
1756,8,-1.137,-1.032,-0.723,,
1756,9,-0.22,-1.056,-0.687,,
1756,10,-2.06,-0.98,-0.734,,
1756,11,-3.091,-1.012,-0.773,,
1756,12,-2.788,-0.921,-0.771,,
1757,1,-3.251,-0.685,-0.771,,
1757,2,0.295,-0.414,-0.753,,
1757,3,-1.258,-0.306,-0.742,,
1757,4,0.167,-0.469,-0.759,,
1757,5,-0.251,-0.31,-0.786,,
1757,6,2.079,-0.289,-0.854,,
1757,7,3.288,-0.325,-0.901,,
1757,8,2.122,-0.508,-0.856,,
1757,9,1.08,-0.557,-0.861,-0.766,
1757,10,-4.023,-0.739,-0.891,-0.797,
1757,11,-1.182,-0.765,-0.909,-0.813,
1757,12,-2.538,-0.968,-0.943,-0.816,
1758,1,-3.679,-1.302,-0.965,-0.818,
1758,2,-1.901,-1.587,-0.952,-0.818,
1758,3,-1.844,-1.878,-0.935,-0.844,
1758,4,-2.024,-2.014,-0.981,-0.856,
1758,5,-0.556,-1.941,-0.986,-0.867,
1758,6,-0.356,-1.886,-0.989,-0.868,
1758,7,-0.728,-1.397,-1.017,-0.86,
1758,8,-1.292,-1.07,-1.052,-0.863,
1758,9,-2.409,-0.939,-1.012,-0.87,
1758,10,-5.658,-0.908,-1.005,-0.884,
1758,11,-0.312,-1.017,-0.992,-0.874,
1758,12,-1.868,-0.954,-0.967,-0.848,
1759,1,2.186,-0.92,-0.945,-0.846,
1759,2,2.027,-0.777,-0.907,-0.816,
1759,3,-0.279,-0.64,-0.898,-0.798,
1759,4,-1.652,-0.304,-0.922,-0.814,
1759,5,-1.86,-0.478,-0.883,-0.822,
1759,6,0.397,-0.688,-0.899,-0.842,
1759,7,-0.321,-1.292,-0.807,-0.835,
1759,8,0.42,-1.508,-0.818,-0.837,
1759,9,-0.763,-1.72,-0.839,-0.839,
1759,10,-1.626,-1.708,-0.824,-0.841,
1759,11,-2.404,-1.64,-0.836,-0.848,
1759,12,-4.382,-1.718,-0.876,-0.858,
1760,1,-5.064,-1.75,-0.939,-0.847,
1760,2,-0.56,-1.823,-1.003,-0.843,
1760,3,-2.823,-1.788,-1.044,-0.823,
1760,4,-1.507,-1.919,-1.064,-0.826,
1760,5,-1.046,-1.841,-1.064,-0.831,
1760,6,-0.536,-1.609,-1.023,-0.863,
1760,7,-0.707,-1.225,-0.983,-0.875,
1760,8,-0.455,-1.145,-0.971,-0.877,
1760,9,-0.35,-0.788,-0.979,-0.878,
1760,10,-3.195,-0.689,-0.977,-0.889,
1760,11,-1.468,-0.529,-0.994,-0.891,
1760,12,-1.591,-0.276,-0.987,-0.89,
1761,1,-0.457,-0.07,-0.953,-0.905,
1761,2,0.399,0.067,-0.942,-0.93,
1761,3,1.462,0.119,-0.91,-0.929,
1761,4,-0.326,0.097,-0.85,-0.912,
1761,5,0.88,0.154,-0.854,-0.931,
1761,6,2.495,-0.024,-0.848,-0.932,
1761,7,1.769,0.204,-0.894,-0.919,
1761,8,1.19,0.141,-0.91,-0.906,
1761,9,0.276,-0.191,-0.909,-0.911,
1761,10,-3.461,-0.077,-0.894,-0.904,
1761,11,-0.783,-0.232,-0.871,-0.869,
1761,12,-3.728,-0.462,-0.912,-0.854,
1762,1,2.271,-0.651,-0.899,-0.859,
1762,2,-0.35,-0.894,-0.92,-0.859,
1762,3,-2.528,-1.035,-0.936,-0.853,
1762,4,1.047,-1.18,-0.924,-0.864,
1762,5,-0.985,-1.213,-0.91,-0.872,
1762,6,-0.266,-0.909,-0.863,-0.896,
1762,7,-0.49,-1.203,-0.792,-0.932,
1762,8,-1.726,-1.273,-0.829,-0.939,
1762,9,-1.416,-1.258,-0.784,-0.944,-0.838
1762,10,-5.203,-1.505,-0.761,-0.923,-0.831
1762,11,-1.18,-1.553,-0.753,-0.907,-0.831
1762,12,-0.087,-1.527,-0.784,-0.893,-0.828
1763,1,-1.255,-1.374,-0.786,-0.882,-0.826
1763,2,-1.187,-1.281,-0.802,-0.88,-0.826
1763,3,-2.349,-1.206,-0.82,-0.882,-0.829
1763,4,-1.911,-0.946,-0.797,-0.877,-0.824
1763,5,-1.568,-0.891,-0.796,-0.87,-0.823
1763,6,0.048,-1.01,-0.791,-0.866,-0.827
1763,7,1.348,-0.952,-0.794,-0.855,-0.828
1763,8,-0.616,-0.767,-0.808,-0.843,-0.824
1763,9,-0.512,-0.591,-0.845,-0.836,-0.828
1763,10,-2.079,-0.491,-0.82,-0.813,-0.829
1763,11,-0.531,-0.402,-0.87,-0.825,-0.829
1763,12,-1.511,-0.577,-0.897,-0.808,-0.812
1764,1,-0.558,-0.652,-0.892,-0.831,-0.829
1764,2,1.03,-0.671,-0.906,-0.861,-0.819
1764,3,-0.229,-0.769,-0.923,-0.862,-0.815
1764,4,-0.713,-0.672,-0.887,-0.843,-0.82
1764,5,-0.501,-0.757,-0.855,-0.823,-0.816
1764,6,-2.056,-0.764,-0.81,-0.824,-0.815
1764,7,0.447,-0.784,-0.911,-0.815,-0.811
1764,8,-0.834,-1.103,-0.9,-0.822,-0.809
1764,9,-1.692,-1.095,-0.868,-0.817,-0.807
1764,10,-0.913,-1.042,-0.905,-0.829,-0.807
1764,11,-1.549,-1.051,-0.907,-0.828,-0.819
1764,12,-1.601,-1.078,-0.916,-0.804,-0.826
1765,1,-0.799,-1.184,-0.925,-0.764,-0.816
1765,2,-2.798,-1.231,-0.876,-0.748,-0.796
1765,3,-0.129,-1.212,-0.844,-0.773,-0.785
1765,4,-0.083,-1.286,-0.783,-0.773,-0.784
1765,5,-0.608,-1.274,-0.75,-0.765,-0.779
1765,6,-2.377,-1.248,-0.763,-0.763,-0.785
1765,7,-0.83,-1.234,-0.782,-0.752,-0.782
1765,8,-1.39,-1.038,-0.79,-0.749,-0.774
1765,9,-1.467,-1.092,-0.785,-0.741,-0.767
1765,10,-1.8,-0.985,-0.778,-0.729,-0.768
1765,11,-1.407,-1.112,-0.746,-0.742,-0.769
1765,12,-1.284,-0.838,-0.745,-0.749,-0.765
1766,1,-0.633,-0.6,-0.758,-0.76,-0.792
1766,2,-0.454,-0.454,-0.745,-0.777,-0.804
1766,3,-0.77,-0.392,-0.762,-0.817,-0.802
1766,4,1.193,-0.351,-0.776,-0.836,-0.798
1766,5,-2.13,-0.139,-0.796,-0.842,-0.803
1766,6,0.912,-0.118,-0.768,-0.85,-0.806
1766,7,2.03,-0.382,-0.769,-0.868,-0.803
1766,8,0.366,-0.316,-0.813,-0.882,-0.797
1766,9,-0.73,-0.304,-0.814,-0.893,-0.801
1766,10,-1.31,-0.5,-0.792,-0.874,-0.796
1766,11,1.14,-0.417,-0.774,-0.87,-0.786
1766,12,-1.029,-0.559,-0.735,-0.829,-0.775
1767,1,-3.798,-0.815,-0.731,-0.868,-0.762
1767,2,0.337,-0.744,-0.724,-0.898,-0.768
1767,3,-0.634,-0.641,-0.699,-0.905,-0.768
1767,4,-1.148,-0.66,-0.733,-0.924,-0.776
1767,5,-1.141,-0.688,-0.747,-0.929,-0.774
1767,6,-0.79,-0.675,-0.745,-0.929,-0.787
1767,7,-1.038,-0.559,-0.735,-0.923,-0.804
1767,8,1.211,-0.723,-0.666,-0.909,-0.812
1767,9,0.504,-0.842,-0.761,-0.909,-0.817
1767,10,-1.536,-0.87,-0.785,-0.865,-0.806
1767,11,0.81,-0.748,-0.776,-0.848,-0.802
1767,12,-0.876,-0.672,-0.742,-0.84,-0.794
1768,1,-2.412,-0.537,-0.719,-0.834,-0.782
1768,2,-1.626,-0.624,-0.695,-0.834,-0.771
1768,3,-2.062,-0.797,-0.662,-0.814,-0.769
1768,4,-1.479,-0.91,-0.66,-0.792,-0.759
1768,5,0.321,-1.124,-0.687,-0.779,-0.754
1768,6,0.125,-1.038,-0.706,-0.785,-0.75
1768,7,0.572,-0.885,-0.726,-0.796,-0.74
1768,8,0.168,-0.883,-0.746,-0.785,-0.735
1768,9,-1.571,-0.737,-0.788,-0.785,-0.728
1768,10,-2.894,-0.563,-0.852,-0.775,-0.721
1768,11,-1.751,-0.541,-0.815,-0.784,-0.725
1768,12,0.16,-0.529,-0.803,-0.776,-0.714
1769,1,-0.58,-0.517,-0.845,-0.811,-0.724
