Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1917,4,-0.552,,,,
1917,5,-0.846,,,,
1917,6,-0.451,,,,
1917,7,0.14,-0.439,,,
1917,8,,-0.447,,,
1917,9,-0.399,-0.452,,,
1917,10,-0.227,-0.445,,,
1917,11,-0.367,-0.395,,,
1917,12,-0.522,-0.383,,,
1918,1,-0.454,-0.449,,,
1918,2,-0.699,-0.491,,,
1918,3,-0.813,-0.483,,,
1918,4,-0.463,-0.469,,,
1918,5,-0.249,-0.47,,,
1918,6,-0.307,-0.488,,,
1918,7,-0.65,-0.515,,,
1918,8,-0.744,-0.49,,,
1918,9,-0.306,-0.496,-0.425,,
1918,10,-0.053,-0.467,-0.43,,
1918,11,-0.378,-0.461,-0.431,,
1918,12,-0.741,-0.473,-0.429,,
1919,1,-0.783,-0.419,-0.426,,
1919,2,-0.398,-0.387,-0.431,,
1919,3,-0.887,-0.396,-0.425,,
1919,4,-0.104,-0.42,-0.419,,
1919,5,-0.186,-0.401,-0.405,,
1919,6,-0.45,-0.386,-0.393,,
1919,7,0.003,-0.344,-0.397,,
1919,8,-0.362,-0.386,-0.399,,
1919,9,-0.419,-0.348,-0.386,,
1919,10,-0.338,-0.34,-0.374,-0.34,
1919,11,-0.154,-0.363,-0.365,-0.338,
1919,12,-0.549,-0.359,-0.36,-0.339,
1920,1,-0.289,-0.366,-0.366,-0.335,
1920,2,-0.896,-0.372,-0.366,-0.335,
1920,3,-0.433,-0.364,-0.366,-0.337,
1920,4,-0.003,-0.355,-0.366,-0.338,
1920,5,-0.463,-0.372,-0.365,-0.339,
1920,6,-0.403,-0.414,-0.361,-0.342,
1920,7,-0.087,-0.424,-0.358,-0.347,
1920,8,-0.426,-0.348,-0.355,-0.348,
1920,9,-0.321,-0.347,-0.352,-0.35,
1920,10,-0.234,-0.38,-0.351,-0.352,
1920,11,-0.362,-0.355,-0.352,-0.353,
1920,12,,-0.349,-0.352,-0.352,
1921,1,-0.401,-0.35,-0.349,-0.355,
1921,2,0.006,-0.336,-0.348,-0.359,
1921,3,-0.413,-0.34,-0.346,-0.36,
1921,4,-0.398,-0.338,-0.346,-0.364,
1921,5,-0.165,-0.311,-0.345,-0.374,
1921,6,-0.333,-0.241,-0.339,-0.371,
