Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,2.847,0.605,,,
1750,3,1.467,0.529,,,
1750,4,1.324,0.315,,,
1750,5,-0.94,-0.296,,,
1750,6,-0.391,-0.504,,,
1750,7,0.91,-0.802,,,
1750,8,1.428,-1.347,,,
1750,9,-0.877,-1.358,,,
1750,10,-4.028,-1.431,,,
1750,11,-6.774,-1.422,,,
1750,12,-3.987,-1.55,,,
1751,1,-0.605,-1.571,,,
1751,2,-3.696,-1.688,,,
1751,3,1.335,-1.706,,,
1751,4,0.45,-1.528,,,
1751,5,-0.832,-1.137,,,
1751,6,-1.923,-0.822,,,
1751,7,0.658,-0.994,,,
1751,8,0.026,-0.511,,,
1751,9,-1.1,-0.488,,,
1751,10,-1.89,-0.493,,,
1751,11,-2.082,-0.414,,,
1751,12,-0.212,-0.316,,,
1752,1,-2.659,-0.16,,,
1752,2,2.096,-0.059,,,
1752,3,1.609,,,,
1752,4,0.397,,,,
1752,5,0.114,,,,
1752,6,-0.748,,,,
1752,7,2.526,,,,
1752,8,1.235,,,,
1752,9,,,,,
1752,10,-0.59,,,,
1752,11,1.331,,,,
1752,12,0.675,,,,
1753,1,0.37,,,,
1753,2,0.349,,,,
1753,3,1.828,0.156,,,
1753,4,0.568,0.269,,,
1753,5,-0.068,0.138,,,
1753,6,-1.418,-0.49,,,
1753,7,-0.588,-0.541,,,
1753,8,-0.418,-0.678,,,
1753,9,-0.17,-0.91,,,
1753,10,0.77,-0.753,,,
1753,11,-0.245,-0.708,,,
1753,12,-6.861,-0.568,,,
1754,1,-0.244,-0.563,,,
1754,2,-1.285,-0.671,,,
1754,3,-0.96,-0.765,,,
1754,4,2.449,-0.859,,,
1754,5,0.479,-0.902,,,
1754,6,0.259,-0.299,,,
1754,7,-0.528,-0.397,,,
1754,8,-1.719,-0.484,,,
1754,9,-1.295,-0.562,,,
1754,10,-0.358,-0.755,,,
1754,11,-0.763,-0.692,,,
1754,12,0.379,-0.642,,,
1755,1,-1.423,-0.472,,,
1755,2,-2.33,-0.493,,,
1755,3,-1.89,-0.469,-0.086,,
1755,4,0.133,-0.354,-0.152,,
1755,5,1.237,-0.277,-0.178,,
1755,6,0.858,-0.45,-0.25,,
1755,7,1.507,-0.138,-0.329,,
1755,8,-1.974,0.513,-0.358,,
1755,9,-1.007,0.695,-0.42,,
1755,10,1.024,0.695,-0.447,,
1755,11,0.158,0.481,-0.465,,
1755,12,-1.686,0.438,-0.466,,
1756,1,2.311,0.334,-0.467,,
1756,2,5.482,0.292,-0.491,,
1756,3,0.3,0.283,-0.534,,
1756,4,0.132,0.119,-0.604,,
1756,5,-1.332,-0.113,-0.613,,
1756,6,0.338,-0.198,-0.537,,
1756,7,0.269,-0.635,-0.483,,
1756,8,-2.488,-0.828,-0.396,,
1756,9,-1.11,-0.876,-0.377,,
1756,10,-0.946,-0.726,-0.433,,
1756,11,-2.624,-0.618,-0.484,,
1756,12,-2.707,-0.461,-0.481,,
1757,1,-2.934,-0.183,-0.483,,
1757,2,3.163,0.162,-0.438,,
1757,3,-0.274,0.366,-0.437,,
1757,4,1.936,0.063,-0.465,,
1757,5,-0.035,0.266,-0.49,,
1757,6,2.224,0.188,-0.596,,
1757,7,3.6,0.066,-0.7,,
1757,8,1.654,-0.313,-0.635,,
1757,9,1.341,-0.446,-0.656,-0.557,
1757,10,-4.588,-0.694,-0.705,-0.596,
1757,11,-0.187,-0.788,-0.739,-0.603,
1757,12,-3.639,-1.095,-0.771,-0.608,
1758,1,-4.397,-1.451,-0.809,-0.617,
1758,2,-1.394,-1.743,-0.799,-0.63,
1758,3,-1.872,-2.085,-0.784,-0.674,
1758,4,-1.037,-1.987,-0.855,-0.693,
1758,5,-1.158,-2.037,-0.873,-0.697,
1758,6,-1.465,-1.928,-0.898,-0.691,
1758,7,-0.674,-1.311,-0.936,-0.668,
1758,8,-1.843,-0.868,-1.017,-0.668,
1758,9,-2.766,-0.693,-0.98,-0.674,
1758,10,-3.41,-0.683,-0.982,-0.695,
1758,11,-0.789,-0.803,-0.951,-0.699,
1758,12,-2.332,-0.644,-0.924,-0.658,
1759,1,3.003,-0.642,-0.905,-0.659,
1759,2,3.933,-0.407,-0.84,-0.616,
1759,3,0.218,-0.279,-0.804,-0.597,
1759,4,-0.917,-0.164,-0.844,-0.619,
1759,5,-2.598,-0.287,-0.807,-0.632,
1759,6,0.449,-0.594,-0.837,-0.663,
1759,7,-0.652,-1.481,-0.733,-0.651,
1759,8,0.972,-1.678,-0.751,-0.646,
1759,9,-1.221,-1.957,-0.77,-0.644,
1759,10,-2.034,-2.118,-0.781,-0.643,
1759,11,-2.265,-1.967,-0.797,-0.645,
1759,12,-6.012,-2.092,-0.833,-0.655,
1760,1,-7.65,-2.105,-0.917,-0.647,
1760,2,1.575,-2.299,-0.973,-0.634,
1760,3,-3.134,-2.204,-1.029,-0.605,
1760,4,-2.842,-2.304,-1.04,-0.6,
1760,5,-0.788,-2.196,-1.027,-0.623,
1760,6,-1.058,-1.957,-0.967,-0.653,
1760,7,-0.807,-1.318,-0.905,-0.674,
1760,8,-1.348,-1.399,-0.902,-0.668,
1760,9,-0.08,-0.927,-0.928,-0.672,
1760,10,-3.242,-0.691,-0.939,-0.692,
1760,11,-0.965,-0.581,-0.929,-0.687,
1760,12,-3.142,-0.33,-0.916,-0.676,
1761,1,0.009,-0.144,-0.869,-0.706,
1761,2,0.603,0.087,-0.846,-0.744,
1761,3,2.532,0.182,-0.814,-0.736,
1761,4,-0.01,0.172,-0.787,-0.718,
1761,5,0.537,0.221,-0.786,-0.713,
1761,6,1.955,0.103,-0.779,-0.707,
1761,7,1.426,0.379,-0.835,-0.692,
1761,8,1.418,0.504,-0.836,-0.675,
1761,9,1.06,0.172,-0.818,-0.666,
1761,10,-3.354,0.282,-0.806,-0.662,
1761,11,-0.378,0.154,-0.781,-0.622,
1761,12,-4.566,-0.006,-0.844,-0.61,
1762,1,3.325,-0.243,-0.819,-0.63,
1762,2,2.109,-0.504,-0.854,-0.656,
1762,3,-1.455,-0.758,-0.851,-0.646,
1762,4,1.31,-0.918,-0.82,-0.681,
1762,5,-1.005,-0.838,-0.8,-0.69,
1762,6,0.038,-0.458,-0.713,-0.714,
1762,7,-1.415,-0.792,-0.593,-0.756,
1762,8,-1.721,-1.07,-0.632,-0.757,
1762,9,-1.981,-1.232,-0.555,-0.757,-0.621
1762,10,-5.282,-1.487,-0.494,-0.722,-0.612
1762,11,0.588,-1.446,-0.507,-0.698,-0.604
1762,12,-0.009,-1.506,-0.536,-0.677,-0.597
1763,1,-0.679,-1.21,-0.539,-0.667,-0.606
1763,2,-1.228,-1.106,-0.537,-0.675,-0.605
1763,3,-3.399,-1.012,-0.561,-0.69,-0.611
1763,4,-1.752,-0.72,-0.528,-0.696,-0.604
1763,5,-0.508,-0.831,-0.501,-0.696,-0.595
1763,6,-0.684,-0.99,-0.455,-0.686,-0.592
1763,7,2.131,-0.964,-0.476,-0.674,-0.585
1763,8,-0.466,-0.537,-0.47,-0.66,-0.579
1763,9,-0.86,-0.147,-0.492,-0.648,-0.575
1763,10,-1.777,-0.015,-0.455,-0.644,-0.574
1763,11,-0.737,-0.065,-0.474,-0.642,-0.574
1763,12,-1.918,-0.288,-0.49,-0.602,-0.541
1764,1,-0.374,-0.392,-0.479,-0.609,-0.562
1764,2,3.901,-0.446,-0.509,-0.64,-0.55
1764,3,1.279,-0.463,-0.528,-0.635,-0.547
1764,4,-0.166,-0.332,-0.48,-0.623,-0.555
1764,5,-1.111,-0.356,-0.437,-0.595,-0.544
1764,6,-3.357,-0.265,-0.383,-0.593,-0.535
1764,7,0.882,-0.27,-0.528,-0.59,-0.524
1764,8,-1.108,-0.659,-0.562,-0.599,-0.516
1764,9,-1.07,-0.639,-0.522,-0.592,-0.514
1764,10,-0.201,-0.561,-0.581,-0.607,-0.516
1764,11,-1.024,-0.595,-0.583,-0.613,-0.538
1764,12,-0.827,-0.551,-0.595,-0.589,-0.549
1765,1,-0.431,-0.706,-0.596,-0.529,-0.544
1765,2,-0.775,-0.717,-0.541,-0.527,-0.523
1765,3,1.527,-0.755,-0.485,-0.562,-0.508
1765,4,0.763,-0.844,-0.404,-0.536,-0.509
1765,5,-1.515,-0.7,-0.369,-0.525,-0.513
1765,6,-2.828,-0.665,-0.388,-0.522,-0.517
1765,7,-0.986,-0.734,-0.428,-0.519,-0.516
1765,8,-1.24,-0.587,-0.448,-0.509,-0.498
1765,9,-1.518,-0.612,-0.453,-0.5,-0.485
1765,10,-1.27,-0.491,-0.454,-0.463,-0.481
1765,11,0.697,-0.417,-0.464,-0.47,-0.486
1765,12,-0.399,-0.099,-0.457,-0.451,-0.478
1766,1,-1.262,0.157,-0.478,-0.461,-0.507
1766,2,0.985,0.228,-0.474,-0.494,-0.518
1766,3,1.228,0.349,-0.481,-0.555,-0.52
1766,4,2.211,0.416,-0.502,-0.58,-0.522
1766,5,-0.618,0.538,-0.499,-0.587,-0.518
1766,6,0.984,0.463,-0.424,-0.584,-0.515
1766,7,2.086,0.121,-0.382,-0.599,-0.508
1766,8,-0.389,0.042,-0.443,-0.617,-0.491
1766,9,-0.061,0.018,-0.452,-0.628,-0.491
1766,10,-0.476,-0.353,-0.441,-0.603,-0.488
1766,11,2.172,-0.39,-0.409,-0.607,-0.48
1766,12,-1.303,-0.531,-0.342,-0.557,-0.462
1767,1,-5.365,-0.826,-0.361,-0.601,-0.448
1767,2,0.036,-0.666,-0.345,-0.66,-0.466
1767,3,0.937,-0.546,-0.333,-0.682,-0.472
1767,4,-2.233,-0.537,-0.394,-0.699,-0.486
1767,5,-1.068,-0.499,-0.426,-0.711,-0.481
1767,6,-0.704,-0.482,-0.464,-0.724,-0.493
1767,7,-1.462,-0.295,-0.466,-0.711,-0.511
1767,8,1.535,-0.497,-0.422,-0.695,-0.522
1767,9,1.384,-0.885,-0.57,-0.685,-0.535
1767,10,-0.376,-0.848,-0.577,-0.627,-0.522
1767,11,2.634,-0.853,-0.544,-0.605,-0.518
1767,12,-1.101,-0.817,-0.507,-0.585,-0.498
1768,1,-3.119,-0.624,-0.499,-0.595,-0.482
1768,2,-2.385,-0.768,-0.482,-0.579,-0.463
1768,3,-3.72,-0.992,-0.438,-0.548,-0.459
1768,4,-1.789,-1.211,-0.398,-0.514,-0.448
1768,5,-1.139,-1.477,-0.439,-0.493,-0.442
1768,6,-0.268,-1.174,-0.447,-0.493,-0.44
1768,7,0.855,-0.735,-0.446,-0.502,-0.433
1768,8,-0.19,-0.516,-0.518,-0.489,-0.43
1768,9,-1.306,-0.143,-0.619,-0.475,-0.416
1768,10,-3.001,0.049,-0.706,-0.453,-0.418
1768,11,-0.564,0.212,-0.701,-0.449,-0.427
1768,12,2.542,0.288,-0.677,-0.425,-0.421
1769,1,2.153,0.197,-0.719,-0.466,-0.432
1769,2,0.243,0.197,-0.725,-0.484,-0.432
1769,3,0.749,0.276,-0.729,-0.498,-0.417
1769,4,0.519,0.209,-0.726,-0.49,-0.409
1769,5,0.812,0.006,-0.776,-0.455,-0.394
1769,6,0.647,-0.463,-0.731,-0.408,-0.398
1769,7,-0.238,-0.686,-0.674,-0.398,-0.395
1769,8,-0.188,-0.552,-0.757,-0.387,-0.392
1769,9,-0.36,-1.226,-0.841,-0.385,-0.384
1769,10,-3.809,-1.242,-0.816,-0.389,-0.368
1769,11,-2.994,-1.271,-0.839,-0.432,-0.361
1769,12,-3.091,-1.378,-0.853,-0.444,-0.347
1770,1,-0.515,-1.397,-0.826,-0.442,-0.327
1770,2,1.851,-1.4,-0.848,-0.413,-0.335
1770,3,-7.345,-1.277,-0.884,-0.411,-0.318
1770,4,0.323,-0.864,-0.85,-0.418,-0.3
1770,5,0.471,-0.766,-0.841,-0.403,-0.297
1770,6,-0.638,-0.579,-0.782,-0.381,-0.299
1770,7,-0.471,-0.637,-0.761,-0.357,-0.292
1770,8,-0.215,-1.069,-0.711,-0.328,-0.288
1770,9,1.107,-0.858,-0.642,-0.298,-0.296
1770,10,1.151,-1.137,-0.575,-0.27,-0.28
1770,11,-1.816,-1.203,-0.523,-0.285,-0.286
1770,12,-0.855,-0.95,-0.528,-0.279,-0.276
1771,1,-1.207,-0.945,-0.526,-0.307,-0.28
1771,2,-3.331,-0.99,-0.504,-0.292,-0.286
1771,3,-4.813,-1.104,-0.469,-0.304,-0.295
1771,4,-3.025,-1.226,-0.404,-0.326,-0.296
1771,5,-0.325,-1.145,-0.399,-0.324,-0.305
1771,6,2.404,-0.958,-0.425,-0.322,-0.317
1771,7,-0.414,-1.021,-0.549,-0.323,-0.326
1771,8,-0.754,-1.155,-0.526,-0.308,-0.326
1771,9,-0.262,-1.093,-0.543,-0.316,-0.323
1771,10,-0.315,-0.903,-0.54,-0.313,-0.313
1771,11,-0.845,-1.078,-0.502,-0.337,-0.302
1771,12,1.392,-1.407,-0.475,-0.315,-0.299
1772,1,-1.958,-1.361,-0.435,-0.265,-0.31
1772,2,-4.938,-1.28,-0.429,-0.276,-0.323
1772,3,-4.076,-1.323,-0.436,-0.298,-0.331
1772,4,-0.744,-1.158,-0.385,-0.292,-0.338
1772,5,-2.43,-0.824,-0.438,-0.272,-0.337
1772,6,-1.537,-0.736,-0.424,-0.271,-0.339
1772,7,0.131,-0.728,-0.418,-0.266,-0.335
1772,8,0.227,-0.263,-0.405,-0.287,-0.32
1772,9,-0.778,0.109,-0.253,-0.313,-0.307
1772,10,1.662,0.36,-0.259,-0.323,-0.289
1772,11,3.158,0.728,-0.263,-0.338,-0.299
1772,12,2.448,0.807,-0.255,-0.319,-0.3
1773,1,-1.865,0.877,-0.216,-0.298,-0.311
1773,2,0.651,0.951,-0.175,-0.251,-0.294
1773,3,0.383,1.081,-0.157,-0.228,-0.284
1773,4,2.263,1.018,-0.141,-0.199,-0.271
1773,5,1.988,0.732,-0.131,-0.189,-0.268
1773,6,-0.589,0.613,-0.111,-0.193,-0.265
1773,7,0.97,0.326,-0.168,-0.192,-0.268
1773,8,1.123,0.409,-0.067,-0.199,-0.267
1773,9,0.778,0.353,0.011,-0.185,-0.263
1773,10,0.906,0.224,0.054,-0.192,-0.255
1773,11,-0.274,0.315,0.054,-0.212,-0.262
1773,12,1.024,0.554,0.033,-0.24,-0.257
1774,1,-5.306,0.651,0.073,-0.255,-0.267
1774,2,1.646,0.572,0.11,-0.224,-0.281
1774,3,-0.297,0.443,0.097,-0.198,-0.309
1774,4,0.722,0.305,0.099,-0.195,-0.306
1774,5,3.077,-0.185,0.101,-0.192,-0.309
1774,6,2.279,-0.459,0.102,-0.203,-0.302
1774,7,2.13,-0.031,0.145,-0.201,-0.308
1774,8,0.173,0.053,0.205,-0.186,-0.307
1774,9,-0.769,0.226,0.245,-0.176,-0.307
1774,10,-0.751,0.163,0.233,-0.129,-0.311
1774,11,-6.146,-0.076,0.296,-0.108,-0.305
1774,12,-2.264,-0.279,0.31,-0.105,-0.312
1775,1,-0.169,-0.3,0.293,-0.126,-0.312
1775,2,2.646,-0.129,0.275,-0.142,-0.314
1775,3,1.784,0.116,0.258,-0.074,-0.339
1775,4,-0.033,0.354,0.205,-0.065,-0.352
1775,5,0.21,0.769,0.166,-0.069,-0.357
1775,6,-0.159,0.984,0.144,-0.077,-0.346
1775,7,1.88,0.611,0.166,-0.064,-0.337
1775,8,2.224,0.622,0.209,-0.067,-0.331
1775,9,2.169,0.46,0.186,-0.093,-0.334
1775,10,2.109,0.428,0.178,-0.097,-0.334
1775,11,-1.172,0.381,0.145,-0.101,-0.338
1775,12,0.319,0.491,0.141,-0.1,-0.347
1776,1,-4.643,0.499,0.142,-0.1,-0.356
1776,2,2.779,0.435,0.105,-0.079,-0.359
1776,3,-0.163,0.167,0.099,-0.035,-0.378
1776,4,-0.415,-0.022,0.02,-0.012,-0.387
1776,5,-0.357,0.015,-0.025,-0.022,-0.387
1776,6,1.169,0.108,-0.055,-0.05,-0.392
1776,7,1.976,0.546,0.039,-0.053,-0.399
1776,8,1.452,0.206,0.078,-0.036,-0.388
1776,9,-1.048,0.08,0.147,-0.017,-0.385
1776,10,-0.163,-0.011,0.149,-0.022,-0.387
1776,11,-0.723,0.13,0.117,0.002,-0.412
1776,12,1.436,-0.024,0.068,-0.041,-0.418
1777,1,0.611,-0.26,0.033,-0.02,-0.388
1777,2,-1.305,-0.455,0.058,0.013,-0.379
1777,3,-1.674,-0.514,0.085,0.02,-0.381
1777,4,-1.512,-0.631,0.127,0.024,-0.375
1777,5,1.343,-0.502,0.221,0.036,-0.368
1777,6,-0.676,-0.527,0.214,0.046,-0.36
1777,7,-0.86,-0.623,0.167,0.042,-0.355
1777,8,-0.892,-0.243,0.12,0.054,-0.366
1777,9,-1.754,-0.19,0.105,0.07,-0.377
1777,10,-1.562,0.084,0.128,0.049,-0.37
1777,11,0.822,-0.023,0.124,0.007,-0.393
1777,12,1.131,-0.036,0.101,-0.016,-0.404
1778,1,-0.535,0.121,0.087,-0.027,-0.394
1778,2,3.256,0.103,0.042,-0.009,-0.39
1778,3,-1.037,0.285,-0.028,-0.02,-0.389
1778,4,1.771,0.092,-0.053,-0.028,-0.374
1778,5,0.059,-0.221,-0.072,-0.043,-0.372
1778,6,-0.837,-0.383,-0.089,-0.036,-0.368
1778,7,1.032,-0.311,-0.031,-0.034,-0.361
1778,8,-1.105,-0.247,-0.091,-0.044,-0.359
1778,9,0.429,0.159,-0.081,-0.05,-0.348
1778,10,-3.881,0.081,-0.079,-0.056,-0.343
1778,11,-2.941,0.174,-0.097,-0.075,-0.345
1778,12,-0.81,0.187,-0.133,-0.09,-0.392
1779,1,0.333,0.103,-0.178,-0.069,-0.415
1779,2,4.026,0.336,-0.181,-0.077,-0.418
1779,3,3.836,0.369,-0.131,-0.12,-0.446
1779,4,0.831,0.839,-0.144,-0.123,-0.454
1779,5,1.177,1.044,-0.098,-0.162,-0.454
1779,6,-0.683,0.886,-0.184,-0.196,-0.45
1779,7,0.026,0.61,-0.184,-0.219,-0.437
1779,8,1.694,0.263,-0.179,-0.227,-0.427
1779,9,0.817,0.017,-0.206,-0.229,-0.42
1779,10,1.768,0.061,-0.185,-0.232,-0.397
1779,11,-0.491,-0.04,-0.224,-0.178,-0.381
1779,12,-2.696,-0.112,-0.217,-0.18,-0.353
1780,1,-2.982,-0.029,-0.21,-0.182,-0.34
1780,2,-0.141,-0.21,-0.167,-0.215,-0.334
1780,3,0.89,-0.446,-0.119,-0.266,-0.291
1780,4,1.353,-0.544,-0.107,-0.286,-0.304
1780,5,-0.032,-0.696,-0.151,-0.311,-0.303
1780,6,-1.551,-0.529,-0.175,-0.31,-0.305
1780,7,1.028,-0.377,-0.22,-0.317,-0.311
1780,8,-0.483,-0.433,-0.227,-0.333,-0.316
1780,9,-2.012,-0.474,-0.227,-0.37,-0.326
1780,10,0.583,-0.608,-0.234,-0.398,-0.337
1780,11,-2.315,-0.726,-0.23,-0.391,-0.335
1780,12,-0.694,-0.682,-0.214,-0.414,-0.326
1781,1,-1.152,-0.827,-0.211,-0.405,-0.3
1781,2,-0.819,-0.68,-0.194,-0.426,-0.27
1781,3,0.398,-0.351,-0.2,-0.452,-0.239
1781,4,-0.253,-0.475,-0.132,-0.447,-0.225
1781,5,-1.448,-0.113,-0.126,-0.45,-0.229
1781,6,-1.021,-0.366,-0.124,-0.461,-0.241
1781,7,-0.715,-0.22,-0.176,-0.474,-0.236
1781,8,1.288,-0.234,-0.232,-0.469,-0.232
1781,9,1.931,-0.544,-0.387,-0.453,-0.235
1781,10,-0.901,-0.544,-0.394,-0.46,-0.241
1781,11,2.032,-0.505,-0.442,-0.487,-0.24
1781,12,-3.728,-0.443,-0.46,-0.521,-0.245
1782,1,0.592,-0.42,-0.47,-0.511,-0.251
1782,2,-0.98,-0.386,-0.511,-0.482,-0.236
1782,3,-3.329,-0.45,-0.543,-0.464,-0.224
1782,4,-0.246,-0.447,-0.59,-0.458,-0.218
1782,5,-0.983,-0.767,-0.576,-0.465,-0.207
1782,6,-0.273,-0.483,-0.574,-0.449,-0.198
1782,7,-0.444,-0.804,-0.531,-0.444,-0.19
1782,8,1.692,-0.483,-0.55,-0.445,-0.195
1782,9,1.171,-0.291,-0.638,-0.441,-0.187
1782,10,-0.865,-0.159,-0.7,-0.418,-0.203
1782,11,-1.814,-0.055,-0.746,-0.448,-0.212
1782,12,-0.312,-0.021,-0.721,-0.488,-0.218
1783,1,-3.261,0.117,-0.721,-0.491,-0.21
1783,2,2.87,-0.029,-0.708,-0.53,-0.201
1783,3,-1.024,-0.122,-0.711,-0.55,-0.197
1783,4,1.338,-0.033,-0.743,-0.55,-0.201
1783,5,0.26,-0.097,-0.71,-0.555,-0.208
1783,6,0.134,-0.131,-0.739,-0.542,-0.204
1783,7,1.214,-0.091,-0.779,-0.53,-0.207
1783,8,-0.061,-0.274,-0.762,-0.518,-0.212
1783,9,0.052,-0.641,-0.822,-0.512,-0.219
1783,10,0.211,-0.722,-0.816,-0.494,-0.223
1783,11,-2.588,-0.882,-0.804,-0.477,-0.225
1783,12,-0.715,-1.043,-0.789,-0.545,-0.244
1784,1,-2.779,-1.193,-0.77,-0.574,-0.213
1784,2,0.669,-1.251,-0.757,-0.613,-0.213
1784,3,-5.425,-1.345,-0.775,-0.695,-0.196
1784,4,0.361,-1.453,-0.776,-0.712,-0.188
1784,5,-1.655,-1.208,-0.876,-0.716,-0.194
1784,6,-1.801,-1.36,-0.859,-0.697,-0.204
1784,7,-0.586,-1.165,-0.837,-0.673,-0.213
1784,8,-0.755,-1.326,-0.785,-0.669,-0.214
1784,9,-1.075,-1.239,-0.722,-0.664,-0.212
1784,10,-1.082,-1.467,-0.731,-0.665,-0.204
1784,11,0.353,-1.56,-0.706,-0.653,-0.179
1784,12,-2.546,-1.416,-0.68,-0.601,-0.167
1785,1,-0.433,-1.281,-0.677,-0.554,-0.17
1785,2,-1.264,-1.195,-0.723,-0.526,-0.184
1785,3,-4.38,-1.288,-0.763,-0.509,-0.203
1785,4,-2.377,-1.31,-0.729,-0.542,-0.197
1785,5,-2.768,-1.367,-0.744,-0.536,-0.202
1785,6,-0.076,-1.355,-0.802,-0.533,-0.204
1785,7,1.031,-1.615,-0.761,-0.558,-0.212
1785,8,0.283,-1.493,-0.833,-0.565,-0.223
1785,9,-2.197,-1.394,-0.873,-0.559,-0.232
1785,10,-1.348,-1.189,-0.866,-0.577,-0.245
1785,11,-0.324,-1.018,-0.881,-0.569,-0.241
1785,12,-2.41,-1.022,-0.87,-0.553,-0.25
1786,1,-3.555,-1.075,-0.848,-0.501,-0.221
1786,2,0.205,-0.922,-0.843,-0.461,-0.225
1786,3,-3.195,-0.672,-0.823,-0.444,-0.23
1786,4,0.081,-0.639,-0.857,-0.437,-0.226
1786,5,-0.71,-0.94,-0.829,-0.436,-0.224
1786,6,-0.126,-0.965,-0.965,-0.432,-0.227
1786,7,0.396,-0.513,-0.971,-0.42,-0.231
1786,8,2.122,-0.35,-0.994,-0.428,-0.234
1786,9,0.797,-0.044,-1.003,-0.453,-0.232
1786,10,-0.955,-0.12,-1.029,-0.459,-0.23
1786,11,-3.93,-0.014,-0.991,-0.482,-0.229
1786,12,-2.71,0.101,-0.933,-0.448,-0.25
1787,1,1.873,0.045,-0.875,-0.483,-0.24
1787,2,2.16,-0.22,-0.826,-0.485,-0.201
