Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-0.012,-0.451,,,
1750,3,1.608,-0.413,,,
1750,4,0.227,-0.398,,,
1750,5,-0.888,-0.574,,,
1750,6,-0.044,-0.584,,,
1750,7,0.626,-0.558,,,
1750,8,0.349,-0.787,,,
1750,9,-0.255,-0.864,,,
1750,10,-1.581,-0.986,,,
1750,11,-3.142,-0.996,,,
1750,12,-2.29,-1.029,,,
1751,1,-1.291,-1.033,,,
1751,2,-2.768,-1.021,,,
1751,3,0.692,-1.083,,,
1751,4,-1.239,-1.106,,,
1751,5,-1.007,-1.086,,,
1751,6,-0.443,-1.061,,,
1751,7,0.58,-1.066,,,
1751,8,0.496,-0.739,,,
1751,9,-1.004,-0.788,,,
1751,10,-1.86,-0.779,,,
1751,11,-2.902,-0.748,,,
1751,12,-1.984,-0.595,,,
1752,1,-1.349,-0.623,,,
1752,2,1.148,-0.735,,,
1752,3,0.103,,,,
1752,4,-1.124,,,,
1752,5,-0.639,,,,
1752,6,1.389,,,,
1752,7,0.25,,,,
1752,8,-0.854,,,,
1752,9,,,,,
1752,10,-0.963,,,,
1752,11,-0.057,,,,
1752,12,-0.869,,,,
1753,1,-2.633,,,,
1753,2,-0.768,,,,
1753,3,1.071,-0.298,,,
1753,4,-0.304,-0.246,,,
1753,5,0.174,-0.368,,,
1753,6,1.692,-0.366,,,
1753,7,0.558,-0.239,,,
1753,8,-1.045,-0.392,,,
1753,9,-0.431,-0.728,,,
1753,10,-0.34,-0.667,,,
1753,11,-1.515,-0.612,,,
1753,12,-0.848,-0.715,,,
1754,1,-1.115,-0.812,,,
1754,2,-2.599,-0.707,,,
1754,3,-2.961,-0.731,,,
1754,4,0.428,-0.642,,,
1754,5,0.829,-0.449,,,
1754,6,0.464,-0.409,,,
1754,7,-0.609,-0.646,,,
1754,8,0.207,-0.695,,,
1754,9,-0.714,-0.539,,,
1754,10,0.73,-0.333,,,
1754,11,0.805,-0.422,,,
1754,12,-0.376,-0.284,,,
1755,1,-3.961,-0.246,,,
1755,2,-3.18,-0.382,,,
1755,3,-1.09,-0.426,-0.384,,
1755,4,2.898,-0.512,-0.426,,
1755,5,-0.239,-0.642,-0.443,,
1755,6,2.116,-0.679,-0.464,,
1755,7,-0.143,-0.264,-0.483,,
1755,8,-1.434,0.132,-0.492,,
1755,9,-1.238,0.201,-0.515,,
1755,10,-0.298,-0.09,-0.527,,
1755,11,-0.761,-0.068,-0.529,,
1755,12,-0.815,-0.136,-0.55,,
1756,1,1.023,-0.142,-0.597,,
1756,2,1.564,-0.08,-0.6,,
1756,3,-0.263,0.04,-0.628,,
1756,4,-0.59,-0.06,-0.665,,
1756,5,0.021,-0.209,-0.649,,
1756,6,1.303,-0.384,-0.644,,
1756,7,-0.22,-0.735,-0.607,,
1756,8,-0.692,-0.909,-0.545,,
1756,9,0.204,-0.965,-0.499,,
1756,10,-1.492,-0.905,-0.512,,
1756,11,-2.547,-0.842,-0.532,,
1756,12,-2.925,-0.802,-0.539,,
1757,1,-3.188,-0.577,-0.516,,
1757,2,-0.519,-0.424,-0.52,,
1757,3,-0.932,-0.504,-0.507,,
1757,4,0.131,-0.672,-0.517,,
1757,5,0.77,-0.547,-0.585,,
1757,6,1.78,-0.481,-0.62,,
1757,7,2.489,-0.533,-0.597,,
1757,8,1.144,-0.595,-0.56,,
1757,9,-0.758,-0.543,-0.58,-0.536,
1757,10,-3.515,-0.641,-0.609,-0.552,
1757,11,-1.048,-0.702,-0.612,-0.564,
1757,12,-2.122,-0.812,-0.649,-0.588,
1758,1,-3.811,-1.207,-0.655,-0.6,
1758,2,-1.266,-1.407,-0.647,-0.587,
1758,3,-0.312,-1.519,-0.641,-0.613,
1758,4,-1.04,-1.44,-0.662,-0.615,
1758,5,0.033,-1.396,-0.66,-0.632,
1758,6,0.464,-1.269,-0.646,-0.651,
1758,7,-2.257,-0.859,-0.703,-0.655,
1758,8,-1.247,-0.659,-0.718,-0.643,
1758,9,-2.102,-0.65,-0.698,-0.652,
1758,10,-2.566,-0.593,-0.699,-0.671,
