Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,3,-0.205,,,,
1824,4,0.039,-0.653,,,
1824,5,-0.4,-0.538,,,
1824,6,,-0.318,,,
1824,7,0.252,-0.269,,,
1824,8,-0.667,-0.232,,,
1824,9,-0.792,-0.202,,,
1824,10,-1.222,-0.15,,,
1824,11,-0.357,-0.147,,,
1824,12,0.734,-0.118,,,
1825,1,0.255,-0.157,,,
1825,2,-0.276,-0.152,,,
1825,3,0.149,-0.172,,,
1825,4,0.662,-0.172,,,
1825,5,-0.365,-0.149,,,
1825,6,0.213,-0.247,,,
1825,7,-0.217,-0.326,-0.431,,
1825,8,-0.611,-0.435,-0.43,,
1825,9,-1.033,-0.512,-0.419,,
1825,10,-1.217,-0.578,-0.402,,
1825,11,-0.079,-0.521,-0.388,,
1825,12,-0.438,-0.585,-0.389,,
1826,1,,-0.578,-0.387,,
1826,2,-1.584,-0.611,-0.377,,
1826,3,-0.775,-0.62,-0.375,,
1826,4,-0.127,-0.594,-0.358,,
1826,5,0.315,-0.554,-0.33,,
1826,6,,-0.432,-0.31,,
1826,7,-0.13,-0.319,-0.316,,
1826,8,-1.006,-0.123,-0.327,,
1826,9,-1.146,-0.005,-0.326,,
1826,10,-0.898,0.076,-0.334,,
1826,11,0.397,0.071,-0.327,,
1826,12,1.027,0.113,-0.337,,
1827,1,0.658,0.131,-0.345,,
1827,2,0.765,0.167,-0.345,,
1827,3,0.64,0.153,-0.357,,
1827,4,0.853,0.148,-0.345,,
1827,5,0.253,0.133,-0.354,,
1827,6,,-0.019,-0.383,,
1827,7,0.08,-0.226,-0.382,,
1827,8,-0.57,-0.406,-0.365,,
1827,9,-1.32,-0.444,-0.386,,
1827,10,-0.954,-0.498,-0.393,,
1827,11,0.22,-0.528,-0.408,,
1827,12,-0.802,-0.491,-0.424,,
1828,1,-1.823,-0.508,-0.413,,
1828,2,-1.397,-0.493,-0.414,,
1828,3,0.185,-0.541,-0.425,,
1828,4,0.208,-0.52,,,
1828,5,-0.108,-0.545,,,
1828,6,0.383,-0.537,,,
1828,7,-0.124,-0.44,,,
1828,8,-0.381,-0.438,,,
1828,9,-1.905,-0.467,,,
1828,10,,-0.519,,,
1828,11,-0.078,-0.512,,,
1828,12,-0.703,-0.604,,,
1829,1,-0.658,-0.614,,,
1829,2,-1.377,-0.636,,,
1829,3,-0.163,-0.603,,,
1829,4,-0.422,-0.589,,,
1829,5,-0.013,-0.655,,,
1829,6,,-0.679,,,
1829,7,-0.237,-0.599,,,
1829,8,-0.654,,,,
1829,9,-1.501,,,,
1829,10,,,,,
1829,11,-0.875,,,,
1829,12,-0.993,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,,,,,
1839,5,,,,,
1839,6,,,,,
1839,7,,,,,
1839,8,,,,,
1839,9,,,,,
1839,10,,,,,
1839,11,,,,,
1839,12,,,,,
1840,1,,,,,
1840,2,,,,,
1840,3,,,,,
1840,4,,,,,
1840,5,,,,,
1840,6,,,,,
1840,7,,,,,
1840,8,,,,,
1840,9,,,,,
1840,10,,,,,
1840,11,,,,,
1840,12,,,,,
1841,1,,,,,
1841,2,,,,,
1841,3,,,,,
1841,4,,,,,
1841,5,,,,,
1841,6,,,,,
1841,7,,,,,
1841,8,,,,,
1841,9,,,,,
1841,10,,,,,
1841,11,,,,,
1841,12,,,,,
1842,1,,,,,
1842,2,,,,,
1842,3,,,,,
1842,4,,,,,
1842,5,,,,,
1842,6,,,,,
1842,7,,,,,
1842,8,,,,,
1842,9,,,,,
1842,10,,,,,
1842,11,,,,,
1842,12,,,,,
1843,1,,,,,
1843,2,,,,,
1843,3,,,,,
1843,4,,,,,
1843,5,,,,,
1843,6,,,,,
1843,7,,,,,
1843,8,,,,,
1843,9,,,,,
1843,10,,,,,
1843,11,,,,,
1843,12,,,,,
1844,1,,,,,
1844,2,,,,,
1844,3,,,,,
1844,4,,,,,
1844,5,,,,,
1844,6,,,,,
1844,7,,,,,
1844,8,,,,,
1844,9,,,,,
1844,10,,,,,
1844,11,,,,,
