Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1876,10,-0.501,,,,
1876,11,-1.253,,,,
1876,12,-0.959,,,,
1877,1,,,,,
1877,2,,,,,
1877,3,,,,,
1877,4,,,,,
1877,5,,,,,
1877,6,,,,,
1877,7,0.267,,,,
1877,8,0.56,,,,
1877,9,0.45,0.336,,,
1877,10,-0.003,0.43,,,
1877,11,0.27,0.49,,,
1877,12,0.099,0.527,,,
1878,1,0.846,0.53,,,
1878,2,1.223,0.511,,,
1878,3,1.303,0.48,,,
1878,4,0.649,0.467,-0.33,,
1878,5,0.364,0.444,-0.302,,
1878,6,0.302,0.378,-0.285,,
1878,7,0.304,0.255,-0.268,,
1878,8,0.323,0.073,-0.258,,
1878,9,0.077,-0.138,-0.246,,
1878,10,-0.149,-0.27,-0.234,,
1878,11,-0.015,-0.356,-0.222,,
1878,12,-0.691,-0.403,-0.218,,
1879,1,-0.626,-0.46,-0.214,,
1879,2,-0.967,-0.52,-0.215,,
1879,3,-1.231,-0.584,-0.213,,
1879,4,-0.937,-0.595,-0.206,,
1879,5,-0.657,-0.653,-0.191,,
1879,6,-0.269,-0.731,-0.186,,
1879,7,-0.375,-0.781,-0.181,-0.391,
1879,8,-0.406,-0.795,-0.176,-0.4,
1879,9,-0.69,-0.749,-0.178,-0.407,
1879,10,-0.271,-0.733,-0.174,-0.409,
1879,11,-0.72,-0.703,-0.174,-0.415,
1879,12,-1.617,-0.655,-0.179,-0.421,
1880,1,-1.226,-0.618,-0.177,-0.425,
1880,2,-1.141,-0.564,-0.185,-0.425,
1880,3,-0.68,-0.526,-0.185,-0.419,
1880,4,-0.741,-0.533,-0.182,-0.42,
1880,5,-0.298,-0.472,-0.192,-0.421,
1880,6,0.3,-0.351,-0.209,-0.431,
1880,7,0.073,-0.25,-0.236,-0.438,
1880,8,0.247,-0.176,-0.272,-0.44,
1880,9,-0.242,-0.122,-0.303,-0.438,
1880,10,-0.355,-0.026,-0.32,-0.434,
1880,11,0.017,-0.007,-0.33,-0.431,
1880,12,-0.164,-0.044,-0.328,-0.428,
1881,1,-0.017,-0.038,-0.325,-0.428,
1881,2,-0.247,-0.081,-0.326,-0.43,
1881,3,-0.035,-0.118,-0.342,-0.431,
1881,4,0.408,-0.093,-0.358,-0.434,
1881,5,-0.076,-0.127,-0.367,-0.439,
1881,6,-0.143,-0.168,-0.37,-0.443,
1881,7,0.148,-0.189,-0.376,-0.447,
1881,8,-0.262,-0.192,-0.376,-0.453,
1881,9,-0.689,-0.218,-0.379,-0.454,
1881,10,-0.063,-0.27,-0.393,-0.457,
1881,11,-0.379,-0.295,-0.407,-0.456,
1881,12,-0.655,-0.317,-0.419,-0.458,
1882,1,-0.278,-0.301,-0.431,-0.469,
1882,2,-0.282,-0.272,-0.442,-0.477,-0.612
1882,3,-0.346,-0.176,-0.445,-0.486,-0.616
1882,4,-0.216,-0.157,-0.449,-0.491,-0.619
1882,5,-0.37,-0.152,-0.457,-0.495,-0.623
1882,6,-0.416,-0.173,-0.45,-0.5,-0.622
1882,7,0.341,-0.216,-0.459,-0.508,-0.624
1882,8,0.085,-0.272,-0.457,-0.519,-0.625
1882,9,0.471,-0.286,-0.454,-0.529,-0.626
1882,10,0.158,-0.3,-0.458,-0.533,-0.627
1882,11,-0.311,-0.287,-0.467,-0.544,-0.629
1882,12,-0.911,-0.222,-0.5,-0.552,-0.629
1883,1,-0.797,-0.207,-0.518,-0.573,-0.634
1883,2,-0.951,-0.194,-0.533,-0.592,-0.641
1883,3,-0.522,-0.303,-0.538,-0.612,-0.643
1883,4,-0.381,-0.41,-0.538,-0.625,-0.644
1883,5,-0.213,-0.43,-0.56,-0.635,-0.647
1883,6,0.371,-0.426,-0.571,-0.648,-0.649
1883,7,0.517,-0.442,-0.589,-0.658,-0.65
1883,8,0.236,-0.446,-0.601,-0.669,-0.65
1883,9,-0.837,-0.519,-0.616,-0.674,-0.648
1883,10,-1.121,-0.637,-0.635,-0.68,-0.651
1883,11,-0.552,-0.743,-0.655,-0.686,-0.653
1883,12,-0.865,-0.857,-0.668,-0.684,-0.656
1884,1,-0.991,-0.989,-0.681,-0.686,-0.661
1884,2,-0.998,-1.101,-0.691,-0.679,-0.664
1884,3,-1.392,-1.104,-0.694,-0.675,-0.662
1884,4,-1.802,-1.05,-0.708,-0.671,-0.664
1884,5,-1.482,-1.106,-0.72,-0.67,-0.666
1884,6,-0.991,-1.133,-0.73,-0.67,-0.667
1884,7,-1.066,-1.196,-0.756,-0.662,-0.665
1884,8,-1.117,-1.2,-0.777,-0.662,-0.664
1884,9,-0.869,-1.127,-0.794,-0.664,-0.664
