Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1948,4,-1.108,-0.574,,,
1948,5,-0.698,-0.624,,,
1948,6,-0.188,-0.636,,,
1948,7,-0.384,-0.694,,,
1948,8,-1.338,-0.636,,,
1948,9,-0.882,-0.584,,,
1948,10,-0.98,-0.503,,,
1948,11,-0.424,-0.445,,,
1948,12,-0.325,-0.511,,,
1949,1,-0.269,-0.596,,,
1949,2,-0.131,-0.537,,,
1949,3,-0.283,-0.537,,,
1949,4,-0.129,-0.486,-0.238,,
1949,5,-0.01,-0.509,-0.249,,
1949,6,-0.98,-0.525,-0.237,,
1949,7,-1.405,-0.552,-0.236,,
1949,8,-0.627,-0.621,-0.239,,
1949,9,-0.882,-0.721,-0.256,,
1949,10,-0.369,-0.779,-0.261,,
1949,11,-0.697,-0.787,-0.255,,
1949,12,-0.512,-0.769,-0.266,,
1950,1,-0.593,-0.669,-0.25,,
1950,2,-0.959,-0.668,-0.235,,
1950,3,-1.485,-0.617,-0.232,,
1950,4,-0.824,-0.615,-0.232,,
1950,5,-0.109,-0.596,-0.243,,
1950,6,-0.767,-0.543,-0.232,,
1950,7,-0.201,-0.479,-0.234,-0.13,
1950,8,-0.611,-0.411,-0.227,-0.134,
1950,9,-0.271,-0.21,-0.23,-0.134,
1950,10,-0.347,-0.156,-0.217,-0.124,
1950,11,-0.471,-0.036,-0.21,-0.12,
1950,12,0.124,0.133,-0.213,-0.11,
1951,1,0.176,0.257,-0.202,-0.113,
1951,2,-0.148,0.421,-0.174,-0.12,
1951,3,0.926,0.543,-0.177,-0.124,
1951,4,-0.178,0.528,-0.166,-0.119,
1951,5,1.331,0.516,-0.16,-0.114,
1951,6,1.271,0.505,-0.163,-0.106,
1951,7,1.279,0.469,-0.161,-0.103,
1951,8,1.355,0.463,-0.158,-0.097,
1951,9,1.192,0.332,-0.157,-0.099,
1951,10,-0.519,0.334,-0.15,-0.092,
1951,11,-0.613,0.245,-0.14,-0.099,
1951,12,-0.007,0.077,-0.122,-0.095,
1952,1,-0.265,0.036,-0.099,-0.097,
1952,2,-0.222,-0.012,-0.086,-0.097,
1952,3,-0.645,-0.091,-0.078,-0.104,
1952,4,-0.152,-0.014,-0.064,-0.111,
1952,5,0.262,-0.002,-0.046,-0.118,
1952,6,-0.742,0.038,-0.04,-0.121,
1952,7,0.794,0.086,-0.024,-0.113,
1952,8,0.776,0.072,-0.006,-0.113,
1952,9,0.241,0.033,0.017,-0.117,
1952,10,0.408,0.017,0.047,-0.118,
1952,11,-0.477,-0.024,0.056,-0.128,
1952,12,0.484,0.005,0.07,-0.13,
1953,1,0.3,-0.038,0.08,-0.136,-0.083
1953,2,-0.381,-0.074,0.089,-0.131,-0.082
1953,3,-1.113,-0.184,0.095,-0.125,-0.081
1953,4,-0.344,-0.244,0.119,-0.119,-0.079
1953,5,-0.229,-0.209,0.134,-0.118,-0.079
1953,6,-0.404,-0.29,0.14,-0.115,-0.079
1953,7,0.282,-0.331,0.131,-0.105,-0.076
1953,8,0.349,-0.291,0.121,-0.093,-0.085
1953,9,-1.086,-0.22,0.095,-0.077,-0.093
1953,10,-0.312,-0.165,0.112,-0.069,-0.099
1953,11,-0.049,-0.098,0.099,-0.061,-0.104
1953,12,-0.488,-0.055,0.09,-0.06,-0.107
1954,1,-0.198,-0.08,0.074,-0.057,-0.112
1954,2,0.102,-0.097,0.06,-0.054,-0.116
1954,3,-0.262,-0.04,0.037,-0.05,-0.121
1954,4,0.311,0.026,0.053,-0.053,-0.121
1954,5,0.577,0.06,0.051,-0.065,-0.124
1954,6,0.119,0.09,0.047,-0.06,-0.128
1954,7,-0.026,0.138,0.042,-0.053,-0.138
1954,8,0.148,0.138,0.045,-0.057,-0.141
1954,9,-0.396,0.151,0.049,-0.044,-0.143
1954,10,0.471,0.204,0.039,-0.043,-0.143
1954,11,0.358,0.193,0.019,-0.034,-0.143
1954,12,-0.125,0.192,0.024,-0.027,-0.142
1955,1,0.373,0.226,0.024,-0.02,-0.142
1955,2,0.11,0.205,0.009,-0.001,-0.142
1955,3,-0.113,0.248,-0.002,0.011,-0.141
1955,4,0.947,0.3,-0.004,0.026,-0.143
1955,5,0.445,0.305,-0.013,0.031,-0.142
1955,6,0.112,0.354,-0.028,0.044,-0.144
1955,7,0.388,0.293,-0.038,0.048,-0.145
1955,8,-0.105,0.225,-0.034,0.05,-0.144
1955,9,0.116,0.179,-0.019,0.058,-0.145
1955,10,1.096,0.172,-0.021,0.056,-0.143
1955,11,0.412,0.179,-0.026,0.057,-0.139
1955,12,0.472,0.233,-0.017,0.056,-0.135
1956,1,-0.365,0.225,-0.008,0.056,-0.136
1956,2,-0.701,0.279,-0.012,0.051,-0.137
1956,3,-0.667,0.252,0.023,0.042,-0.134
1956,4,0.855,0.199,0.028,0.043,-0.138
1956,5,0.534,0.102,0.038,0.023,-0.143
1956,6,0.759,0.041,0.043,0.014,-0.142
1956,7,0.299,0.024,0.047,0.002,-0.142
1956,8,0.543,0.081,0.049,-0.011,-0.141
1956,9,-0.21,0.102,0.057,-0.028,-0.141
1956,10,0.453,-0.033,0.044,-0.023,-0.142
1956,11,-0.754,-0.155,0.01,-0.016,-0.145
1956,12,-0.254,-0.253,0.002,-0.01,-0.141
1957,1,-0.567,-0.215,-0.007,0.002,-0.142
1957,2,-0.018,-0.27,-0.027,0.001,-0.144
1957,3,-0.418,-0.288,-0.009,0.008,-0.146
1957,4,-0.764,-0.301,-0.022,0.009,-0.145
1957,5,-0.927,-0.32,-0.021,0.011,-0.149
